time,ax,ay,az,atotal
0.000,-0.24,0.14,0.25,0.38
0.010,-0.11,0.26,0.20,0.35
0.020,0.03,0.26,0.13,0.29
0.030,0.14,0.18,0.09,0.24
0.040,0.17,0.05,0.07,0.19
0.050,0.12,-0.06,-0.01,0.14
0.060,0.09,-0.11,-0.05,0.15
0.070,0.09,-0.12,-0.03,0.15
0.080,0.14,-0.08,0.08,0.18
0.089,0.14,-0.03,0.14,0.20
0.099,0.11,-0.00,0.10,0.15
0.109,0.03,0.02,0.08,0.09
0.119,-0.02,0.04,0.08,0.10
0.129,-0.04,0.07,0.08,0.12
0.139,-0.02,0.09,0.06,0.11
0.149,-0.01,0.09,0.05,0.10
0.159,-0.01,0.11,0.05,0.12
0.169,0.01,0.10,-0.01,0.10
0.179,0.05,0.06,-0.01,0.08
0.189,0.10,-0.01,0.03,0.11
0.199,0.09,-0.06,0.04,0.11
0.209,0.06,-0.10,0.04,0.12
0.219,0.01,-0.11,0.03,0.11
0.229,-0.03,-0.09,0.00,0.10
0.239,-0.04,-0.04,-0.01,0.06
0.249,-0.03,0.01,0.01,0.03
0.259,-0.00,0.04,0.09,0.09
0.269,0.02,0.06,0.15,0.16
0.279,0.07,0.08,0.12,0.16
0.288,0.09,0.09,0.10,0.16
0.298,0.07,0.09,0.10,0.15
0.308,0.06,0.06,0.12,0.14
0.318,0.04,0.01,0.14,0.14
0.328,0.02,-0.04,0.13,0.13
0.338,-0.02,-0.07,0.04,0.09
0.348,-0.01,-0.08,0.04,0.09
0.358,-0.01,-0.08,0.06,0.10
0.368,0.00,-0.06,0.05,0.08
0.378,-0.00,-0.05,0.09,0.11
0.388,-0.00,-0.03,0.16,0.16
0.398,0.01,-0.00,0.15,0.15
0.408,0.02,0.01,0.10,0.10
0.418,-0.02,0.03,0.07,0.08
0.428,-0.04,0.05,0.08,0.10
0.438,-0.06,0.04,0.12,0.14
0.448,-0.05,0.04,0.18,0.19
0.458,-0.02,0.04,0.13,0.13
0.468,0.04,0.08,0.07,0.11
0.477,0.07,0.09,-0.01,0.11
0.487,0.06,0.07,-0.04,0.10
0.497,0.02,0.02,0.03,0.04
0.507,-0.03,-0.02,0.01,0.04
0.517,-0.06,-0.08,-0.04,0.11
0.527,-0.05,-0.08,-0.00,0.10
0.537,0.01,-0.06,0.06,0.08
0.547,0.06,0.01,0.09,0.11
0.557,0.09,0.08,0.08,0.15
0.567,0.09,0.09,0.03,0.14
0.577,0.09,0.10,0.10,0.17
0.587,0.07,0.09,0.16,0.20
0.597,0.02,0.06,0.10,0.12
0.607,-0.02,0.04,0.10,0.11
0.617,-0.05,-0.01,0.19,0.19
0.627,-0.03,-0.02,0.19,0.19
0.637,0.00,-0.01,0.13,0.13
0.647,0.01,0.03,0.05,0.06
0.657,0.00,0.06,0.01,0.06
0.667,0.01,0.05,0.07,0.09
0.677,0.06,0.00,0.15,0.16
0.687,0.06,-0.05,0.12,0.14
0.697,0.03,-0.07,0.07,0.10
0.706,-0.00,-0.04,-0.01,0.04
0.716,-0.04,-0.02,-0.02,0.05
0.726,-0.05,0.01,-0.01,0.06
0.736,-0.04,0.03,-0.01,0.05
0.746,-0.04,0.01,0.02,0.05
0.756,-0.02,-0.01,0.02,0.03
0.766,0.01,-0.02,0.03,0.04
0.776,0.05,-0.03,0.06,0.09
0.786,0.08,-0.03,0.12,0.15
0.796,0.09,-0.01,0.15,0.17
0.806,0.08,0.03,0.11,0.14
0.816,0.07,0.06,0.14,0.16
0.826,0.05,0.05,0.09,0.11
0.836,0.03,0.01,0.10,0.10
0.846,0.05,0.00,0.12,0.13
0.856,0.06,-0.00,0.03,0.06
0.865,0.06,0.01,0.04,0.07
0.875,0.08,0.02,0.08,0.11
0.886,0.12,0.03,0.04,0.13
0.896,0.16,0.02,0.03,0.16
0.905,0.16,0.02,0.04,0.16
0.915,0.12,0.01,0.04,0.12
0.925,0.06,-0.02,0.12,0.14
0.935,0.02,-0.01,0.11,0.11
0.945,0.03,0.01,0.10,0.10
0.955,0.05,0.04,0.19,0.20
0.965,0.06,0.06,0.22,0.24
0.975,0.04,0.07,0.21,0.22
0.985,-0.02,0.06,0.13,0.14
0.995,-0.05,0.07,0.07,0.10
1.005,-0.03,0.06,0.07,0.10
1.015,-0.01,0.05,0.11,0.12
1.025,0.03,0.02,0.11,0.12
1.035,0.05,-0.02,0.05,0.07
1.045,0.04,-0.06,0.06,0.09
1.055,0.05,-0.10,0.05,0.12
1.065,0.05,-0.10,0.06,0.12
1.074,0.04,-0.08,0.10,0.13
1.084,0.02,-0.05,0.09,0.11
1.094,-0.01,-0.00,0.11,0.11
1.104,-0.02,0.03,0.09,0.09
1.114,0.00,0.07,0.08,0.11
1.124,0.02,0.10,0.12,0.16
1.134,0.04,0.09,0.07,0.12
1.144,0.05,0.05,0.03,0.07
1.154,0.03,-0.04,0.06,0.07
1.164,0.03,-0.09,0.04,0.11
1.174,0.03,-0.13,0.05,0.14
1.184,0.06,-0.12,0.05,0.14
1.194,0.12,-0.08,0.04,0.15
1.204,0.13,-0.04,0.05,0.14
1.214,0.10,0.03,0.07,0.13
1.224,0.05,0.04,0.07,0.10
1.234,0.03,0.06,0.10,0.12
1.244,0.03,0.07,0.08,0.11
1.254,0.05,0.05,0.09,0.11
1.263,0.09,0.02,0.14,0.17
1.274,0.13,-0.03,0.14,0.19
1.283,0.13,-0.04,0.07,0.15
1.293,0.08,-0.03,-0.04,0.10
1.303,0.05,-0.01,-0.02,0.05
1.313,0.01,-0.00,0.03,0.03
1.323,-0.02,0.02,0.02,0.04
1.333,0.00,0.05,0.02,0.05
1.343,0.06,0.04,0.04,0.08
1.353,0.10,0.02,0.10,0.15
1.363,0.11,-0.01,0.16,0.19
1.373,0.10,-0.04,0.19,0.22
1.383,0.07,-0.02,0.16,0.18
1.393,0.04,0.01,0.08,0.09
1.403,-0.01,0.06,0.01,0.06
1.413,-0.02,0.09,0.06,0.11
1.423,0.02,0.08,0.14,0.16
1.433,0.07,0.04,0.14,0.16
1.443,0.09,-0.01,0.10,0.14
1.452,0.10,-0.04,0.07,0.13
1.463,0.10,-0.01,0.06,0.12
1.472,0.07,-0.02,0.13,0.15
1.482,0.02,-0.02,0.19,0.19
1.492,-0.02,0.03,0.19,0.19
1.502,-0.05,0.07,0.07,0.11
1.512,-0.06,0.09,0.03,0.11
1.522,-0.06,0.06,0.06,0.10
1.532,-0.04,-0.00,0.06,0.07
1.542,-0.02,-0.04,0.09,0.10
1.552,0.04,-0.05,0.10,0.12
1.562,0.09,-0.06,0.07,0.13
1.572,0.12,-0.01,0.04,0.13
1.582,0.14,0.02,0.07,0.16
1.592,0.11,0.06,0.02,0.12
1.602,0.01,0.08,-0.01,0.08
1.612,-0.06,0.05,0.01,0.08
1.622,-0.07,0.00,-0.01,0.07
1.632,-0.04,-0.02,-0.05,0.06
1.642,0.03,-0.05,0.01,0.06
1.651,0.07,-0.06,0.06,0.11
1.662,0.05,-0.03,0.05,0.07
1.671,0.02,-0.01,-0.01,0.03
1.681,0.00,-0.01,-0.00,0.02
1.691,0.02,-0.02,0.06,0.07
1.701,0.00,-0.02,0.07,0.07
1.711,-0.01,0.00,0.03,0.03
1.721,-0.04,0.06,-0.07,0.10
1.731,-0.04,0.14,-0.17,0.22
1.741,-0.00,0.17,-0.11,0.20
1.751,0.04,0.15,0.04,0.16
1.761,0.07,0.04,0.07,0.10
1.771,0.02,-0.08,0.02,0.09
1.781,-0.01,-0.19,0.02,0.19
1.791,-0.03,-0.22,0.02,0.22
1.801,-0.01,-0.17,0.01,0.17
1.811,0.04,-0.09,0.07,0.12
1.821,0.06,0.02,0.17,0.18
1.831,0.06,0.09,0.19,0.22
1.840,0.01,0.14,0.15,0.21
1.851,-0.04,0.15,0.09,0.18
1.861,-0.06,0.14,0.11,0.19
1.870,-0.04,0.10,0.19,0.22
1.880,-0.02,0.02,0.21,0.21
1.890,0.00,-0.05,0.19,0.19
1.900,-0.00,-0.10,0.10,0.14
1.910,0.04,-0.13,0.10,0.17
1.920,0.08,-0.11,0.09,0.17
1.930,0.12,-0.05,0.09,0.16
1.940,0.12,-0.00,0.17,0.21
1.950,0.06,0.05,0.18,0.19
1.960,0.01,0.04,0.17,0.18
1.970,-0.03,0.03,0.18,0.19
1.980,-0.05,0.04,0.18,0.19
1.990,-0.01,0.04,0.16,0.17
2.000,0.05,0.06,0.15,0.17
2.010,0.12,0.05,0.11,0.17
2.020,0.19,0.03,0.10,0.21
2.030,0.20,0.01,0.07,0.21
2.040,0.16,-0.03,0.05,0.17
2.049,0.13,-0.05,0.11,0.17
2.059,0.09,-0.06,0.08,0.13
2.069,0.06,-0.04,0.07,0.10
2.079,0.06,0.01,0.12,0.14
2.089,0.04,0.05,0.09,0.11
2.099,0.02,0.08,0.03,0.08
2.109,0.02,0.09,-0.01,0.09
2.119,0.01,0.08,0.03,0.09
2.129,-0.01,0.05,0.06,0.08
2.139,-0.06,-0.00,0.02,0.06
2.149,-0.06,-0.04,0.01,0.08
2.159,-0.03,-0.04,0.02,0.06
2.169,-0.01,-0.03,0.00,0.03
2.179,0.00,-0.01,0.01,0.01
2.189,-0.01,-0.01,0.03,0.04
2.199,-0.03,0.00,0.11,0.11
2.209,-0.04,0.03,0.13,0.14
2.219,-0.08,0.03,0.11,0.13
2.228,-0.09,0.07,0.08,0.13
2.239,-0.10,0.06,0.06,0.13
2.248,-0.07,0.04,0.09,0.12
2.258,-0.03,-0.02,0.13,0.14
2.268,0.01,-0.07,0.07,0.10
2.278,0.04,-0.09,0.07,0.12
2.288,0.06,-0.06,0.13,0.15
2.298,0.09,-0.04,0.15,0.18
2.308,0.11,0.01,0.15,0.19
2.318,0.14,0.06,0.16,0.22
2.328,0.11,0.10,0.12,0.19
2.338,0.06,0.13,0.03,0.15
2.348,0.02,0.10,-0.01,0.11
2.358,0.01,0.02,0.02,0.03
2.368,0.04,-0.06,0.01,0.07
2.378,0.09,-0.14,0.01,0.17
2.388,0.12,-0.17,-0.00,0.21
2.398,0.13,-0.16,0.03,0.20
2.408,0.14,-0.11,0.02,0.18
2.418,0.15,-0.03,0.02,0.15
2.428,0.15,0.04,-0.00,0.16
2.437,0.14,0.11,-0.00,0.18
2.448,0.10,0.12,0.02,0.16
2.457,0.11,0.08,0.05,0.15
2.467,0.14,0.02,0.06,0.15
2.477,0.15,-0.05,0.05,0.16
2.487,0.15,-0.07,0.06,0.17
2.497,0.16,-0.06,0.12,0.21
2.507,0.19,-0.04,0.17,0.26
2.517,0.19,-0.03,0.18,0.26
2.527,0.14,-0.01,0.17,0.22
2.537,0.10,0.05,0.15,0.18
2.547,0.01,0.08,0.11,0.14
2.557,-0.09,0.11,0.09,0.17
2.567,-0.12,0.14,0.13,0.23
2.577,-0.13,0.11,0.13,0.21
2.587,-0.09,0.04,0.11,0.15
2.597,-0.02,-0.01,0.03,0.04
2.607,0.02,-0.05,-0.18,0.19
2.617,0.05,-0.11,-0.13,0.17
2.627,0.07,-0.13,0.06,0.16
2.636,0.07,-0.13,0.10,0.18
2.646,0.06,-0.12,0.11,0.17
2.656,0.06,-0.07,0.14,0.17
2.666,0.08,0.01,0.21,0.23
2.676,0.08,0.10,0.33,0.35
2.686,0.07,0.16,0.36,0.40
2.696,0.04,0.21,0.36,0.42
2.706,-0.02,0.21,0.25,0.33
2.716,-0.06,0.19,0.21,0.29
2.726,-0.06,0.16,0.19,0.26
2.736,-0.05,0.13,0.12,0.18
2.746,-0.05,0.08,0.02,0.10
2.756,-0.05,0.04,-0.03,0.07
2.766,-0.02,0.01,-0.05,0.05
2.776,0.06,-0.02,-0.08,0.10
2.786,0.11,-0.04,-0.10,0.16
2.796,0.15,-0.07,-0.07,0.18
2.806,0.14,-0.08,0.01,0.16
2.816,0.09,-0.10,0.00,0.14
2.825,0.01,-0.06,-0.00,0.06
2.836,-0.07,-0.01,0.01,0.07
2.846,-0.09,0.04,-0.01,0.10
2.855,-0.07,0.07,0.05,0.11
2.866,-0.01,0.08,0.07,0.11
2.875,0.04,0.05,0.08,0.11
2.885,0.11,0.04,0.04,0.12
2.895,0.14,-0.02,-0.01,0.14
2.905,0.15,-0.08,-0.03,0.18
2.915,0.14,-0.14,-0.07,0.21
2.925,0.10,-0.18,-0.11,0.23
2.935,0.05,-0.20,-0.05,0.21
2.945,0.00,-0.17,-0.01,0.17
2.955,-0.03,-0.12,0.05,0.13
2.965,-0.02,-0.03,0.09,0.09
2.975,-0.02,0.05,0.08,0.10
2.985,-0.04,0.11,0.06,0.14
2.995,-0.06,0.11,0.07,0.14
3.005,-0.07,0.07,0.05,0.11
3.015,-0.07,0.02,0.01,0.08
3.025,-0.03,-0.05,0.00,0.05
3.034,0.01,-0.06,0.00,0.06
3.044,0.05,-0.03,-0.02,0.06
3.054,0.05,0.04,-0.03,0.07
3.064,0.02,0.05,0.02,0.05
3.074,0.00,0.05,0.05,0.07
3.084,-0.00,0.04,-0.00,0.04
3.094,-0.02,0.01,0.01,0.02
3.104,-0.01,-0.01,0.08,0.08
3.114,0.02,0.02,0.07,0.07
3.124,0.03,0.03,0.12,0.13
3.134,-0.01,0.04,0.14,0.14
3.144,-0.06,0.02,0.17,0.18
3.154,-0.11,0.01,0.17,0.20
3.164,-0.10,0.01,0.20,0.22
3.174,-0.07,0.04,0.21,0.22
3.184,-0.08,0.04,0.18,0.20
3.194,-0.09,0.00,0.23,0.25
3.204,-0.08,-0.05,0.25,0.27
3.213,-0.06,-0.06,0.20,0.21
3.223,-0.00,-0.01,0.17,0.17
3.233,0.04,0.05,0.14,0.16
3.243,0.03,0.05,0.19,0.20
3.253,-0.00,0.01,0.28,0.28
3.263,-0.04,-0.04,0.18,0.19
3.273,-0.04,-0.05,0.08,0.11
3.283,-0.03,-0.02,0.13,0.13
3.293,0.03,0.01,0.23,0.23
3.303,0.09,0.05,0.28,0.30
3.313,0.12,0.07,0.27,0.30
3.323,0.09,0.04,0.16,0.19
3.333,0.07,0.01,0.21,0.22
3.343,0.07,-0.02,0.26,0.27
3.353,0.06,-0.07,0.27,0.29
3.363,0.06,-0.05,0.30,0.31
3.373,0.04,-0.03,0.24,0.25
3.383,-0.00,0.03,0.20,0.21
3.393,0.01,0.07,0.19,0.20
3.403,0.05,0.10,0.11,0.16
3.413,0.08,0.09,0.06,0.13
3.422,0.09,0.08,0.02,0.12
3.432,0.08,0.06,-0.05,0.11
3.442,0.12,0.05,-0.08,0.15
3.452,0.18,0.03,-0.08,0.20
3.462,0.23,0.00,-0.08,0.24
3.472,0.21,-0.05,-0.08,0.23
3.482,0.12,-0.07,-0.11,0.17
3.492,0.06,-0.07,-0.08,0.12
3.502,0.04,-0.01,0.01,0.04
3.512,0.01,0.05,0.03,0.06
3.522,-0.02,0.07,0.00,0.08
3.532,-0.03,0.08,0.01,0.09
3.542,-0.01,0.07,0.03,0.08
3.552,0.00,0.04,-0.01,0.04
3.562,-0.02,0.00,-0.07,0.07
3.572,-0.06,-0.03,-0.13,0.15
3.582,-0.07,-0.09,-0.15,0.19
3.592,-0.04,-0.14,-0.15,0.21
3.601,-0.00,-0.18,-0.09,0.20
3.612,0.04,-0.18,-0.04,0.19
3.621,0.07,-0.12,-0.02,0.14
3.632,0.07,-0.04,-0.04,0.09
3.641,0.05,0.07,-0.05,0.10
3.651,0.03,0.15,0.02,0.15
3.661,0.06,0.17,0.07,0.19
3.671,0.08,0.14,0.03,0.16
3.681,0.09,0.06,0.08,0.14
3.691,0.10,-0.02,0.13,0.17
3.701,0.08,-0.08,0.06,0.13
3.711,0.09,-0.07,-0.01,0.11
3.721,0.10,-0.03,-0.02,0.11
3.731,0.13,-0.01,0.05,0.14
3.741,0.14,0.03,0.03,0.15
3.751,0.11,0.03,-0.02,0.11
3.761,0.05,0.01,-0.02,0.06
3.771,0.00,0.01,0.03,0.03
3.781,-0.01,-0.02,0.12,0.12
3.791,-0.02,-0.05,0.12,0.13
3.801,-0.01,-0.06,0.08,0.10
3.810,-0.01,-0.06,0.09,0.11
3.820,0.00,-0.05,0.13,0.14
3.830,-0.04,-0.04,0.16,0.17
3.840,-0.07,-0.04,0.13,0.15
3.850,-0.07,-0.01,0.13,0.15
3.860,-0.03,-0.00,0.21,0.21
3.870,0.04,0.03,0.20,0.20
3.880,0.10,0.07,0.12,0.18
3.890,0.13,0.11,0.09,0.19
3.900,0.12,0.13,0.15,0.23
3.910,0.13,0.13,0.22,0.28
3.920,0.12,0.09,0.23,0.28
3.930,0.10,0.04,0.14,0.17
3.940,0.06,0.03,0.03,0.07
3.950,0.07,0.04,0.05,0.09
3.960,0.09,0.02,0.15,0.18
3.970,0.10,-0.01,0.21,0.23
3.980,0.14,0.00,0.15,0.21
3.990,0.11,-0.00,0.04,0.12
4.000,0.07,-0.01,-0.04,0.08
4.010,0.01,-0.04,0.09,0.10
4.019,-0.02,-0.06,0.25,0.26
4.029,-0.06,-0.04,0.23,0.24
4.039,-0.09,0.01,0.14,0.17
4.049,-0.11,0.05,0.11,0.16
4.059,-0.13,0.07,0.09,0.17
4.069,-0.15,0.07,0.08,0.18
4.079,-0.15,0.05,0.04,0.17
4.089,-0.15,-0.00,-0.02,0.15
4.099,-0.11,-0.04,-0.03,0.12
4.109,-0.02,-0.08,-0.02,0.08
4.119,0.06,-0.10,0.05,0.12
4.129,0.10,-0.10,0.06,0.15
4.139,0.10,-0.06,-0.08,0.14
4.149,0.11,-0.02,-0.03,0.12
4.159,0.12,-0.02,0.12,0.17
4.169,0.12,-0.03,0.14,0.19
4.179,0.10,-0.00,0.05,0.11
4.189,0.05,0.03,-0.04,0.08
4.199,-0.00,0.10,-0.08,0.13
4.209,-0.04,0.14,-0.05,0.15
4.218,-0.01,0.11,0.04,0.12
4.228,0.04,0.03,0.04,0.06
4.238,0.07,-0.08,-0.10,0.14
4.248,0.07,-0.12,-0.18,0.23
4.258,0.06,-0.14,-0.13,0.20
4.268,0.02,-0.14,-0.02,0.14
4.278,0.00,-0.11,0.01,0.11
4.288,0.01,-0.02,-0.00,0.02
4.298,0.05,0.06,0.10,0.12
4.308,0.07,0.11,0.20,0.24
4.318,0.06,0.10,0.25,0.28
