time,ax,ay,az,atotal
0.000,0.09,0.06,-0.03,0.11
0.010,0.06,0.01,0.06,0.09
0.020,-0.03,-0.00,0.12,0.13
0.030,0.00,0.01,0.07,0.07
0.040,0.10,0.02,0.03,0.11
0.050,0.14,0.02,0.08,0.16
0.060,0.08,-0.02,0.09,0.12
0.070,-0.00,-0.03,0.10,0.11
0.080,-0.04,-0.05,0.09,0.11
0.089,-0.05,-0.06,0.07,0.10
0.099,-0.03,-0.06,0.06,0.09
0.109,0.02,-0.03,0.09,0.10
0.119,0.06,0.02,0.09,0.11
0.129,0.08,0.05,0.09,0.13
0.139,0.06,0.07,0.08,0.12
0.149,0.03,0.08,0.09,0.13
0.159,-0.01,0.07,0.07,0.10
0.169,0.00,0.05,0.03,0.06
0.179,-0.01,0.02,0.05,0.06
0.189,-0.03,-0.03,0.07,0.08
0.199,-0.04,-0.05,0.11,0.13
0.209,-0.02,-0.05,0.14,0.15
0.219,0.03,-0.04,0.12,0.13
0.229,0.06,-0.02,0.10,0.12
0.239,0.07,-0.02,0.09,0.11
0.249,0.05,-0.03,0.07,0.08
0.259,0.02,0.00,0.06,0.06
0.269,0.04,-0.01,0.06,0.07
0.279,0.05,0.01,0.10,0.11
0.289,0.08,0.03,0.14,0.16
0.299,0.06,0.03,0.14,0.15
0.308,0.08,0.02,0.11,0.14
0.318,0.09,0.00,0.06,0.11
0.328,0.07,0.00,0.03,0.08
0.338,0.02,-0.02,0.07,0.07
0.348,-0.05,-0.04,0.09,0.10
0.358,-0.06,-0.02,0.09,0.11
0.368,-0.06,-0.02,0.12,0.14
0.378,-0.02,-0.02,0.13,0.13
0.388,0.02,0.01,0.09,0.09
0.398,0.03,0.02,0.07,0.08
0.408,0.03,0.02,0.10,0.11
0.418,0.03,0.02,0.07,0.08
0.428,0.03,0.01,0.02,0.03
0.438,0.03,-0.01,0.01,0.03
0.448,0.02,-0.01,0.03,0.03
0.458,-0.00,-0.01,0.10,0.10
0.468,-0.02,-0.01,0.11,0.11
0.478,0.01,-0.01,0.09,0.09
0.488,0.02,0.02,0.05,0.06
0.497,0.04,0.04,0.04,0.07
0.507,0.03,0.03,0.06,0.07
0.517,-0.02,0.01,0.06,0.06
0.527,-0.05,-0.02,0.11,0.12
0.537,-0.04,-0.01,0.15,0.15
0.547,-0.01,-0.00,0.14,0.14
0.557,0.03,-0.01,0.10,0.10
0.567,0.06,-0.01,0.09,0.11
0.577,0.08,0.00,0.08,0.11
0.587,0.05,0.02,0.03,0.06
0.597,0.03,0.03,0.04,0.06
0.607,0.00,0.04,0.06,0.08
0.617,-0.03,0.01,0.10,0.11
0.627,-0.06,0.01,0.14,0.15
0.637,-0.06,-0.01,0.14,0.16
0.647,-0.04,-0.02,0.12,0.13
0.657,-0.01,-0.03,0.08,0.09
0.667,0.03,-0.02,0.04,0.06
0.677,0.06,-0.01,0.03,0.07
0.687,0.05,-0.00,0.05,0.07
0.696,0.04,0.01,0.07,0.09
0.706,0.05,0.02,0.08,0.10
0.716,0.05,0.04,0.12,0.14
0.726,0.05,0.03,0.13,0.14
0.736,0.07,0.00,0.09,0.11
0.746,0.08,0.00,0.03,0.09
0.756,0.10,-0.01,0.03,0.10
0.766,0.08,-0.02,0.08,0.12
0.776,0.06,-0.03,0.15,0.16
0.786,0.00,-0.03,0.13,0.13
0.796,-0.02,-0.01,0.05,0.06
0.806,0.01,0.01,0.04,0.04
0.816,0.02,0.02,0.07,0.07
0.826,0.02,0.02,0.08,0.08
0.836,-0.01,0.02,0.10,0.10
0.846,-0.03,0.02,0.11,0.12
0.856,-0.01,0.02,0.11,0.11
0.866,0.02,0.01,0.08,0.08
0.875,0.03,0.00,0.06,0.07
0.885,0.02,-0.02,0.06,0.07
0.895,-0.01,-0.05,0.05,0.07
0.905,-0.05,-0.07,0.05,0.10
0.915,-0.05,-0.07,0.12,0.15
0.925,-0.06,-0.04,0.16,0.18
0.935,-0.05,0.00,0.14,0.15
0.945,-0.04,0.03,0.09,0.10
0.955,0.02,0.07,0.03,0.07
0.965,0.05,0.08,0.02,0.09
0.975,0.05,0.08,0.04,0.10
0.985,0.01,0.06,0.07,0.09
0.995,0.02,0.03,0.07,0.08
1.005,0.05,-0.01,0.07,0.09
1.015,0.07,-0.03,0.07,0.10
1.025,0.08,-0.05,0.12,0.15
1.035,0.08,-0.04,0.13,0.16
1.045,0.09,-0.04,0.12,0.16
1.055,0.09,-0.03,0.06,0.11
1.065,0.07,-0.01,0.05,0.09
1.075,0.04,0.01,0.06,0.07
1.085,-0.01,0.00,0.07,0.07
1.094,-0.01,0.01,0.07,0.07
1.104,-0.00,0.00,0.07,0.07
1.114,0.02,0.01,0.08,0.09
1.124,0.03,0.00,0.13,0.13
1.134,0.01,-0.02,0.14,0.14
1.144,-0.00,-0.02,0.13,0.13
1.154,-0.01,-0.01,0.08,0.08
1.164,-0.02,-0.01,0.03,0.04
1.174,-0.03,-0.01,0.01,0.03
1.184,-0.03,-0.01,0.04,0.05
1.194,-0.02,0.00,0.08,0.09
1.204,-0.03,0.02,0.12,0.12
1.214,-0.01,0.01,0.16,0.16
1.224,0.01,0.01,0.11,0.11
1.234,0.02,0.00,0.05,0.05
1.244,0.04,-0.01,0.02,0.05
1.254,0.02,-0.01,0.04,0.05
1.264,0.00,-0.02,0.08,0.08
1.273,-0.00,-0.01,0.12,0.12
1.283,0.01,0.01,0.15,0.15
1.293,0.05,0.03,0.14,0.16
1.303,0.06,0.04,0.11,0.13
1.313,0.09,0.04,0.04,0.10
1.323,0.07,0.01,0.01,0.07
1.333,0.04,-0.01,0.03,0.05
1.343,0.02,-0.02,0.07,0.07
1.353,0.02,-0.02,0.10,0.10
1.363,0.01,-0.01,0.10,0.10
1.373,0.05,0.00,0.11,0.12
1.383,0.06,0.00,0.10,0.12
1.393,0.05,0.01,0.09,0.10
1.403,0.06,0.00,0.07,0.09
1.413,0.03,-0.01,0.06,0.07
1.423,0.01,-0.01,0.05,0.05
1.433,-0.01,-0.01,0.07,0.07
1.443,-0.05,-0.03,0.12,0.13
1.453,-0.07,-0.03,0.11,0.13
1.463,-0.04,-0.02,0.10,0.11
1.472,0.00,0.00,0.08,0.08
1.482,0.03,0.01,0.06,0.06
1.492,0.04,0.02,0.05,0.06
1.502,0.02,0.04,0.04,0.06
1.512,0.02,0.02,0.09,0.09
1.522,0.03,0.01,0.12,0.12
1.532,0.03,-0.01,0.12,0.13
1.542,0.02,-0.04,0.10,0.11
1.552,0.05,-0.05,0.06,0.10
1.562,0.08,-0.04,0.04,0.10
1.572,0.05,-0.04,0.04,0.08
1.582,-0.00,-0.01,0.08,0.08
1.592,-0.06,0.01,0.11,0.13
1.602,-0.07,0.02,0.13,0.15
1.612,-0.02,0.02,0.13,0.14
1.622,0.01,0.02,0.06,0.06
1.632,0.05,0.01,0.04,0.06
1.642,0.06,0.00,0.05,0.08
1.652,0.05,0.01,0.05,0.07
1.662,0.05,0.01,0.08,0.09
1.672,0.04,-0.01,0.13,0.14
1.681,0.04,-0.02,0.13,0.14
1.691,0.05,-0.03,0.10,0.11
1.701,0.06,-0.03,0.11,0.13
1.711,0.04,-0.01,0.15,0.15
1.721,0.03,-0.00,0.09,0.09
1.731,0.02,0.01,0.02,0.03
1.741,0.04,0.04,-0.02,0.06
1.751,0.05,0.05,0.04,0.08
1.761,0.03,0.05,0.09,0.11
1.771,-0.02,0.05,0.19,0.19
1.781,0.00,0.03,0.13,0.13
1.791,0.02,-0.00,0.10,0.11
1.801,0.06,-0.04,0.02,0.07
1.811,0.03,-0.05,0.02,0.06
1.821,-0.01,-0.06,0.07,0.09
1.831,-0.01,-0.04,0.07,0.08
1.841,0.01,-0.01,0.08,0.09
1.851,0.00,-0.00,0.08,0.08
1.860,0.01,0.02,0.12,0.12
1.870,-0.03,-0.00,0.08,0.09
1.880,-0.06,-0.01,0.07,0.09
1.890,-0.07,-0.01,0.07,0.10
1.900,-0.05,0.02,0.11,0.12
1.910,-0.02,0.02,0.08,0.09
1.920,0.02,0.02,0.06,0.07
1.930,0.04,0.03,0.04,0.06
1.940,0.04,0.02,0.07,0.08
1.950,-0.00,-0.01,0.08,0.08
1.960,-0.01,-0.03,0.08,0.08
1.970,-0.01,-0.02,0.09,0.10
1.980,0.03,-0.01,0.10,0.10
1.990,0.06,-0.01,0.10,0.12
2.000,0.09,-0.00,0.09,0.13
2.010,0.10,0.02,0.09,0.14
2.020,0.08,0.02,0.08,0.12
2.030,0.05,0.02,0.07,0.09
2.040,0.02,0.01,0.07,0.07
2.049,0.01,0.01,0.07,0.07
2.060,-0.00,-0.01,0.04,0.04
2.069,-0.01,-0.02,0.03,0.03
2.079,-0.01,-0.02,0.08,0.08
2.089,0.01,-0.02,0.10,0.10
2.099,0.00,-0.01,0.07,0.07
2.109,-0.01,0.01,0.07,0.07
2.119,-0.01,0.01,0.09,0.09
2.129,-0.03,0.00,0.11,0.11
2.139,-0.02,0.01,0.10,0.11
2.149,-0.01,0.02,0.08,0.08
2.159,-0.00,0.00,0.07,0.07
2.169,0.02,0.01,0.11,0.11
2.179,0.03,0.02,0.12,0.13
2.189,0.05,0.02,0.06,0.08
2.199,0.04,0.02,0.03,0.05
2.209,0.01,-0.00,0.06,0.06
2.219,0.00,-0.02,0.10,0.10
2.229,0.03,-0.03,0.10,0.11
2.239,0.06,-0.03,0.10,0.12
2.248,0.09,-0.02,0.11,0.14
2.258,0.10,-0.02,0.10,0.14
2.268,0.10,0.00,0.07,0.12
2.278,0.09,0.02,0.07,0.12
2.288,0.05,0.00,0.09,0.10
2.298,0.04,0.00,0.09,0.10
2.308,0.05,0.01,0.08,0.09
2.318,0.05,0.00,0.09,0.10
2.328,0.06,-0.00,0.09,0.11
2.338,0.05,0.01,0.06,0.08
2.348,0.03,0.02,0.04,0.05
