time,ax,ay,az,atotal
0.000,-0.31,0.20,0.18,0.41
0.010,-0.01,0.11,0.15,0.18
0.020,0.21,-0.07,0.17,0.28
0.030,0.29,-0.09,0.18,0.36
0.040,0.22,-0.02,0.16,0.27
0.050,0.06,0.05,0.11,0.14
0.060,-0.04,0.08,0.12,0.15
0.070,-0.04,0.08,0.07,0.12
0.080,-0.00,0.05,0.00,0.05
0.090,-0.01,0.05,0.03,0.06
0.099,-0.04,0.07,0.11,0.14
0.110,-0.07,0.10,0.16,0.20
0.119,-0.01,0.10,0.15,0.18
0.129,0.05,0.03,0.14,0.15
0.139,0.06,-0.06,0.17,0.19
0.149,0.07,-0.01,0.15,0.17
0.159,0.05,0.07,0.13,0.16
0.169,-0.01,0.08,0.12,0.14
0.179,-0.08,0.07,0.10,0.14
0.189,-0.11,0.07,0.10,0.16
0.199,-0.09,0.07,0.10,0.15
0.209,-0.06,0.03,0.06,0.09
0.219,-0.05,0.04,0.09,0.11
0.229,-0.05,0.09,0.11,0.15
0.239,-0.04,0.10,0.11,0.16
0.249,-0.03,0.04,0.10,0.11
0.259,-0.00,-0.02,0.10,0.10
0.269,-0.00,0.03,0.01,0.03
0.278,-0.02,0.10,-0.02,0.11
0.289,-0.05,0.12,0.06,0.15
0.299,-0.04,0.14,0.08,0.17
0.308,0.04,0.10,0.01,0.11
0.318,0.04,0.04,-0.07,0.09
0.328,-0.00,-0.03,-0.06,0.07
0.338,0.01,-0.02,-0.02,0.03
0.348,0.05,0.00,-0.02,0.05
0.358,0.01,0.01,-0.09,0.09
0.368,-0.10,-0.01,-0.08,0.13
0.378,-0.17,-0.02,-0.04,0.18
0.388,-0.15,-0.02,0.04,0.16
0.398,-0.07,0.03,0.10,0.12
0.408,-0.01,0.06,0.14,0.15
0.418,-0.03,0.05,0.12,0.13
0.428,-0.08,0.03,0.08,0.12
0.438,-0.07,0.06,0.06,0.11
0.448,-0.06,0.09,0.02,0.11
0.458,-0.06,0.07,0.00,0.10
0.468,-0.08,0.02,0.02,0.08
0.477,-0.05,0.01,0.01,0.06
0.487,-0.00,-0.01,0.00,0.01
0.497,0.03,0.00,0.04,0.05
0.507,0.03,0.04,0.06,0.08
0.517,-0.02,0.08,0.08,0.12
0.527,-0.06,0.09,0.06,0.12
0.537,-0.09,0.07,0.08,0.14
0.547,-0.09,-0.01,0.11,0.15
0.557,-0.07,-0.03,0.13,0.15
0.567,-0.04,0.00,0.13,0.14
0.577,-0.03,0.07,0.17,0.18
0.587,0.01,0.11,0.21,0.23
0.597,0.05,0.10,0.28,0.30
0.607,0.04,0.04,0.29,0.29
0.617,0.03,0.06,0.27,0.28
0.627,0.03,0.15,0.19,0.24
0.636,-0.02,0.15,0.13,0.20
0.647,-0.02,0.08,0.22,0.23
0.657,0.00,0.02,0.22,0.22
0.667,0.05,0.05,0.15,0.16
0.676,0.07,0.03,0.09,0.12
0.687,0.03,-0.02,0.09,0.10
0.696,-0.00,-0.00,0.13,0.13
0.706,-0.01,0.06,0.14,0.15
0.716,-0.03,0.07,0.16,0.18
0.726,-0.05,0.03,0.17,0.18
0.736,-0.01,0.03,0.14,0.14
0.746,0.03,0.07,0.10,0.13
0.756,0.03,0.09,0.08,0.12
0.766,0.01,0.07,0.11,0.13
0.776,0.02,0.05,0.14,0.15
0.786,0.04,0.00,0.14,0.15
0.796,0.04,0.02,0.17,0.17
0.806,0.06,0.12,0.11,0.17
0.816,0.02,0.17,0.07,0.19
0.826,-0.03,0.12,0.09,0.16
0.836,-0.06,0.04,0.09,0.12
0.846,-0.04,0.06,0.10,0.12
0.855,0.00,0.13,-0.01,0.13
0.866,-0.05,0.11,-0.04,0.13
0.876,-0.17,0.02,-0.02,0.17
0.885,-0.20,0.06,0.01,0.20
0.895,-0.12,0.10,-0.08,0.18
0.905,-0.02,0.06,-0.03,0.07
0.915,0.05,-0.02,-0.03,0.07
0.925,0.09,-0.02,0.00,0.09
0.935,0.09,0.04,0.03,0.10
0.945,0.06,0.08,0.04,0.11
0.955,-0.01,0.03,-0.00,0.03
0.965,-0.13,-0.00,-0.05,0.14
0.975,-0.21,0.00,-0.00,0.21
0.985,-0.23,0.01,-0.00,0.23
0.995,-0.20,0.07,-0.02,0.21
1.005,-0.18,0.09,-0.04,0.20
1.015,-0.12,0.06,0.03,0.14
1.025,-0.07,0.02,0.09,0.11
1.035,0.03,0.08,0.10,0.13
1.045,0.03,0.13,0.03,0.14
1.054,-0.07,0.11,-0.02,0.13
1.065,-0.16,0.10,-0.07,0.20
