time,ax,ay,az,atotal
0.000,0.06,-0.07,0.04,0.10
0.010,-0.03,-0.04,0.17,0.17
0.020,-0.09,0.01,0.23,0.25
0.030,-0.01,0.06,0.13,0.14
0.040,0.15,0.07,0.01,0.17
0.050,0.20,0.02,-0.03,0.21
0.060,0.09,-0.01,-0.05,0.10
0.070,-0.06,-0.01,-0.03,0.06
0.080,-0.11,0.02,0.17,0.21
0.089,-0.06,0.03,0.28,0.29
0.099,0.01,0.05,0.13,0.13
0.109,0.02,0.04,0.05,0.07
0.119,-0.01,0.03,-0.03,0.04
0.129,-0.08,-0.01,-0.02,0.09
0.139,-0.11,0.00,-0.07,0.13
0.149,-0.08,0.01,0.09,0.12
0.159,-0.03,0.02,0.19,0.19
0.169,0.03,0.02,0.13,0.13
0.179,0.07,0.03,0.12,0.15
0.189,0.06,0.01,0.16,0.17
0.199,0.01,0.03,0.07,0.08
0.209,-0.03,0.02,-0.02,0.04
0.219,-0.02,0.01,0.02,0.02
0.229,-0.01,0.01,0.02,0.02
0.239,0.02,0.02,0.02,0.03
0.249,0.03,0.01,0.10,0.11
0.259,0.00,0.01,0.20,0.20
0.268,-0.01,-0.01,0.19,0.20
0.278,-0.00,0.01,0.09,0.09
0.288,0.02,0.03,0.06,0.07
0.298,0.00,0.04,-0.00,0.04
0.308,-0.01,0.04,-0.04,0.06
0.318,-0.02,0.03,-0.00,0.04
0.328,-0.02,0.01,0.10,0.10
0.338,-0.03,0.00,0.12,0.13
0.348,-0.04,-0.00,0.19,0.19
0.358,-0.05,0.02,0.17,0.18
0.368,-0.05,0.04,0.13,0.15
0.378,-0.07,0.04,0.04,0.09
0.388,-0.09,0.04,-0.05,0.11
0.398,-0.09,0.02,-0.06,0.11
0.408,-0.08,0.02,-0.02,0.08
0.418,-0.07,0.01,0.10,0.12
0.428,-0.03,0.00,0.19,0.20
0.438,0.01,0.01,0.19,0.19
0.448,0.05,0.04,0.07,0.09
0.458,0.05,0.08,0.01,0.10
0.467,0.02,0.07,0.06,0.10
0.477,0.00,0.03,0.14,0.15
0.487,0.01,-0.00,0.14,0.14
0.497,0.06,-0.03,0.11,0.13
0.507,0.09,-0.04,0.11,0.15
0.517,0.09,0.01,0.05,0.10
0.527,0.08,0.04,-0.03,0.09
0.537,0.08,0.04,0.00,0.09
0.547,0.07,0.01,0.08,0.10
0.557,0.06,0.00,0.15,0.17
0.567,0.07,-0.00,0.19,0.20
0.577,0.07,-0.01,0.12,0.14
0.587,0.05,0.01,0.01,0.06
0.597,0.04,-0.00,-0.03,0.05
0.607,0.02,-0.01,-0.01,0.02
0.617,-0.01,-0.00,0.02,0.02
0.627,-0.03,0.05,0.09,0.11
0.637,-0.07,0.04,0.13,0.15
0.647,-0.11,0.04,0.11,0.16
0.656,-0.11,0.04,0.06,0.13
0.666,-0.12,0.06,0.04,0.14
0.676,-0.13,0.04,0.01,0.14
0.686,-0.15,0.03,0.01,0.15
0.696,-0.13,0.02,0.08,0.16
0.706,-0.10,0.01,0.10,0.14
0.716,-0.06,0.02,0.11,0.13
0.726,-0.03,0.04,0.10,0.11
0.736,-0.02,0.02,0.08,0.08
0.746,-0.03,0.00,0.02,0.04
0.756,-0.03,0.00,0.03,0.05
0.766,-0.02,0.02,0.07,0.08
0.776,0.04,0.05,0.08,0.10
0.786,0.07,0.04,0.07,0.11
0.796,0.08,0.03,0.09,0.13
0.806,0.08,0.01,0.09,0.12
0.816,0.07,-0.00,0.07,0.10
0.826,0.06,-0.01,0.06,0.09
0.835,0.05,-0.01,0.07,0.09
0.845,0.06,0.01,0.10,0.12
0.855,0.06,0.02,0.10,0.12
0.865,0.05,0.01,0.07,0.09
0.875,0.05,-0.02,-0.01,0.05
0.885,0.02,-0.04,-0.22,0.23
0.895,0.04,0.06,0.07,0.10
0.905,0.02,0.15,0.57,0.59
0.915,-0.04,0.07,0.55,0.56
0.925,-0.03,-0.05,0.15,0.16
0.935,0.04,-0.01,-0.41,0.41
0.945,0.03,0.06,-0.46,0.47
0.955,-0.14,0.06,-0.13,0.20
0.965,-0.30,-0.00,0.36,0.47
0.975,-0.26,-0.00,0.30,0.39
0.985,-0.02,0.04,0.19,0.20
0.995,0.12,0.04,0.14,0.19
1.005,0.07,0.02,-0.01,0.07
1.014,-0.11,-0.00,-0.24,0.26
1.025,-0.22,-0.01,-0.14,0.26
1.034,-0.20,0.02,0.22,0.30
1.044,-0.06,0.08,0.29,0.30
1.054,0.06,0.11,0.27,0.30
1.064,0.13,0.05,0.20,0.24
1.074,0.09,-0.02,0.05,0.10
1.084,-0.03,-0.05,-0.21,0.22
1.094,-0.10,-0.05,-0.19,0.22
1.104,-0.09,-0.00,-0.01,0.09
1.114,-0.01,0.05,0.15,0.16
1.124,0.07,0.06,0.20,0.22
1.134,0.14,0.05,0.27,0.31
1.144,0.12,0.01,0.20,0.23
1.154,0.05,-0.01,0.06,0.08
1.164,-0.02,-0.01,0.02,0.03
1.174,-0.05,0.00,-0.01,0.05
1.184,0.02,0.03,-0.04,0.05
1.194,0.09,0.08,0.02,0.12
1.204,0.11,0.04,0.13,0.18
1.214,0.10,-0.02,0.16,0.19
1.223,0.05,-0.05,0.12,0.14
1.233,0.01,-0.05,0.12,0.13
1.243,-0.01,-0.01,0.08,0.08
1.253,-0.01,0.06,0.00,0.06
1.263,-0.00,0.11,0.02,0.11
1.273,-0.03,0.08,0.06,0.10
1.283,-0.08,0.01,0.08,0.12
1.293,-0.11,-0.04,0.10,0.16
1.303,-0.12,-0.02,0.11,0.17
1.313,-0.12,0.02,0.03,0.12
1.323,-0.08,0.10,0.05,0.14
1.333,-0.06,0.12,0.04,0.14
1.343,-0.03,0.08,0.03,0.09
1.353,-0.01,-0.01,0.07,0.07
1.363,-0.04,-0.11,0.14,0.18
1.373,-0.07,-0.10,0.14,0.19
1.383,-0.05,-0.02,0.10,0.11
1.393,0.01,0.07,0.14,0.15
1.403,0.05,0.10,0.01,0.11
1.413,0.08,0.11,-0.04,0.14
1.423,0.04,0.06,0.01,0.07
1.432,-0.00,0.03,-0.06,0.07
1.442,-0.05,-0.02,0.28,0.28
1.452,-0.07,-0.00,0.07,0.10
1.462,-0.01,0.02,0.17,0.17
1.472,0.04,0.03,0.01,0.05
1.482,0.07,0.03,0.04,0.09
1.492,0.03,-0.02,0.10,0.11
1.502,-0.01,-0.00,0.09,0.09
1.512,-0.00,0.01,0.15,0.15
1.522,0.01,0.03,0.08,0.08
1.532,0.03,0.04,0.14,0.15
1.542,0.01,0.01,0.02,0.03
1.552,-0.01,0.02,0.09,0.09
1.562,-0.03,0.01,0.11,0.11
1.572,-0.06,0.02,0.12,0.14
1.582,-0.04,0.00,0.05,0.07
1.591,0.01,-0.01,0.04,0.05
1.601,0.02,0.01,0.08,0.09
1.611,0.01,0.01,0.06,0.06
1.621,-0.00,0.01,0.10,0.10
1.631,0.00,0.00,0.09,0.09
1.641,0.00,-0.00,0.16,0.16
1.651,0.02,0.06,0.00,0.06
1.661,0.04,0.06,0.11,0.14
1.671,0.06,0.07,-0.02,0.09
1.681,0.06,0.02,0.06,0.09
1.691,0.04,-0.03,0.03,0.06
1.701,0.02,-0.04,0.16,0.17
1.711,0.03,-0.02,0.17,0.17
1.721,0.04,0.03,0.08,0.10
1.731,0.06,0.04,0.09,0.12
1.741,0.06,0.05,-0.01,0.08
1.751,0.01,0.01,-0.02,0.02
1.761,-0.05,0.01,-0.00,0.05
1.771,-0.08,-0.01,0.13,0.15
1.781,-0.09,0.04,0.11,0.15
1.791,-0.08,0.06,0.10,0.14
1.801,-0.06,0.09,0.06,0.12
1.811,-0.05,0.08,0.04,0.10
1.820,-0.09,0.07,-0.00,0.12
1.830,-0.10,0.02,-0.04,0.11
1.840,-0.12,-0.05,0.08,0.15
1.850,-0.13,-0.11,0.24,0.29
1.860,-0.12,-0.14,0.32,0.37
1.870,-0.08,-0.03,0.12,0.15
1.880,0.01,0.13,-0.07,0.14
1.890,0.06,0.26,-0.17,0.32
1.900,0.06,0.21,-0.06,0.23
1.910,-0.00,0.05,-0.01,0.05
1.920,-0.06,-0.14,0.19,0.24
1.930,-0.06,-0.20,0.29,0.36
1.940,-0.02,-0.09,0.25,0.26
1.950,0.04,0.08,0.04,0.10
1.960,0.09,0.19,-0.09,0.23
1.969,0.09,0.14,-0.10,0.19
1.980,0.03,0.01,-0.01,0.04
1.990,-0.04,-0.10,0.10,0.15
2.000,-0.06,-0.12,0.21,0.25
2.009,-0.02,-0.04,0.24,0.24
2.019,0.06,0.08,0.08,0.12
2.029,0.10,0.15,-0.02,0.18
2.039,0.08,0.14,-0.22,0.28
