time,ax,ay,az,atotal
0.000,0.11,-0.06,0.19,0.23
0.010,0.01,-0.07,0.18,0.20
0.020,-0.12,0.01,0.12,0.17
0.030,-0.07,0.08,0.07,0.12
0.040,0.04,0.08,0.06,0.10
0.050,0.11,0.03,0.07,0.13
0.060,0.17,-0.01,0.16,0.23
0.070,0.18,-0.03,0.30,0.35
0.080,0.16,-0.02,0.34,0.37
0.090,0.13,-0.00,0.34,0.36
0.099,0.06,0.01,0.29,0.29
0.110,-0.03,0.00,0.16,0.16
0.119,-0.08,0.03,0.07,0.11
0.130,-0.06,0.03,-0.02,0.07
0.139,-0.04,0.03,-0.06,0.08
0.149,-0.03,0.03,0.00,0.04
0.159,-0.02,0.01,0.11,0.11
0.169,0.02,-0.00,0.18,0.18
0.179,0.03,-0.03,0.15,0.15
0.189,0.05,-0.04,0.08,0.10
0.199,0.07,-0.02,0.03,0.08
0.209,0.07,0.01,0.02,0.07
0.219,0.08,0.04,-0.03,0.10
0.229,0.15,0.06,-0.07,0.17
0.239,0.20,0.03,-0.10,0.22
0.249,0.17,0.02,-0.08,0.19
0.259,0.14,0.02,0.03,0.15
0.269,0.04,0.01,0.10,0.11
0.279,-0.05,0.03,0.11,0.12
0.289,-0.06,0.03,0.10,0.12
0.299,-0.05,0.01,0.08,0.10
0.309,-0.01,0.02,0.05,0.06
0.318,0.08,0.04,0.02,0.09
0.328,0.13,0.05,0.03,0.15
0.338,0.08,0.06,0.07,0.13
0.348,-0.03,0.04,0.05,0.07
0.358,-0.13,0.01,0.01,0.13
0.368,-0.09,-0.01,-0.02,0.09
0.378,0.04,-0.00,-0.05,0.06
0.388,0.14,-0.01,-0.03,0.14
0.398,0.20,0.03,0.03,0.20
0.408,0.21,0.04,0.08,0.22
0.418,0.18,0.01,0.13,0.22
0.428,0.15,-0.05,0.17,0.23
0.438,0.05,-0.09,0.21,0.23
0.448,0.02,-0.10,0.16,0.19
0.458,0.04,-0.04,0.11,0.13
0.468,0.07,-0.00,0.11,0.13
0.478,0.11,0.01,0.14,0.18
0.488,0.02,-0.00,0.11,0.11
0.498,-0.09,0.00,0.03,0.10
0.508,-0.15,0.02,-0.03,0.16
0.517,-0.13,0.02,-0.04,0.14
0.527,-0.07,0.01,-0.02,0.08
0.537,-0.06,-0.03,0.02,0.07
0.547,-0.03,-0.07,0.08,0.11
0.557,0.07,-0.11,0.20,0.23
0.567,0.09,-0.10,0.26,0.29
0.577,-0.01,-0.05,0.23,0.24
0.587,-0.10,-0.00,0.15,0.18
0.597,-0.09,0.05,0.02,0.11
