time,ax,ay,az,atotal
0.000,-0.16,-0.14,0.17,0.27
0.010,0.15,-0.05,0.07,0.17
0.020,0.34,0.08,0.10,0.36
0.030,0.43,0.11,0.13,0.46
0.040,0.38,0.08,0.09,0.40
0.050,0.25,0.07,0.10,0.28
0.060,0.12,0.05,0.13,0.19
0.070,0.05,0.01,0.07,0.09
0.079,0.01,-0.01,0.05,0.05
0.089,-0.02,0.01,0.06,0.06
0.099,-0.03,0.04,0.05,0.07
0.109,-0.10,0.06,0.06,0.13
0.119,-0.13,0.07,0.07,0.16
0.129,-0.12,0.06,0.09,0.17
0.139,-0.02,0.02,0.10,0.10
0.149,0.06,-0.02,0.09,0.11
0.159,0.08,0.02,0.09,0.12
0.169,0.09,0.03,0.09,0.13
0.179,0.08,0.03,0.11,0.14
0.189,0.08,0.06,0.10,0.14
0.199,0.08,0.10,0.08,0.16
0.209,0.03,0.06,0.10,0.12
0.219,0.00,0.02,0.07,0.07
0.229,-0.03,0.03,0.07,0.08
0.239,-0.01,0.05,0.09,0.11
0.249,0.05,0.04,0.07,0.09
0.259,0.06,0.02,0.06,0.09
0.268,0.02,0.01,0.10,0.10
0.279,-0.04,0.00,0.08,0.09
0.288,-0.04,0.01,0.07,0.08
0.298,0.02,0.04,0.08,0.09
0.308,0.10,0.06,0.10,0.15
0.318,0.13,0.11,0.09,0.19
0.328,0.07,0.10,0.09,0.15
0.338,0.01,0.03,0.08,0.09
0.348,-0.01,-0.04,0.08,0.09
0.358,-0.02,-0.00,0.07,0.08
0.368,-0.00,0.07,0.09,0.11
0.378,-0.02,0.08,0.08,0.11
0.388,0.00,0.03,0.10,0.10
0.398,0.07,0.01,0.06,0.09
0.408,0.08,0.04,0.06,0.11
0.418,0.05,0.06,0.10,0.13
0.428,0.01,0.02,0.10,0.10
0.438,-0.02,0.03,0.05,0.06
0.447,-0.00,0.05,0.10,0.11
0.458,0.05,0.03,0.09,0.11
0.467,0.09,0.02,0.08,0.12
0.477,0.10,0.05,0.09,0.14
0.487,0.05,0.06,0.07,0.11
0.497,-0.04,0.06,0.06,0.09
0.507,-0.08,0.02,0.08,0.12
0.517,-0.03,-0.02,0.07,0.08
0.527,0.04,-0.01,0.08,0.09
0.537,0.10,0.06,0.10,0.15
0.547,0.10,0.07,0.09,0.15
0.557,0.01,0.07,0.06,0.09
0.567,-0.02,0.06,0.10,0.12
0.577,0.00,0.05,0.08,0.09
0.587,0.03,0.04,0.07,0.08
0.597,0.05,0.03,0.08,0.10
0.607,0.03,0.03,0.08,0.09
0.617,0.08,0.00,0.07,0.11
0.627,0.10,-0.01,0.07,0.12
0.637,0.09,-0.00,0.08,0.12
0.647,0.03,0.07,0.10,0.13
0.657,-0.02,0.09,0.08,0.12
0.667,-0.01,0.05,0.07,0.09
0.677,0.03,0.01,0.09,0.09
0.686,0.07,0.01,0.08,0.11
0.696,0.04,0.04,0.06,0.08
0.706,0.02,0.04,0.08,0.09
0.716,0.01,0.05,0.12,0.13
0.726,-0.01,0.05,0.07,0.08
0.736,-0.01,0.06,0.07,0.09
0.746,-0.00,0.05,0.10,0.11
0.756,0.03,0.02,0.07,0.08
0.766,0.05,0.02,0.06,0.08
0.776,0.06,0.02,0.07,0.10
0.786,0.07,0.00,0.07,0.09
0.796,0.07,0.02,0.11,0.13
0.806,0.01,0.07,0.07,0.10
0.816,-0.04,0.07,0.11,0.14
