time,ax,ay,az,atotal
0.000,-0.12,-0.01,0.25,0.27
0.010,-0.02,-0.04,0.31,0.31
0.020,-0.02,-0.03,0.29,0.29
0.030,-0.08,-0.01,0.24,0.25
0.040,-0.09,0.02,0.16,0.18
0.050,-0.03,0.04,0.04,0.07
0.060,0.01,0.03,0.03,0.05
0.070,-0.01,0.02,0.06,0.06
0.080,0.03,0.04,0.08,0.09
0.090,0.07,0.06,0.10,0.13
0.100,0.05,0.06,0.15,0.17
0.110,0.00,0.04,0.22,0.23
0.119,-0.08,0.02,0.33,0.34
0.129,-0.14,0.01,0.39,0.41
0.139,-0.11,0.05,0.27,0.30
0.149,-0.03,0.07,0.13,0.16
0.159,0.05,0.08,-0.02,0.10
0.169,0.12,0.07,-0.17,0.21
0.179,0.13,0.07,-0.27,0.31
0.189,0.08,0.04,-0.26,0.27
0.199,0.01,-0.01,-0.20,0.20
0.209,-0.02,-0.04,-0.16,0.16
0.219,0.01,-0.04,-0.09,0.10
0.229,0.06,-0.02,-0.01,0.07
0.239,0.14,-0.04,0.05,0.15
0.249,0.17,-0.07,0.09,0.20
0.259,0.13,-0.06,0.10,0.17
0.269,0.07,-0.04,0.06,0.10
0.279,0.02,0.04,-0.03,0.06
0.289,-0.02,0.10,-0.12,0.16
0.298,-0.05,0.08,-0.13,0.16
0.309,-0.07,0.04,0.01,0.08
0.318,-0.03,0.03,0.09,0.10
0.328,0.03,0.05,0.13,0.14
0.338,0.00,0.08,0.16,0.18
0.348,-0.03,0.07,0.11,0.14
0.358,-0.08,0.08,0.02,0.11
0.368,-0.16,0.10,-0.01,0.19
0.378,-0.25,0.10,0.06,0.28
0.388,-0.24,0.05,0.16,0.30
0.398,-0.10,0.02,0.24,0.26
0.408,0.09,0.04,0.24,0.26
0.418,0.14,0.08,0.14,0.22
0.428,0.12,0.09,0.06,0.16
0.438,0.12,0.08,0.01,0.14
0.448,0.19,0.06,-0.00,0.20
0.458,0.25,0.05,0.11,0.28
0.468,0.21,0.02,0.25,0.32
0.478,0.05,-0.02,0.33,0.34
0.488,-0.07,-0.05,0.36,0.37
0.498,-0.09,-0.06,0.23,0.25
0.508,-0.02,-0.03,0.06,0.07
0.517,0.03,0.01,-0.04,0.05
0.527,0.03,0.03,-0.08,0.09
0.537,0.04,-0.00,-0.01,0.04
0.547,0.08,-0.01,0.09,0.12
0.557,0.10,-0.02,0.15,0.18
0.567,0.07,0.02,0.22,0.24
0.577,-0.00,0.02,0.24,0.24
0.587,-0.01,0.03,0.27,0.27
0.597,0.00,0.02,0.22,0.22
0.607,0.00,-0.02,0.15,0.15
0.617,0.01,-0.00,0.07,0.07
0.627,0.04,0.04,0.01,0.05
0.637,0.02,0.07,-0.09,0.11
0.647,-0.01,0.07,-0.17,0.18
0.657,-0.06,0.08,-0.16,0.19
0.667,-0.07,0.06,-0.03,0.10
0.677,-0.02,0.02,0.12,0.13
0.687,0.06,-0.00,0.24,0.24
0.696,0.09,0.01,0.24,0.26
0.706,0.02,0.06,0.16,0.17
0.716,-0.04,0.05,0.02,0.07
0.726,-0.07,0.03,-0.10,0.13
0.736,-0.08,0.00,-0.14,0.17
0.746,-0.06,-0.01,-0.12,0.14
0.756,-0.05,-0.01,-0.04,0.07
0.766,-0.06,0.02,0.02,0.06
0.776,-0.07,0.02,0.03,0.08
0.786,-0.11,-0.02,-0.04,0.12
0.796,-0.10,-0.03,-0.08,0.13
0.806,-0.11,-0.03,-0.07,0.14
0.816,-0.15,-0.01,-0.06,0.17
0.826,-0.13,-0.00,-0.04,0.14
0.836,-0.07,-0.01,-0.04,0.08
0.846,-0.05,-0.03,-0.03,0.07
0.856,-0.05,-0.03,0.04,0.07
0.866,-0.03,-0.02,0.17,0.17
0.876,-0.07,-0.01,0.23,0.24
0.886,-0.10,-0.03,0.20,0.23
0.895,-0.07,-0.01,0.16,0.18
0.905,-0.07,0.06,0.03,0.09
0.915,-0.13,0.08,-0.09,0.18
0.925,-0.15,0.06,-0.11,0.19
0.935,-0.10,0.06,-0.04,0.12
0.945,-0.07,0.09,0.09,0.15
0.955,-0.11,0.07,0.23,0.26
0.965,-0.13,0.00,0.35,0.38
0.975,-0.10,-0.03,0.44,0.46
0.985,-0.07,-0.02,0.38,0.38
0.995,-0.11,0.01,0.28,0.30
1.005,-0.12,0.02,0.16,0.21
1.015,-0.06,0.00,0.01,0.06
1.025,0.01,-0.02,-0.13,0.13
1.035,0.08,0.00,-0.15,0.17
1.045,0.11,0.02,-0.03,0.12
1.055,0.13,-0.00,0.09,0.16
1.065,0.18,-0.01,0.15,0.24
1.075,0.22,-0.04,0.28,0.36
1.085,0.14,-0.05,0.40,0.43
1.094,0.06,-0.06,0.38,0.39
1.104,0.05,-0.05,0.26,0.26
