time,ax,ay,az,atotal
0.000,-0.57,0.40,0.05,0.70
0.010,-0.06,-0.02,0.18,0.19
0.020,0.27,-0.28,0.12,0.41
0.030,0.34,-0.28,0.07,0.44
0.040,0.33,-0.13,0.11,0.38
0.050,0.41,0.01,0.14,0.44
0.060,0.55,0.10,0.14,0.57
0.070,0.55,0.08,0.12,0.56
0.080,0.34,-0.03,0.13,0.36
0.090,0.11,-0.07,0.11,0.17
0.099,-0.03,-0.05,0.10,0.12
0.109,-0.06,0.00,0.06,0.08
0.119,-0.08,0.05,0.03,0.10
0.129,-0.16,0.03,0.01,0.16
0.139,-0.24,-0.01,0.01,0.24
0.149,-0.25,-0.03,-0.00,0.25
0.159,-0.22,-0.01,0.02,0.22
0.169,-0.17,-0.01,0.04,0.18
0.179,-0.12,-0.03,0.06,0.14
0.189,-0.06,-0.03,0.06,0.09
0.199,0.03,-0.05,0.10,0.11
0.209,0.11,-0.01,0.10,0.16
0.219,0.16,0.02,0.11,0.19
0.229,0.15,0.01,0.08,0.17
0.239,0.13,0.00,0.11,0.17
0.249,0.11,-0.01,0.11,0.15
0.259,0.08,-0.02,0.09,0.12
0.269,0.04,-0.03,0.06,0.08
0.279,0.00,-0.01,0.06,0.06
0.288,-0.05,-0.01,0.07,0.09
0.298,-0.07,-0.00,0.06,0.09
0.308,-0.08,0.00,0.04,0.09
0.318,-0.09,-0.02,0.06,0.11
0.328,-0.07,-0.02,0.07,0.10
0.338,-0.07,-0.03,0.07,0.10
0.348,-0.04,-0.02,0.05,0.06
0.358,-0.00,-0.01,0.08,0.08
0.368,0.06,-0.00,0.06,0.09
0.378,0.07,0.00,0.08,0.10
0.388,0.05,0.00,0.09,0.10
0.398,0.04,-0.00,0.09,0.09
0.408,0.06,-0.02,0.07,0.09
0.418,0.04,-0.02,0.08,0.09
0.428,-0.01,0.01,0.07,0.07
0.438,-0.02,-0.00,0.08,0.08
0.448,-0.01,-0.01,0.06,0.06
0.458,-0.02,-0.02,0.07,0.07
0.468,-0.04,0.01,0.07,0.08
0.478,-0.02,-0.00,0.05,0.06
0.488,-0.01,-0.01,0.06,0.07
0.497,-0.02,-0.03,0.07,0.07
0.507,-0.00,-0.02,0.08,0.08
0.517,0.03,0.02,0.07,0.08
0.527,0.04,0.00,0.06,0.07
0.537,0.02,-0.02,0.07,0.07
0.547,0.01,-0.05,0.08,0.10
0.557,-0.01,-0.04,0.08,0.09
0.567,-0.01,0.01,0.07,0.07
0.577,-0.03,0.02,0.07,0.08
0.587,-0.02,0.00,0.07,0.07
0.597,0.01,-0.01,0.07,0.07
0.607,0.01,-0.02,0.04,0.05
0.617,-0.00,-0.01,0.07,0.07
0.627,-0.01,-0.00,0.09,0.09
0.637,-0.01,0.01,0.07,0.07
0.647,0.01,0.01,0.08,0.08
0.657,0.01,-0.00,0.08,0.08
0.667,-0.01,-0.02,0.08,0.09
0.677,-0.00,-0.03,0.06,0.06
0.686,-0.01,-0.03,0.05,0.06
0.696,-0.01,-0.02,0.07,0.07
0.706,0.00,-0.02,0.06,0.06
0.716,-0.01,0.02,0.08,0.08
0.727,0.01,0.01,0.08,0.08
0.736,0.03,-0.00,0.08,0.08
0.746,0.05,-0.03,0.06,0.08
0.756,0.05,-0.01,0.08,0.09
0.766,-0.01,0.00,0.09,0.09
0.776,-0.03,0.00,0.08,0.09
0.786,-0.01,-0.01,0.06,0.06
0.796,-0.02,-0.02,0.07,0.08
0.806,-0.02,-0.03,0.06,0.07
0.816,-0.04,-0.02,0.05,0.07
0.826,-0.03,-0.01,0.05,0.06
0.836,0.01,-0.03,0.07,0.07
0.846,0.01,-0.03,0.07,0.07
0.856,0.01,-0.03,0.08,0.09
0.866,0.02,-0.00,0.07,0.08
0.876,0.06,0.00,0.08,0.10
0.886,0.04,-0.01,0.08,0.09
0.895,0.01,-0.02,0.08,0.08
0.905,0.00,-0.00,0.07,0.07
0.915,0.00,-0.00,0.06,0.06
0.925,-0.01,-0.00,0.06,0.06
0.935,-0.03,0.01,0.07,0.08
0.945,-0.02,0.00,0.06,0.07
0.955,-0.03,-0.01,0.07,0.07
0.965,-0.02,-0.01,0.07,0.07
0.975,-0.01,-0.01,0.07,0.07
0.985,0.01,-0.03,0.08,0.08
0.995,0.02,-0.03,0.06,0.07
1.005,-0.00,-0.00,0.06,0.06
1.015,-0.00,0.00,0.07,0.07
1.025,0.02,0.01,0.07,0.07
1.035,0.01,0.00,0.06,0.06
1.045,-0.02,-0.03,0.06,0.08
1.055,0.00,-0.05,0.08,0.09
1.065,0.04,-0.04,0.07,0.09
1.075,0.02,-0.01,0.06,0.07
1.084,-0.01,0.01,0.08,0.08
1.094,-0.02,0.01,0.08,0.08
1.104,-0.03,-0.01,0.08,0.08
1.114,-0.03,-0.00,0.06,0.07
1.124,-0.01,-0.02,0.08,0.08
1.134,0.03,-0.04,0.08,0.09
1.144,0.03,-0.03,0.05,0.06
1.154,0.00,0.03,0.06,0.07
1.164,-0.01,0.06,0.10,0.12
1.174,0.04,0.03,0.10,0.11
1.184,0.03,-0.00,0.07,0.08
1.194,-0.01,-0.04,0.09,0.10
1.204,-0.01,-0.03,0.06,0.07
1.214,-0.03,-0.02,0.06,0.07
1.224,-0.04,0.00,0.06,0.07
1.234,-0.04,-0.01,0.07,0.08
1.244,-0.04,-0.01,0.08,0.09
1.254,-0.00,-0.02,0.07,0.07
1.263,0.01,-0.02,0.07,0.07
1.274,0.04,-0.01,0.06,0.08
1.283,0.04,-0.00,0.07,0.08
1.293,0.05,-0.00,0.07,0.08
1.303,0.07,0.01,0.08,0.11
1.313,0.04,-0.01,0.11,0.12
1.323,0.02,-0.01,0.07,0.08
1.333,0.01,-0.02,0.06,0.07
1.343,-0.00,-0.03,0.08,0.08
1.353,-0.04,-0.02,0.07,0.08
1.363,-0.09,-0.02,0.07,0.12
1.373,-0.08,0.00,0.08,0.11
1.383,-0.02,-0.01,0.07,0.08
1.393,0.00,-0.01,0.05,0.05
1.403,0.00,0.00,0.07,0.07
1.413,0.01,0.00,0.07,0.07
1.423,0.02,-0.00,0.08,0.08
1.433,0.03,-0.02,0.08,0.09
1.443,0.03,-0.02,0.08,0.09
1.453,0.03,-0.02,0.07,0.09
