time,ax,ay,az,atotal
0.000,0.07,0.11,0.05,0.14
0.010,0.01,0.13,0.01,0.13
0.020,-0.08,0.10,0.04,0.13
0.030,-0.12,0.07,0.06,0.15
0.040,-0.05,0.03,0.19,0.20
0.050,0.02,0.01,0.25,0.25
0.060,-0.01,-0.03,0.32,0.32
0.070,-0.01,-0.06,0.32,0.33
0.080,0.09,0.01,0.23,0.25
0.090,0.26,0.11,0.09,0.30
0.099,0.36,0.20,-0.06,0.41
0.109,0.28,0.21,-0.10,0.36
0.119,0.10,0.16,-0.06,0.20
0.130,-0.05,0.10,0.02,0.11
0.139,-0.11,0.05,0.13,0.18
0.149,-0.10,-0.02,0.29,0.31
0.159,-0.01,-0.08,0.26,0.27
0.169,0.10,-0.06,0.17,0.20
0.179,0.20,0.01,0.08,0.22
0.189,0.23,0.08,0.05,0.25
0.199,0.11,0.13,-0.01,0.17
0.209,-0.11,0.13,-0.02,0.17
0.219,-0.24,0.11,0.07,0.27
0.229,-0.29,0.08,0.10,0.31
0.239,-0.17,0.06,0.17,0.24
0.249,0.01,0.05,0.26,0.26
0.259,0.11,0.03,0.29,0.31
0.269,0.09,-0.01,0.25,0.27
0.279,0.04,0.02,0.18,0.18
0.289,0.03,0.07,0.11,0.14
0.299,0.04,0.11,0.04,0.13
0.308,0.02,0.15,-0.04,0.15
0.319,-0.05,0.10,-0.07,0.13
0.328,-0.08,0.06,-0.04,0.11
0.338,-0.07,0.05,0.02,0.09
0.348,-0.06,0.07,0.08,0.12
0.358,-0.01,0.05,0.26,0.26
0.368,0.04,0.02,0.38,0.38
0.378,0.10,0.02,0.25,0.27
0.388,0.12,0.01,0.13,0.18
0.398,0.07,0.06,-0.04,0.10
0.408,0.00,0.13,-0.11,0.17
0.418,-0.07,0.17,-0.12,0.22
0.428,-0.13,0.16,-0.07,0.22
0.438,-0.17,0.10,0.03,0.20
0.448,-0.09,0.03,0.12,0.15
0.458,0.05,0.00,0.17,0.17
0.468,0.20,0.03,0.18,0.27
0.478,0.26,0.08,0.13,0.30
0.488,0.18,0.10,0.10,0.23
0.498,0.04,0.11,0.03,0.12
0.507,-0.09,0.08,0.02,0.12
0.517,-0.20,0.03,0.08,0.22
0.527,-0.20,-0.04,0.10,0.23
0.537,-0.11,-0.07,0.12,0.18
0.547,0.04,-0.03,0.09,0.11
0.557,0.21,0.05,0.09,0.24
0.567,0.28,0.12,0.05,0.31
0.577,0.23,0.14,-0.02,0.27
0.587,0.08,0.13,-0.07,0.17
0.597,-0.05,0.12,-0.06,0.14
0.607,-0.11,0.08,0.09,0.17
0.617,-0.08,0.05,0.20,0.22
0.627,0.01,0.00,0.25,0.25
0.637,0.07,-0.04,0.26,0.28
0.647,0.15,-0.02,0.19,0.25
0.657,0.23,0.02,0.12,0.25
0.667,0.22,0.11,0.01,0.24
0.677,0.15,0.17,-0.06,0.23
0.687,0.07,0.20,-0.07,0.23
0.697,0.00,0.18,-0.12,0.21
0.706,-0.03,0.11,-0.10,0.15
0.716,-0.01,0.01,-0.03,0.03
0.726,-0.00,-0.07,0.07,0.10
0.736,0.00,-0.06,0.13,0.14
0.746,0.02,0.00,0.17,0.17
0.756,0.08,0.06,0.20,0.23
0.766,0.12,0.10,0.16,0.22
0.776,0.12,0.13,0.08,0.20
