time,ax,ay,az,atotal
0.000,0.03,0.03,0.11,0.12
0.010,0.49,-0.03,0.05,0.49
0.020,0.54,-0.02,0.11,0.56
0.030,0.27,0.04,0.04,0.28
0.040,0.03,0.07,0.04,0.09
0.050,-0.01,0.09,0.08,0.12
0.061,0.05,0.06,0.06,0.10
0.070,0.08,0.03,0.12,0.15
0.080,0.01,0.04,0.11,0.12
0.089,-0.07,0.05,0.08,0.12
0.099,-0.13,0.04,0.07,0.16
0.109,-0.13,0.03,0.10,0.17
0.119,-0.04,0.05,0.10,0.12
0.129,0.02,0.04,0.06,0.07
0.139,0.03,0.03,0.10,0.11
0.149,0.07,0.05,0.08,0.11
0.159,0.07,0.06,0.07,0.11
0.169,0.05,0.04,0.09,0.11
0.179,0.04,0.05,0.10,0.12
0.189,-0.01,0.05,0.09,0.10
0.199,-0.07,0.05,0.08,0.12
0.209,-0.09,0.05,0.11,0.15
0.219,-0.02,0.07,0.09,0.11
0.229,0.02,0.05,0.08,0.10
0.239,0.05,0.02,0.09,0.10
0.249,0.05,0.02,0.07,0.09
0.259,0.04,0.05,0.07,0.10
0.269,0.03,0.06,0.07,0.09
0.278,0.02,0.04,0.08,0.09
0.288,-0.01,0.02,0.09,0.09
0.298,-0.01,0.02,0.09,0.09
0.308,-0.00,0.02,0.09,0.09
0.318,-0.00,0.05,0.10,0.11
0.328,-0.01,0.04,0.09,0.10
0.338,0.00,0.06,0.09,0.10
0.348,0.03,0.08,0.09,0.12
0.358,0.04,0.07,0.09,0.12
0.368,0.01,0.06,0.09,0.10
0.378,-0.01,0.06,0.08,0.10
0.388,0.01,0.03,0.06,0.07
0.398,0.00,0.01,0.08,0.08
0.408,0.01,0.04,0.09,0.10
0.418,0.02,0.08,0.09,0.12
0.428,0.02,0.06,0.08,0.10
0.438,0.00,0.04,0.09,0.10
0.448,-0.00,0.01,0.08,0.08
0.457,-0.02,0.01,0.08,0.08
0.468,0.01,0.02,0.08,0.08
0.477,0.04,0.04,0.10,0.11
0.487,0.05,0.06,0.10,0.12
0.497,0.03,0.06,0.08,0.11
0.507,-0.00,0.07,0.09,0.11
0.517,-0.04,0.06,0.09,0.11
0.528,-0.04,0.05,0.08,0.10
0.537,-0.02,0.03,0.09,0.10
0.547,-0.01,0.01,0.08,0.08
0.557,0.02,0.03,0.08,0.08
0.567,0.02,0.03,0.07,0.08
0.577,0.04,0.03,0.07,0.09
0.587,0.04,0.05,0.10,0.12
0.597,0.02,0.06,0.08,0.10
0.607,0.01,0.06,0.10,0.12
0.617,0.01,0.06,0.08,0.10
0.627,0.01,0.05,0.08,0.09
0.637,0.00,0.04,0.09,0.10
0.647,-0.02,0.04,0.07,0.09
0.657,-0.01,0.05,0.11,0.12
0.667,0.02,0.06,0.08,0.10
0.677,0.01,0.06,0.08,0.10
0.686,0.03,0.06,0.12,0.13
0.697,0.02,0.05,0.09,0.10
0.706,-0.02,0.04,0.11,0.12
0.716,-0.03,0.05,0.06,0.09
0.726,-0.03,0.04,0.09,0.10
0.736,0.01,0.02,0.08,0.08
0.746,0.04,0.02,0.08,0.09
