time,ax,ay,az,atotal
0.000,-0.30,-0.03,0.13,0.33
0.010,-0.10,-0.07,0.14,0.19
0.020,0.14,-0.06,0.06,0.16
0.030,0.25,-0.03,0.10,0.27
0.040,0.23,-0.03,0.17,0.29
0.050,0.18,-0.03,0.17,0.25
0.060,0.06,-0.05,0.23,0.24
0.070,-0.06,-0.10,0.22,0.25
0.080,-0.13,-0.09,0.16,0.23
0.090,-0.15,-0.07,0.11,0.20
0.099,-0.13,-0.04,0.08,0.16
0.110,-0.08,0.01,-0.00,0.08
0.119,-0.01,0.04,-0.03,0.05
0.129,0.05,0.06,-0.05,0.09
0.139,0.12,0.08,0.02,0.14
0.149,0.16,0.07,0.10,0.20
0.159,0.18,0.04,0.14,0.23
0.169,0.14,-0.02,0.07,0.16
0.179,0.06,-0.08,-0.03,0.11
0.189,-0.04,-0.11,-0.07,0.13
0.199,-0.15,-0.09,-0.13,0.22
0.209,-0.19,-0.03,-0.13,0.23
0.219,-0.12,0.04,-0.05,0.14
0.229,-0.05,0.09,0.09,0.14
0.239,0.02,0.09,0.13,0.16
0.249,0.03,0.03,0.10,0.11
0.259,0.02,-0.02,0.10,0.11
0.269,-0.01,-0.06,0.08,0.10
0.279,-0.05,-0.06,0.09,0.11
0.289,-0.08,-0.05,0.07,0.12
0.298,-0.08,-0.03,0.04,0.09
0.308,-0.05,0.00,0.04,0.06
0.318,-0.01,0.02,0.08,0.08
0.328,0.00,0.03,0.09,0.09
0.338,-0.04,0.01,0.08,0.09
0.348,-0.05,-0.00,0.10,0.11
0.358,-0.05,-0.00,0.07,0.08
0.368,-0.10,-0.00,0.04,0.11
0.378,-0.12,0.01,0.11,0.16
0.388,-0.06,0.01,0.14,0.15
0.398,0.02,-0.01,0.20,0.21
0.408,0.08,-0.05,0.24,0.26
0.418,0.10,-0.06,0.27,0.29
0.428,0.05,-0.05,0.28,0.29
0.438,0.02,-0.04,0.24,0.24
0.448,0.05,-0.00,0.19,0.20
0.458,0.03,0.01,0.16,0.16
0.468,0.03,-0.01,0.08,0.09
0.478,0.00,-0.02,-0.01,0.03
0.487,-0.01,-0.02,-0.05,0.05
0.498,-0.00,-0.01,0.02,0.02
0.507,0.02,0.02,0.10,0.11
0.517,0.06,0.02,0.13,0.15
0.527,0.09,0.00,0.15,0.17
0.537,0.11,-0.02,0.11,0.16
0.547,0.10,-0.02,0.05,0.11
0.557,0.07,0.01,0.03,0.07
0.567,0.03,0.05,0.02,0.06
0.577,0.02,0.04,0.04,0.06
0.587,0.04,0.00,0.06,0.07
0.597,0.09,-0.05,0.09,0.14
0.607,0.11,-0.07,0.11,0.17
0.617,0.06,-0.08,0.10,0.15
0.627,-0.01,-0.06,0.11,0.12
0.637,-0.08,0.00,0.08,0.11
0.648,-0.11,0.05,0.01,0.12
0.657,-0.10,0.12,-0.04,0.16
0.667,-0.01,0.14,-0.03,0.14
0.677,0.09,0.13,0.07,0.18
0.687,0.15,0.05,0.24,0.29
0.696,0.15,-0.08,0.38,0.42
0.706,0.08,-0.15,0.36,0.40
0.716,-0.01,-0.21,0.26,0.33
0.726,-0.07,-0.19,0.13,0.25
0.736,-0.13,-0.10,-0.00,0.17
0.746,-0.14,-0.01,-0.10,0.17
0.756,-0.11,0.05,-0.07,0.13
0.766,-0.07,0.05,-0.00,0.09
0.776,-0.06,-0.02,0.08,0.10
0.786,-0.01,-0.09,0.08,0.12
0.796,0.05,-0.10,0.06,0.13
0.806,0.07,-0.03,0.07,0.11
0.816,0.07,0.04,0.03,0.09
0.826,0.07,0.09,0.08,0.15
0.836,0.05,0.11,0.16,0.20
0.846,-0.02,0.06,0.17,0.18
0.856,-0.06,0.00,0.19,0.20
0.866,-0.02,-0.02,0.13,0.13
0.876,0.03,-0.04,0.04,0.06
0.885,0.04,-0.03,-0.07,0.09
0.896,-0.03,-0.03,-0.18,0.19
0.905,-0.10,-0.00,-0.16,0.19
0.915,-0.14,0.03,-0.06,0.15
0.925,-0.12,0.05,0.02,0.13
0.935,-0.04,0.05,0.10,0.12
0.945,0.07,-0.00,0.19,0.21
0.955,0.09,-0.05,0.16,0.19
0.965,0.02,-0.07,0.08,0.11
0.975,-0.03,-0.05,0.06,0.09
0.985,-0.04,-0.01,0.07,0.08
0.995,-0.00,0.01,0.15,0.15
1.005,0.07,0.02,0.16,0.18
1.015,0.14,-0.02,0.07,0.15
1.025,0.14,-0.05,0.03,0.15
1.035,0.09,-0.04,0.01,0.10
1.045,-0.02,-0.02,-0.03,0.04
1.055,-0.09,0.02,0.00,0.09
1.064,-0.12,0.03,0.13,0.18
1.074,-0.10,-0.02,0.15,0.18
1.084,-0.07,-0.08,0.08,0.13
1.095,0.00,-0.10,0.06,0.12
1.104,0.07,-0.07,0.06,0.12
1.114,0.13,-0.02,0.12,0.18
1.124,0.12,0.05,0.18,0.22
1.134,0.05,0.04,0.21,0.22
1.144,-0.03,0.02,0.19,0.20
1.154,-0.08,-0.01,0.16,0.18
1.164,-0.08,0.00,0.17,0.19
1.174,0.01,0.01,0.14,0.14
1.184,0.10,0.01,0.17,0.19
1.194,0.11,0.00,0.18,0.21
1.204,0.06,-0.03,0.11,0.13
1.214,-0.02,-0.04,0.11,0.12
1.224,-0.08,-0.02,0.14,0.16
1.234,-0.10,-0.00,0.16,0.19
1.244,-0.09,0.03,0.13,0.16
1.254,-0.04,0.05,0.08,0.10
1.264,0.04,0.03,0.11,0.12
1.273,0.10,-0.01,0.11,0.15
1.283,0.12,-0.07,0.12,0.19
1.293,0.11,-0.10,0.16,0.22
1.303,0.03,-0.09,0.14,0.17
1.313,-0.07,-0.07,0.14,0.17
1.323,-0.09,-0.04,0.13,0.16
1.333,-0.02,0.02,0.05,0.06
1.343,0.01,0.03,-0.03,0.04
1.353,-0.01,0.03,-0.10,0.10
1.363,-0.06,0.03,-0.14,0.15
1.373,-0.08,0.03,-0.01,0.08
1.383,-0.06,0.02,0.12,0.14
1.393,-0.05,-0.02,0.18,0.19
1.403,0.02,-0.07,0.20,0.22
1.413,0.08,-0.12,0.24,0.28
1.423,0.11,-0.14,0.17,0.25
1.433,0.05,-0.11,0.06,0.14
1.443,-0.04,-0.05,-0.01,0.07
1.453,-0.09,0.04,-0.12,0.15
1.463,-0.11,0.07,-0.16,0.21
1.473,-0.05,0.10,-0.13,0.17
1.482,0.03,0.10,-0.08,0.13
1.492,0.09,0.03,0.03,0.10
1.502,0.13,-0.03,0.09,0.16
1.512,0.15,-0.07,0.12,0.20
1.522,0.15,-0.09,0.10,0.20
1.532,0.15,-0.06,0.04,0.17
1.542,0.09,-0.01,0.00,0.09
1.552,0.00,0.07,-0.03,0.07
1.562,-0.05,0.11,-0.04,0.13
1.572,-0.06,0.14,0.01,0.16
1.582,-0.00,0.11,0.08,0.13
1.592,0.08,0.05,0.16,0.18
1.602,0.16,-0.03,0.23,0.28
1.612,0.18,-0.09,0.20,0.28
1.622,0.10,-0.09,0.15,0.21
1.632,-0.03,-0.08,0.07,0.11
1.642,-0.12,-0.05,-0.03,0.13
1.652,-0.17,-0.02,-0.09,0.20
1.662,-0.16,0.02,-0.08,0.18
1.671,-0.09,0.03,-0.03,0.10
1.681,0.02,0.04,0.02,0.05
1.691,0.10,0.05,0.12,0.17
1.701,0.13,0.05,0.20,0.25
1.711,0.09,0.01,0.23,0.25
1.721,0.00,-0.02,0.20,0.20
1.731,-0.06,-0.03,0.14,0.15
1.741,-0.04,-0.06,0.15,0.17
1.751,-0.00,-0.06,0.14,0.15
1.761,0.02,-0.09,0.13,0.16
1.771,-0.00,-0.10,0.10,0.14
1.781,-0.05,-0.08,0.02,0.09
1.791,-0.09,-0.04,0.06,0.11
1.801,-0.11,0.01,0.04,0.12
1.811,-0.12,0.02,0.05,0.13
1.821,-0.08,0.05,0.10,0.13
1.831,-0.03,0.06,0.14,0.15
1.841,0.02,0.06,0.18,0.19
1.851,0.08,0.04,0.24,0.25
1.860,0.13,-0.02,0.23,0.27
1.871,0.09,-0.08,0.13,0.18
1.880,-0.03,-0.11,0.01,0.11
1.890,-0.12,-0.04,0.03,0.13
1.900,-0.13,0.03,0.14,0.19
1.910,-0.07,0.06,0.23,0.25
1.920,-0.01,0.05,0.24,0.24
1.930,0.06,-0.01,0.18,0.19
1.940,0.05,-0.07,0.16,0.18
1.950,0.01,-0.11,0.10,0.14
1.960,-0.04,-0.11,-0.02,0.12
1.970,-0.08,-0.07,-0.02,0.11
1.980,-0.04,-0.03,0.04,0.07
1.990,0.05,0.01,0.09,0.10
2.000,0.12,0.03,0.10,0.16
2.010,0.13,0.02,0.09,0.16
2.020,0.11,0.00,0.11,0.15
2.030,0.07,0.01,0.08,0.10
2.040,0.01,0.02,0.06,0.06
2.050,-0.04,0.01,0.12,0.13
2.059,-0.05,-0.02,0.09,0.11
2.069,0.00,-0.05,0.07,0.09
2.079,-0.01,-0.05,0.03,0.06
2.089,-0.02,-0.01,-0.03,0.04
2.099,-0.04,0.06,-0.08,0.11
2.109,-0.06,0.07,-0.02,0.10
2.119,-0.05,0.04,0.08,0.11
2.129,-0.07,-0.01,0.09,0.12
2.139,-0.10,-0.06,0.08,0.14
2.149,-0.14,-0.05,0.16,0.22
2.159,-0.11,-0.07,0.23,0.26
2.169,-0.05,-0.10,0.21,0.24
2.179,0.00,-0.11,0.16,0.19
2.189,0.03,-0.09,0.09,0.13
2.199,0.03,-0.06,-0.00,0.07
2.209,0.01,0.01,-0.10,0.10
2.219,0.01,0.07,-0.18,0.19
2.229,0.00,0.10,-0.14,0.17
2.239,0.01,0.07,-0.04,0.09
2.248,0.01,0.02,0.11,0.12
2.259,0.03,-0.05,0.22,0.23
2.268,0.07,-0.10,0.27,0.30
2.278,0.06,-0.10,0.25,0.27
2.288,0.03,-0.10,0.18,0.21
2.298,-0.02,-0.03,0.06,0.07
2.308,-0.05,0.05,0.02,0.08
2.318,-0.04,0.14,0.02,0.14
2.328,0.02,0.18,0.03,0.19
2.338,0.06,0.15,0.04,0.17
2.348,0.08,0.07,0.06,0.12
2.358,0.04,-0.01,0.05,0.07
2.368,0.02,-0.07,0.11,0.13
2.378,0.02,-0.09,0.18,0.21
2.388,0.03,-0.11,0.25,0.28
2.398,0.01,-0.12,0.16,0.19
2.408,-0.05,-0.11,-0.02,0.12
2.418,-0.13,-0.06,-0.14,0.20
2.428,-0.16,0.04,-0.20,0.26
2.438,-0.13,0.11,-0.16,0.24
2.448,-0.06,0.14,-0.04,0.16
2.457,0.02,0.09,0.15,0.18
2.467,0.12,-0.00,0.30,0.32
2.477,0.19,-0.08,0.38,0.43
2.487,0.19,-0.12,0.33,0.40
2.497,0.19,-0.10,0.20,0.29
2.507,0.12,-0.04,0.09,0.16
2.517,0.04,0.01,-0.03,0.05
2.527,-0.05,0.05,-0.09,0.11
2.537,-0.09,0.05,-0.10,0.14
2.547,-0.05,0.04,-0.05,0.08
2.557,-0.00,-0.00,0.05,0.05
2.567,0.02,-0.06,0.14,0.15
2.577,0.02,-0.12,0.20,0.23
2.587,-0.03,-0.13,0.19,0.24
2.597,-0.10,-0.13,0.15,0.23
2.607,-0.15,-0.07,0.08,0.18
2.617,-0.13,0.01,0.02,0.13
2.627,-0.04,0.09,0.08,0.13
2.636,0.02,0.10,0.13,0.17
2.647,0.05,0.05,0.14,0.16
2.656,0.03,-0.02,0.14,0.15
2.666,0.00,-0.08,0.18,0.19
2.676,0.01,-0.08,0.19,0.21
2.686,0.00,-0.06,0.14,0.15
2.696,-0.02,-0.02,0.07,0.07
2.706,-0.00,0.04,0.03,0.05
2.716,0.02,0.07,-0.00,0.07
2.726,0.02,0.07,0.01,0.08
2.736,-0.01,0.03,0.02,0.04
2.746,-0.03,-0.03,0.03,0.05
2.756,-0.04,-0.09,0.10,0.14
2.766,0.02,-0.15,0.18,0.24
2.776,0.08,-0.15,0.27,0.32
2.786,0.10,-0.09,0.29,0.32
2.796,0.06,-0.01,0.12,0.14
2.806,0.01,0.06,0.05,0.08
2.816,-0.01,0.10,0.02,0.10
2.826,0.02,0.09,-0.06,0.11
2.836,0.03,0.06,-0.06,0.09
2.845,0.04,0.01,-0.01,0.05
2.855,0.03,-0.03,0.02,0.05
2.865,0.04,-0.03,0.01,0.05
2.875,0.11,0.00,0.06,0.12
2.885,0.16,0.02,0.12,0.20
2.895,0.14,0.02,0.20,0.25
2.905,0.07,0.01,0.21,0.22
2.915,-0.02,-0.01,0.08,0.08
2.925,-0.06,-0.02,0.00,0.06
2.935,-0.11,0.00,-0.04,0.12
2.945,-0.10,0.01,-0.06,0.12
2.955,-0.02,0.03,0.05,0.07
2.965,0.07,0.01,0.19,0.20
2.975,0.17,-0.03,0.27,0.32
2.985,0.17,-0.08,0.26,0.32
2.995,0.09,-0.10,0.17,0.22
3.005,0.01,-0.07,0.08,0.11
3.015,-0.06,-0.01,-0.00,0.06
3.025,-0.10,0.03,-0.10,0.15
3.035,-0.08,0.07,-0.11,0.15
3.044,-0.01,0.08,-0.04,0.09
3.054,0.07,0.06,0.06,0.11
3.064,0.09,0.00,0.28,0.29
3.074,0.07,-0.06,0.38,0.39
3.084,0.05,-0.11,0.31,0.34
3.094,-0.01,-0.12,0.23,0.26
3.104,-0.07,-0.07,0.15,0.18
3.114,-0.13,0.02,0.03,0.13
3.124,-0.16,0.07,0.00,0.18
3.134,-0.13,0.06,0.06,0.16
3.144,-0.02,-0.00,0.18,0.18
3.154,0.03,-0.10,0.17,0.20
3.165,0.01,-0.14,0.04,0.15
3.174,-0.04,-0.14,-0.05,0.15
3.184,-0.06,-0.08,-0.06,0.11
3.194,-0.08,0.03,-0.02,0.09
3.204,-0.07,0.08,0.01,0.11
3.213,-0.08,0.06,0.05,0.11
3.223,-0.10,0.01,0.05,0.11
3.234,-0.07,-0.02,0.04,0.09
3.243,0.01,-0.02,0.07,0.07
3.253,0.07,-0.02,0.11,0.13
3.263,0.09,-0.02,0.18,0.20
3.273,0.07,-0.02,0.15,0.17
3.283,0.05,-0.02,0.05,0.07
3.293,0.00,-0.01,-0.07,0.07
3.303,-0.07,0.02,-0.16,0.18
3.313,-0.12,0.04,-0.17,0.21
3.323,-0.11,0.07,-0.10,0.16
3.333,-0.09,0.04,-0.00,0.10
3.343,-0.04,-0.01,0.06,0.07
3.353,-0.00,-0.06,0.12,0.14
3.363,-0.01,-0.11,0.12,0.17
3.373,-0.04,-0.12,0.08,0.15
3.383,-0.08,-0.06,0.04,0.11
3.393,-0.11,0.00,0.05,0.12
3.403,-0.05,0.06,0.15,0.17
3.413,0.03,0.06,0.22,0.23
3.422,0.09,0.02,0.24,0.26
3.433,0.09,-0.01,0.19,0.21
3.443,0.08,-0.02,0.16,0.18
3.452,0.06,-0.01,0.12,0.13
3.462,0.01,0.03,0.10,0.10
3.472,-0.02,0.03,0.09,0.10
3.482,-0.04,0.02,0.17,0.18
3.492,-0.03,-0.02,0.25,0.25
3.502,-0.03,-0.06,0.25,0.26
3.512,-0.01,-0.07,0.24,0.25
3.522,-0.00,-0.06,0.20,0.21
3.532,0.00,-0.03,0.18,0.18
3.542,0.01,0.03,0.13,0.14
3.552,0.02,0.05,0.15,0.16
3.562,0.02,0.02,0.11,0.11
3.572,0.04,-0.03,0.03,0.06
3.582,0.03,-0.06,0.03,0.08
3.592,-0.01,-0.07,-0.01,0.07
3.602,-0.03,-0.06,-0.04,0.08
3.611,-0.02,-0.01,0.02,0.03
3.621,-0.01,0.02,0.07,0.08
3.632,0.03,0.03,0.07,0.08
3.641,0.06,0.02,0.04,0.07
3.651,0.04,-0.01,0.04,0.06
3.661,-0.00,-0.03,0.00,0.03
3.671,-0.05,-0.04,-0.03,0.07
3.681,-0.07,-0.02,0.01,0.07
3.691,-0.06,-0.01,0.09,0.11
3.701,-0.02,-0.02,0.14,0.14
3.711,0.05,-0.04,0.14,0.15
3.721,0.10,-0.06,0.12,0.17
3.731,0.09,-0.05,0.06,0.12
3.741,0.05,-0.02,-0.02,0.06
3.751,0.01,0.04,-0.04,0.06
3.761,-0.03,0.09,-0.04,0.10
3.771,-0.07,0.10,-0.00,0.12
3.781,-0.06,0.05,0.05,0.09
3.791,-0.02,-0.04,0.08,0.09
3.800,0.02,-0.08,0.14,0.17
3.811,0.05,-0.14,0.17,0.22
3.820,0.08,-0.12,0.18,0.23
3.830,0.06,-0.09,0.18,0.21
3.840,0.01,-0.04,0.13,0.14
3.850,-0.06,0.02,0.08,0.10
3.860,-0.05,0.07,0.06,0.10
3.870,-0.02,0.09,0.03,0.10
3.880,0.02,0.08,0.11,0.14
3.890,0.04,0.05,0.13,0.15
3.900,0.08,0.00,0.17,0.19
3.910,0.12,-0.05,0.27,0.30
3.920,0.10,-0.07,0.23,0.26
3.930,0.04,-0.05,0.12,0.14
3.940,-0.04,-0.04,0.02,0.06
3.950,-0.10,-0.01,-0.05,0.12
3.960,-0.11,0.00,-0.06,0.12
3.970,-0.07,0.00,-0.04,0.08
3.980,-0.08,-0.03,-0.00,0.08
3.990,-0.06,-0.04,0.07,0.10
4.000,0.02,-0.04,0.09,0.10
4.009,0.08,-0.03,0.07,0.11
4.019,0.09,-0.02,0.17,0.19
4.029,0.07,-0.04,0.18,0.20
4.039,0.07,-0.04,0.10,0.13
4.049,0.11,-0.06,0.04,0.13
4.059,0.07,-0.06,-0.01,0.10
4.069,-0.01,-0.04,-0.08,0.09
4.079,-0.11,0.01,-0.05,0.13
4.089,-0.17,0.05,0.03,0.18
4.099,-0.15,0.04,0.12,0.20
4.109,-0.07,0.01,0.21,0.22
4.119,0.00,-0.05,0.27,0.27
4.129,0.02,-0.09,0.31,0.33
4.139,-0.02,-0.09,0.29,0.31
4.149,-0.09,-0.04,0.29,0.30
4.159,-0.10,0.03,0.23,0.25
4.169,-0.09,0.09,0.16,0.20
4.179,-0.04,0.09,0.09,0.13
4.189,0.02,0.09,0.09,0.13
4.199,0.04,0.08,0.16,0.18
4.209,0.05,0.04,0.27,0.28
4.219,0.04,-0.01,0.32,0.32
4.228,0.02,-0.03,0.27,0.27
4.238,0.04,-0.06,0.19,0.20
4.248,0.03,-0.05,0.08,0.10
4.258,-0.01,-0.03,0.02,0.04
4.268,-0.05,0.00,0.03,0.05
4.278,-0.05,0.03,0.01,0.06
4.288,-0.02,0.01,0.05,0.05
4.298,0.00,-0.02,0.08,0.08
4.308,-0.01,-0.05,0.09,0.10
4.318,0.00,-0.05,0.11,0.13
4.328,0.06,-0.07,0.16,0.18
4.338,0.09,-0.05,0.18,0.21
4.348,0.06,-0.06,0.13,0.15
4.358,0.02,-0.02,-0.02,0.04
4.368,0.03,0.01,-0.06,0.07
4.378,0.07,0.04,-0.03,0.09
4.388,0.10,0.04,-0.09,0.14
4.398,0.05,-0.00,-0.14,0.15
4.408,-0.07,-0.02,-0.13,0.15
4.417,-0.14,-0.02,-0.08,0.17
4.427,-0.13,-0.01,-0.01,0.13
4.437,-0.03,0.01,0.03,0.05
4.447,0.07,0.02,0.10,0.13
4.457,0.11,-0.01,0.09,0.14
4.467,0.08,-0.03,0.02,0.09
4.477,0.05,-0.04,-0.04,0.07
4.487,-0.00,-0.01,-0.05,0.05
4.497,-0.03,0.00,0.00,0.03
4.507,0.02,-0.01,0.05,0.06
4.517,0.02,-0.01,0.04,0.05
4.527,0.02,-0.02,0.04,0.05
4.537,0.03,0.01,0.07,0.08
4.547,0.05,0.04,0.06,0.09
4.557,0.08,0.06,0.04,0.11
4.567,0.09,0.03,0.09,0.13
4.577,0.06,0.00,0.10,0.12
4.587,-0.00,-0.04,0.17,0.17
4.596,-0.07,-0.06,0.20,0.22
4.606,-0.07,-0.07,0.20,0.22
4.616,-0.08,-0.04,0.19,0.21
4.626,-0.05,-0.02,0.18,0.19
4.636,-0.04,0.01,0.15,0.15
4.646,0.03,0.03,0.16,0.16
4.656,0.04,0.05,0.18,0.20
4.666,0.03,0.05,0.18,0.19
4.676,0.01,0.03,0.13,0.14
4.686,-0.01,0.02,0.08,0.09
4.696,0.04,-0.02,0.14,0.15
4.706,0.11,-0.07,0.18,0.22
4.716,0.11,-0.12,0.13,0.21
4.726,0.07,-0.15,0.07,0.18
4.736,0.01,-0.14,-0.00,0.14
4.746,-0.07,-0.07,-0.04,0.11
4.756,-0.11,-0.00,-0.02,0.11
4.766,-0.04,0.06,0.06,0.09
4.776,0.06,0.06,0.17,0.19
4.785,0.15,0.03,0.26,0.31
4.795,0.19,-0.05,0.26,0.33
4.805,0.11,-0.10,0.25,0.29
4.815,0.02,-0.06,0.17,0.18
4.825,-0.03,-0.01,0.13,0.13
4.835,-0.04,0.00,0.09,0.10
4.845,-0.02,0.02,0.03,0.04
4.855,0.01,0.03,0.03,0.04
4.865,-0.00,0.02,0.01,0.03
4.875,-0.06,0.02,-0.02,0.07
4.885,-0.14,0.01,-0.04,0.14
4.895,-0.17,0.01,0.00,0.17
4.905,-0.17,-0.00,0.04,0.18
4.915,-0.13,-0.03,0.09,0.16
4.925,-0.06,-0.06,0.14,0.16
4.935,-0.01,-0.09,0.12,0.15
4.945,-0.01,-0.09,0.10,0.14
4.955,-0.08,-0.05,0.08,0.12
4.965,-0.14,-0.00,0.08,0.16
4.975,-0.16,0.04,0.09,0.19
4.984,-0.13,0.05,0.10,0.17
