time,ax,ay,az,atotal
0.000,-0.40,0.36,-0.31,0.62
0.010,0.46,0.15,0.04,0.49
0.020,0.87,-0.06,0.20,0.90
0.030,0.59,-0.18,0.01,0.61
0.040,0.02,-0.15,0.12,0.19
0.050,-0.33,-0.03,0.08,0.34
0.060,-0.31,0.08,0.04,0.33
0.070,-0.09,0.09,0.09,0.16
0.080,0.04,0.07,0.06,0.10
0.090,0.02,0.00,0.08,0.08
0.099,-0.05,-0.03,0.07,0.09
0.109,-0.02,-0.04,0.07,0.08
0.119,0.08,-0.01,0.06,0.10
0.129,0.12,0.04,0.07,0.14
0.139,0.11,0.06,0.07,0.15
0.149,0.03,0.06,0.05,0.08
0.159,-0.07,-0.00,0.10,0.13
0.169,-0.09,-0.02,0.06,0.11
0.179,-0.07,-0.02,0.06,0.10
0.189,-0.03,0.01,0.07,0.07
0.199,0.01,0.06,0.07,0.10
0.209,0.02,0.08,0.09,0.12
0.219,0.07,0.06,0.06,0.11
0.229,0.08,0.01,0.08,0.12
0.239,0.05,-0.01,0.04,0.07
0.249,-0.01,-0.01,0.04,0.05
0.259,-0.04,-0.00,0.10,0.10
0.269,-0.04,0.00,0.04,0.06
0.279,-0.05,0.00,0.09,0.10
0.289,-0.03,-0.01,0.08,0.08
0.299,-0.01,0.01,0.07,0.07
0.309,0.02,0.03,0.07,0.08
0.318,0.04,0.04,0.07,0.09
0.328,0.02,0.03,0.11,0.11
0.338,-0.00,0.03,0.07,0.07
0.348,-0.01,0.05,0.10,0.11
0.358,-0.01,0.04,0.07,0.08
0.368,-0.01,0.04,0.04,0.06
0.378,0.01,0.00,0.10,0.10
0.388,0.00,-0.00,0.06,0.06
0.398,0.01,-0.01,0.07,0.07
0.408,0.02,0.00,0.08,0.08
0.418,0.02,0.01,0.07,0.07
0.428,-0.03,0.02,0.07,0.08
0.438,-0.05,0.01,0.07,0.09
0.448,-0.00,-0.02,0.10,0.10
0.458,0.05,-0.03,0.06,0.08
0.468,0.04,0.00,0.08,0.09
0.478,-0.02,0.06,0.08,0.10
0.488,-0.06,0.09,0.06,0.13
0.497,-0.04,0.06,0.07,0.11
0.507,0.02,0.00,0.06,0.07
0.517,0.06,-0.04,0.09,0.11
0.527,0.03,-0.02,0.05,0.06
0.537,-0.02,0.03,0.08,0.09
0.547,-0.03,0.07,0.05,0.10
0.557,-0.04,0.04,0.07,0.09
0.567,-0.01,-0.01,0.10,0.10
0.577,0.03,-0.03,0.06,0.07
0.587,0.04,-0.03,0.08,0.09
0.597,0.01,-0.00,0.06,0.06
0.607,-0.01,0.03,0.05,0.06
0.617,0.00,0.04,0.10,0.10
0.627,0.03,0.02,0.05,0.06
0.637,0.02,-0.01,0.08,0.08
0.647,0.01,-0.01,0.06,0.07
0.657,-0.03,0.02,0.08,0.09
0.667,-0.01,0.04,0.08,0.09
0.676,-0.01,0.05,0.07,0.09
0.687,-0.01,0.03,0.08,0.08
0.696,0.00,0.00,0.07,0.07
0.706,-0.01,-0.00,0.07,0.08
0.716,-0.03,0.02,0.08,0.08
0.726,-0.02,0.03,0.07,0.08
0.736,-0.01,0.02,0.10,0.10
0.746,0.02,-0.00,0.06,0.07
0.756,0.04,-0.00,0.09,0.10
0.766,0.03,0.02,0.06,0.07
0.776,-0.02,0.01,0.07,0.07
0.786,-0.04,0.01,0.06,0.08
0.796,-0.02,0.03,0.09,0.09
0.806,0.01,0.03,0.09,0.10
0.816,0.02,0.02,0.04,0.05
0.826,0.05,-0.00,0.09,0.10
0.836,0.08,0.01,0.06,0.10
0.846,0.04,0.01,0.07,0.08
0.856,0.00,0.01,0.08,0.08
0.866,-0.01,0.02,0.07,0.07
0.875,-0.03,0.01,0.08,0.08
0.885,0.01,0.02,0.07,0.07
0.895,0.01,0.03,0.07,0.08
0.905,0.01,0.02,0.07,0.08
0.915,-0.04,-0.01,0.07,0.08
0.925,-0.03,-0.02,0.06,0.07
0.935,-0.01,-0.03,0.08,0.09
0.945,0.00,0.00,0.07,0.07
0.955,0.04,0.03,0.06,0.07
0.965,0.06,0.03,0.08,0.10
0.975,0.04,0.04,0.07,0.09
0.985,-0.02,0.02,0.06,0.06
