time,ax,ay,az,atotal
0.000,-0.34,0.01,0.07,0.35
0.010,-0.43,0.10,0.31,0.54
0.020,-0.37,0.14,0.38,0.55
0.030,-0.16,0.10,0.30,0.35
0.040,0.01,0.06,0.32,0.33
0.050,0.06,-0.01,0.32,0.32
0.060,-0.01,-0.05,0.23,0.23
0.070,-0.10,-0.04,0.21,0.24
0.080,-0.06,0.03,0.13,0.14
0.090,0.05,0.10,0.24,0.26
0.100,-0.03,0.11,0.28,0.30
0.109,-0.07,0.07,0.15,0.18
0.119,0.04,0.03,0.17,0.18
0.129,0.13,0.02,0.20,0.23
0.139,0.10,0.00,0.15,0.18
0.149,0.03,0.01,0.04,0.05
0.159,0.01,0.05,-0.04,0.06
0.169,0.04,0.10,-0.09,0.14
0.179,0.01,0.16,-0.16,0.23
0.189,-0.02,0.19,-0.13,0.23
0.199,-0.03,0.16,-0.06,0.18
0.209,-0.02,0.12,-0.03,0.12
0.219,-0.02,0.06,0.03,0.07
0.229,-0.01,-0.01,0.10,0.10
0.239,0.00,-0.05,0.19,0.20
0.249,-0.03,-0.07,0.19,0.21
0.259,-0.04,-0.04,0.08,0.10
0.269,-0.06,0.00,-0.01,0.06
0.279,-0.07,0.05,-0.06,0.11
0.288,-0.08,0.08,-0.08,0.14
0.298,-0.10,0.12,-0.08,0.17
0.308,-0.05,0.13,0.01,0.14
0.318,0.01,0.11,0.05,0.12
0.328,0.05,0.08,0.06,0.11
0.338,0.07,0.05,0.09,0.12
0.348,0.05,0.04,0.15,0.16
0.358,0.04,0.06,0.16,0.17
0.368,0.03,0.09,0.14,0.17
0.378,0.06,0.08,0.13,0.16
0.388,0.06,0.06,0.07,0.11
0.398,0.03,0.05,0.06,0.08
0.408,0.12,0.10,0.03,0.16
0.418,0.17,0.16,0.04,0.24
0.428,0.10,0.16,0.12,0.23
0.438,0.03,0.12,0.18,0.22
0.448,0.02,0.05,0.20,0.21
0.458,-0.03,-0.01,0.28,0.28
0.468,-0.07,-0.04,0.25,0.27
0.478,-0.05,-0.01,0.13,0.14
0.487,-0.02,0.03,0.09,0.10
0.497,-0.06,0.07,0.12,0.15
0.507,-0.12,0.09,0.07,0.17
0.517,-0.13,0.08,0.06,0.17
0.527,-0.08,0.07,0.13,0.17
0.537,-0.04,0.05,0.19,0.20
0.547,-0.00,0.01,0.21,0.21
0.557,0.01,-0.01,0.18,0.18
0.567,-0.02,0.02,0.14,0.14
0.577,-0.06,0.04,0.11,0.13
0.587,-0.08,0.06,0.09,0.14
0.597,-0.10,0.10,0.10,0.17
0.607,-0.10,0.09,0.14,0.19
0.617,-0.04,0.07,0.18,0.20
0.627,0.01,0.04,0.19,0.19
0.637,0.02,0.02,0.16,0.16
0.647,-0.01,0.02,0.09,0.10
0.657,0.02,0.05,0.01,0.05
0.666,0.08,0.12,-0.01,0.14
0.676,0.08,0.16,-0.03,0.18
0.686,0.03,0.17,-0.04,0.18
0.696,-0.04,0.16,0.00,0.16
0.706,-0.05,0.13,0.00,0.14
0.716,-0.04,0.11,0.03,0.12
0.726,-0.03,0.06,0.04,0.08
0.736,-0.02,0.03,0.13,0.13
0.746,-0.12,-0.02,0.24,0.27
0.756,-0.21,-0.06,0.22,0.31
0.766,-0.15,-0.08,0.10,0.20
0.776,-0.08,-0.04,0.02,0.09
0.786,-0.09,0.03,-0.05,0.11
0.796,-0.09,0.10,-0.09,0.16
0.806,-0.08,0.13,-0.03,0.15
0.816,-0.08,0.09,0.07,0.14
0.826,-0.06,0.04,0.04,0.08
0.836,-0.00,0.01,0.04,0.04
0.846,0.04,0.01,0.06,0.07
0.855,0.13,0.05,0.04,0.15
0.865,0.21,0.08,0.02,0.22
0.875,0.26,0.13,0.03,0.29
0.885,0.31,0.14,-0.01,0.34
0.895,0.34,0.15,-0.07,0.38
0.905,0.34,0.16,-0.09,0.38
0.915,0.28,0.19,-0.07,0.34
0.925,0.22,0.21,0.00,0.31
0.935,0.16,0.19,0.07,0.26
0.945,0.10,0.15,0.05,0.19
0.955,0.04,0.08,0.16,0.18
0.965,0.00,0.01,0.21,0.21
0.975,-0.06,-0.03,0.23,0.24
0.985,-0.12,-0.04,0.26,0.29
0.995,-0.17,-0.04,0.26,0.31
1.005,-0.18,-0.03,0.20,0.27
1.015,-0.18,-0.01,0.20,0.27
1.025,-0.21,-0.00,0.13,0.25
1.035,-0.27,0.01,0.09,0.28
1.045,-0.28,0.04,0.01,0.28
1.055,-0.28,0.05,-0.03,0.29
1.064,-0.28,0.07,-0.05,0.29
1.074,-0.25,0.04,0.04,0.25
1.084,-0.22,0.01,0.20,0.30
1.094,-0.32,-0.05,0.23,0.39
1.104,-0.45,-0.11,0.18,0.50
1.114,-0.48,-0.10,0.13,0.51
1.124,-0.44,-0.05,0.20,0.48
1.134,-0.43,0.02,0.16,0.46
1.144,-0.40,0.07,0.16,0.44
1.154,-0.32,0.07,0.21,0.39
1.164,-0.23,0.05,0.24,0.33
1.174,-0.15,0.02,0.22,0.27
1.184,-0.10,0.00,0.24,0.26
1.194,-0.08,0.05,0.22,0.24
1.204,-0.06,0.10,0.18,0.21
1.214,-0.03,0.14,0.07,0.17
1.224,-0.00,0.17,0.03,0.17
1.233,0.04,0.14,0.04,0.15
1.243,0.04,0.09,0.04,0.11
1.254,0.03,0.06,-0.02,0.07
1.263,0.09,0.05,0.00,0.10
1.273,0.13,0.06,0.01,0.15
1.283,0.12,0.06,-0.00,0.14
1.293,0.08,0.04,-0.03,0.09
1.303,0.08,0.02,-0.05,0.10
1.313,0.09,0.01,-0.14,0.17
1.323,0.11,-0.01,-0.20,0.23
1.333,0.14,0.03,-0.22,0.27
1.343,0.19,0.13,-0.33,0.40
1.353,0.18,0.25,-0.24,0.39
1.363,0.16,0.30,-0.19,0.39
1.373,0.18,0.28,-0.09,0.34
1.383,0.21,0.19,0.08,0.29
1.393,0.25,0.07,0.21,0.33
1.403,0.27,-0.01,0.28,0.39
1.413,0.26,-0.04,0.30,0.40
1.423,0.23,-0.03,0.32,0.40
1.433,0.21,-0.00,0.34,0.40
1.443,0.17,0.04,0.35,0.40
1.452,0.09,0.09,0.33,0.36
1.462,0.06,0.11,0.24,0.27
1.472,0.08,0.10,0.19,0.23
1.482,0.09,0.06,0.14,0.18
1.492,0.04,0.02,0.14,0.14
1.502,-0.01,-0.00,0.13,0.13
1.512,-0.07,-0.01,0.14,0.15
1.522,-0.07,0.01,0.16,0.17
1.532,-0.11,0.03,0.30,0.32
1.542,-0.18,0.00,0.48,0.51
1.552,-0.21,-0.09,0.58,0.63
1.562,-0.18,-0.12,0.51,0.55
1.572,-0.09,-0.12,0.42,0.45
1.582,-0.03,-0.08,0.22,0.23
1.592,-0.04,-0.05,0.02,0.07
1.602,-0.12,-0.03,-0.10,0.16
1.612,-0.12,0.06,-0.17,0.22
1.621,-0.05,0.13,-0.18,0.23
1.631,-0.01,0.18,-0.07,0.19
1.641,-0.03,0.15,0.11,0.19
1.651,-0.08,0.08,0.16,0.20
1.661,-0.12,-0.01,0.28,0.30
1.671,-0.16,-0.08,0.31,0.35
1.681,-0.20,-0.09,0.17,0.27
1.691,-0.16,-0.03,0.05,0.17
1.701,-0.07,0.05,-0.02,0.09
1.711,-0.03,0.14,-0.08,0.16
1.721,0.00,0.16,-0.08,0.18
1.731,0.02,0.17,-0.05,0.18
1.741,0.02,0.15,0.01,0.15
1.751,-0.01,0.11,0.07,0.13
1.761,-0.02,0.10,0.13,0.16
1.771,0.00,0.08,0.05,0.09
1.781,-0.02,0.06,-0.04,0.07
1.791,-0.05,0.08,-0.10,0.14
1.800,-0.08,0.11,-0.14,0.20
1.810,-0.08,0.14,-0.12,0.20
1.821,-0.09,0.15,-0.13,0.22
1.830,-0.04,0.15,-0.06,0.17
1.840,0.02,0.13,0.04,0.14
1.850,0.08,0.10,0.08,0.15
1.860,0.11,0.08,0.05,0.14
1.870,0.11,0.06,0.03,0.13
1.880,0.09,0.05,0.02,0.11
1.890,0.09,0.06,0.04,0.11
1.900,0.07,0.08,0.07,0.12
1.910,0.02,0.09,0.08,0.12
1.920,-0.01,0.10,0.07,0.13
1.930,-0.03,0.08,0.06,0.11
1.940,-0.05,0.09,0.07,0.12
1.950,-0.03,0.08,0.13,0.16
1.960,-0.02,0.08,0.18,0.20
1.970,0.02,0.08,0.21,0.23
1.980,0.03,0.06,0.20,0.21
1.990,0.01,0.04,0.17,0.18
2.000,-0.04,0.03,0.12,0.12
2.009,-0.08,0.04,0.10,0.14
2.019,-0.10,0.05,0.06,0.13
2.029,-0.09,0.06,0.15,0.19
2.040,-0.07,0.08,0.11,0.15
2.049,-0.03,0.05,0.09,0.11
2.059,0.02,0.02,0.14,0.15
2.069,0.01,-0.01,0.16,0.16
2.079,-0.04,-0.02,0.14,0.15
2.089,-0.08,-0.02,0.11,0.14
2.099,-0.11,0.03,0.09,0.14
2.109,-0.09,0.07,0.08,0.14
2.119,-0.08,0.07,0.10,0.15
2.129,-0.07,0.08,0.07,0.13
2.139,-0.05,0.07,0.09,0.13
2.149,-0.03,0.06,0.09,0.11
2.159,-0.03,0.05,0.17,0.18
2.169,-0.01,0.04,0.21,0.22
2.179,-0.01,0.05,0.16,0.17
2.188,-0.01,0.05,0.11,0.12
2.199,-0.03,0.05,0.06,0.08
2.208,-0.03,0.08,0.00,0.09
2.218,-0.05,0.09,-0.07,0.13
2.228,-0.07,0.11,-0.07,0.15
2.238,-0.06,0.11,-0.00,0.12
2.248,-0.04,0.10,0.01,0.10
2.258,-0.05,0.06,-0.03,0.08
2.268,-0.09,-0.00,-0.08,0.13
2.278,-0.12,-0.09,-0.08,0.17
2.288,-0.16,-0.14,-0.05,0.21
2.298,-0.15,-0.12,-0.00,0.20
2.308,-0.08,-0.07,0.04,0.11
2.318,0.01,-0.03,0.12,0.13
2.328,0.07,0.00,0.16,0.17
2.338,0.05,0.03,0.13,0.15
2.348,0.01,0.07,0.11,0.13
2.358,0.02,0.13,0.08,0.16
2.368,0.06,0.19,0.13,0.24
2.378,0.13,0.22,0.20,0.32
