time,ax,ay,az,atotal
0.000,-0.61,-0.67,0.25,0.94
0.010,-0.50,-0.40,-0.11,0.65
0.020,-0.19,-0.11,0.05,0.22
0.030,0.16,0.08,0.18,0.26
0.040,0.41,0.24,0.07,0.48
0.050,0.26,0.23,0.06,0.35
0.060,-0.15,0.08,0.13,0.22
0.070,-0.23,0.01,0.15,0.28
0.080,-0.03,0.02,0.05,0.07
0.089,0.18,0.05,-0.00,0.19
0.100,0.23,0.06,0.04,0.24
0.109,0.12,0.02,0.11,0.16
0.119,-0.03,-0.02,0.08,0.09
0.129,-0.13,-0.02,0.08,0.15
0.139,-0.17,-0.01,0.10,0.19
0.149,-0.17,0.01,0.08,0.19
0.159,-0.12,0.02,0.01,0.12
0.169,-0.02,0.01,0.01,0.03
0.179,0.04,0.02,0.04,0.06
0.189,0.08,0.00,0.08,0.11
0.199,0.10,-0.00,0.12,0.16
0.209,0.08,0.01,0.13,0.16
0.219,0.04,0.03,0.11,0.12
0.229,-0.02,0.03,0.05,0.06
0.239,-0.03,0.02,0.02,0.04
0.249,-0.03,-0.00,0.03,0.04
0.259,-0.04,-0.01,0.06,0.07
0.269,-0.03,-0.01,0.09,0.09
0.279,-0.01,-0.00,0.10,0.10
0.289,0.01,0.02,0.10,0.10
0.299,-0.01,0.01,0.06,0.06
0.308,-0.01,0.00,0.03,0.03
0.318,0.01,0.01,0.03,0.03
0.328,0.00,0.01,0.06,0.06
0.338,-0.01,0.01,0.09,0.09
0.348,-0.00,0.02,0.10,0.11
0.358,0.00,0.03,0.09,0.10
0.368,-0.01,0.03,0.09,0.09
0.378,-0.01,0.02,0.05,0.05
0.388,-0.03,0.02,0.03,0.04
0.398,-0.04,0.02,0.03,0.05
0.408,-0.04,0.00,0.06,0.07
0.418,-0.03,0.01,0.10,0.10
0.428,-0.01,0.00,0.10,0.10
0.438,0.01,0.01,0.09,0.09
0.448,0.02,0.02,0.07,0.07
0.458,0.00,0.01,0.03,0.04
0.467,-0.01,0.02,0.03,0.04
0.478,-0.02,0.03,0.07,0.08
0.488,-0.03,0.04,0.09,0.10
0.497,-0.00,0.02,0.09,0.09
0.507,0.00,0.02,0.07,0.08
0.517,0.02,0.00,0.07,0.07
0.527,0.00,-0.02,0.05,0.05
0.537,-0.00,-0.01,0.04,0.04
0.547,-0.01,-0.01,0.07,0.08
0.557,-0.01,0.01,0.09,0.09
0.567,0.01,0.01,0.09,0.09
0.577,0.01,0.01,0.09,0.10
0.587,0.01,0.02,0.06,0.06
0.597,0.02,0.01,0.05,0.05
0.607,0.00,0.01,0.04,0.04
0.617,0.00,0.00,0.06,0.06
0.627,0.00,0.00,0.08,0.08
0.637,-0.01,0.03,0.10,0.11
0.647,-0.05,0.02,0.09,0.10
0.657,-0.06,0.01,0.05,0.08
0.667,-0.06,0.01,0.04,0.07
0.676,-0.06,-0.00,0.06,0.08
0.687,-0.04,0.01,0.06,0.07
0.696,0.01,0.02,0.06,0.07
0.706,0.03,0.02,0.08,0.09
0.716,0.06,0.02,0.09,0.11
0.726,0.04,0.01,0.08,0.09
0.736,-0.00,-0.01,0.05,0.05
0.746,-0.02,0.01,0.04,0.05
0.756,-0.05,0.03,0.06,0.08
0.766,-0.04,0.03,0.08,0.09
0.776,-0.03,0.01,0.09,0.09
0.786,-0.01,0.01,0.07,0.07
0.796,0.02,-0.02,0.08,0.09
0.806,0.02,-0.01,0.04,0.05
0.816,0.01,-0.01,0.05,0.05
0.826,-0.00,0.00,0.06,0.06
0.836,-0.01,0.02,0.08,0.08
0.846,-0.01,0.04,0.09,0.09
0.856,-0.03,0.01,0.09,0.09
0.865,-0.02,0.01,0.08,0.08
0.876,-0.03,-0.01,0.04,0.05
0.885,-0.02,-0.01,0.04,0.04
0.895,0.00,-0.01,0.06,0.06
0.905,0.01,0.01,0.08,0.08
0.915,0.00,0.02,0.09,0.09
0.925,-0.01,0.02,0.09,0.10
0.935,-0.04,0.02,0.06,0.08
0.945,-0.05,0.01,0.07,0.08
0.955,-0.02,-0.01,0.05,0.06
0.965,-0.00,-0.01,0.04,0.04
0.975,0.01,0.01,0.06,0.06
0.985,0.01,0.01,0.09,0.09
0.995,0.02,0.02,0.10,0.10
1.005,0.02,0.02,0.07,0.08
1.015,-0.00,-0.00,0.09,0.09
1.025,-0.04,0.01,0.07,0.08
1.035,-0.03,0.01,0.05,0.06
1.045,-0.02,-0.00,0.05,0.05
1.055,-0.03,-0.01,0.05,0.06
1.064,-0.02,-0.01,0.06,0.07
1.074,0.01,0.00,0.09,0.09
1.084,0.01,0.01,0.10,0.10
1.094,0.00,0.02,0.07,0.08
1.104,-0.03,0.02,0.06,0.07
1.114,-0.02,0.03,0.06,0.07
1.124,-0.03,0.03,0.07,0.08
1.134,-0.03,0.02,0.05,0.07
1.144,-0.01,0.01,0.07,0.08
1.154,-0.00,-0.00,0.08,0.08
1.164,-0.01,-0.01,0.07,0.07
1.174,0.01,-0.00,0.06,0.06
1.184,-0.00,0.00,0.05,0.05
1.194,-0.01,0.01,0.07,0.07
1.204,-0.02,0.01,0.06,0.07
1.214,0.00,0.00,0.07,0.07
1.224,0.03,0.02,0.07,0.08
1.233,0.03,-0.01,0.07,0.08
1.243,0.01,-0.01,0.07,0.08
1.253,0.01,0.00,0.06,0.06
1.263,0.01,-0.01,0.07,0.07
1.273,-0.03,-0.01,0.06,0.07
1.283,-0.04,-0.01,0.07,0.08
1.293,-0.03,-0.01,0.06,0.07
1.303,-0.00,-0.01,0.07,0.07
1.313,0.00,-0.00,0.07,0.07
1.323,0.02,0.00,0.06,0.06
1.333,0.01,0.02,0.05,0.06
1.343,-0.01,0.02,0.06,0.06
1.353,-0.03,0.02,0.06,0.07
1.363,-0.06,0.03,0.07,0.10
1.373,-0.06,0.02,0.07,0.10
1.383,-0.04,0.02,0.07,0.08
1.393,-0.02,0.02,0.06,0.06
1.403,-0.00,0.01,0.06,0.06
1.413,0.01,-0.02,0.05,0.06
1.423,0.03,-0.03,0.07,0.09
1.433,0.02,-0.03,0.08,0.09
1.442,-0.01,-0.00,0.08,0.08
1.452,-0.02,0.04,0.07,0.08
1.462,-0.02,0.05,0.06,0.08
1.472,-0.04,0.02,0.06,0.08
1.482,-0.03,-0.02,0.05,0.06
1.492,-0.00,-0.06,0.06,0.08
1.502,0.02,-0.07,0.06,0.10
1.512,0.01,-0.06,0.06,0.08
1.522,0.02,0.00,0.09,0.09
1.532,0.03,0.03,0.07,0.08
1.542,0.03,0.06,0.09,0.11
1.552,0.00,0.06,0.08,0.09
1.562,-0.03,0.02,0.07,0.08
1.572,-0.04,-0.03,0.05,0.07
1.582,-0.04,-0.03,0.05,0.07
1.592,-0.02,-0.03,0.06,0.07
1.602,0.01,-0.01,0.07,0.08
1.612,0.00,0.04,0.09,0.09
1.622,0.01,0.06,0.09,0.10
1.631,-0.00,0.06,0.07,0.09
1.641,-0.02,0.03,0.07,0.07
1.651,-0.03,0.00,0.05,0.06
1.661,-0.03,-0.01,0.05,0.06
1.671,-0.02,-0.01,0.06,0.06
1.681,-0.02,-0.00,0.06,0.06
1.691,-0.01,0.01,0.06,0.06
1.701,-0.02,0.02,0.09,0.09
1.711,-0.02,-0.00,0.07,0.07
1.721,-0.02,-0.01,0.06,0.06
1.731,-0.01,-0.03,0.04,0.05
1.741,0.00,-0.03,0.05,0.06
1.751,0.02,-0.00,0.08,0.08
1.761,0.02,0.02,0.09,0.09
1.771,0.04,0.04,0.08,0.10
1.781,0.05,0.04,0.07,0.10
1.791,0.01,0.01,0.07,0.07
1.801,-0.04,-0.01,0.05,0.06
1.811,-0.04,-0.04,0.04,0.07
1.821,-0.03,-0.02,0.06,0.07
1.830,-0.07,-0.02,0.05,0.09
1.840,-0.04,-0.01,0.06,0.07
1.850,-0.01,-0.00,0.07,0.07
1.860,0.01,0.03,0.07,0.08
1.870,0.02,0.04,0.07,0.08
1.880,0.02,0.03,0.07,0.08
1.890,0.01,0.02,0.06,0.07
1.900,-0.01,0.02,0.07,0.07
1.910,-0.04,-0.00,0.06,0.07
1.920,-0.05,-0.02,0.07,0.09
1.930,-0.03,-0.00,0.06,0.07
1.940,-0.02,-0.01,0.07,0.07
1.950,-0.02,-0.00,0.05,0.05
1.960,0.01,0.01,0.07,0.07
1.970,0.01,0.00,0.08,0.08
1.980,0.02,0.00,0.06,0.06
1.990,-0.00,-0.00,0.07,0.07
2.000,-0.01,-0.01,0.05,0.05
2.010,0.01,0.00,0.06,0.06
2.019,0.00,-0.01,0.07,0.07
2.029,-0.01,-0.02,0.07,0.07
2.039,-0.00,-0.02,0.05,0.06
2.049,0.00,0.01,0.06,0.06
2.059,-0.03,-0.00,0.08,0.09
2.069,-0.05,0.00,0.05,0.08
2.079,-0.04,0.01,0.05,0.07
2.089,-0.02,-0.02,0.06,0.07
2.099,-0.01,-0.01,0.07,0.07
2.109,0.00,0.00,0.08,0.08
2.119,0.02,0.02,0.07,0.08
2.129,0.04,0.00,0.06,0.07
2.139,0.01,-0.01,0.05,0.05
2.149,-0.02,-0.01,0.07,0.08
2.159,-0.04,-0.01,0.07,0.08
2.169,-0.07,0.01,0.07,0.09
2.179,-0.08,0.01,0.07,0.10
2.189,-0.05,0.04,0.05,0.08
2.199,-0.01,0.03,0.07,0.08
