time,ax,ay,az,atotal
0.000,-0.28,0.04,0.44,0.52
0.010,-0.07,0.02,0.36,0.37
0.020,0.10,-0.01,0.31,0.33
0.030,0.18,-0.04,0.23,0.29
0.040,0.08,-0.02,0.09,0.13
0.050,-0.03,-0.01,-0.05,0.06
0.060,-0.08,0.04,-0.11,0.15
0.070,-0.08,0.08,-0.09,0.15
0.080,0.00,0.07,0.01,0.07
0.089,0.06,0.04,0.17,0.18
0.100,0.03,0.03,0.22,0.22
0.109,-0.01,0.03,0.23,0.23
0.119,-0.01,0.01,0.25,0.25
0.129,-0.04,0.01,0.20,0.21
0.139,-0.07,0.01,0.10,0.13
0.149,-0.08,0.03,-0.00,0.09
0.159,-0.05,0.02,0.06,0.08
0.169,0.05,0.00,0.12,0.13
0.179,0.08,0.04,0.08,0.12
0.189,0.01,0.10,-0.02,0.10
0.199,-0.02,0.11,-0.08,0.14
0.209,0.00,0.02,0.07,0.08
0.219,0.05,-0.08,0.16,0.19
0.229,-0.01,-0.08,0.12,0.14
0.239,-0.14,-0.01,-0.03,0.14
0.249,-0.18,0.12,-0.14,0.26
0.259,-0.19,0.17,-0.15,0.30
0.269,-0.06,0.05,0.14,0.16
0.279,0.08,-0.09,0.36,0.38
0.288,0.06,-0.12,0.31,0.34
0.298,-0.01,-0.03,0.17,0.17
0.308,-0.02,0.07,0.01,0.07
0.318,0.02,0.14,-0.12,0.19
0.328,0.07,0.10,-0.07,0.14
0.338,0.07,0.04,0.06,0.10
0.348,0.02,0.04,0.17,0.18
0.358,-0.06,0.04,0.17,0.19
0.368,-0.11,0.03,0.16,0.20
0.378,-0.11,-0.02,0.10,0.15
0.388,-0.08,-0.06,0.06,0.12
0.398,-0.03,-0.01,0.02,0.03
0.408,0.03,0.05,-0.02,0.06
0.418,0.06,0.09,-0.05,0.12
0.428,0.05,0.10,-0.03,0.12
0.438,0.02,0.10,0.02,0.10
0.447,0.01,0.05,0.09,0.10
0.458,0.02,-0.01,0.12,0.13
0.467,0.03,-0.04,0.13,0.14
0.478,0.02,-0.05,0.13,0.14
0.488,-0.03,-0.03,0.14,0.15
0.497,-0.01,-0.01,0.14,0.14
0.507,0.01,0.04,0.10,0.10
0.517,-0.01,0.08,0.05,0.09
0.527,-0.03,0.07,0.02,0.08
0.537,-0.06,0.04,-0.01,0.07
0.547,-0.11,0.00,-0.01,0.11
0.557,-0.11,-0.02,0.06,0.13
0.567,-0.06,-0.02,0.09,0.11
0.577,0.03,-0.01,0.14,0.15
