time,ax,ay,az,atotal
0.000,-1.02,-0.07,0.35,1.08
0.010,-0.40,0.29,0.19,0.53
0.020,0.42,0.39,0.26,0.63
0.030,0.85,0.33,-0.01,0.91
0.040,0.69,0.20,-0.03,0.72
0.050,0.20,0.09,0.26,0.34
0.060,-0.10,0.03,0.25,0.27
0.070,-0.14,-0.03,0.02,0.15
0.079,-0.11,-0.07,-0.11,0.18
0.089,-0.13,-0.03,-0.05,0.14
0.099,-0.14,0.05,0.04,0.16
0.109,-0.10,0.08,0.12,0.18
0.119,-0.01,0.06,0.21,0.22
0.129,0.13,0.07,0.10,0.18
0.139,0.15,0.10,0.02,0.19
0.149,0.07,0.10,0.03,0.13
0.159,-0.00,0.11,0.04,0.12
0.169,-0.04,0.08,0.03,0.10
0.179,-0.04,0.04,0.11,0.12
0.189,-0.03,0.01,0.21,0.21
0.199,-0.00,-0.01,0.12,0.12
0.209,0.05,0.04,0.01,0.06
0.219,0.04,0.09,-0.09,0.14
0.229,0.04,0.09,-0.02,0.10
0.239,0.03,0.07,0.08,0.11
0.249,0.01,0.04,0.15,0.16
0.259,0.00,0.03,0.17,0.17
0.268,-0.01,0.03,0.10,0.11
0.278,-0.01,0.05,0.01,0.05
0.288,0.04,0.06,0.02,0.07
0.298,0.10,0.07,0.01,0.12
0.308,0.06,0.07,0.05,0.11
0.318,-0.00,0.06,0.11,0.12
0.328,-0.04,0.03,0.13,0.14
0.338,-0.02,0.02,0.12,0.12
0.348,-0.00,-0.01,0.08,0.08
0.358,0.03,-0.00,-0.02,0.03
0.368,0.06,0.03,-0.07,0.10
0.378,0.10,0.08,0.09,0.15
0.388,0.09,0.10,0.18,0.22
0.398,0.02,0.09,0.13,0.16
0.408,-0.05,0.09,0.09,0.13
0.418,-0.11,0.06,0.05,0.13
0.428,-0.08,0.06,-0.01,0.10
0.437,-0.05,0.07,-0.00,0.08
0.447,-0.01,0.08,0.08,0.12
0.457,-0.00,0.10,0.12,0.15
0.467,0.01,0.10,0.10,0.15
0.477,0.02,0.06,0.13,0.15
0.487,0.01,0.03,0.12,0.13
0.497,-0.03,0.04,0.02,0.06
0.507,0.01,0.06,-0.04,0.08
0.517,-0.00,0.07,-0.00,0.07
0.527,0.01,0.06,0.08,0.10
0.537,0.04,0.04,0.17,0.18
0.547,0.06,0.04,0.16,0.18
0.557,0.06,0.05,0.07,0.10
0.567,0.03,0.05,-0.03,0.07
0.577,0.04,0.05,0.00,0.06
0.587,-0.01,0.05,0.03,0.06
0.597,-0.02,0.05,0.08,0.10
0.607,-0.01,0.05,0.12,0.13
0.617,0.00,0.05,0.15,0.16
0.626,0.01,0.05,0.11,0.13
0.636,0.05,0.05,0.02,0.07
0.646,0.04,0.05,-0.04,0.08
0.656,0.02,0.07,0.01,0.07
0.666,-0.01,0.07,0.07,0.10
0.676,-0.06,0.07,0.14,0.16
0.686,-0.07,0.07,0.15,0.18
0.696,-0.03,0.06,0.07,0.10
0.706,0.00,0.05,0.05,0.07
0.716,0.03,0.04,0.03,0.06
0.726,0.04,0.04,0.01,0.06
0.736,0.04,0.05,0.04,0.07
0.746,0.01,0.04,0.11,0.12
0.756,-0.02,0.03,0.18,0.18
0.766,-0.00,0.03,0.12,0.13
0.776,0.06,0.06,0.03,0.09
0.786,0.06,0.10,-0.04,0.13
0.796,0.02,0.09,0.04,0.10
0.806,-0.03,0.04,0.13,0.14
0.816,-0.02,0.02,0.06,0.07
0.825,0.01,-0.00,0.08,0.08
0.835,-0.03,0.02,0.12,0.13
0.845,-0.05,0.06,0.10,0.12
0.855,0.02,0.10,0.00,0.10
0.865,0.05,0.11,0.01,0.12
0.875,0.03,0.10,0.06,0.12
0.885,-0.01,0.07,0.09,0.12
0.895,-0.02,0.04,0.16,0.17
0.905,-0.02,0.01,0.12,0.12
0.915,-0.02,0.02,0.04,0.05
0.925,-0.04,0.05,0.00,0.06
0.935,-0.01,0.11,-0.02,0.11
0.945,-0.03,0.11,0.01,0.11
0.955,0.03,0.07,0.11,0.13
0.965,0.08,0.04,0.16,0.18
0.975,0.08,0.03,0.14,0.17
0.985,0.03,0.04,0.08,0.09
0.994,0.01,0.03,0.05,0.06
1.004,0.01,0.05,-0.01,0.05
1.014,0.00,0.05,-0.02,0.05
1.024,-0.01,0.05,0.07,0.09
1.034,0.01,0.04,0.13,0.13
1.044,0.00,0.03,0.15,0.15
1.054,0.01,0.03,0.10,0.10
1.064,0.04,0.05,0.05,0.08
1.074,0.03,0.08,0.05,0.10
1.084,0.02,0.07,0.03,0.08
1.094,-0.00,0.07,0.01,0.07
1.104,-0.01,0.08,0.12,0.15
1.114,-0.03,0.06,0.12,0.14
1.124,-0.03,0.05,0.05,0.07
1.134,-0.04,0.04,0.04,0.07
1.144,-0.08,0.03,0.04,0.09
1.154,-0.04,0.04,0.01,0.05
1.164,0.03,0.05,0.06,0.09
1.174,0.07,0.06,0.15,0.18
1.183,0.07,0.06,0.14,0.17
1.193,0.07,0.08,0.07,0.12
1.203,0.03,0.07,0.07,0.10
1.213,-0.03,0.02,0.05,0.06
1.223,-0.06,0.03,-0.04,0.08
1.233,-0.05,0.03,0.06,0.08
1.243,-0.00,0.04,0.10,0.11
1.253,0.06,0.05,0.12,0.14
1.263,0.11,0.05,0.12,0.18
1.273,0.11,0.07,0.09,0.16
1.283,0.10,0.06,0.04,0.12
1.293,0.02,0.04,0.01,0.05
1.303,-0.07,0.04,0.03,0.08
1.313,-0.09,0.03,0.03,0.10
1.323,-0.10,0.04,0.09,0.14
1.333,-0.09,0.07,0.11,0.16
1.343,-0.04,0.11,0.10,0.15
1.352,0.01,0.12,0.05,0.13
1.362,0.03,0.10,0.05,0.12
1.372,0.05,0.07,0.07,0.11
1.382,0.02,0.05,0.05,0.08
1.392,-0.04,0.04,0.09,0.10
1.402,-0.05,0.04,0.10,0.12
1.412,-0.06,0.06,0.07,0.11
1.422,-0.03,0.06,0.04,0.08
1.432,-0.00,0.06,0.05,0.08
1.442,0.03,0.04,0.07,0.09
1.452,0.07,0.06,0.08,0.11
1.462,0.07,0.05,0.11,0.14
1.472,0.07,0.02,0.07,0.10
1.482,0.06,0.00,0.06,0.08
1.492,0.06,0.00,0.06,0.08
1.502,0.03,0.01,0.06,0.07
1.512,0.02,0.03,0.06,0.07
1.522,0.03,0.07,0.07,0.10
1.532,0.03,0.07,0.09,0.12
1.541,0.03,0.04,0.09,0.11
1.552,0.03,0.03,0.08,0.09
1.561,0.01,0.03,0.04,0.05
1.571,0.01,0.04,0.07,0.08
1.581,0.00,0.07,0.06,0.09
1.591,-0.01,0.09,0.01,0.09
1.601,-0.05,0.08,0.08,0.12
1.612,-0.08,0.07,0.09,0.14
1.621,-0.09,0.05,0.07,0.12
1.631,-0.01,0.06,0.06,0.09
1.641,0.06,0.08,0.05,0.11
1.651,0.06,0.07,0.07,0.12
1.661,0.02,0.07,0.07,0.10
1.671,-0.01,0.05,0.05,0.07
1.681,-0.06,0.03,0.06,0.09
1.691,-0.08,0.04,0.08,0.12
1.701,-0.08,0.05,0.08,0.13
1.711,-0.04,0.06,0.06,0.09
1.721,0.02,0.06,0.05,0.08
1.730,0.03,0.05,0.06,0.08
1.740,0.05,0.05,0.07,0.10
1.751,0.06,0.05,0.09,0.11
1.760,0.07,0.05,0.08,0.12
1.770,0.04,0.04,0.08,0.10
1.780,0.02,0.06,0.06,0.08
1.790,-0.01,0.05,0.03,0.06
1.800,-0.04,0.03,0.01,0.06
1.810,-0.06,0.03,0.04,0.08
1.820,-0.03,-0.00,0.08,0.09
1.830,0.04,0.01,0.07,0.08
1.840,0.06,0.05,0.10,0.13
1.850,0.05,0.08,0.09,0.14
1.860,0.05,0.09,0.09,0.13
1.870,0.02,0.08,0.05,0.10
1.880,-0.02,0.06,0.06,0.08
1.890,-0.03,0.05,0.06,0.08
1.900,-0.02,0.04,0.03,0.06
1.909,-0.05,0.03,0.08,0.09
1.919,-0.04,0.05,0.09,0.11
1.929,0.01,0.07,0.05,0.08
1.939,0.05,0.09,0.08,0.13
1.949,0.03,0.06,0.09,0.11
1.959,0.02,0.03,0.07,0.08
1.969,0.03,0.02,0.05,0.06
1.979,0.04,0.03,0.06,0.08
1.989,0.01,0.04,0.08,0.09
1.999,0.02,0.06,0.07,0.10
2.009,0.05,0.06,0.06,0.09
2.019,0.04,0.05,0.05,0.08
2.029,0.03,0.04,0.05,0.07
2.039,-0.02,0.04,0.05,0.06
2.049,-0.05,0.03,0.07,0.09
2.059,-0.02,0.04,0.08,0.10
2.069,-0.01,0.04,0.07,0.08
2.079,-0.00,0.04,0.08,0.09
2.088,0.04,0.06,0.07,0.10
2.098,0.07,0.09,0.07,0.13
2.108,0.04,0.08,0.11,0.14
2.118,0.00,0.06,0.03,0.07
2.128,-0.04,0.05,0.04,0.07
2.138,-0.05,0.05,0.10,0.12
2.148,-0.05,0.02,0.06,0.08
2.158,-0.03,0.01,0.04,0.05
2.168,0.04,0.02,0.03,0.05
2.178,0.04,0.03,0.07,0.08
2.188,-0.00,0.03,0.14,0.14
2.198,-0.01,0.05,0.08,0.09
2.208,0.03,0.07,0.03,0.08
2.218,0.04,0.06,0.05,0.09
2.228,0.01,0.03,0.09,0.09
2.238,0.03,0.04,0.09,0.10
2.248,0.07,0.03,0.07,0.10
2.258,0.06,0.01,0.07,0.10
2.267,0.00,0.01,0.07,0.07
2.277,-0.02,0.04,0.07,0.08
2.287,-0.04,0.09,0.04,0.10
2.297,-0.06,0.09,0.03,0.11
