time,ax,ay,az,atotal
0.000,0.26,-0.01,0.20,0.33
0.010,0.29,-0.04,0.10,0.31
0.020,0.25,-0.01,0.11,0.27
0.030,0.15,0.01,0.08,0.17
0.040,0.02,-0.03,0.06,0.07
0.050,-0.07,-0.03,0.04,0.08
0.060,-0.04,0.00,0.01,0.04
0.070,-0.01,0.05,0.04,0.06
0.079,-0.01,0.03,0.07,0.08
0.090,-0.03,-0.03,0.07,0.08
0.100,-0.00,-0.04,0.09,0.10
0.110,0.08,-0.01,0.18,0.20
0.119,0.11,0.02,0.18,0.21
0.129,0.07,0.03,0.13,0.15
0.139,0.06,0.04,0.10,0.13
0.149,0.04,0.03,0.12,0.13
0.159,0.06,0.01,0.11,0.13
0.169,0.06,-0.04,0.11,0.13
0.179,0.03,-0.04,0.11,0.12
0.189,-0.00,-0.00,0.10,0.10
0.199,0.00,0.01,0.12,0.12
0.209,0.01,0.01,0.11,0.11
0.219,0.02,0.01,0.09,0.10
0.229,0.03,-0.01,0.08,0.08
0.239,-0.02,-0.01,0.08,0.08
0.249,-0.02,-0.02,0.10,0.10
0.259,0.01,-0.01,0.12,0.12
0.269,0.02,0.00,0.13,0.13
0.279,-0.01,0.01,0.11,0.12
0.289,-0.04,-0.03,0.07,0.09
0.298,-0.07,-0.05,0.02,0.09
0.309,-0.08,-0.04,-0.00,0.09
0.319,-0.05,0.02,-0.01,0.06
0.328,-0.02,0.06,0.02,0.07
0.338,0.00,0.07,0.04,0.08
0.348,0.06,0.04,0.06,0.09
0.358,0.12,0.02,0.06,0.14
0.368,0.12,0.02,0.05,0.13
0.378,0.10,0.03,0.06,0.12
0.388,0.06,0.01,0.08,0.10
0.398,-0.02,-0.00,0.12,0.12
0.408,-0.07,-0.02,0.15,0.16
0.418,-0.08,-0.03,0.18,0.19
0.428,-0.04,-0.01,0.16,0.16
0.438,0.02,0.02,0.12,0.13
0.448,0.05,0.02,0.07,0.09
0.458,0.00,-0.02,0.05,0.05
0.468,-0.08,-0.05,0.01,0.09
0.478,-0.13,-0.06,0.02,0.15
0.487,-0.11,-0.02,0.01,0.11
0.497,-0.08,0.03,0.01,0.09
0.508,-0.06,0.05,0.01,0.08
0.517,-0.04,0.06,0.01,0.07
0.527,-0.01,0.05,0.01,0.05
0.537,0.04,0.05,0.01,0.07
0.547,0.09,0.05,0.03,0.11
0.557,0.10,0.05,0.12,0.17
0.567,0.10,-0.01,0.17,0.20
0.577,0.10,-0.06,0.18,0.21
0.587,0.08,-0.03,0.16,0.19
0.597,0.03,0.01,0.16,0.16
0.607,0.03,0.02,0.11,0.12
0.617,0.05,0.01,0.10,0.11
0.627,0.04,-0.02,0.08,0.09
0.637,0.05,-0.00,0.04,0.06
0.647,0.05,0.04,0.04,0.08
0.657,0.01,0.04,0.07,0.08
0.667,0.01,0.02,0.10,0.10
0.677,0.09,0.02,0.10,0.14
0.687,0.14,0.02,0.15,0.21
0.696,0.05,0.01,0.18,0.19
0.707,-0.05,-0.04,0.15,0.17
0.716,-0.10,-0.03,0.15,0.18
0.726,-0.07,0.01,0.21,0.22
0.736,-0.01,0.05,0.22,0.22
0.746,0.07,0.04,0.22,0.23
0.756,0.09,0.02,0.21,0.23
0.766,0.04,0.00,0.15,0.16
0.776,0.02,-0.01,0.10,0.10
0.786,0.00,0.01,0.03,0.03
