time,ax,ay,az,atotal
0.000,0.29,0.03,0.00,0.29
0.010,0.47,0.06,0.04,0.47
0.020,0.40,0.06,0.15,0.43
0.030,0.14,0.06,0.12,0.20
0.040,-0.03,0.02,0.04,0.05
0.050,-0.13,-0.01,0.01,0.13
0.060,-0.15,-0.05,0.05,0.16
0.069,-0.12,-0.07,0.09,0.17
0.080,-0.05,-0.04,0.10,0.11
0.090,0.04,0.01,0.08,0.09
0.099,0.12,0.06,0.07,0.15
0.109,0.12,0.05,0.06,0.14
0.119,0.06,-0.00,0.08,0.10
0.129,-0.01,-0.03,0.07,0.08
0.139,-0.03,-0.04,0.06,0.08
0.149,-0.02,-0.02,0.07,0.08
0.159,-0.01,-0.01,0.09,0.09
0.169,0.04,0.00,0.07,0.09
0.179,0.05,0.02,0.06,0.08
0.189,0.08,0.03,0.06,0.10
0.199,0.07,0.03,0.09,0.12
0.209,0.03,-0.01,0.09,0.09
0.219,0.02,-0.02,0.08,0.08
0.229,-0.01,-0.01,0.06,0.06
0.239,-0.05,-0.02,0.05,0.08
0.249,-0.03,-0.00,0.06,0.06
0.259,0.03,-0.01,0.06,0.07
0.269,0.05,-0.02,0.07,0.09
0.279,0.04,-0.00,0.08,0.09
0.288,0.02,-0.00,0.10,0.10
0.299,0.02,0.01,0.09,0.09
0.308,0.01,0.01,0.06,0.06
0.318,-0.01,0.01,0.04,0.05
0.328,-0.00,-0.01,0.07,0.07
0.338,0.02,0.00,0.08,0.09
0.348,0.03,0.01,0.06,0.07
0.358,0.03,-0.00,0.05,0.06
0.368,0.03,0.01,0.09,0.10
0.378,0.02,0.01,0.07,0.07
0.388,0.02,-0.00,0.06,0.07
0.398,0.01,-0.02,0.07,0.08
0.408,-0.03,-0.03,0.08,0.09
0.418,-0.02,-0.02,0.07,0.07
0.428,0.04,-0.01,0.07,0.08
0.438,0.04,0.00,0.08,0.09
0.448,0.04,0.02,0.07,0.08
0.459,0.03,0.02,0.06,0.07
0.468,0.02,0.01,0.08,0.08
0.478,0.02,-0.01,0.07,0.07
0.487,0.05,-0.02,0.06,0.08
0.497,0.03,-0.01,0.08,0.08
0.507,0.01,-0.00,0.06,0.06
0.517,0.03,-0.00,0.07,0.08
0.527,0.02,-0.01,0.08,0.08
0.537,0.01,-0.01,0.08,0.08
0.547,0.01,-0.01,0.06,0.06
0.557,0.01,-0.00,0.07,0.07
0.567,0.01,0.01,0.07,0.07
0.577,0.01,0.01,0.06,0.07
0.587,0.02,-0.00,0.06,0.07
0.597,0.02,-0.01,0.08,0.09
0.607,0.00,-0.01,0.08,0.08
0.617,-0.01,0.01,0.08,0.08
0.627,0.00,0.01,0.08,0.08
0.637,0.02,0.01,0.06,0.06
0.647,0.00,0.01,0.07,0.07
0.657,0.00,0.02,0.08,0.08
0.667,0.02,-0.01,0.08,0.09
0.677,0.00,-0.00,0.07,0.08
0.687,0.04,-0.00,0.05,0.06
0.696,0.07,-0.01,0.06,0.10
0.707,0.03,-0.03,0.07,0.08
0.716,0.01,-0.04,0.06,0.07
0.726,0.04,-0.03,0.05,0.07
0.736,0.02,-0.01,0.10,0.10
0.746,0.01,0.01,0.06,0.06
0.756,-0.01,0.01,0.07,0.07
0.766,-0.02,0.02,0.11,0.11
0.776,0.00,0.01,0.10,0.10
0.786,0.01,-0.01,0.08,0.09
0.796,0.02,-0.02,0.08,0.09
0.806,0.01,-0.02,0.07,0.08
0.816,0.04,-0.02,0.06,0.08
0.826,0.07,-0.03,0.05,0.09
0.836,0.07,-0.02,0.07,0.10
0.846,0.02,-0.02,0.08,0.09
0.856,-0.02,0.02,0.08,0.08
0.866,-0.02,0.02,0.08,0.08
0.876,-0.05,-0.00,0.09,0.10
0.886,-0.06,-0.02,0.08,0.10
0.896,-0.01,-0.02,0.06,0.07
0.905,0.05,-0.02,0.09,0.11
0.915,0.06,0.01,0.07,0.09
0.925,0.04,0.04,0.07,0.08
0.935,0.03,0.00,0.07,0.08
0.945,0.03,-0.02,0.10,0.11
0.955,0.01,0.00,0.07,0.07
0.965,0.01,0.02,0.06,0.06
0.975,0.03,0.00,0.06,0.07
0.985,0.07,0.03,0.06,0.09
0.995,0.10,0.00,0.07,0.12
1.005,0.09,-0.02,0.04,0.11
1.015,0.06,-0.04,0.06,0.09
1.025,0.02,-0.03,0.05,0.06
1.035,-0.02,-0.01,0.06,0.06
1.045,-0.07,0.02,0.06,0.09
1.055,-0.09,0.01,0.06,0.11
1.065,-0.05,-0.01,0.07,0.08
1.075,0.03,-0.02,0.09,0.09
1.085,0.04,-0.00,0.07,0.08
1.094,0.07,0.02,0.05,0.09
1.104,0.11,0.03,0.05,0.13
1.114,0.10,0.02,0.07,0.13
1.124,0.06,0.00,0.10,0.11
1.134,0.00,-0.02,0.07,0.08
1.144,-0.04,-0.03,0.06,0.08
1.154,-0.05,-0.02,0.06,0.08
1.164,-0.02,-0.03,0.06,0.07
1.174,-0.01,-0.03,0.06,0.07
1.184,0.02,-0.00,0.07,0.07
1.194,0.05,-0.01,0.08,0.10
1.204,0.07,-0.01,0.08,0.11
1.214,0.05,0.01,0.06,0.08
1.224,0.02,0.02,0.07,0.07
1.234,-0.00,0.00,0.08,0.08
1.244,-0.02,0.00,0.08,0.08
1.254,-0.01,-0.02,0.08,0.08
1.264,-0.00,-0.02,0.08,0.09
1.273,0.01,-0.01,0.07,0.07
1.283,0.00,0.01,0.07,0.07
1.294,0.02,0.01,0.06,0.07
1.303,0.04,-0.00,0.07,0.08
1.313,0.01,-0.00,0.08,0.08
1.323,-0.00,-0.03,0.10,0.11
1.333,-0.03,-0.01,0.08,0.09
1.343,-0.03,0.01,0.06,0.06
1.353,0.02,-0.00,0.04,0.05
1.363,0.06,-0.02,0.07,0.09
1.373,0.07,-0.02,0.07,0.10
1.383,0.02,-0.02,0.08,0.08
1.393,-0.01,-0.01,0.09,0.09
1.403,0.00,0.01,0.03,0.03
1.413,-0.00,0.01,0.06,0.07
1.423,-0.03,0.00,0.09,0.09
1.433,-0.04,-0.01,0.09,0.10
1.443,0.01,-0.01,0.09,0.09
1.453,0.01,-0.02,0.08,0.08
1.463,0.02,-0.01,0.06,0.06
1.473,0.00,0.01,0.06,0.06
1.483,-0.02,0.00,0.05,0.06
1.492,0.04,0.05,0.05,0.08
1.503,0.08,0.01,0.09,0.12
1.512,0.05,-0.05,0.07,0.10
1.522,0.08,-0.04,0.04,0.10
1.532,0.07,-0.01,0.09,0.12
1.542,0.02,0.02,0.08,0.08
1.552,-0.02,0.02,0.06,0.07
1.562,-0.03,0.01,0.08,0.09
1.572,-0.01,-0.02,0.09,0.09
1.582,0.01,-0.00,0.08,0.08
