time,ax,ay,az,atotal
0.000,0.04,0.43,0.33,0.54
0.010,0.35,0.21,0.36,0.55
0.020,0.46,-0.04,0.41,0.62
0.030,0.28,-0.24,0.39,0.54
0.040,-0.05,-0.35,0.31,0.47
0.049,-0.26,-0.36,0.20,0.49
0.059,-0.33,-0.29,0.09,0.44
0.069,-0.23,-0.16,0.04,0.28
0.079,-0.04,-0.01,0.05,0.06
0.089,0.08,0.12,0.06,0.16
0.099,0.19,0.20,0.07,0.28
0.109,0.25,0.21,0.14,0.35
0.119,0.25,0.15,0.14,0.32
0.129,0.17,0.07,0.09,0.21
0.139,0.08,0.02,0.04,0.09
0.149,-0.02,-0.02,-0.00,0.03
0.159,-0.09,0.01,-0.04,0.10
0.169,-0.11,0.05,-0.04,0.13
0.179,-0.04,0.12,-0.02,0.12
0.189,0.10,0.15,0.03,0.18
0.199,0.18,0.14,0.12,0.26
0.209,0.18,0.10,0.12,0.24
0.219,0.11,0.02,0.11,0.16
0.229,0.05,-0.03,0.04,0.08
0.239,0.00,-0.03,0.06,0.06
0.248,-0.01,-0.02,0.01,0.02
0.259,0.02,0.02,-0.03,0.04
0.268,0.05,0.05,0.01,0.07
0.278,0.06,0.08,0.05,0.11
0.288,0.07,0.08,0.05,0.12
0.298,0.11,0.05,0.10,0.16
0.308,0.17,0.02,0.19,0.26
0.318,0.18,-0.01,0.16,0.24
0.328,0.12,-0.01,0.09,0.15
0.338,0.05,-0.01,0.06,0.08
0.348,-0.02,0.04,0.03,0.06
0.358,-0.01,0.08,-0.03,0.08
0.368,0.01,0.13,-0.04,0.14
0.378,0.04,0.15,-0.03,0.16
0.388,0.04,0.14,0.05,0.15
0.398,0.07,0.12,0.16,0.21
0.408,0.11,0.03,0.16,0.20
0.418,0.17,-0.03,0.13,0.22
0.428,0.20,-0.08,0.17,0.27
0.438,0.19,-0.09,0.19,0.28
0.447,0.14,-0.01,0.18,0.23
0.457,0.07,0.08,0.18,0.21
0.467,-0.00,0.13,0.16,0.21
0.477,-0.09,0.14,0.06,0.17
0.487,-0.13,0.09,-0.01,0.16
0.497,-0.07,0.06,-0.01,0.09
0.507,-0.00,0.01,0.01,0.01
0.517,0.00,-0.03,0.06,0.07
0.527,-0.03,-0.02,0.15,0.15
0.537,-0.01,-0.00,0.21,0.21
0.547,0.06,0.04,0.23,0.24
0.557,0.11,0.08,0.20,0.24
0.567,0.09,0.10,0.15,0.20
0.577,0.03,0.10,0.06,0.12
0.587,-0.02,0.07,-0.02,0.08
0.597,-0.03,0.04,0.02,0.06
0.607,0.01,0.00,0.00,0.01
0.617,0.09,-0.04,0.07,0.12
0.627,0.14,-0.06,0.13,0.20
0.637,0.16,-0.05,0.19,0.26
0.646,0.17,-0.04,0.26,0.31
0.656,0.07,-0.00,0.27,0.28
0.666,-0.03,-0.01,0.22,0.23
0.676,-0.06,-0.01,0.18,0.19
0.686,0.01,-0.03,0.16,0.16
0.696,-0.00,-0.05,0.06,0.08
0.706,-0.02,-0.06,0.03,0.07
0.716,0.01,0.00,0.05,0.05
0.726,0.08,0.06,0.04,0.11
0.736,0.17,0.12,0.04,0.21
0.746,0.21,0.09,0.09,0.25
0.756,0.15,0.06,0.14,0.21
0.766,0.03,-0.01,0.14,0.15
0.776,-0.07,-0.05,0.13,0.15
0.786,-0.07,-0.05,0.12,0.15
0.796,0.00,-0.02,0.10,0.10
0.806,0.10,0.02,0.10,0.14
0.816,0.15,0.03,0.04,0.16
0.826,0.12,0.02,-0.03,0.13
0.836,0.11,0.05,-0.05,0.13
0.845,0.08,0.08,-0.05,0.12
0.855,0.03,0.12,-0.03,0.13
0.865,-0.00,0.15,0.04,0.15
0.875,-0.01,0.12,0.07,0.14
0.885,-0.05,0.06,0.04,0.09
0.895,-0.06,0.03,-0.01,0.07
0.905,-0.04,0.03,-0.01,0.05
0.915,0.06,0.05,0.02,0.08
0.925,0.17,0.07,0.11,0.21
0.935,0.19,0.05,0.21,0.28
0.945,0.13,0.05,0.15,0.21
0.955,-0.01,0.05,0.02,0.06
0.965,-0.06,0.08,0.13,0.16
0.975,-0.08,0.12,0.05,0.16
0.985,-0.06,0.13,-0.12,0.19
0.995,0.06,0.12,-0.09,0.16
1.005,0.13,0.04,-0.01,0.13
1.015,0.11,-0.01,-0.01,0.11
1.024,0.05,-0.04,0.07,0.10
1.035,0.03,-0.02,0.11,0.11
1.044,0.04,0.03,0.09,0.10
1.054,0.05,0.08,0.11,0.15
1.064,0.04,0.12,0.12,0.17
1.074,-0.00,0.12,0.11,0.16
1.084,-0.04,0.06,0.12,0.14
1.094,-0.04,-0.00,0.11,0.12
1.104,0.00,-0.03,0.08,0.09
1.114,0.00,-0.02,0.07,0.07
1.124,0.01,0.03,0.04,0.05
1.134,0.02,0.10,0.01,0.10
1.144,0.08,0.13,0.01,0.15
1.154,0.19,0.15,0.10,0.26
1.164,0.25,0.13,0.20,0.35
1.174,0.19,0.04,0.20,0.28
1.184,0.03,-0.02,0.10,0.11
1.194,-0.09,-0.06,-0.01,0.11
1.204,-0.13,-0.02,-0.05,0.14
1.214,-0.10,0.05,-0.08,0.14
1.224,-0.03,0.11,-0.03,0.12
1.234,0.04,0.13,0.08,0.16
1.243,0.06,0.08,0.17,0.20
1.254,0.01,-0.02,0.20,0.20
1.263,-0.03,-0.09,0.12,0.16
1.273,-0.06,-0.11,0.02,0.12
1.283,-0.01,-0.10,-0.05,0.11
1.293,0.01,-0.04,-0.04,0.05
1.303,-0.05,0.03,-0.00,0.06
1.313,-0.10,0.06,0.04,0.12
1.323,-0.14,0.05,0.08,0.17
1.333,-0.12,0.01,0.14,0.18
1.343,-0.05,-0.05,0.17,0.18
1.353,0.04,-0.04,0.18,0.19
1.363,0.08,-0.00,0.27,0.28
1.373,0.08,0.01,0.32,0.33
1.383,0.03,0.01,0.26,0.27
1.393,-0.04,-0.02,0.19,0.19
1.403,-0.11,-0.02,0.18,0.21
1.413,-0.17,0.02,0.12,0.21
1.422,-0.11,0.08,0.10,0.17
1.433,-0.00,0.14,0.14,0.19
1.442,0.12,0.14,0.18,0.25
1.453,0.19,0.12,0.16,0.28
1.462,0.24,0.08,0.14,0.29
1.472,0.19,0.01,0.17,0.25
1.482,0.07,-0.02,0.16,0.18
1.492,-0.01,-0.03,0.08,0.08
1.502,-0.06,0.04,0.04,0.09
1.512,-0.05,0.11,0.06,0.14
1.522,0.01,0.13,0.08,0.15
1.532,0.04,0.08,0.13,0.16
1.542,0.09,0.03,0.20,0.22
1.552,0.22,-0.00,0.30,0.37
1.562,0.26,-0.03,0.37,0.45
1.572,0.18,-0.04,0.30,0.35
1.582,0.02,-0.04,0.15,0.16
1.592,-0.11,-0.00,0.02,0.12
1.602,-0.16,0.01,-0.06,0.18
1.612,-0.13,0.06,-0.04,0.15
1.621,-0.02,0.09,0.03,0.10
1.631,0.13,0.07,0.21,0.26
1.641,0.21,-0.00,0.29,0.36
1.651,0.19,-0.06,0.18,0.27
1.661,0.12,-0.07,0.06,0.15
1.671,0.07,-0.01,-0.01,0.07
1.681,0.06,0.09,-0.04,0.12
1.691,0.06,0.18,-0.05,0.20
1.701,0.07,0.24,-0.04,0.25
1.711,0.09,0.20,0.01,0.22
1.721,0.12,0.12,0.05,0.18
1.731,0.10,0.03,0.00,0.10
1.741,0.02,-0.02,-0.00,0.03
1.751,-0.06,-0.02,0.06,0.09
1.761,-0.07,0.04,0.09,0.12
1.771,0.05,0.07,0.10,0.14
1.781,0.11,0.08,0.08,0.15
1.791,0.07,0.05,0.08,0.12
1.800,0.02,0.00,0.06,0.06
1.811,0.00,-0.01,0.00,0.01
1.820,0.04,-0.00,-0.01,0.04
1.831,0.08,0.01,0.02,0.08
1.840,0.06,0.04,0.01,0.07
1.850,-0.02,0.06,-0.04,0.07
1.860,-0.06,0.10,-0.09,0.15
1.870,-0.01,0.12,-0.07,0.14
1.880,0.05,0.10,-0.01,0.11
1.890,0.07,0.06,0.10,0.13
1.900,0.12,-0.00,0.12,0.17
1.910,0.16,-0.07,0.12,0.21
1.920,0.10,-0.09,0.07,0.16
1.930,0.01,-0.05,0.03,0.06
1.940,0.00,0.04,0.05,0.06
1.950,0.03,0.12,0.02,0.13
1.960,0.02,0.16,-0.05,0.17
1.970,0.03,0.12,-0.05,0.13
1.980,0.02,0.07,-0.00,0.07
1.990,0.03,0.03,0.08,0.09
1.999,0.07,-0.00,0.22,0.23
2.010,0.11,-0.02,0.24,0.26
2.019,0.11,-0.03,0.21,0.24
2.029,0.07,-0.01,0.17,0.18
2.039,0.03,-0.01,0.11,0.11
2.049,-0.04,-0.02,0.01,0.05
2.059,-0.09,-0.02,0.01,0.09
2.069,-0.07,0.01,0.03,0.08
2.079,-0.03,-0.02,0.01,0.03
2.089,0.02,-0.02,-0.00,0.03
2.099,0.09,-0.04,0.08,0.13
2.109,0.14,-0.01,0.13,0.19
2.119,0.09,0.04,0.10,0.14
2.129,0.04,0.08,0.04,0.09
2.139,0.03,0.14,-0.01,0.14
2.149,0.08,0.18,0.01,0.19
2.159,0.14,0.20,0.14,0.28
2.169,0.14,0.15,0.20,0.28
2.179,0.06,0.04,0.19,0.21
2.189,-0.02,-0.07,0.13,0.15
2.199,-0.07,-0.11,0.10,0.16
2.209,-0.09,-0.07,0.05,0.13
2.218,-0.08,0.01,0.04,0.09
2.228,-0.01,0.09,0.11,0.14
2.238,0.05,0.10,0.18,0.21
2.248,0.08,0.05,0.22,0.24
2.258,0.09,0.00,0.24,0.26
2.268,0.06,-0.04,0.25,0.26
2.278,0.03,-0.07,0.21,0.23
2.288,0.01,-0.05,0.19,0.19
2.298,-0.01,0.01,0.12,0.12
2.308,0.00,0.07,0.02,0.07
2.318,0.05,0.10,-0.01,0.12
2.328,0.11,0.16,0.09,0.21
2.338,0.15,0.15,0.17,0.28
2.348,0.13,0.11,0.18,0.24
2.358,0.09,0.03,0.16,0.18
2.368,0.06,-0.04,0.09,0.12
2.378,0.03,-0.04,0.03,0.06
2.388,-0.01,0.00,-0.00,0.01
2.397,-0.01,0.06,-0.03,0.07
2.408,-0.03,0.12,-0.04,0.13
2.417,-0.03,0.12,-0.03,0.13
2.427,0.00,0.09,0.01,0.10
