time,ax,ay,az,atotal
0.000,0.01,0.01,0.04,0.04
0.010,0.00,0.01,0.12,0.12
0.020,0.02,0.01,0.07,0.07
0.030,0.05,0.02,0.02,0.06
0.040,0.05,0.01,0.04,0.07
0.050,0.06,-0.00,0.11,0.12
0.060,0.06,0.00,0.07,0.09
0.070,0.07,0.02,0.08,0.11
0.080,0.05,0.01,0.09,0.11
0.090,0.02,-0.00,0.05,0.05
0.100,0.03,0.01,0.05,0.06
0.109,0.03,0.01,0.10,0.11
0.119,0.03,0.03,0.10,0.11
0.129,0.03,0.04,0.09,0.10
0.139,0.00,0.03,0.09,0.09
0.149,0.01,0.02,0.06,0.07
0.159,0.01,0.01,0.05,0.05
0.169,0.03,-0.01,0.06,0.06
0.179,0.05,-0.01,0.09,0.11
0.189,0.07,0.00,0.09,0.12
0.199,0.04,0.01,0.08,0.09
0.209,0.03,0.02,0.07,0.08
0.219,0.03,0.00,0.05,0.06
0.229,0.04,-0.01,0.07,0.08
0.239,0.01,-0.00,0.08,0.08
0.249,0.01,0.00,0.10,0.10
0.259,0.01,0.02,0.09,0.09
0.269,0.03,0.04,0.05,0.07
0.279,0.03,0.04,0.06,0.08
0.289,0.03,0.01,0.08,0.08
0.298,0.03,0.02,0.06,0.07
0.308,0.04,0.02,0.10,0.11
0.318,0.06,0.02,0.08,0.10
0.328,0.04,0.03,0.08,0.10
0.338,0.01,0.02,0.06,0.07
0.348,-0.00,0.02,0.06,0.07
0.358,0.01,0.01,0.07,0.07
0.368,0.02,0.01,0.08,0.08
0.378,0.02,-0.01,0.07,0.08
0.388,0.02,0.01,0.05,0.06
0.398,0.05,0.01,0.05,0.07
0.408,0.09,-0.00,0.06,0.11
0.418,0.07,-0.00,0.06,0.09
0.428,0.03,0.01,0.11,0.12
0.438,0.01,0.01,0.06,0.06
0.448,0.00,0.01,0.05,0.05
0.458,0.03,-0.00,0.08,0.08
0.468,0.04,0.01,0.09,0.10
0.478,0.04,0.01,0.08,0.09
0.487,0.02,0.00,0.06,0.07
0.497,0.02,0.02,0.07,0.08
0.507,0.03,0.02,0.06,0.07
0.517,0.02,0.02,0.06,0.07
