time,ax,ay,az,atotal
0.000,-0.22,-0.03,0.01,0.22
0.010,-0.07,-0.05,0.06,0.11
0.020,-0.00,-0.01,0.17,0.17
0.030,0.04,-0.06,0.47,0.48
0.040,0.12,-0.15,0.57,0.60
0.050,0.18,-0.15,0.46,0.52
0.060,0.23,-0.08,0.32,0.40
0.070,0.23,0.03,0.25,0.34
0.080,0.18,0.14,0.14,0.27
0.090,0.12,0.18,0.05,0.23
0.100,0.06,0.14,0.02,0.15
0.109,0.02,-0.01,0.08,0.09
0.120,0.06,-0.14,0.38,0.41
0.129,0.10,-0.20,0.54,0.58
0.139,0.07,-0.21,0.49,0.54
0.149,0.04,-0.20,0.30,0.36
0.159,0.09,-0.09,0.18,0.22
0.169,0.09,-0.01,0.19,0.21
0.179,0.03,0.10,0.07,0.13
0.189,0.05,0.19,-0.11,0.22
0.199,0.03,0.20,-0.11,0.23
0.209,-0.06,0.14,-0.11,0.19
0.219,0.05,0.07,-0.11,0.14
0.229,0.16,0.00,-0.09,0.19
0.239,0.02,-0.07,-0.09,0.12
0.249,-0.24,-0.11,-0.10,0.29
0.259,-0.37,-0.10,-0.08,0.39
0.269,-0.31,-0.03,-0.01,0.31
0.279,-0.15,-0.04,0.18,0.24
0.289,-0.02,-0.06,0.28,0.28
0.299,0.21,-0.10,0.19,0.30
0.308,0.35,-0.18,-0.01,0.40
0.318,0.26,-0.20,-0.15,0.36
0.328,0.13,-0.08,-0.30,0.33
0.338,-0.01,0.03,-0.41,0.41
0.348,-0.10,0.04,-0.29,0.31
0.358,-0.20,-0.01,-0.05,0.21
0.368,-0.28,-0.11,0.14,0.33
0.378,-0.25,-0.17,0.32,0.44
0.388,-0.15,-0.19,0.41,0.48
0.398,0.09,-0.14,0.25,0.29
0.408,0.29,-0.04,0.03,0.29
0.418,0.38,0.08,-0.10,0.40
0.428,0.38,0.18,-0.13,0.44
0.438,0.33,0.16,-0.09,0.38
0.448,0.20,0.05,0.03,0.21
0.458,0.04,-0.08,0.13,0.16
0.468,-0.10,-0.17,0.18,0.26
0.478,-0.19,-0.16,0.22,0.34
0.488,-0.12,-0.10,0.21,0.26
0.498,0.08,-0.07,0.30,0.32
0.508,0.25,-0.08,0.34,0.43
0.517,0.46,-0.02,0.14,0.48
0.527,0.60,0.09,-0.13,0.62
0.537,0.57,0.24,-0.36,0.71
0.547,0.35,0.30,-0.46,0.65
0.557,0.09,0.22,-0.39,0.46
0.567,-0.17,-0.02,-0.14,0.22
0.577,-0.26,-0.25,0.13,0.38
0.587,-0.18,-0.39,0.39,0.58
0.597,-0.08,-0.36,0.50,0.62
0.607,0.07,-0.16,0.38,0.42
0.617,0.28,0.09,0.17,0.33
0.627,0.51,0.23,0.03,0.56
0.637,0.53,0.23,-0.02,0.58
0.647,0.37,0.09,-0.13,0.40
0.657,0.13,-0.11,-0.18,0.25
0.667,-0.07,-0.25,-0.07,0.26
0.677,-0.16,-0.23,0.09,0.29
0.687,-0.10,-0.13,0.22,0.28
0.697,0.19,0.03,0.17,0.25
0.707,0.48,0.16,-0.03,0.51
0.716,0.54,0.19,-0.13,0.59
0.726,0.40,0.14,-0.16,0.45
0.736,0.27,0.02,-0.15,0.31
0.746,0.19,-0.06,-0.08,0.22
0.756,0.06,-0.13,0.14,0.20
0.766,-0.18,-0.20,0.38,0.46
0.776,-0.23,-0.22,0.43,0.53
