time,ax,ay,az,atotal
0.000,0.10,-0.04,0.43,0.44
0.010,0.12,-0.03,0.22,0.25
0.020,0.20,-0.01,-0.12,0.23
0.030,0.29,-0.02,-0.26,0.40
0.040,0.38,0.01,0.01,0.38
0.050,0.29,0.05,0.26,0.39
0.060,0.04,0.06,0.22,0.23
0.070,-0.08,0.01,0.13,0.15
0.079,-0.02,-0.06,-0.05,0.09
0.090,0.14,-0.11,-0.07,0.19
0.099,0.17,-0.08,0.05,0.20
0.109,0.08,-0.02,0.14,0.16
0.119,0.10,0.06,0.13,0.17
0.129,0.21,0.08,0.08,0.24
0.139,0.26,0.06,0.05,0.27
0.149,0.27,0.02,0.03,0.27
0.159,0.24,-0.01,0.08,0.26
0.169,0.14,-0.03,0.10,0.18
0.179,0.03,-0.04,0.06,0.08
0.189,0.03,-0.03,0.07,0.08
0.199,0.08,-0.02,0.08,0.11
0.209,0.12,-0.00,0.04,0.13
0.219,0.16,0.01,0.07,0.18
0.229,0.19,0.00,0.08,0.21
0.239,0.17,0.00,0.07,0.19
0.249,0.17,-0.00,0.07,0.18
0.259,0.18,-0.04,0.08,0.20
0.269,0.16,-0.05,0.09,0.19
0.278,0.21,-0.02,0.07,0.23
0.289,0.22,0.05,0.07,0.23
0.298,0.20,0.08,0.06,0.23
0.308,0.18,0.06,0.10,0.21
0.318,0.14,-0.01,0.07,0.16
0.328,0.10,-0.06,0.05,0.13
0.338,0.06,-0.08,0.06,0.11
0.348,0.03,-0.04,0.06,0.08
0.358,0.07,-0.01,0.06,0.09
0.368,0.17,0.02,0.05,0.18
0.378,0.23,0.04,0.08,0.25
0.388,0.19,0.00,0.09,0.20
0.398,0.14,-0.04,0.08,0.16
0.408,0.15,-0.05,0.08,0.18
0.418,0.14,-0.02,0.06,0.15
0.428,0.11,0.02,0.03,0.12
0.438,0.07,0.03,0.08,0.11
0.448,0.08,0.01,0.07,0.11
0.458,0.13,-0.04,0.09,0.16
0.468,0.19,-0.05,0.07,0.21
0.477,0.21,-0.01,0.07,0.22
0.487,0.18,0.05,0.07,0.20
0.497,0.14,0.06,0.08,0.17
0.507,0.12,0.04,0.07,0.14
