time,ax,ay,az,atotal
0.000,0.10,-0.23,0.23,0.34
0.010,0.28,-0.12,0.28,0.41
0.020,0.36,0.03,0.19,0.41
0.030,0.27,0.16,0.04,0.32
0.040,0.07,0.19,0.02,0.20
0.050,-0.12,0.12,0.03,0.17
0.060,-0.24,0.04,-0.02,0.24
0.070,-0.24,-0.05,-0.07,0.26
0.080,-0.09,-0.11,-0.09,0.16
0.090,0.13,-0.08,0.06,0.16
0.100,0.21,-0.04,0.21,0.30
0.109,0.21,0.01,0.10,0.23
0.119,0.12,0.03,0.01,0.12
0.129,-0.03,-0.00,0.12,0.12
0.139,-0.17,-0.07,0.18,0.26
0.149,-0.25,-0.09,0.12,0.29
0.159,-0.22,-0.10,0.10,0.26
0.169,-0.14,-0.09,0.07,0.18
0.179,-0.01,-0.06,0.11,0.12
0.189,0.12,0.00,0.11,0.16
0.199,0.19,0.08,0.03,0.21
0.209,0.18,0.11,0.09,0.22
0.219,0.10,0.07,0.13,0.18
0.229,0.01,-0.00,0.08,0.09
0.239,-0.06,-0.05,0.08,0.11
0.249,-0.10,-0.07,0.07,0.14
0.259,-0.10,-0.03,0.06,0.12
0.269,-0.03,0.02,0.20,0.20
0.279,0.10,0.02,0.30,0.31
0.289,0.23,-0.01,0.28,0.36
0.299,0.26,-0.09,0.26,0.38
0.309,0.22,-0.11,0.16,0.30
0.318,0.07,-0.08,0.03,0.11
0.328,-0.08,-0.03,0.01,0.08
0.338,-0.16,0.01,0.00,0.16
0.348,-0.14,0.01,0.01,0.14
0.358,-0.05,-0.04,0.01,0.06
0.368,0.01,-0.08,0.05,0.10
0.378,0.02,-0.07,0.08,0.11
0.388,-0.02,-0.03,0.12,0.13
0.398,-0.05,0.01,0.06,0.08
0.408,-0.09,0.05,-0.07,0.12
0.418,-0.09,0.04,-0.06,0.11
0.428,-0.11,0.01,0.01,0.11
0.438,-0.11,-0.03,-0.01,0.12
0.448,-0.11,-0.05,-0.03,0.13
0.458,-0.07,-0.04,-0.01,0.08
0.468,0.03,0.02,0.02,0.04
0.478,0.11,0.05,0.14,0.19
0.488,0.16,0.06,0.22,0.28
0.497,0.15,0.03,0.23,0.27
0.507,0.10,-0.02,0.12,0.16
0.517,0.05,-0.03,0.01,0.06
0.527,0.05,-0.02,0.08,0.09
0.537,0.08,-0.02,0.08,0.11
0.547,0.11,-0.01,0.09,0.15
0.557,0.10,0.04,0.09,0.15
0.567,0.08,0.06,-0.03,0.10
0.577,0.05,0.07,-0.05,0.09
0.587,0.03,0.05,0.08,0.10
0.597,0.08,0.04,0.14,0.17
0.607,0.11,0.05,0.12,0.17
0.617,0.08,0.03,0.05,0.10
0.627,0.03,0.00,0.01,0.03
0.637,-0.01,-0.05,0.13,0.14
0.647,-0.04,-0.11,0.27,0.30
0.657,-0.07,-0.10,0.13,0.18
0.667,-0.07,-0.06,-0.04,0.10
0.677,-0.08,0.02,-0.12,0.14
0.686,-0.06,0.07,-0.11,0.14
0.697,-0.05,0.06,0.02,0.08
0.707,-0.07,0.02,0.04,0.08
0.717,-0.08,-0.05,0.12,0.15
0.726,-0.07,-0.11,0.25,0.28
0.736,0.02,-0.13,0.20,0.24
0.746,0.12,-0.10,0.13,0.20
0.756,0.16,-0.08,0.18,0.26
0.766,0.16,-0.03,0.14,0.22
0.776,0.12,0.05,0.08,0.16
0.786,0.03,0.10,0.01,0.10
0.796,-0.06,0.11,-0.06,0.14
0.806,-0.08,0.06,0.01,0.10
0.816,-0.11,-0.04,0.22,0.24
0.826,-0.08,-0.11,0.32,0.35
0.836,-0.02,-0.18,0.34,0.39
0.846,0.01,-0.19,0.27,0.33
0.856,0.02,-0.12,0.01,0.12
0.866,0.03,-0.00,-0.17,0.18
0.876,0.03,0.12,-0.18,0.22
0.886,0.05,0.18,-0.15,0.24
0.896,0.06,0.16,-0.02,0.17
0.905,0.11,0.07,0.17,0.21
0.915,0.16,-0.08,0.29,0.34
0.925,0.15,-0.20,0.28,0.38
0.935,0.09,-0.22,0.18,0.31
0.945,0.03,-0.16,0.14,0.21
0.955,0.02,-0.07,0.27,0.28
0.965,0.05,0.01,0.26,0.26
0.975,0.10,0.04,0.08,0.13
0.985,0.11,-0.00,0.03,0.12
0.995,0.05,-0.05,-0.04,0.08
1.005,-0.08,-0.01,-0.15,0.17
1.015,-0.21,-0.01,-0.10,0.24
1.025,-0.29,0.01,0.02,0.30
1.035,-0.27,-0.01,-0.01,0.27
1.045,-0.19,-0.04,0.02,0.20
1.055,-0.06,-0.01,0.17,0.18
1.065,0.08,0.02,0.17,0.19
1.075,0.16,0.03,0.15,0.22
1.085,0.16,0.04,0.20,0.26
1.095,0.08,0.05,0.23,0.25
1.105,0.01,-0.01,0.23,0.24
1.115,-0.06,-0.07,0.32,0.33
1.125,-0.08,-0.06,0.26,0.28
1.134,-0.03,0.02,0.12,0.12
1.144,0.09,0.09,-0.04,0.13
1.154,0.18,0.15,-0.05,0.24
1.164,0.21,0.15,0.00,0.26
1.174,0.15,0.13,0.01,0.20
1.184,0.06,0.08,0.03,0.10
1.194,-0.01,-0.01,0.22,0.22
1.204,-0.10,-0.10,0.30,0.33
1.214,-0.17,-0.14,0.14,0.26
1.224,-0.22,-0.10,0.04,0.24
1.234,-0.22,0.01,0.02,0.22
1.244,-0.12,0.07,0.01,0.14
1.254,0.00,0.06,0.05,0.08
1.264,0.08,0.00,0.17,0.19
1.274,0.10,-0.09,0.07,0.15
1.284,0.04,-0.08,-0.17,0.20
1.294,-0.06,-0.02,-0.22,0.23
1.304,-0.18,0.03,-0.12,0.22
1.313,-0.23,0.07,-0.07,0.25
1.323,-0.18,0.04,-0.04,0.19
1.333,-0.06,-0.04,0.04,0.09
1.343,0.07,-0.10,0.01,0.13
1.353,0.14,-0.10,-0.11,0.20
1.363,0.12,-0.03,-0.16,0.21
1.373,0.04,0.11,-0.14,0.18
1.383,-0.05,0.18,0.02,0.19
1.393,-0.08,0.15,0.14,0.22
1.403,-0.00,0.04,0.10,0.11
1.413,0.08,-0.11,0.18,0.22
1.423,0.12,-0.17,0.26,0.33
1.433,0.11,-0.15,0.15,0.24
1.443,0.06,-0.07,0.15,0.18
1.453,0.04,0.04,0.20,0.21
1.463,0.08,0.11,0.12,0.18
1.473,0.15,0.09,0.11,0.21
1.483,0.21,0.01,0.19,0.29
1.493,0.19,-0.04,0.06,0.21
1.503,0.09,-0.01,-0.06,0.11
1.513,-0.04,-0.02,0.04,0.06
1.522,-0.12,-0.03,0.15,0.20
1.532,-0.14,-0.08,0.26,0.30
1.542,-0.10,-0.16,0.26,0.32
1.552,-0.02,-0.18,0.04,0.19
1.562,0.05,-0.12,-0.05,0.14
1.572,0.08,0.01,-0.08,0.11
1.582,0.10,0.11,-0.07,0.16
1.592,0.08,0.17,-0.02,0.19
1.602,0.08,0.12,0.04,0.15
1.612,0.07,0.04,0.12,0.14
1.622,0.04,-0.07,0.09,0.12
1.632,-0.01,-0.14,0.08,0.16
1.642,-0.05,-0.21,0.27,0.34
1.652,-0.07,-0.23,0.38,0.45
1.662,-0.03,-0.19,0.38,0.43
1.672,0.08,-0.15,0.40,0.43
1.682,0.14,-0.08,0.27,0.31
1.692,0.10,0.05,0.04,0.12
1.702,0.02,0.14,-0.19,0.24
1.712,-0.07,0.14,-0.11,0.19
1.722,-0.09,0.07,-0.00,0.12
1.731,-0.11,-0.01,-0.06,0.12
1.741,-0.12,-0.03,-0.14,0.19
1.751,-0.11,0.03,-0.08,0.14
1.761,-0.09,0.08,0.15,0.19
1.771,-0.00,0.06,0.33,0.34
1.781,0.10,0.04,0.37,0.39
1.791,0.18,-0.02,0.32,0.37
1.801,0.18,-0.06,0.13,0.23
1.811,0.14,-0.01,0.01,0.14
1.821,0.09,0.02,0.12,0.15
1.831,0.02,0.04,0.26,0.27
1.841,-0.01,0.01,0.28,0.28
1.851,-0.04,-0.00,0.15,0.15
1.861,-0.05,-0.04,0.11,0.13
1.871,-0.01,-0.04,0.20,0.20
1.881,0.02,0.02,0.15,0.16
1.891,0.03,0.06,0.08,0.10
1.901,0.03,0.09,0.03,0.10
1.910,0.03,0.07,0.00,0.08
1.921,0.02,-0.00,0.04,0.04
1.930,-0.03,-0.07,0.00,0.07
1.940,-0.20,-0.12,0.11,0.26
1.950,-0.30,-0.14,0.16,0.37
1.960,-0.21,-0.10,0.02,0.24
1.970,0.00,0.00,-0.08,0.08
1.980,0.15,0.07,-0.07,0.18
1.990,0.19,0.12,-0.08,0.24
2.000,0.14,0.08,-0.04,0.17
2.010,-0.02,-0.00,0.03,0.04
2.020,-0.16,-0.07,0.11,0.20
2.030,-0.25,-0.12,0.12,0.30
2.040,-0.25,-0.09,0.08,0.28
2.050,-0.12,-0.02,0.08,0.15
2.060,0.08,0.07,0.06,0.12
2.070,0.19,0.12,0.00,0.23
2.080,0.23,0.11,0.05,0.26
2.090,0.26,0.07,0.13,0.30
2.099,0.20,0.01,0.09,0.22
2.109,0.02,-0.07,0.15,0.17
2.119,-0.17,-0.13,0.27,0.35
2.129,-0.27,-0.12,0.18,0.34
2.139,-0.24,-0.07,0.01,0.25
2.149,-0.11,-0.02,0.03,0.12
2.159,0.06,0.05,0.10,0.12
2.169,0.16,0.05,0.10,0.20
2.179,0.18,0.02,0.07,0.20
2.189,0.09,-0.03,0.06,0.11
2.199,-0.03,-0.05,0.14,0.15
2.209,-0.08,-0.05,0.14,0.17
2.219,-0.03,-0.02,0.16,0.16
2.229,0.05,0.03,0.08,0.10
2.239,0.08,0.04,-0.03,0.10
2.249,0.10,0.03,-0.01,0.10
2.259,0.06,0.00,0.14,0.15
2.269,0.13,-0.03,0.14,0.19
2.279,0.17,-0.07,0.18,0.25
2.289,0.12,-0.09,0.30,0.34
2.299,0.01,-0.10,0.12,0.16
2.309,-0.06,-0.09,-0.07,0.13
2.318,-0.11,-0.04,-0.10,0.15
2.328,-0.14,0.02,-0.28,0.31
2.338,-0.12,0.08,-0.36,0.39
2.348,-0.01,0.11,-0.20,0.23
2.358,0.16,0.12,-0.03,0.20
2.368,0.28,0.07,0.04,0.29
2.378,0.33,-0.02,0.19,0.38
2.388,0.33,-0.09,0.38,0.51
2.398,0.20,-0.14,0.48,0.54
2.408,0.08,-0.15,0.37,0.41
2.418,0.01,-0.10,0.28,0.30
2.428,-0.05,-0.09,0.25,0.27
2.438,-0.07,-0.07,0.17,0.20
2.448,-0.06,-0.09,0.01,0.10
2.458,-0.07,-0.09,-0.10,0.15
2.468,-0.15,-0.08,-0.09,0.19
2.478,-0.21,-0.03,-0.10,0.23
2.488,-0.20,0.03,-0.00,0.20
2.498,-0.14,0.02,0.27,0.30
2.508,-0.00,0.02,0.34,0.35
2.517,0.15,0.04,0.13,0.20
2.527,0.23,0.08,0.04,0.25
2.537,0.15,0.08,0.07,0.19
2.547,0.00,0.06,0.11,0.12
2.557,-0.10,0.02,0.09,0.13
2.567,-0.13,-0.02,0.08,0.15
2.577,-0.11,-0.08,0.14,0.19
2.587,-0.09,-0.13,0.21,0.26
2.597,-0.02,-0.13,0.14,0.19
2.607,0.09,-0.10,0.19,0.23
2.617,0.20,-0.02,0.18,0.27
2.627,0.18,0.05,0.11,0.22
2.637,0.09,0.13,-0.05,0.17
2.647,-0.04,0.16,-0.12,0.21
2.657,-0.16,0.13,0.04,0.21
2.667,-0.20,0.05,0.15,0.26
2.677,-0.18,-0.05,0.14,0.23
2.687,-0.12,-0.17,0.06,0.21
2.697,-0.01,-0.19,0.08,0.21
2.707,0.07,-0.10,0.04,0.13
2.716,0.09,0.01,-0.01,0.09
2.726,0.11,0.10,0.12,0.19
2.736,0.13,0.12,0.24,0.29
2.747,0.08,0.06,0.09,0.14
2.756,-0.01,-0.03,-0.09,0.09
2.766,-0.11,-0.09,-0.15,0.21
2.776,-0.14,-0.08,-0.08,0.18
2.786,-0.09,-0.04,0.03,0.11
2.796,-0.01,0.03,0.11,0.11
2.806,0.12,0.04,0.11,0.17
2.816,0.22,0.03,0.07,0.23
2.826,0.20,-0.01,0.10,0.23
2.836,0.06,-0.06,0.14,0.16
2.846,-0.09,-0.07,0.03,0.11
2.856,-0.16,-0.05,-0.05,0.18
2.866,-0.11,-0.01,-0.06,0.13
2.876,0.03,0.05,-0.09,0.10
2.886,0.14,0.08,-0.11,0.20
2.896,0.21,0.07,-0.08,0.24
2.906,0.28,0.03,0.09,0.30
2.915,0.31,-0.02,0.17,0.35
2.926,0.25,-0.06,0.05,0.26
2.935,0.08,-0.05,-0.02,0.10
2.945,-0.10,-0.02,-0.01,0.10
2.955,-0.23,-0.01,0.04,0.23
2.965,-0.25,-0.00,0.21,0.33
2.975,-0.12,0.00,0.25,0.28
2.985,0.07,-0.01,0.15,0.16
2.995,0.14,-0.05,0.04,0.15
3.005,0.15,-0.05,-0.04,0.16
3.015,0.13,-0.01,-0.09,0.16
3.025,0.04,0.02,0.03,0.05
3.035,-0.07,0.05,0.12,0.15
3.045,-0.15,0.07,0.08,0.18
3.055,-0.16,0.02,0.14,0.21
3.065,-0.06,-0.08,0.39,0.40
3.075,0.05,-0.17,0.44,0.48
3.085,0.11,-0.20,0.31,0.39
3.095,0.14,-0.16,0.08,0.23
3.105,0.09,-0.02,-0.14,0.17
3.115,0.05,0.14,-0.24,0.29
3.125,-0.01,0.23,-0.23,0.33
3.134,-0.07,0.22,-0.04,0.23
3.144,-0.11,0.07,0.16,0.21
3.154,-0.08,-0.08,0.24,0.27
3.164,-0.06,-0.21,0.29,0.37
3.174,-0.02,-0.25,0.35,0.43
3.184,0.00,-0.17,0.37,0.41
3.194,-0.04,-0.12,0.51,0.53
3.204,-0.08,-0.08,0.47,0.48
3.214,-0.09,-0.05,0.24,0.26
3.224,0.02,-0.05,0.19,0.20
3.234,0.14,-0.04,-0.08,0.16
3.244,0.12,0.03,-0.33,0.35
3.254,0.00,0.13,-0.29,0.31
3.264,-0.13,0.19,-0.26,0.35
3.274,-0.13,0.20,-0.23,0.33
3.284,-0.02,0.13,0.01,0.13
3.294,0.13,-0.01,0.35,0.38
3.304,0.12,-0.12,0.47,0.50
3.313,-0.03,-0.14,0.31,0.34
3.324,-0.15,-0.08,0.16,0.23
3.333,-0.18,0.03,0.04,0.18
3.343,-0.16,0.06,-0.06,0.18
3.353,-0.14,0.06,-0.17,0.23
3.363,-0.14,0.03,-0.02,0.14
3.373,-0.14,-0.00,0.11,0.18
3.383,-0.02,-0.00,0.03,0.04
3.393,0.17,0.07,0.05,0.19
3.403,0.25,0.14,0.22,0.36
3.413,0.18,0.11,0.25,0.33
3.423,0.03,0.09,0.08,0.12
3.433,-0.17,0.05,-0.01,0.18
3.443,-0.27,-0.00,-0.06,0.27
3.453,-0.19,-0.03,-0.08,0.20
3.463,-0.02,-0.04,-0.07,0.08
3.473,0.08,-0.05,0.09,0.13
3.483,0.13,-0.07,0.20,0.24
3.493,0.12,-0.06,0.07,0.15
3.503,0.09,-0.04,0.08,0.13
3.513,0.06,-0.02,0.18,0.19
3.523,0.02,0.01,0.13,0.13
3.532,-0.08,0.03,0.06,0.11
3.542,-0.13,0.04,0.01,0.13
3.552,-0.06,0.06,-0.03,0.09
3.562,0.09,0.03,0.02,0.09
3.572,0.23,0.00,0.08,0.24
3.582,0.30,-0.03,0.09,0.31
3.592,0.27,-0.05,0.21,0.35
3.602,0.22,-0.07,0.27,0.35
3.612,0.12,-0.05,0.22,0.25
3.622,-0.02,-0.05,0.20,0.20
3.632,-0.16,-0.08,0.23,0.29
3.642,-0.24,-0.10,0.26,0.37
3.652,-0.27,-0.12,0.30,0.42
3.662,-0.27,-0.11,0.09,0.30
3.672,-0.19,-0.07,-0.13,0.24
3.682,-0.05,-0.02,-0.16,0.17
3.692,0.08,0.04,-0.17,0.19
3.702,0.15,0.11,-0.28,0.34
3.712,0.16,0.16,-0.23,0.32
3.721,0.12,0.15,-0.01,0.19
3.731,0.13,0.07,0.16,0.22
3.742,0.20,-0.05,0.37,0.42
3.751,0.22,-0.16,0.49,0.56
3.761,0.11,-0.20,0.32,0.39
3.771,-0.04,-0.17,0.26,0.31
3.781,-0.17,-0.10,0.20,0.28
3.791,-0.24,-0.01,-0.02,0.24
3.801,-0.19,0.03,-0.02,0.19
3.811,-0.07,0.01,-0.05,0.09
3.821,-0.00,-0.02,-0.21,0.22
3.831,0.03,-0.01,-0.19,0.19
3.841,0.09,0.00,-0.06,0.11
3.851,0.20,0.03,0.06,0.21
3.861,0.30,0.07,0.19,0.37
3.871,0.30,0.11,0.26,0.42
3.881,0.18,0.08,0.17,0.26
3.891,0.03,0.02,0.01,0.04
3.901,-0.09,-0.04,-0.04,0.11
3.911,-0.16,-0.07,-0.06,0.18
3.921,-0.19,-0.10,-0.07,0.23
3.930,-0.17,-0.07,0.03,0.19
3.940,-0.09,-0.05,0.15,0.18
3.950,0.02,-0.05,0.25,0.26
3.960,0.11,-0.04,0.26,0.28
3.970,0.17,-0.05,0.22,0.28
3.980,0.17,-0.07,0.39,0.43
3.990,0.12,-0.05,0.28,0.31
4.000,0.03,-0.01,0.02,0.04
4.010,-0.02,-0.01,0.13,0.13
4.020,0.05,-0.05,0.12,0.13
4.030,0.14,-0.12,0.21,0.28
4.040,0.18,-0.15,0.44,0.50
4.050,0.11,-0.17,0.39,0.44
4.060,-0.05,-0.11,0.17,0.21
4.070,-0.13,-0.02,0.08,0.15
4.080,-0.17,0.06,-0.00,0.18
4.090,-0.14,0.08,-0.08,0.18
4.100,-0.10,0.07,-0.09,0.15
4.110,-0.05,0.03,-0.06,0.09
4.119,-0.05,-0.02,-0.00,0.06
4.129,0.01,-0.04,0.07,0.08
4.139,0.12,-0.02,0.16,0.21
4.149,0.20,0.02,0.34,0.39
4.159,0.13,0.04,0.43,0.45
4.169,0.02,0.02,0.32,0.33
