time,ax,ay,az,atotal
0.000,0.60,-0.06,0.15,0.62
0.010,0.11,-0.01,-0.06,0.13
0.020,-0.28,0.01,-0.08,0.29
0.030,-0.33,-0.04,0.01,0.33
0.040,-0.10,-0.11,0.04,0.15
0.050,0.12,-0.14,0.06,0.20
0.060,0.15,-0.09,0.12,0.21
0.070,0.07,-0.01,0.08,0.11
0.079,-0.03,0.06,0.08,0.11
0.090,-0.12,0.06,0.03,0.14
0.100,-0.08,0.01,-0.00,0.08
0.109,0.02,-0.03,0.06,0.07
0.119,0.11,-0.04,0.13,0.18
0.129,0.19,-0.05,0.10,0.22
0.139,0.18,-0.03,0.08,0.20
0.149,0.09,0.01,0.04,0.10
0.159,-0.01,-0.01,0.04,0.04
0.169,-0.07,-0.07,0.02,0.10
0.179,-0.11,-0.09,0.04,0.14
0.189,-0.10,-0.08,0.07,0.14
0.199,-0.05,-0.02,0.07,0.09
0.209,0.01,0.03,0.06,0.07
0.219,0.06,0.08,0.06,0.12
0.229,0.03,0.08,0.07,0.11
0.239,0.05,0.02,0.05,0.07
0.249,0.04,-0.07,0.06,0.10
0.259,0.03,-0.12,0.05,0.13
0.269,0.04,-0.12,0.03,0.13
0.279,0.06,-0.08,0.09,0.13
0.288,0.06,-0.02,0.07,0.10
0.299,0.07,0.04,0.07,0.10
0.309,0.02,0.06,0.06,0.08
0.318,-0.04,0.02,0.03,0.05
0.328,-0.08,-0.04,0.04,0.10
0.338,-0.09,-0.08,0.06,0.14
0.348,-0.05,-0.10,0.02,0.11
0.358,-0.03,-0.07,0.05,0.09
0.368,0.01,-0.03,0.12,0.12
0.378,0.11,0.02,0.11,0.15
0.388,0.18,0.07,0.08,0.21
0.398,0.14,0.07,0.10,0.18
0.408,0.08,0.02,0.07,0.10
0.418,0.03,-0.03,0.04,0.05
0.428,-0.12,-0.09,0.06,0.16
0.438,-0.14,-0.12,-0.00,0.18
0.448,-0.10,-0.09,0.04,0.14
0.458,-0.03,-0.03,0.08,0.09
0.468,0.04,0.03,0.08,0.09
0.478,0.12,0.06,0.06,0.15
0.488,0.14,0.04,0.07,0.16
0.497,0.07,-0.01,0.07,0.10
0.507,0.02,-0.08,0.06,0.10
0.517,-0.04,-0.10,0.05,0.12
0.527,-0.06,-0.07,0.04,0.10
0.537,-0.02,-0.01,0.05,0.06
0.547,0.02,0.03,0.06,0.07
0.557,0.05,0.04,0.07,0.10
0.567,0.05,0.03,0.06,0.08
0.577,0.01,-0.04,0.04,0.06
0.587,-0.04,-0.07,0.04,0.09
0.597,-0.06,-0.10,0.04,0.13
0.607,-0.04,-0.10,0.03,0.11
0.617,-0.00,-0.03,0.08,0.08
0.627,0.06,0.03,0.09,0.11
0.637,0.08,0.08,0.09,0.14
0.647,0.06,0.05,0.07,0.11
0.657,0.05,-0.01,0.05,0.07
0.667,0.02,-0.06,0.06,0.09
0.677,-0.02,-0.12,0.05,0.13
0.687,-0.04,-0.11,0.03,0.12
0.696,-0.04,-0.07,0.06,0.10
0.706,-0.02,-0.01,0.06,0.06
0.716,0.03,0.05,0.06,0.08
0.726,0.08,0.06,0.06,0.12
0.736,0.10,0.04,0.08,0.13
0.746,0.05,-0.02,0.05,0.08
0.756,-0.01,-0.06,0.05,0.08
0.766,-0.03,-0.07,0.05,0.09
0.776,-0.03,-0.07,0.04,0.09
0.786,-0.03,-0.03,0.05,0.07
0.796,0.03,-0.00,0.09,0.10
0.806,0.11,0.04,0.08,0.14
0.816,0.11,0.06,0.07,0.14
0.826,0.05,-0.00,0.07,0.08
0.836,-0.04,-0.07,0.04,0.09
0.846,-0.09,-0.11,0.06,0.15
0.856,-0.10,-0.12,0.03,0.16
0.866,-0.05,-0.06,0.04,0.09
0.876,0.02,-0.00,0.08,0.08
0.886,0.10,0.05,0.11,0.15
0.896,0.15,0.09,0.09,0.20
0.906,0.12,0.05,0.08,0.15
0.915,0.04,-0.01,0.06,0.07
0.925,-0.03,-0.09,0.04,0.10
0.935,-0.08,-0.13,0.03,0.15
0.945,-0.10,-0.10,0.05,0.15
0.955,-0.06,-0.05,0.08,0.11
0.965,0.00,0.03,0.07,0.08
0.975,0.08,0.07,0.04,0.11
0.985,0.12,0.06,0.06,0.14
0.995,0.12,-0.01,0.06,0.13
1.005,0.08,-0.07,0.07,0.12
1.015,-0.01,-0.12,0.06,0.13
1.025,-0.04,-0.09,0.05,0.11
1.035,-0.03,-0.02,0.04,0.06
1.045,-0.05,0.03,0.05,0.08
1.055,-0.03,0.05,0.05,0.07
1.065,0.01,0.01,0.06,0.06
1.075,0.02,-0.03,0.07,0.08
1.085,0.02,-0.06,0.08,0.10
1.094,0.05,-0.05,0.06,0.10
1.105,0.05,-0.02,0.07,0.09
1.115,0.01,-0.02,0.07,0.08
1.124,0.00,0.00,0.06,0.06
1.134,0.01,-0.00,0.08,0.08
1.144,0.03,-0.01,0.04,0.05
1.154,0.02,-0.01,0.05,0.06
1.164,0.02,-0.01,0.08,0.08
1.174,0.03,-0.01,0.06,0.07
1.184,0.02,-0.02,0.05,0.05
1.194,-0.00,-0.05,0.04,0.06
1.204,0.00,-0.05,0.06,0.08
1.214,0.01,-0.04,0.06,0.08
1.224,0.02,-0.03,0.07,0.08
1.234,0.03,-0.00,0.04,0.05
1.244,0.03,0.02,0.06,0.07
1.254,-0.01,0.03,0.05,0.06
1.264,-0.00,-0.02,0.04,0.05
1.274,0.04,-0.01,0.09,0.10
1.283,0.07,-0.00,0.10,0.12
1.293,0.06,-0.03,0.05,0.09
1.303,0.02,-0.04,0.02,0.05
1.313,-0.04,-0.07,0.05,0.10
1.323,-0.08,-0.09,0.05,0.13
1.333,-0.03,-0.05,0.04,0.07
1.343,0.05,0.00,0.05,0.07
1.353,0.07,0.04,0.07,0.11
1.363,0.06,0.03,0.06,0.09
1.373,0.01,-0.03,0.07,0.08
1.383,-0.00,-0.07,0.06,0.10
1.393,-0.02,-0.08,0.04,0.09
1.403,-0.04,-0.04,0.04,0.07
1.413,-0.03,-0.01,0.05,0.06
1.423,-0.01,0.01,0.07,0.07
1.433,0.03,0.03,0.08,0.09
1.443,0.06,0.03,0.08,0.11
