time,ax,ay,az,atotal
0.000,-0.01,0.08,0.22,0.24
0.010,-0.14,0.06,0.16,0.22
0.020,-0.21,-0.02,0.14,0.25
0.030,-0.12,-0.08,0.04,0.15
0.040,-0.03,-0.11,0.18,0.21
0.050,0.03,-0.12,0.22,0.25
0.060,0.08,-0.12,0.17,0.22
0.070,0.08,-0.10,0.05,0.14
0.080,0.08,-0.04,-0.07,0.12
0.089,0.12,0.06,-0.17,0.22
0.099,0.18,0.15,-0.14,0.27
0.109,0.19,0.18,-0.05,0.26
0.119,0.19,0.16,0.03,0.25
0.129,0.22,0.10,0.10,0.26
0.139,0.25,0.01,0.17,0.30
0.149,0.20,-0.08,0.19,0.29
0.159,0.08,-0.14,0.12,0.20
0.169,-0.00,-0.13,0.12,0.18
0.179,-0.01,-0.04,0.13,0.14
0.189,-0.02,0.06,0.12,0.14
0.199,-0.08,0.12,0.06,0.16
0.209,-0.08,0.11,0.02,0.14
0.219,-0.08,0.06,-0.03,0.10
0.229,-0.05,-0.00,-0.05,0.07
0.239,-0.01,-0.03,-0.02,0.04
0.249,0.05,-0.04,0.07,0.10
0.259,0.09,-0.02,0.25,0.27
0.269,0.09,-0.02,0.35,0.36
0.279,-0.00,-0.04,0.35,0.35
0.289,-0.10,-0.06,0.21,0.24
0.298,-0.15,-0.05,0.10,0.18
0.308,-0.15,-0.01,0.02,0.15
0.318,-0.11,0.02,0.00,0.11
0.328,-0.06,0.05,0.05,0.09
0.338,-0.01,0.02,0.18,0.18
0.348,0.03,0.01,0.19,0.19
0.358,0.03,-0.03,0.20,0.20
0.368,-0.04,-0.08,0.10,0.13
0.378,-0.08,-0.08,0.01,0.12
0.388,-0.09,-0.04,-0.04,0.10
0.398,-0.05,0.00,-0.04,0.07
0.408,-0.03,0.05,-0.02,0.06
0.418,0.01,0.07,0.03,0.08
0.428,0.04,0.08,0.09,0.13
0.438,0.06,0.04,0.12,0.14
0.448,0.07,-0.01,0.17,0.18
0.458,0.08,-0.05,0.13,0.15
0.468,0.08,-0.05,0.08,0.13
0.478,0.08,-0.02,0.06,0.10
0.488,0.04,0.03,0.06,0.08
0.497,-0.00,0.07,0.03,0.08
0.507,-0.05,0.07,-0.00,0.09
0.517,-0.09,0.04,-0.01,0.10
0.527,-0.11,0.01,-0.05,0.12
0.537,-0.04,-0.01,-0.07,0.08
0.547,0.03,-0.01,0.05,0.06
0.557,0.11,-0.03,0.18,0.21
0.567,0.11,-0.03,0.21,0.24
0.577,0.07,-0.03,0.14,0.17
0.587,0.06,-0.01,0.05,0.08
0.597,0.02,0.02,0.03,0.04
0.607,-0.02,0.05,-0.04,0.07
0.617,-0.04,0.08,-0.07,0.11
0.627,-0.01,0.09,-0.07,0.11
0.637,0.02,0.07,0.02,0.08
0.647,0.06,0.02,0.13,0.15
0.657,0.07,-0.04,0.16,0.18
0.666,0.02,-0.09,0.11,0.14
0.676,0.02,-0.06,0.09,0.11
0.686,0.07,-0.03,0.18,0.19
0.696,0.06,-0.01,0.27,0.28
0.706,-0.04,0.02,0.23,0.23
0.716,-0.09,0.03,0.18,0.20
0.726,-0.09,0.04,0.16,0.19
0.736,-0.12,0.03,0.16,0.20
0.746,-0.09,-0.00,0.15,0.18
0.756,-0.02,-0.04,0.14,0.15
0.766,0.02,-0.06,0.16,0.17
0.776,0.07,-0.04,0.12,0.14
0.786,0.09,-0.01,0.10,0.13
0.796,0.09,0.02,0.07,0.12
0.806,0.09,0.02,0.05,0.11
0.816,0.04,-0.00,0.02,0.05
0.826,0.01,-0.03,-0.04,0.05
0.836,0.01,-0.03,-0.06,0.07
0.846,0.06,0.03,0.02,0.07
0.856,0.09,0.10,0.10,0.17
0.866,0.09,0.13,0.24,0.29
0.875,0.09,0.08,0.25,0.28
0.885,0.04,-0.01,0.23,0.24
0.895,0.01,-0.08,0.16,0.18
0.905,-0.01,-0.12,0.01,0.13
0.915,-0.04,-0.09,-0.03,0.11
0.925,-0.04,-0.01,-0.05,0.06
0.935,-0.01,0.07,-0.05,0.08
0.945,-0.01,0.08,-0.03,0.09
0.955,-0.00,0.06,0.02,0.06
0.965,-0.01,0.01,0.04,0.04
0.975,-0.00,-0.06,0.03,0.06
0.985,0.02,-0.10,0.10,0.14
0.995,0.07,-0.07,0.12,0.16
1.005,0.12,-0.03,0.12,0.17
1.015,0.15,0.04,0.09,0.18
1.025,0.09,0.09,0.04,0.14
1.035,0.06,0.09,0.03,0.11
1.045,-0.01,0.04,0.02,0.04
1.055,-0.05,-0.02,0.02,0.06
1.064,-0.06,-0.07,0.07,0.11
1.074,-0.04,-0.07,0.04,0.08
1.084,-0.03,-0.02,0.04,0.06
1.094,0.02,0.04,0.04,0.06
1.104,0.08,0.09,0.06,0.14
1.114,0.10,0.10,0.17,0.22
1.124,0.07,0.05,0.20,0.22
1.134,0.06,-0.03,0.17,0.18
1.144,0.05,-0.05,0.06,0.09
1.154,0.03,-0.05,0.01,0.06
1.164,0.01,0.01,0.00,0.02
1.174,0.04,0.09,0.01,0.09
1.184,0.06,0.12,0.01,0.13
1.194,0.07,0.11,0.01,0.13
1.204,0.03,0.06,0.03,0.08
1.214,0.02,-0.03,-0.00,0.03
1.224,-0.01,-0.07,0.04,0.08
1.234,-0.03,-0.10,0.07,0.13
1.244,-0.04,-0.06,0.08,0.11
1.254,-0.00,0.01,0.11,0.11
1.263,0.02,0.08,0.16,0.18
1.274,0.02,0.11,0.17,0.20
1.283,0.02,0.07,0.17,0.18
1.293,-0.01,-0.01,0.14,0.14
1.303,0.00,-0.08,0.08,0.12
1.313,0.03,-0.12,0.06,0.13
1.323,0.07,-0.09,0.08,0.14
1.333,0.09,-0.00,0.13,0.16
1.343,0.07,0.07,0.11,0.15
1.353,0.08,0.09,0.09,0.15
1.363,0.05,0.06,0.07,0.11
1.373,0.02,0.01,0.05,0.05
1.383,-0.01,-0.02,0.03,0.04
1.393,0.03,0.02,0.11,0.12
1.403,0.11,0.07,0.20,0.24
1.413,0.13,0.11,0.27,0.32
1.423,0.07,0.11,0.29,0.32
1.433,-0.02,0.06,0.25,0.25
1.443,-0.09,-0.01,0.20,0.22
1.453,-0.11,-0.09,0.12,0.19
1.462,-0.08,-0.13,0.07,0.16
1.473,-0.03,-0.08,0.07,0.11
1.482,0.03,0.00,0.10,0.11
1.492,0.10,0.06,0.14,0.18
1.502,0.11,0.09,0.16,0.21
1.512,0.07,0.06,0.14,0.17
1.522,-0.00,-0.01,0.03,0.04
1.532,-0.07,-0.07,-0.05,0.11
1.542,-0.06,-0.07,-0.05,0.11
1.552,-0.06,-0.05,-0.01,0.08
1.562,-0.08,0.01,0.01,0.08
1.572,-0.06,0.05,0.03,0.08
1.582,-0.02,0.04,0.04,0.06
1.592,-0.01,0.01,0.06,0.06
1.602,0.02,-0.04,0.13,0.14
1.612,0.08,-0.07,0.15,0.18
1.622,0.13,-0.11,0.15,0.22
1.632,0.11,-0.11,0.07,0.17
1.642,0.05,-0.05,-0.03,0.08
1.652,0.02,0.03,-0.11,0.12
1.662,-0.05,0.13,-0.12,0.18
1.671,-0.11,0.18,-0.10,0.23
1.681,-0.12,0.14,-0.08,0.20
1.691,-0.07,0.07,-0.02,0.11
1.701,-0.00,-0.01,0.03,0.03
1.711,0.08,-0.09,0.09,0.15
1.721,0.16,-0.10,0.18,0.26
1.731,0.18,-0.06,0.23,0.30
1.741,0.17,-0.04,0.23,0.29
1.751,0.11,-0.01,0.17,0.20
1.761,-0.00,0.03,0.09,0.10
1.771,-0.06,0.06,0.03,0.09
1.781,-0.07,0.06,-0.02,0.10
1.791,-0.06,0.06,-0.01,0.09
1.801,-0.01,0.04,0.06,0.08
1.811,0.03,0.00,0.10,0.10
1.821,0.03,-0.07,0.11,0.13
1.831,0.05,-0.08,0.12,0.16
1.840,0.06,-0.07,0.10,0.14
1.851,0.04,-0.02,0.08,0.09
1.860,0.05,0.05,0.07,0.10
1.870,0.08,0.10,0.10,0.16
1.880,0.12,0.10,0.11,0.19
1.890,0.13,0.06,0.19,0.24
1.900,0.15,-0.02,0.23,0.27
1.910,0.12,-0.10,0.23,0.28
1.920,0.06,-0.14,0.12,0.20
1.930,-0.00,-0.10,0.04,0.11
1.940,-0.04,-0.03,-0.02,0.05
1.950,-0.05,0.07,-0.07,0.11
1.960,-0.06,0.14,-0.05,0.16
1.970,0.01,0.16,0.05,0.17
1.980,0.09,0.12,0.19,0.24
1.990,0.07,0.05,0.26,0.28
2.000,0.09,-0.04,0.22,0.24
2.010,0.11,-0.11,0.21,0.26
2.020,0.09,-0.13,0.12,0.20
2.030,0.05,-0.09,0.11,0.15
2.040,0.02,-0.02,0.08,0.08
2.050,0.01,0.08,0.07,0.11
2.059,-0.01,0.12,0.07,0.14
2.069,-0.04,0.11,0.03,0.12
2.079,-0.05,0.05,0.03,0.08
2.089,-0.05,-0.02,0.10,0.11
2.099,-0.01,-0.08,0.19,0.20
2.109,0.01,-0.10,0.21,0.24
2.119,0.01,-0.05,0.18,0.19
2.129,-0.04,0.02,0.13,0.14
2.139,-0.08,0.05,0.07,0.12
2.149,-0.08,0.05,0.06,0.11
2.159,-0.04,-0.00,0.08,0.09
2.169,0.03,-0.04,0.09,0.10
2.179,0.06,-0.09,0.07,0.13
2.189,0.10,-0.11,0.09,0.17
2.199,0.07,-0.10,0.07,0.14
2.209,-0.02,-0.04,-0.01,0.05
2.219,-0.10,0.02,-0.10,0.15
2.229,-0.14,0.09,-0.15,0.22
2.238,-0.11,0.10,-0.15,0.21
2.249,-0.05,0.07,-0.11,0.14
2.258,0.01,0.00,-0.03,0.03
2.268,0.05,-0.04,0.03,0.08
2.278,0.15,-0.07,0.15,0.22
2.288,0.17,-0.08,0.14,0.24
2.298,0.12,-0.07,0.10,0.17
2.308,0.08,-0.03,0.04,0.10
2.318,0.07,0.02,0.02,0.08
2.328,0.05,0.09,0.02,0.10
2.338,0.09,0.14,0.05,0.17
2.348,0.13,0.16,0.12,0.23
2.358,0.10,0.08,0.13,0.18
2.368,0.04,-0.02,0.10,0.11
2.378,-0.01,-0.10,0.08,0.13
2.388,-0.07,-0.14,0.06,0.17
2.398,-0.13,-0.11,0.02,0.17
2.408,-0.12,-0.05,0.01,0.13
2.418,-0.08,0.02,0.06,0.10
2.427,-0.04,0.08,0.12,0.15
2.438,0.03,0.11,0.21,0.24
2.448,0.07,0.07,0.26,0.28
2.457,0.08,0.03,0.26,0.27
2.467,0.11,-0.01,0.29,0.30
2.477,0.11,-0.07,0.23,0.26
2.487,0.07,-0.09,0.12,0.17
2.497,0.02,-0.07,0.03,0.08
2.507,-0.03,-0.04,-0.02,0.05
2.517,-0.05,0.02,0.00,0.05
2.527,-0.04,0.15,0.04,0.16
2.537,-0.01,0.21,0.09,0.23
2.547,0.03,0.16,0.15,0.22
2.557,0.00,0.06,0.17,0.18
2.567,-0.00,-0.07,0.14,0.16
2.577,0.03,-0.17,0.14,0.22
2.587,0.03,-0.18,0.11,0.21
2.597,0.04,-0.12,0.09,0.15
2.607,0.08,0.01,0.11,0.13
2.616,0.09,0.11,0.12,0.18
2.626,0.05,0.12,0.07,0.15
2.636,0.05,0.08,-0.00,0.09
2.646,0.04,0.02,-0.02,0.05
2.656,0.04,-0.02,-0.04,0.06
2.666,0.04,-0.04,-0.00,0.06
2.676,0.08,0.01,0.12,0.15
2.686,0.11,0.08,0.22,0.26
2.696,0.11,0.13,0.26,0.31
2.706,0.06,0.10,0.24,0.27
2.716,0.01,0.04,0.17,0.18
2.726,-0.01,-0.02,0.10,0.10
2.736,-0.04,-0.03,0.04,0.07
2.746,0.02,-0.02,0.04,0.05
2.756,0.07,-0.01,0.05,0.09
2.766,0.07,0.03,0.03,0.08
2.776,0.03,0.02,0.03,0.05
2.786,0.01,0.01,0.02,0.03
2.796,-0.02,-0.03,0.06,0.07
2.806,-0.05,-0.05,0.07,0.10
2.816,-0.04,-0.05,0.09,0.11
2.825,-0.01,-0.02,0.12,0.12
2.835,0.01,0.04,0.16,0.17
2.845,0.02,0.06,0.13,0.15
2.855,0.02,0.05,0.08,0.10
2.865,0.01,0.03,0.06,0.07
2.875,0.02,0.01,0.09,0.09
2.885,0.05,0.00,0.17,0.17
2.895,0.03,0.02,0.21,0.21
2.905,-0.02,0.01,0.19,0.19
2.915,-0.05,-0.02,0.13,0.14
2.925,-0.08,-0.06,0.07,0.12
2.935,-0.07,-0.06,0.05,0.11
2.945,-0.06,-0.04,0.03,0.08
2.955,-0.05,-0.02,0.08,0.10
2.965,0.01,0.00,0.07,0.07
2.975,0.05,0.02,0.02,0.06
2.985,0.04,0.00,-0.03,0.05
2.995,0.06,-0.01,-0.07,0.10
3.005,0.08,-0.02,-0.10,0.13
3.014,0.07,0.00,-0.04,0.08
3.024,0.06,0.04,0.05,0.09
3.034,0.07,0.09,0.12,0.17
3.044,0.04,0.11,0.14,0.18
3.054,0.00,0.05,0.15,0.16
3.064,-0.02,-0.04,0.13,0.14
3.074,-0.02,-0.10,0.04,0.11
3.084,0.00,-0.11,-0.01,0.11
3.094,0.03,-0.04,0.01,0.05
3.104,0.06,0.07,0.02,0.09
3.114,0.03,0.12,0.01,0.12
3.124,0.01,0.11,-0.01,0.11
3.134,0.01,0.06,-0.02,0.06
3.144,0.04,-0.01,-0.02,0.05
3.154,0.06,-0.05,-0.02,0.08
3.164,0.12,-0.05,0.03,0.14
3.174,0.18,-0.02,0.10,0.20
3.184,0.17,0.04,0.14,0.22
3.193,0.13,0.07,0.15,0.21
3.203,0.05,0.08,0.12,0.15
3.213,0.02,0.07,0.13,0.15
3.224,0.03,0.06,0.12,0.14
3.233,0.04,0.02,0.11,0.12
3.243,0.05,-0.03,0.10,0.12
3.253,0.09,-0.05,0.11,0.15
3.263,0.08,-0.03,0.13,0.16
3.273,0.03,-0.01,0.15,0.15
3.283,-0.05,0.02,0.13,0.14
3.293,-0.09,0.01,0.06,0.11
3.303,-0.11,-0.02,-0.01,0.12
3.313,-0.09,-0.02,-0.02,0.09
3.323,-0.02,0.00,0.01,0.02
3.333,0.06,0.04,0.06,0.10
3.343,0.13,0.06,0.17,0.22
3.353,0.15,0.06,0.21,0.26
3.363,0.11,0.01,0.21,0.24
3.373,0.05,-0.05,0.16,0.18
3.383,-0.00,-0.07,0.10,0.12
3.393,-0.04,-0.04,0.03,0.06
3.403,-0.01,0.03,-0.03,0.04
3.412,0.01,0.12,-0.03,0.12
3.422,0.04,0.16,0.00,0.17
3.432,0.03,0.14,0.03,0.15
3.442,0.02,0.08,0.02,0.08
3.452,0.02,0.02,0.07,0.07
3.462,0.04,-0.06,0.12,0.14
3.472,0.03,-0.09,0.13,0.16
3.482,0.03,-0.08,0.15,0.17
3.492,0.03,-0.03,0.15,0.16
3.502,0.01,0.01,0.13,0.13
3.512,-0.04,0.03,0.03,0.06
3.522,-0.07,0.03,-0.08,0.12
3.532,-0.04,0.03,-0.12,0.13
3.542,-0.02,0.01,-0.07,0.07
3.552,0.02,0.01,0.00,0.03
3.562,0.11,0.03,0.13,0.17
3.572,0.14,0.01,0.25,0.28
3.582,0.09,0.01,0.22,0.24
3.591,0.02,-0.03,0.13,0.13
3.602,-0.03,-0.04,0.06,0.08
3.611,-0.07,-0.03,-0.00,0.07
3.621,-0.03,-0.00,0.03,0.04
3.631,0.04,0.03,0.12,0.13
3.641,0.10,0.06,0.21,0.24
3.651,0.11,0.04,0.23,0.25
3.661,0.08,0.02,0.18,0.20
3.671,0.06,-0.03,0.12,0.14
3.681,0.05,-0.04,0.04,0.08
3.691,0.09,-0.02,0.04,0.10
3.701,0.12,0.03,0.12,0.17
3.711,0.15,0.09,0.18,0.25
3.721,0.15,0.11,0.21,0.28
3.731,0.07,0.05,0.18,0.20
3.741,0.01,-0.01,0.12,0.12
3.751,-0.03,-0.07,0.02,0.08
3.761,-0.04,-0.12,-0.05,0.13
3.771,-0.00,-0.07,-0.05,0.09
3.780,0.08,0.01,-0.00,0.08
3.790,0.15,0.09,0.02,0.18
3.800,0.14,0.11,0.05,0.19
3.810,0.12,0.11,0.08,0.18
3.820,0.09,0.06,0.07,0.13
3.830,0.05,0.01,0.05,0.07
3.840,0.04,-0.02,0.04,0.07
3.850,0.07,-0.01,0.15,0.16
3.860,0.09,0.03,0.22,0.24
3.870,0.02,0.03,0.23,0.24
3.880,-0.05,-0.00,0.16,0.17
3.890,-0.11,-0.04,0.10,0.15
3.900,-0.14,-0.07,0.04,0.16
3.910,-0.16,-0.09,-0.06,0.19
3.920,-0.14,-0.07,-0.10,0.19
3.930,-0.05,0.01,-0.06,0.08
3.940,0.02,0.08,0.00,0.08
3.950,0.06,0.12,0.10,0.16
3.960,0.07,0.10,0.15,0.20
3.970,0.04,0.03,0.14,0.15
3.980,0.03,-0.05,0.09,0.11
3.989,0.03,-0.08,0.06,0.11
3.999,0.01,-0.06,0.07,0.09
4.009,0.02,-0.01,0.08,0.08
4.019,0.01,0.09,0.11,0.15
4.029,-0.01,0.14,0.13,0.19
4.039,-0.03,0.13,0.07,0.15
4.049,-0.08,0.04,0.02,0.09
4.059,-0.10,-0.03,-0.03,0.11
4.069,-0.03,-0.08,-0.05,0.10
4.079,0.06,-0.09,-0.03,0.11
4.089,0.12,-0.04,0.08,0.14
4.099,0.15,0.01,0.13,0.20
4.109,0.11,0.02,0.11,0.16
4.119,0.05,0.02,0.08,0.09
4.129,0.01,0.02,0.04,0.04
4.139,-0.02,0.05,-0.04,0.06
4.149,0.01,0.06,0.01,0.06
4.159,0.06,0.08,0.10,0.14
4.169,0.09,0.05,0.21,0.23
4.178,0.09,-0.02,0.26,0.28
4.188,0.03,-0.07,0.24,0.25
4.198,-0.05,-0.12,0.11,0.17
4.208,-0.06,-0.11,0.03,0.13
4.218,-0.02,-0.04,-0.01,0.05
4.228,0.04,0.04,0.05,0.08
4.238,0.12,0.15,0.13,0.23
4.248,0.16,0.15,0.20,0.30
4.258,0.16,0.11,0.23,0.30
4.268,0.12,0.01,0.18,0.21
4.278,0.06,-0.11,0.09,0.15
4.288,-0.01,-0.15,-0.01,0.15
4.299,-0.01,-0.11,-0.02,0.11
4.308,0.01,0.01,-0.00,0.01
4.318,0.03,0.11,0.07,0.14
4.328,-0.00,0.16,0.14,0.21
4.338,-0.03,0.11,0.15,0.19
4.348,-0.06,0.02,0.09,0.11
4.358,-0.05,-0.08,0.04,0.11
4.368,-0.02,-0.12,0.03,0.13
4.377,0.04,-0.09,0.06,0.11
4.387,0.08,0.00,0.09,0.12
4.397,0.11,0.12,0.16,0.23
4.407,0.09,0.18,0.19,0.28
4.417,0.04,0.16,0.19,0.25
4.427,-0.01,0.07,0.14,0.16
4.437,-0.02,-0.05,0.05,0.07
4.447,0.00,-0.12,-0.00,0.12
4.457,0.07,-0.12,-0.03,0.14
4.467,0.12,-0.06,0.04,0.14
4.477,0.15,0.05,0.13,0.21
4.487,0.15,0.13,0.19,0.28
4.497,0.10,0.11,0.15,0.21
4.507,-0.01,0.01,0.09,0.09
4.517,-0.07,-0.07,0.03,0.11
4.527,-0.10,-0.13,-0.04,0.17
4.537,-0.06,-0.13,-0.03,0.15
4.547,0.01,-0.06,0.07,0.09
4.557,0.08,0.04,0.11,0.14
4.567,0.09,0.10,0.15,0.21
4.576,0.02,0.10,0.12,0.15
4.586,-0.03,0.05,0.03,0.07
4.596,-0.03,-0.00,-0.04,0.04
4.606,-0.00,-0.04,-0.04,0.05
4.616,0.08,-0.04,-0.00,0.09
4.626,0.16,0.03,0.08,0.18
4.636,0.17,0.09,0.12,0.23
4.646,0.13,0.13,0.15,0.24
4.656,0.07,0.10,0.13,0.18
4.666,0.02,0.03,0.11,0.11
4.676,-0.06,-0.06,0.07,0.11
4.686,-0.09,-0.11,0.04,0.15
4.696,-0.08,-0.09,0.07,0.14
4.706,-0.05,-0.05,0.08,0.11
