time,ax,ay,az,atotal
0.000,-0.93,0.10,-0.34,1.00
0.010,-0.76,0.33,0.35,0.90
0.020,-0.35,0.42,0.78,0.95
0.030,0.15,0.32,0.60,0.70
0.040,0.52,0.10,0.32,0.62
0.050,0.69,-0.07,0.32,0.77
0.060,0.54,-0.17,0.34,0.66
0.070,0.24,-0.18,0.17,0.35
0.080,0.03,-0.09,-0.03,0.10
0.090,-0.11,0.07,-0.12,0.18
0.100,-0.09,0.20,-0.06,0.23
0.109,0.04,0.26,0.00,0.27
0.119,0.17,0.27,0.05,0.32
0.129,0.23,0.19,0.11,0.31
0.139,0.20,0.08,0.14,0.26
0.150,0.09,-0.01,0.16,0.18
0.159,-0.01,-0.05,0.14,0.15
0.169,-0.05,-0.04,0.10,0.12
0.179,-0.05,0.02,0.02,0.06
0.189,-0.02,0.07,0.04,0.08
0.199,0.10,0.12,0.04,0.16
0.209,0.19,0.14,0.00,0.24
0.219,0.25,0.13,0.09,0.29
0.229,0.23,0.11,0.17,0.30
0.239,0.19,0.08,0.16,0.26
0.249,0.12,0.06,0.16,0.21
0.259,0.03,0.04,0.14,0.14
0.269,-0.04,0.04,0.11,0.12
0.279,-0.05,0.04,0.02,0.07
0.289,0.00,0.06,-0.02,0.06
0.299,0.06,0.09,-0.01,0.11
0.308,0.14,0.13,-0.01,0.19
0.318,0.17,0.14,0.07,0.23
0.328,0.17,0.13,0.18,0.28
0.338,0.16,0.08,0.17,0.25
0.348,0.11,0.03,0.16,0.20
0.358,0.06,0.02,0.13,0.15
0.368,0.01,0.01,0.09,0.09
0.378,-0.01,0.04,0.03,0.05
0.388,0.01,0.07,0.01,0.08
0.398,0.07,0.11,0.03,0.13
0.408,0.17,0.13,0.04,0.22
0.418,0.20,0.14,0.11,0.27
0.428,0.17,0.11,0.16,0.25
0.438,0.12,0.06,0.14,0.19
0.448,0.07,0.04,0.10,0.13
0.458,0.01,0.03,0.08,0.09
0.468,-0.01,0.01,0.10,0.10
0.478,0.05,0.05,0.03,0.07
0.488,0.12,0.10,0.01,0.15
0.497,0.13,0.15,0.09,0.22
0.507,0.14,0.14,0.14,0.25
0.517,0.13,0.13,0.15,0.23
0.527,0.11,0.07,0.14,0.20
0.537,0.04,0.04,0.11,0.13
0.547,0.01,0.02,0.09,0.10
0.557,0.02,0.02,0.02,0.03
0.567,0.06,0.05,0.00,0.08
0.577,0.11,0.09,0.03,0.14
0.587,0.12,0.12,0.05,0.18
0.597,0.12,0.14,0.14,0.23
0.607,0.13,0.12,0.18,0.25
0.617,0.13,0.08,0.16,0.22
0.627,0.14,0.04,0.14,0.20
0.637,0.12,0.02,0.10,0.16
0.647,0.09,0.04,0.07,0.12
0.657,0.02,0.07,0.02,0.07
0.667,0.03,0.10,0.07,0.13
0.677,0.08,0.10,0.07,0.15
0.686,0.18,0.10,0.07,0.21
0.696,0.19,0.08,0.11,0.23
0.706,0.12,0.06,0.12,0.18
0.716,0.06,0.06,0.11,0.13
0.726,0.06,0.07,0.11,0.14
0.736,0.05,0.06,0.06,0.10
0.746,0.05,0.07,0.07,0.11
0.756,0.09,0.09,0.06,0.14
0.766,0.13,0.10,0.06,0.17
0.776,0.14,0.10,0.08,0.19
0.786,0.08,0.10,0.12,0.18
0.796,0.05,0.08,0.10,0.14
0.806,0.03,0.07,0.08,0.11
0.816,0.05,0.04,0.11,0.13
0.826,0.09,0.05,0.05,0.12
0.836,0.13,0.07,0.01,0.14
0.846,0.13,0.08,0.10,0.18
0.856,0.14,0.09,0.13,0.21
0.865,0.13,0.08,0.10,0.18
0.875,0.07,0.07,0.06,0.12
0.885,0.04,0.06,0.06,0.09
0.895,0.04,0.05,0.08,0.10
0.905,0.08,0.06,0.03,0.11
0.915,0.10,0.07,0.06,0.14
0.925,0.11,0.09,0.13,0.19
0.935,0.11,0.09,0.10,0.17
0.945,0.08,0.07,0.12,0.16
0.955,0.06,0.06,0.13,0.16
0.965,0.08,0.08,0.11,0.16
0.975,0.08,0.09,0.08,0.15
0.985,0.05,0.09,0.06,0.12
0.995,0.06,0.08,0.06,0.12
1.005,0.11,0.04,0.08,0.14
1.015,0.14,0.02,0.09,0.17
1.025,0.15,0.04,0.08,0.18
1.035,0.12,0.08,0.09,0.17
1.045,0.07,0.10,0.14,0.19
1.055,0.07,0.10,0.14,0.18
1.064,0.08,0.07,0.10,0.15
1.074,0.04,0.07,0.02,0.08
1.084,0.01,0.06,0.04,0.08
1.094,0.06,0.06,0.03,0.10
1.104,0.08,0.08,-0.02,0.12
1.114,0.07,0.11,0.10,0.17
1.124,0.07,0.13,0.18,0.23
1.134,0.09,0.10,0.17,0.21
1.144,0.10,0.06,0.13,0.18
1.154,0.10,0.03,0.09,0.14
1.164,0.11,-0.00,0.07,0.13
1.174,0.13,0.02,0.03,0.13
