time,ax,ay,az,atotal
0.000,-0.00,-0.00,0.25,0.25
0.010,0.07,0.10,0.23,0.26
0.020,0.23,0.21,0.29,0.43
0.030,0.26,0.21,0.26,0.42
0.040,0.13,0.14,0.21,0.28
0.050,0.05,0.05,0.20,0.21
0.060,-0.03,-0.04,0.13,0.14
0.070,-0.05,-0.07,0.01,0.09
0.079,-0.03,-0.03,-0.01,0.04
0.090,0.03,0.06,0.02,0.07
0.099,0.06,0.14,0.13,0.20
0.109,0.09,0.13,0.21,0.26
0.119,0.08,0.06,0.20,0.23
0.129,0.08,-0.02,0.17,0.19
0.139,0.08,-0.08,0.07,0.13
0.149,0.02,-0.10,-0.01,0.11
0.159,-0.06,-0.05,-0.03,0.09
0.169,-0.11,0.02,-0.05,0.12
0.179,-0.11,0.08,-0.03,0.14
0.189,-0.11,0.11,0.02,0.16
0.199,-0.05,0.08,0.06,0.11
0.209,0.00,0.01,0.13,0.13
0.219,0.02,-0.05,0.10,0.12
0.229,0.00,-0.04,0.08,0.09
0.239,0.03,-0.01,0.03,0.04
0.249,0.05,0.04,-0.04,0.08
0.259,0.03,0.09,-0.00,0.10
0.269,0.04,0.11,0.02,0.12
0.278,0.11,0.08,0.04,0.14
0.288,0.09,0.03,0.04,0.10
0.298,0.05,-0.04,-0.00,0.06
0.309,0.03,-0.08,-0.03,0.09
0.318,0.05,-0.07,-0.09,0.13
0.328,0.00,-0.02,-0.03,0.03
0.338,-0.00,0.07,0.06,0.09
0.348,0.04,0.14,0.07,0.16
0.358,0.08,0.18,0.11,0.22
0.368,0.08,0.16,0.10,0.21
0.378,0.07,0.10,0.11,0.16
0.388,0.02,0.01,0.08,0.08
0.398,-0.01,-0.08,0.11,0.14
0.408,0.01,-0.12,0.19,0.22
0.418,0.07,-0.11,0.18,0.22
0.428,0.06,-0.06,0.13,0.16
0.438,0.02,0.02,0.10,0.10
0.448,-0.00,0.09,0.01,0.09
0.458,0.00,0.15,-0.08,0.17
0.467,-0.01,0.13,-0.09,0.16
0.477,-0.01,0.07,-0.01,0.07
0.487,0.01,0.01,0.13,0.13
0.497,0.07,-0.03,0.17,0.19
0.507,0.04,-0.06,0.21,0.22
0.517,0.01,-0.05,0.18,0.19
0.527,0.02,-0.01,0.09,0.09
0.537,0.02,0.05,0.00,0.05
0.547,0.02,0.10,0.01,0.11
0.557,0.08,0.11,0.10,0.16
0.567,0.09,0.08,0.17,0.21
0.577,0.08,0.04,0.18,0.20
0.587,0.04,0.02,0.14,0.15
0.597,0.04,-0.04,0.09,0.11
0.607,-0.01,-0.08,0.02,0.09
0.617,-0.04,-0.07,-0.06,0.10
0.627,-0.01,-0.02,-0.10,0.10
0.637,0.02,0.07,-0.10,0.12
0.646,-0.01,0.14,-0.02,0.14
0.657,-0.05,0.15,0.09,0.18
0.666,-0.05,0.07,0.17,0.19
0.676,-0.05,-0.02,0.17,0.18
0.686,-0.01,-0.09,0.16,0.18
0.696,0.04,-0.11,0.06,0.13
0.706,0.07,-0.07,-0.01,0.10
0.716,0.05,-0.00,-0.04,0.06
0.726,0.04,0.08,-0.04,0.10
0.736,0.09,0.12,-0.05,0.16
0.746,0.08,0.12,-0.01,0.14
0.756,0.08,0.08,0.08,0.14
0.766,0.10,0.01,0.11,0.15
0.776,0.06,-0.04,0.11,0.13
0.786,0.05,-0.03,0.06,0.08
0.796,0.07,0.05,-0.07,0.11
0.806,0.01,0.15,-0.05,0.16
0.816,0.03,0.21,0.00,0.21
0.826,0.11,0.19,0.14,0.26
0.836,0.19,0.10,0.22,0.31
0.845,0.25,0.01,0.26,0.36
0.856,0.23,-0.06,0.35,0.42
0.865,0.17,-0.10,0.38,0.43
0.875,0.05,-0.08,0.28,0.30
0.885,-0.04,-0.02,0.16,0.16
0.895,-0.08,0.08,0.09,0.15
0.905,-0.13,0.16,0.05,0.21
0.915,-0.14,0.17,0.13,0.25
0.925,-0.08,0.09,0.31,0.33
0.935,0.04,-0.06,0.40,0.41
0.945,0.10,-0.22,0.44,0.51
0.955,0.15,-0.26,0.40,0.50
0.965,0.19,-0.18,0.29,0.39
0.975,0.10,-0.04,0.24,0.26
0.985,-0.02,0.11,0.23,0.25
0.995,-0.10,0.17,0.00,0.19
1.005,-0.21,0.11,0.02,0.24
1.015,-0.03,0.11,0.17,0.20
1.025,0.11,0.12,0.19,0.25
1.035,0.09,0.05,0.17,0.20
1.045,0.09,0.03,0.15,0.17
