time,ax,ay,az,atotal
0.000,-0.34,0.10,-0.06,0.36
0.010,-0.11,0.14,0.11,0.21
0.020,0.29,0.13,0.19,0.37
0.030,0.54,0.10,0.13,0.56
0.040,0.47,0.06,0.06,0.47
0.050,0.20,0.03,0.11,0.22
0.060,-0.02,0.03,0.11,0.12
0.070,-0.13,0.03,0.05,0.14
0.080,-0.09,0.04,0.01,0.10
0.089,-0.02,0.03,0.05,0.06
0.099,0.08,0.04,0.10,0.13
0.109,0.13,0.05,0.08,0.16
0.119,0.14,0.07,0.07,0.17
0.129,0.10,0.06,0.09,0.15
0.139,0.08,0.05,0.09,0.13
0.149,0.06,0.04,0.07,0.10
0.159,0.08,0.04,0.08,0.12
0.169,0.10,0.03,0.09,0.14
0.179,0.13,0.04,0.08,0.16
0.189,0.15,0.06,0.08,0.18
0.199,0.11,0.06,0.06,0.14
0.209,0.07,0.08,0.07,0.13
0.219,0.04,0.08,0.10,0.14
0.229,0.04,0.08,0.08,0.12
0.239,0.05,0.06,0.05,0.09
0.249,0.05,0.04,0.07,0.10
0.259,0.07,0.03,0.08,0.11
0.269,0.11,0.02,0.10,0.15
0.278,0.11,0.04,0.09,0.15
0.288,0.10,0.07,0.05,0.13
0.298,0.09,0.07,0.08,0.13
0.308,0.08,0.06,0.07,0.12
0.318,0.10,0.05,0.06,0.13
0.328,0.07,0.04,0.07,0.11
0.338,0.06,0.04,0.07,0.10
0.348,0.07,0.04,0.08,0.11
0.358,0.07,0.05,0.08,0.12
0.368,0.08,0.05,0.08,0.12
0.378,0.08,0.05,0.07,0.11
0.388,0.08,0.06,0.07,0.12
0.398,0.07,0.05,0.08,0.12
0.408,0.08,0.04,0.07,0.11
0.418,0.08,0.04,0.07,0.11
0.428,0.08,0.03,0.08,0.12
0.438,0.09,0.03,0.08,0.12
0.448,0.06,0.04,0.07,0.10
0.458,0.04,0.04,0.06,0.08
0.468,0.03,0.05,0.05,0.07
0.477,0.02,0.04,0.07,0.08
0.487,0.03,0.03,0.07,0.09
0.497,0.05,0.01,0.07,0.09
0.507,0.05,0.02,0.07,0.08
0.517,0.05,0.03,0.08,0.09
0.527,0.05,0.02,0.06,0.08
0.537,0.05,0.02,0.06,0.08
0.547,0.05,0.01,0.06,0.07
0.557,0.05,0.02,0.06,0.08
0.567,0.06,0.04,0.06,0.09
0.577,0.04,0.03,0.07,0.09
0.587,0.05,0.02,0.07,0.08
0.597,0.04,0.03,0.07,0.09
0.607,0.03,0.04,0.06,0.08
0.617,0.03,0.04,0.07,0.09
0.627,0.04,0.03,0.05,0.07
0.637,0.03,-0.00,0.05,0.06
0.647,0.04,-0.02,0.07,0.08
0.656,0.04,-0.02,0.06,0.07
0.667,0.02,0.00,0.06,0.07
0.676,0.02,0.04,0.08,0.09
0.686,0.02,0.05,0.08,0.09
0.696,0.04,0.05,0.04,0.08
0.706,0.05,0.05,0.07,0.10
0.716,0.04,0.02,0.07,0.09
0.726,0.04,0.02,0.05,0.07
0.736,0.03,0.02,0.06,0.07
0.746,0.01,0.02,0.08,0.08
0.756,0.02,0.01,0.07,0.07
0.766,0.03,0.00,0.06,0.06
0.776,0.03,0.01,0.06,0.07
0.786,0.06,0.01,0.07,0.09
0.796,0.06,0.02,0.07,0.09
0.806,0.04,0.02,0.07,0.08
0.816,0.03,0.03,0.06,0.07
0.826,0.04,0.02,0.03,0.05
0.835,0.03,0.02,0.05,0.07
0.845,0.02,0.01,0.07,0.07
0.855,0.02,0.00,0.06,0.07
0.866,0.02,0.01,0.05,0.05
0.875,0.02,0.01,0.06,0.06
0.885,0.03,0.02,0.06,0.07
0.895,0.03,0.02,0.06,0.07
0.905,0.02,0.02,0.05,0.06
0.915,0.03,0.01,0.06,0.06
0.925,0.01,0.02,0.06,0.06
0.935,0.02,0.03,0.07,0.08
0.945,0.03,0.01,0.05,0.07
0.955,0.02,-0.01,0.05,0.05
0.965,0.01,-0.01,0.07,0.07
0.975,-0.00,0.01,0.07,0.07
0.985,0.03,0.02,0.05,0.06
0.995,0.03,0.02,0.06,0.07
1.005,0.02,0.02,0.06,0.07
1.015,0.03,0.00,0.06,0.06
1.025,0.02,-0.00,0.04,0.05
1.035,0.00,-0.00,0.07,0.07
1.044,0.02,0.02,0.06,0.07
1.054,0.02,0.02,0.06,0.07
1.065,0.01,0.02,0.07,0.07
1.074,0.02,0.01,0.06,0.06
1.084,0.02,0.01,0.06,0.07
1.094,0.04,0.01,0.06,0.07
1.104,0.03,0.01,0.05,0.06
1.114,0.01,0.00,0.05,0.06
1.124,0.02,0.01,0.07,0.07
1.134,0.01,0.00,0.07,0.07
1.144,-0.00,-0.00,0.05,0.05
1.154,-0.04,0.02,0.04,0.06
1.164,-0.03,0.03,0.04,0.06
1.174,0.01,0.03,0.07,0.08
1.184,0.03,-0.00,0.04,0.05
1.194,0.05,-0.01,0.06,0.08
1.204,0.05,-0.01,0.07,0.08
1.214,0.02,-0.00,0.06,0.06
1.224,0.01,0.01,0.05,0.06
1.233,0.01,0.02,0.06,0.07
1.243,0.02,0.01,0.06,0.06
1.253,0.01,0.01,0.07,0.07
1.263,0.01,0.01,0.05,0.06
1.273,-0.00,0.01,0.05,0.05
1.283,-0.01,0.00,0.03,0.04
1.293,0.00,0.01,0.05,0.05
1.303,0.00,0.00,0.04,0.04
1.313,0.01,0.01,0.05,0.05
1.323,0.00,0.01,0.07,0.07
1.333,0.02,0.01,0.07,0.07
1.343,0.04,0.01,0.06,0.08
1.353,0.03,0.01,0.07,0.08
1.363,0.03,-0.00,0.07,0.07
1.373,0.02,-0.00,0.04,0.04
1.383,0.01,0.00,0.04,0.04
1.393,-0.00,0.00,0.04,0.04
1.403,-0.01,0.01,0.07,0.07
1.412,-0.00,0.01,0.05,0.06
1.422,0.01,0.01,0.06,0.06
1.432,0.01,0.01,0.06,0.06
1.442,0.01,0.01,0.06,0.06
1.452,0.02,0.00,0.06,0.06
1.462,0.02,0.00,0.05,0.06
1.472,0.02,-0.01,0.06,0.06
1.482,0.02,-0.01,0.04,0.04
1.492,0.01,0.00,0.05,0.05
1.502,0.02,-0.01,0.06,0.06
1.512,0.01,-0.00,0.06,0.06
1.522,0.01,0.01,0.07,0.07
1.532,0.04,0.01,0.06,0.07
1.542,0.02,0.01,0.06,0.07
1.552,0.01,-0.00,0.07,0.07
1.562,-0.02,0.01,0.05,0.05
1.572,-0.03,0.02,0.03,0.05
1.582,-0.02,0.02,0.06,0.06
1.591,-0.01,0.03,0.07,0.08
1.601,-0.01,0.01,0.06,0.06
1.611,0.01,-0.01,0.04,0.05
1.621,0.03,-0.03,0.06,0.08
1.631,0.04,-0.02,0.05,0.06
1.641,0.02,0.00,0.04,0.05
1.651,0.01,0.02,0.05,0.06
