time,ax,ay,az,atotal
0.000,-0.15,0.13,0.63,0.66
0.010,0.03,-0.03,0.30,0.30
0.020,0.15,-0.09,0.23,0.29
0.030,0.15,-0.10,0.00,0.18
0.040,0.02,-0.03,-0.15,0.16
0.050,-0.13,0.12,-0.19,0.26
0.060,-0.19,0.24,-0.18,0.35
0.070,-0.16,0.28,-0.10,0.34
0.080,-0.09,0.24,0.00,0.25
0.090,0.02,0.13,0.11,0.17
0.099,0.08,0.01,0.09,0.12
0.109,0.12,-0.10,0.11,0.19
0.119,0.11,-0.13,0.06,0.18
0.132,-0.00,-0.05,-0.07,0.09
0.142,-0.09,0.04,-0.03,0.10
0.152,-0.14,0.13,0.02,0.20
0.162,-0.14,0.20,0.11,0.27
0.172,-0.11,0.18,0.12,0.24
0.182,-0.09,0.13,0.08,0.18
0.192,-0.09,0.07,0.06,0.13
0.201,-0.05,0.03,0.09,0.11
0.212,0.03,0.03,0.22,0.22
0.221,0.13,0.02,0.24,0.28
0.231,0.20,0.05,0.24,0.31
0.241,0.20,0.07,0.25,0.33
0.251,0.11,0.06,0.10,0.16
0.261,0.04,0.08,0.04,0.10
0.271,-0.01,0.11,0.01,0.11
0.281,-0.07,0.11,-0.13,0.19
0.291,-0.08,0.14,0.02,0.16
0.301,-0.04,0.09,0.08,0.13
0.311,-0.02,0.03,-0.03,0.05
0.321,0.06,-0.01,0.11,0.12
0.331,0.09,-0.03,0.24,0.25
0.341,0.05,-0.03,0.13,0.15
0.351,0.02,0.07,0.07,0.10
0.361,0.06,0.16,0.10,0.20
0.371,0.14,0.22,0.16,0.30
0.381,0.19,0.23,0.18,0.35
0.391,0.19,0.15,0.12,0.28
0.401,0.16,0.02,0.19,0.25
0.411,0.11,-0.12,0.24,0.29
0.420,0.04,-0.18,0.28,0.34
0.431,-0.07,-0.13,0.25,0.29
0.440,-0.16,0.01,0.23,0.28
0.450,-0.15,0.17,0.24,0.33
0.460,0.02,0.26,0.27,0.38
0.470,0.12,0.23,0.19,0.32
0.480,0.07,0.11,-0.00,0.13
0.490,-0.01,-0.03,-0.07,0.08
0.500,-0.04,-0.11,-0.09,0.15
0.510,-0.05,-0.11,-0.10,0.15
0.520,-0.05,-0.03,0.03,0.07
0.530,-0.09,0.08,0.06,0.14
0.540,-0.13,0.16,0.10,0.23
0.550,-0.13,0.22,0.18,0.31
0.560,-0.11,0.19,0.24,0.32
0.570,-0.05,0.09,0.31,0.33
0.580,0.05,-0.07,0.34,0.35
0.590,0.13,-0.15,0.26,0.33
0.600,0.14,-0.14,0.15,0.25
0.610,0.09,-0.03,0.08,0.12
0.619,-0.05,0.11,0.09,0.15
0.629,-0.17,0.22,0.03,0.28
0.639,-0.22,0.27,0.05,0.35
0.649,-0.19,0.24,0.10,0.32
