time,ax,ay,az,atotal
0.000,-0.11,0.27,-0.15,0.33
0.010,-0.23,0.39,-0.31,0.55
0.020,-0.26,0.36,-0.10,0.45
0.030,-0.19,0.20,0.17,0.32
0.040,-0.07,0.03,0.17,0.19
0.050,0.04,-0.11,0.13,0.18
0.060,0.08,-0.16,0.19,0.26
0.070,0.08,-0.15,0.23,0.29
0.079,0.02,-0.07,0.08,0.11
0.089,-0.01,0.04,-0.07,0.08
0.099,-0.00,0.12,0.03,0.12
0.109,0.01,0.17,0.07,0.18
0.119,0.01,0.18,0.09,0.20
0.129,0.03,0.17,0.07,0.18
0.139,-0.01,0.14,-0.00,0.14
0.149,-0.06,0.10,0.01,0.12
0.159,-0.07,0.07,0.01,0.10
0.169,-0.02,0.00,0.06,0.06
0.179,0.04,-0.01,0.23,0.23
0.189,0.09,-0.01,0.27,0.29
0.199,0.09,0.02,0.16,0.18
0.209,0.05,0.09,0.02,0.10
0.219,-0.02,0.13,-0.05,0.14
0.229,-0.07,0.15,-0.00,0.16
0.239,-0.05,0.10,0.07,0.13
0.248,0.01,0.05,0.04,0.07
0.258,0.02,0.06,0.11,0.13
0.269,0.02,0.04,0.23,0.23
0.278,0.04,0.05,0.16,0.17
0.288,0.06,0.09,0.01,0.11
0.298,-0.01,0.09,-0.00,0.09
0.308,-0.04,0.09,0.05,0.11
0.318,-0.03,0.07,0.07,0.10
0.328,0.05,0.04,0.13,0.15
0.338,0.11,0.03,0.15,0.19
0.348,0.08,0.05,0.12,0.15
0.358,-0.01,0.08,0.03,0.09
0.368,-0.05,0.11,-0.00,0.12
0.378,-0.06,0.10,0.11,0.15
0.388,0.02,0.06,0.24,0.25
0.398,0.09,0.09,0.12,0.18
0.408,0.07,0.11,-0.03,0.13
0.418,-0.01,0.12,0.02,0.12
0.428,-0.03,0.11,0.10,0.15
0.438,-0.01,0.07,0.05,0.09
0.447,0.02,0.03,0.05,0.07
0.458,0.03,0.01,0.16,0.16
0.467,0.03,0.01,0.21,0.21
0.477,0.06,0.03,0.11,0.13
0.487,0.04,0.08,-0.01,0.09
0.497,-0.00,0.08,-0.02,0.08
0.507,-0.02,0.11,-0.00,0.11
0.517,-0.04,0.09,-0.02,0.10
0.527,-0.03,0.08,0.11,0.14
0.537,0.02,0.06,0.23,0.24
0.547,0.07,0.04,0.20,0.22
0.557,0.09,0.04,0.07,0.12
0.567,0.04,0.08,0.03,0.09
0.577,-0.03,0.11,0.07,0.13
0.587,-0.04,0.13,0.07,0.15
0.597,0.01,0.12,-0.02,0.12
0.607,0.03,0.11,0.08,0.14
0.617,0.03,0.07,0.18,0.20
0.627,0.02,0.04,0.13,0.14
0.637,0.02,0.00,0.03,0.04
0.647,0.02,0.01,0.08,0.08
0.657,0.02,0.03,0.15,0.16
0.666,0.04,0.06,0.09,0.12
0.676,0.03,0.10,-0.02,0.11
0.686,-0.02,0.13,0.01,0.13
0.696,-0.05,0.14,0.11,0.19
0.706,-0.04,0.08,0.10,0.13
0.716,0.02,0.04,0.06,0.08
0.726,0.06,0.01,0.14,0.15
0.736,0.07,0.00,0.22,0.23
0.746,0.11,0.02,0.14,0.18
0.756,0.09,0.07,-0.04,0.12
0.766,0.01,0.11,-0.01,0.11
0.776,-0.06,0.13,0.07,0.16
0.786,-0.09,0.12,0.01,0.15
0.796,-0.09,0.08,0.06,0.13
0.806,0.00,0.03,0.25,0.25
0.816,0.06,0.00,0.28,0.29
0.825,0.11,0.00,0.05,0.12
0.835,0.08,0.05,-0.07,0.11
0.846,-0.02,0.11,0.02,0.12
0.855,-0.07,0.12,0.06,0.15
0.865,-0.04,0.10,0.03,0.11
0.875,0.01,0.08,0.09,0.12
0.885,0.04,0.04,0.23,0.24
0.895,0.04,0.03,0.22,0.22
0.905,0.00,0.00,0.01,0.01
0.915,-0.02,0.01,-0.00,0.02
0.925,0.01,0.02,0.12,0.12
0.935,0.04,0.05,0.04,0.07
0.945,0.05,0.07,0.01,0.09
0.955,0.06,0.11,0.08,0.15
0.965,0.02,0.11,0.10,0.15
0.975,-0.01,0.10,0.08,0.12
0.985,-0.01,0.09,0.09,0.12
0.995,0.02,0.06,0.11,0.13
1.005,0.05,0.06,0.14,0.15
1.015,0.02,0.05,0.04,0.07
1.025,-0.02,0.04,-0.02,0.05
1.034,-0.04,0.05,0.02,0.07
1.044,-0.06,0.07,0.06,0.11
1.054,-0.04,0.06,0.06,0.10
1.064,0.01,0.04,0.07,0.09
1.074,0.03,0.04,0.19,0.20
1.084,0.11,0.03,0.38,0.40
1.094,0.22,0.05,0.26,0.35
1.104,0.22,0.12,-0.11,0.27
1.114,0.02,0.21,-0.24,0.32
1.124,-0.20,0.26,-0.07,0.33
1.134,-0.29,0.24,-0.02,0.38
1.144,-0.26,0.16,0.03,0.31
1.154,-0.13,0.03,0.19,0.23
1.164,-0.03,-0.07,0.35,0.35
