time,ax,ay,az,atotal
0.000,-0.50,0.66,0.84,1.18
0.010,-0.71,0.52,0.55,1.04
0.020,-0.77,0.25,0.29,0.86
0.030,-0.70,0.03,0.12,0.71
0.040,-0.51,-0.07,0.03,0.52
0.050,-0.27,-0.05,-0.05,0.28
0.060,-0.01,0.04,0.03,0.05
0.069,0.19,0.15,0.14,0.28
0.081,0.27,0.19,0.25,0.42
0.090,0.24,0.12,0.28,0.39
0.099,0.12,-0.00,0.06,0.14
0.109,-0.02,-0.12,-0.11,0.17
0.119,-0.11,-0.19,-0.22,0.31
0.129,-0.14,-0.16,-0.31,0.37
0.139,-0.14,-0.04,-0.36,0.39
0.149,-0.13,0.12,-0.37,0.41
0.159,-0.12,0.27,-0.23,0.38
0.169,-0.07,0.34,-0.05,0.35
0.179,0.01,0.28,0.24,0.37
0.189,0.10,0.13,0.42,0.45
0.199,0.23,-0.03,0.57,0.62
0.209,0.27,-0.15,0.67,0.74
0.219,0.24,-0.21,0.66,0.74
0.229,0.15,-0.10,0.27,0.32
0.239,0.00,0.07,-0.03,0.08
0.249,-0.13,0.23,-0.04,0.27
0.259,-0.27,0.33,-0.13,0.45
0.269,-0.33,0.37,-0.34,0.60
0.279,-0.25,0.40,-0.43,0.64
0.289,-0.08,0.41,-0.23,0.48
0.298,0.17,0.35,-0.04,0.39
0.309,0.43,0.27,0.13,0.52
0.318,0.51,0.14,0.33,0.62
0.328,0.43,0.01,0.32,0.53
0.338,0.21,-0.10,0.25,0.34
0.348,-0.09,-0.17,0.16,0.25
0.358,-0.35,-0.14,0.03,0.38
0.368,-0.49,-0.08,-0.10,0.50
0.378,-0.46,-0.00,-0.06,0.46
0.388,-0.30,0.04,0.14,0.34
0.398,-0.07,0.10,0.18,0.22
0.408,0.12,0.17,0.21,0.30
0.418,0.16,0.19,0.43,0.49
0.428,0.19,0.17,0.40,0.48
0.438,0.19,0.14,0.22,0.32
0.448,0.17,0.10,0.11,0.22
0.458,0.09,0.09,0.05,0.13
0.468,0.03,0.09,0.14,0.16
0.478,-0.02,0.07,0.40,0.40
0.487,-0.06,0.04,0.55,0.55
0.497,-0.04,0.02,0.60,0.60
0.507,-0.02,-0.01,0.47,0.47
0.517,-0.06,-0.01,0.26,0.27
0.527,-0.12,0.04,0.08,0.15
0.537,-0.19,0.11,-0.15,0.27
0.547,-0.23,0.16,-0.32,0.43
0.557,-0.24,0.21,-0.45,0.55
0.567,-0.18,0.20,-0.39,0.47
0.577,-0.09,0.16,-0.18,0.25
0.587,0.01,0.11,0.09,0.14
0.597,0.07,0.05,0.22,0.24
0.607,0.10,0.00,0.15,0.18
0.617,0.14,-0.02,0.10,0.17
0.627,0.11,-0.05,-0.04,0.13
0.637,-0.00,-0.06,-0.21,0.22
0.647,-0.20,0.00,-0.25,0.32
0.657,-0.33,0.06,-0.06,0.34
