time,ax,ay,az,atotal
0.000,0.17,0.07,0.17,0.25
0.010,0.47,-0.11,0.13,0.50
0.020,0.34,0.07,0.07,0.36
0.030,0.18,0.28,-0.02,0.33
0.040,0.17,0.20,0.06,0.27
0.050,0.04,-0.02,0.11,0.12
0.060,-0.08,-0.09,0.10,0.16
0.070,-0.13,0.05,0.12,0.18
0.080,-0.14,0.10,0.06,0.19
0.090,-0.07,0.05,0.08,0.12
0.100,0.05,0.07,0.14,0.16
0.110,0.13,0.12,0.08,0.19
0.119,0.12,0.11,0.03,0.16
0.129,0.02,0.09,0.12,0.15
0.139,0.01,0.02,0.08,0.08
0.149,0.02,0.04,0.08,0.09
0.159,-0.03,0.06,0.11,0.13
0.169,-0.04,0.02,0.09,0.10
0.179,0.02,0.04,0.10,0.11
0.189,0.09,0.09,0.05,0.14
0.199,0.05,0.11,0.09,0.15
0.209,0.03,0.09,0.16,0.19
0.219,0.06,0.07,0.07,0.12
0.229,0.01,0.05,-0.02,0.05
0.239,-0.10,0.08,0.14,0.18
0.249,-0.06,0.03,0.10,0.12
0.259,0.02,0.02,0.07,0.08
0.269,0.06,0.04,0.08,0.10
0.279,0.05,0.08,0.06,0.12
0.289,0.05,0.12,0.15,0.20
0.299,0.07,0.10,0.12,0.17
0.309,0.06,0.04,0.02,0.08
0.319,-0.04,0.01,0.11,0.12
0.328,-0.07,0.02,0.13,0.15
0.338,-0.01,0.05,0.07,0.09
0.348,0.05,0.05,0.06,0.10
0.358,0.05,0.07,0.10,0.13
0.368,0.01,0.11,0.13,0.17
0.378,0.01,0.12,0.10,0.16
0.388,0.01,0.04,0.04,0.06
0.398,-0.01,-0.04,0.08,0.08
0.408,0.02,0.04,0.13,0.14
0.418,0.05,0.13,0.10,0.17
0.429,0.05,0.11,0.07,0.14
0.438,0.04,0.03,0.08,0.10
0.448,-0.00,0.02,0.09,0.09
0.458,0.02,0.08,0.10,0.13
0.468,-0.01,0.09,0.08,0.12
0.478,-0.03,0.01,0.05,0.06
0.488,0.04,0.01,0.09,0.10
0.498,0.07,0.12,0.10,0.17
0.507,0.04,0.13,0.08,0.16
0.517,-0.00,0.06,0.09,0.10
0.527,-0.02,0.01,0.06,0.07
0.537,-0.00,0.04,0.07,0.08
0.547,-0.01,0.06,0.13,0.14
0.557,0.00,0.03,0.07,0.08
0.567,0.06,0.06,0.09,0.12
0.577,0.08,0.12,0.10,0.18
0.587,0.11,0.08,0.04,0.14
0.597,0.05,0.07,0.10,0.14
0.607,-0.03,0.08,0.13,0.16
0.617,-0.06,0.06,0.04,0.09
0.627,-0.10,0.02,0.09,0.13
0.637,-0.08,-0.02,0.13,0.15
0.647,0.08,0.03,0.07,0.11
0.657,0.13,0.12,0.07,0.19
0.667,0.10,0.15,0.10,0.21
0.677,0.12,0.07,0.11,0.18
0.687,0.10,0.04,0.08,0.14
0.696,-0.00,0.06,0.06,0.09
0.707,-0.11,0.03,0.08,0.14
0.716,-0.12,0.01,0.12,0.17
0.726,-0.09,0.03,0.09,0.13
0.736,-0.00,0.06,0.06,0.09
0.746,0.06,0.07,0.09,0.13
0.756,0.12,0.07,0.09,0.16
0.766,0.14,0.14,0.09,0.22
0.776,0.10,0.12,0.08,0.17
0.786,-0.01,0.01,0.06,0.06
0.796,-0.06,-0.01,0.11,0.13
0.806,-0.03,0.07,0.13,0.15
0.816,-0.02,0.07,0.07,0.11
0.826,-0.01,0.03,0.07,0.08
0.836,0.03,0.04,0.10,0.12
0.846,0.12,0.08,0.08,0.16
0.856,0.11,0.10,0.10,0.18
0.866,0.04,0.05,0.07,0.09
0.876,0.04,0.06,0.05,0.09
0.886,-0.02,0.12,0.12,0.17
0.895,-0.06,0.06,0.07,0.11
0.906,-0.02,0.01,0.07,0.07
0.915,0.00,0.02,0.14,0.15
0.925,0.06,0.08,0.06,0.11
0.935,0.06,0.11,0.10,0.17
