time,ax,ay,az,atotal
0.000,-0.11,-0.17,0.59,0.62
0.010,0.38,0.01,0.35,0.52
0.020,0.60,0.14,0.09,0.62
0.030,0.57,0.20,-0.08,0.61
0.040,0.35,0.22,-0.14,0.44
0.050,0.09,0.18,-0.11,0.23
0.060,-0.07,0.09,-0.02,0.12
0.070,-0.16,0.03,0.15,0.22
0.080,-0.17,-0.02,0.30,0.35
0.090,-0.10,-0.11,0.46,0.49
0.099,-0.01,-0.13,0.43,0.44
0.109,0.10,-0.03,0.27,0.29
0.119,0.22,-0.00,0.11,0.25
0.129,0.34,-0.02,-0.08,0.35
0.139,0.35,0.01,-0.17,0.40
0.149,0.25,0.07,-0.14,0.29
0.159,0.12,0.10,-0.03,0.16
0.169,0.04,0.13,0.10,0.17
0.179,0.09,0.10,0.27,0.30
0.189,0.12,0.05,0.32,0.34
0.199,0.07,0.05,0.17,0.19
0.209,0.05,0.05,-0.03,0.08
0.219,0.04,0.02,-0.17,0.18
0.229,0.02,0.02,-0.26,0.27
0.239,0.04,0.02,-0.32,0.32
0.249,0.07,-0.02,-0.15,0.17
0.259,0.04,-0.09,0.10,0.14
0.269,-0.09,-0.08,0.32,0.34
0.279,-0.22,-0.03,0.35,0.41
0.288,-0.21,0.03,0.19,0.28
0.298,-0.05,0.04,-0.04,0.07
0.309,0.10,0.01,-0.22,0.24
0.318,0.22,-0.04,-0.33,0.40
0.328,0.23,-0.05,-0.37,0.44
0.338,0.11,0.01,-0.25,0.28
0.348,-0.04,0.02,0.03,0.06
0.358,-0.14,0.00,0.35,0.38
0.368,-0.20,-0.02,0.45,0.49
0.378,-0.10,-0.08,0.41,0.43
0.388,0.09,-0.16,0.27,0.32
0.398,0.21,-0.11,0.02,0.24
0.408,0.20,0.02,-0.23,0.30
0.418,0.06,0.07,-0.36,0.37
0.428,-0.00,0.07,-0.33,0.34
0.438,0.03,0.02,-0.15,0.16
0.448,0.04,-0.10,0.22,0.24
0.458,0.05,-0.23,0.50,0.56
0.468,0.07,-0.25,0.58,0.64
0.478,0.05,-0.24,0.49,0.55
0.488,0.08,-0.16,0.26,0.32
0.498,0.08,-0.14,0.14,0.21
0.507,0.03,-0.11,0.12,0.17
0.517,-0.02,-0.07,0.11,0.13
0.527,-0.01,-0.04,0.09,0.09
0.537,0.09,-0.01,0.09,0.13
0.547,0.24,-0.05,0.20,0.32
0.557,0.29,-0.11,0.29,0.42
0.567,0.25,-0.10,0.36,0.45
0.577,0.20,-0.08,0.38,0.44
0.587,0.14,-0.01,0.29,0.32
0.597,0.05,0.01,0.19,0.20
