time,ax,ay,az,atotal
0.000,0.47,-0.15,-0.05,0.50
0.010,0.70,0.05,0.11,0.71
0.020,0.50,0.15,0.13,0.54
0.030,0.21,0.01,0.05,0.22
0.040,0.06,-0.07,0.09,0.12
0.050,-0.10,-0.06,0.05,0.12
0.060,-0.24,-0.05,0.03,0.25
0.070,-0.24,0.02,0.04,0.24
0.080,-0.12,-0.00,0.08,0.15
0.089,-0.01,-0.01,0.11,0.11
0.099,-0.00,0.02,0.08,0.08
0.109,0.02,0.03,0.10,0.10
0.119,0.05,0.02,0.09,0.10
0.129,0.05,0.03,0.06,0.08
0.139,0.04,-0.01,0.05,0.07
0.149,0.04,-0.01,0.06,0.07
0.159,0.05,0.02,0.08,0.10
0.169,0.04,0.04,0.07,0.09
0.179,0.01,-0.02,0.09,0.09
0.189,-0.06,-0.07,0.05,0.10
0.199,-0.08,-0.03,0.06,0.11
0.209,-0.08,0.02,0.07,0.11
0.219,-0.04,0.03,0.08,0.10
0.229,-0.02,0.04,0.10,0.11
0.239,0.05,0.03,0.05,0.08
0.249,0.11,0.02,0.06,0.13
0.259,0.13,0.02,0.05,0.14
0.269,0.06,-0.00,0.08,0.10
0.279,-0.01,-0.03,0.09,0.09
0.288,-0.03,-0.03,0.07,0.08
0.298,-0.07,-0.03,0.07,0.10
0.308,-0.11,-0.03,0.07,0.13
0.318,-0.06,-0.01,0.07,0.09
0.328,0.01,-0.01,0.05,0.06
0.338,0.07,0.03,0.06,0.10
0.348,0.09,0.06,0.09,0.15
0.358,0.08,0.04,0.09,0.13
0.368,0.05,-0.02,0.09,0.10
0.378,-0.01,-0.03,0.08,0.09
0.388,-0.10,0.01,0.04,0.11
0.398,-0.13,0.02,0.10,0.16
0.408,-0.09,0.01,0.04,0.09
0.418,0.04,0.01,0.06,0.08
0.428,0.10,0.01,0.07,0.12
0.438,0.12,0.02,0.07,0.14
0.448,0.06,0.03,0.12,0.14
0.457,0.04,0.01,0.09,0.10
0.467,-0.01,-0.01,0.05,0.05
0.478,-0.08,-0.02,0.07,0.10
0.487,-0.15,-0.01,0.06,0.16
0.497,-0.16,0.01,0.07,0.17
0.507,-0.06,0.02,0.05,0.08
0.517,0.01,0.04,0.09,0.10
0.527,0.11,0.08,0.09,0.16
0.537,0.18,0.07,0.07,0.20
0.547,0.17,-0.08,0.07,0.20
0.557,0.05,-0.13,0.04,0.15
0.567,-0.07,-0.06,0.06,0.11
0.577,-0.10,-0.00,0.04,0.10
0.587,-0.08,-0.01,0.04,0.09
0.597,-0.07,-0.00,0.09,0.11
0.607,-0.02,0.04,0.07,0.08
0.617,0.04,0.05,0.11,0.13
0.627,0.11,0.03,0.07,0.13
0.637,0.12,0.00,0.05,0.13
0.646,0.02,-0.05,0.06,0.08
0.656,-0.01,-0.07,0.05,0.09
0.666,-0.01,-0.07,0.04,0.08
0.676,-0.02,-0.06,0.04,0.08
0.686,-0.08,-0.02,0.09,0.12
0.696,-0.06,0.06,0.09,0.12
0.706,0.03,0.09,0.07,0.12
0.716,0.10,0.07,0.07,0.14
0.726,0.07,0.00,0.07,0.10
0.736,0.08,-0.01,0.06,0.10
0.746,0.02,0.03,0.07,0.08
0.756,-0.06,0.03,0.07,0.10
0.766,-0.09,-0.01,0.10,0.14
0.776,-0.09,-0.01,0.09,0.13
0.786,-0.03,0.01,0.06,0.07
0.796,0.05,0.03,0.04,0.07
0.806,0.09,0.02,0.07,0.12
0.816,0.10,0.01,0.09,0.14
0.826,0.09,0.04,0.06,0.11
