time,ax,ay,az,atotal
0.000,-0.23,0.03,0.67,0.71
0.010,-0.23,0.13,0.24,0.36
0.020,-0.14,0.12,-0.06,0.20
0.030,-0.02,0.16,-0.30,0.34
0.040,0.12,0.13,-0.45,0.49
0.050,0.29,0.03,-0.35,0.46
0.059,0.45,-0.02,-0.06,0.45
0.069,0.44,-0.02,0.27,0.51
0.079,0.19,0.05,0.53,0.56
0.089,-0.09,0.22,0.54,0.59
0.099,-0.25,0.41,0.34,0.59
0.109,-0.22,0.47,0.02,0.52
0.119,-0.11,0.41,-0.36,0.56
0.129,-0.05,0.39,-0.58,0.70
0.139,-0.04,0.35,-0.71,0.79
0.149,0.06,0.23,-0.70,0.73
0.159,0.16,0.14,-0.48,0.53
0.169,0.29,-0.01,0.02,0.30
0.179,0.32,-0.20,0.51,0.63
0.189,0.14,-0.19,0.71,0.75
0.199,-0.01,-0.08,0.72,0.73
0.208,-0.00,-0.02,0.50,0.50
0.219,0.09,0.03,0.19,0.21
0.228,0.15,0.13,-0.11,0.23
0.239,0.17,0.21,-0.34,0.43
0.248,0.14,0.24,-0.42,0.50
0.258,0.08,0.25,-0.32,0.41
0.268,0.03,0.26,-0.15,0.30
0.278,-0.04,0.20,0.06,0.21
0.288,-0.09,0.13,0.25,0.30
0.298,-0.06,0.12,0.34,0.37
0.308,0.01,0.14,0.31,0.34
0.318,0.06,0.03,0.23,0.24
0.328,0.04,-0.02,0.14,0.15
0.338,0.09,-0.02,0.08,0.13
0.348,0.12,-0.04,0.12,0.17
0.358,0.02,-0.07,0.27,0.28
0.368,-0.13,-0.08,0.35,0.39
0.378,-0.22,-0.05,0.32,0.39
0.388,-0.20,0.04,0.18,0.27
0.398,-0.10,0.04,0.04,0.11
0.408,-0.01,-0.03,-0.04,0.05
0.418,0.03,-0.01,-0.09,0.10
0.427,0.00,0.01,-0.10,0.10
0.437,0.02,-0.00,0.00,0.02
0.447,-0.02,-0.00,0.10,0.10
0.457,-0.14,-0.00,0.16,0.22
0.467,-0.13,-0.05,0.20,0.25
0.477,-0.05,-0.10,0.29,0.31
0.487,0.04,-0.12,0.28,0.31
0.497,0.06,-0.10,0.09,0.15
0.507,0.03,0.03,-0.12,0.13
0.517,-0.08,0.13,-0.25,0.30
0.527,-0.08,0.14,-0.26,0.31
0.537,-0.04,0.10,-0.06,0.12
0.547,-0.04,0.01,0.16,0.17
0.557,-0.00,-0.02,0.29,0.29
0.567,-0.01,-0.01,0.28,0.28
0.577,-0.04,0.04,0.18,0.19
0.587,0.01,0.04,0.16,0.16
0.597,0.09,-0.02,0.31,0.32
0.607,0.12,-0.04,0.47,0.49
0.617,0.10,-0.03,0.48,0.50
0.626,-0.02,0.05,0.41,0.42
0.636,-0.12,0.11,0.29,0.33
0.646,-0.10,0.17,0.13,0.23
0.656,-0.03,0.21,-0.02,0.21
0.666,0.03,0.21,-0.09,0.23
0.676,0.11,0.18,-0.07,0.22
0.686,0.22,0.15,0.12,0.29
0.696,0.30,0.08,0.38,0.49
0.706,0.23,0.01,0.46,0.52
0.716,0.07,0.02,0.45,0.45
0.726,-0.08,0.08,0.31,0.33
0.736,-0.11,0.14,0.10,0.21
0.746,-0.06,0.18,-0.07,0.20
0.756,-0.05,0.23,-0.20,0.31
0.766,-0.05,0.23,-0.25,0.34
0.776,-0.02,0.17,-0.15,0.23
0.785,0.05,0.11,-0.01,0.13
0.796,0.14,0.05,0.16,0.22
0.806,0.12,-0.00,0.25,0.28
0.816,-0.03,0.03,0.25,0.25
0.825,-0.15,0.04,0.20,0.25
0.835,-0.22,0.07,0.06,0.23
0.845,-0.22,0.09,-0.10,0.26
0.855,-0.16,0.09,-0.22,0.29
0.865,-0.06,0.07,-0.21,0.23
0.875,0.06,0.03,-0.14,0.16
0.885,0.09,0.01,-0.03,0.10
0.895,-0.02,0.03,0.14,0.14
0.905,-0.09,0.02,0.36,0.37
0.915,-0.15,0.03,0.44,0.47
0.925,-0.15,0.04,0.32,0.36
0.935,-0.08,0.07,0.12,0.16
0.945,-0.01,0.09,-0.07,0.12
0.955,0.01,0.08,-0.20,0.22
0.965,0.00,0.12,-0.28,0.30
0.975,-0.03,0.18,-0.34,0.38
0.985,-0.03,0.18,-0.29,0.34
