time,ax,ay,az,atotal
0.000,-0.01,-0.01,0.19,0.19
0.010,-0.00,0.07,0.11,0.13
0.020,-0.01,0.05,-0.02,0.05
0.030,-0.10,-0.03,-0.08,0.13
0.040,-0.12,-0.04,-0.03,0.13
0.050,-0.02,-0.01,0.09,0.09
0.060,0.06,0.04,0.14,0.16
0.070,0.08,0.08,0.11,0.15
0.079,0.07,0.07,0.12,0.15
0.090,0.02,0.01,0.14,0.14
0.099,-0.01,0.01,0.05,0.06
0.110,-0.03,0.04,0.05,0.07
0.119,-0.03,0.04,0.07,0.09
0.129,-0.02,0.03,0.07,0.08
0.139,0.02,0.04,0.08,0.09
0.149,0.04,0.08,0.10,0.14
0.159,0.03,0.06,0.09,0.11
0.169,0.00,0.01,0.05,0.06
0.179,-0.02,0.03,0.11,0.12
0.189,-0.02,0.03,0.06,0.07
0.199,0.02,0.03,0.04,0.05
0.209,0.03,0.00,0.08,0.09
0.219,0.00,0.03,0.08,0.09
0.229,0.01,0.07,0.09,0.11
0.239,0.03,0.05,0.07,0.09
0.249,0.04,0.05,0.08,0.10
0.259,0.00,0.06,0.12,0.14
0.269,-0.01,0.10,0.08,0.13
0.278,0.00,0.09,0.08,0.12
0.289,0.00,0.04,0.07,0.08
0.298,-0.03,-0.01,0.06,0.07
0.308,-0.01,0.02,0.05,0.06
0.318,0.02,0.05,0.09,0.10
0.328,0.04,0.08,0.08,0.12
0.338,-0.01,0.07,0.12,0.14
0.348,-0.04,0.01,0.09,0.10
0.358,-0.02,0.00,0.03,0.04
0.368,0.02,-0.01,0.03,0.04
0.378,0.01,-0.04,0.06,0.07
0.388,0.02,-0.04,0.04,0.06
0.398,0.06,0.00,0.04,0.07
0.408,0.05,0.04,0.09,0.11
0.418,0.00,0.07,0.13,0.15
0.428,-0.00,0.08,0.11,0.14
0.438,0.04,0.11,0.06,0.13
0.448,0.07,0.09,0.04,0.12
0.457,0.02,0.01,0.06,0.06
0.468,-0.06,-0.01,0.11,0.13
0.477,-0.06,0.06,0.09,0.12
0.487,-0.02,0.08,0.08,0.11
0.497,-0.02,0.05,0.06,0.08
0.507,0.00,0.01,0.08,0.08
0.517,0.04,0.00,0.06,0.07
0.527,0.06,0.02,0.02,0.07
0.537,0.01,-0.02,0.30,0.30
0.547,-0.00,0.07,0.01,0.07
0.557,0.02,0.12,-0.08,0.15
0.567,-0.03,0.04,0.00,0.05
0.577,-0.08,-0.04,0.19,0.21
0.587,-0.06,0.06,0.19,0.21
0.597,-0.00,0.17,0.07,0.18
0.607,0.05,0.14,0.03,0.15
0.617,0.08,-0.02,0.06,0.10
0.627,0.06,-0.08,0.11,0.15
0.637,0.06,0.05,0.12,0.14
0.647,0.06,0.13,0.10,0.18
0.657,-0.02,0.02,0.06,0.06
0.667,-0.06,-0.09,0.01,0.11
0.676,-0.03,-0.08,0.05,0.09
0.686,-0.03,-0.02,0.06,0.07
0.696,0.00,0.04,0.11,0.11
0.706,0.03,0.12,0.07,0.14
0.716,0.09,0.11,0.08,0.16
0.726,0.10,0.06,0.10,0.15
0.736,0.07,0.09,0.10,0.15
0.746,0.02,0.16,0.19,0.25
0.756,-0.09,0.11,0.15,0.20
0.766,-0.14,0.02,0.00,0.14
0.776,-0.08,-0.02,-0.03,0.09
0.786,-0.02,-0.05,0.03,0.06
0.796,-0.00,-0.01,0.13,0.13
0.806,0.09,0.04,0.04,0.10
0.816,0.15,0.05,0.03,0.16
0.826,0.15,-0.01,0.12,0.19
0.835,0.04,-0.00,0.14,0.15
0.846,-0.05,0.07,0.14,0.16
0.856,-0.07,0.10,0.00,0.12
0.866,-0.10,0.01,-0.01,0.10
0.875,-0.05,-0.05,0.04,0.08
0.885,0.02,0.06,0.07,0.09
0.895,0.03,0.13,0.13,0.18
0.905,0.04,0.11,0.13,0.18
0.915,0.04,0.05,0.08,0.11
0.925,0.04,0.06,0.09,0.11
0.935,0.03,0.03,0.06,0.07
0.945,-0.03,-0.03,0.07,0.08
0.955,-0.05,-0.04,0.04,0.08
0.965,-0.02,-0.03,0.05,0.06
0.975,-0.01,-0.03,0.05,0.06
0.985,0.05,-0.00,0.04,0.06
0.995,0.07,0.02,0.09,0.11
1.005,0.04,0.04,0.12,0.13
1.015,0.03,0.11,0.11,0.16
1.025,0.04,0.14,0.05,0.16
1.034,0.02,0.14,0.08,0.17
1.044,-0.02,0.07,0.13,0.15
1.054,-0.04,0.04,0.10,0.12
1.065,-0.07,0.05,0.07,0.11
1.074,-0.07,0.03,0.04,0.08
1.084,-0.04,-0.02,0.06,0.07
1.094,0.00,-0.05,0.08,0.09
1.104,0.06,0.00,0.08,0.10
1.114,0.08,0.04,0.06,0.11
1.124,0.08,0.01,0.09,0.12
1.134,0.05,0.03,0.12,0.13
1.144,0.02,0.10,0.09,0.13
1.154,0.02,0.12,0.05,0.13
1.164,-0.06,0.06,0.11,0.13
1.174,-0.08,0.03,0.07,0.12
1.184,-0.06,0.08,0.07,0.12
1.194,-0.01,0.10,0.07,0.12
1.204,0.06,0.04,0.06,0.09
1.214,0.10,-0.02,0.09,0.14
1.224,0.08,-0.00,0.10,0.13
1.233,0.06,0.07,0.05,0.11
1.243,0.04,0.02,0.11,0.12
1.253,0.00,-0.02,0.09,0.09
1.263,-0.09,-0.05,0.08,0.13
1.273,-0.10,-0.01,0.08,0.13
1.283,-0.04,0.04,0.06,0.09
1.293,0.03,0.09,0.03,0.09
1.303,0.10,0.10,0.09,0.17
1.313,0.10,0.11,0.11,0.19
1.323,0.08,0.13,0.11,0.19
1.333,0.07,0.07,0.10,0.14
1.343,0.04,0.01,0.08,0.08
1.353,-0.02,-0.04,0.05,0.07
1.363,-0.09,-0.01,0.07,0.11
1.373,-0.10,0.01,0.06,0.11
1.383,-0.05,0.00,0.03,0.06
1.393,-0.01,-0.04,0.02,0.04
1.403,0.02,-0.02,0.09,0.09
1.413,0.06,0.03,0.11,0.13
1.422,0.08,0.11,0.10,0.17
1.432,0.06,0.10,0.07,0.14
1.442,0.00,0.04,0.10,0.11
1.452,-0.05,0.08,0.10,0.14
1.462,-0.08,0.10,0.07,0.14
1.472,-0.00,0.06,0.05,0.08
1.482,0.07,0.03,0.06,0.10
1.492,0.06,0.04,0.08,0.11
1.502,0.06,0.06,0.09,0.12
1.512,0.08,-0.00,0.07,0.10
1.522,0.03,-0.04,0.09,0.10
1.532,-0.04,-0.03,0.07,0.09
1.542,-0.08,0.00,0.08,0.11
1.552,-0.08,0.01,0.08,0.11
1.562,-0.03,0.06,0.02,0.07
1.572,0.02,0.09,0.05,0.10
1.582,0.03,0.07,0.09,0.12
1.592,0.05,0.09,0.11,0.15
1.602,0.08,0.10,0.11,0.17
1.611,0.03,0.05,0.09,0.11
1.621,-0.05,0.02,0.09,0.11
1.631,-0.08,0.04,0.07,0.11
1.641,-0.04,0.05,0.05,0.08
1.651,-0.01,0.02,0.03,0.04
1.661,0.03,-0.00,0.05,0.06
1.671,0.07,0.01,0.10,0.12
1.681,0.10,0.04,0.09,0.14
1.691,0.07,0.03,0.08,0.10
1.701,0.01,0.01,0.09,0.09
1.711,-0.05,0.01,0.08,0.10
1.721,-0.10,0.04,0.07,0.13
1.731,-0.08,0.06,0.04,0.11
1.741,-0.04,0.08,0.07,0.11
1.751,0.00,0.09,0.06,0.11
1.761,0.07,0.07,0.07,0.12
1.771,0.11,0.07,0.09,0.16
1.781,0.09,0.09,0.12,0.17
1.790,0.03,0.08,0.15,0.17
1.800,-0.01,0.01,0.09,0.09
1.810,-0.05,-0.04,0.06,0.09
1.820,-0.03,-0.04,0.02,0.05
1.830,0.02,-0.01,-0.01,0.03
1.840,0.02,-0.00,0.10,0.11
1.850,0.01,0.02,0.09,0.09
1.860,0.06,0.09,0.08,0.13
1.870,0.09,0.08,0.11,0.16
1.880,0.05,0.08,0.10,0.14
1.890,-0.01,0.09,0.09,0.13
1.900,-0.07,0.07,0.09,0.14
1.910,-0.10,0.05,0.10,0.15
1.920,-0.07,0.06,0.05,0.11
1.930,-0.01,0.02,0.03,0.04
1.940,0.05,-0.04,0.07,0.09
1.950,0.09,-0.02,0.09,0.13
1.960,0.12,0.03,0.10,0.16
1.970,0.15,0.07,0.05,0.17
1.980,0.04,0.02,0.10,0.11
1.989,-0.06,0.00,0.11,0.12
1.999,-0.07,0.07,0.05,0.11
2.009,-0.07,0.07,0.06,0.11
2.019,-0.07,0.03,0.07,0.10
2.029,-0.03,0.02,0.06,0.07
2.039,0.07,0.04,0.08,0.11
2.049,0.11,0.07,0.07,0.15
2.059,0.07,0.06,0.12,0.15
2.069,0.01,0.06,0.10,0.12
2.079,-0.03,0.06,0.11,0.12
2.089,-0.03,0.04,0.07,0.09
2.099,-0.04,0.00,0.02,0.05
2.109,-0.04,-0.04,0.02,0.06
2.119,-0.04,-0.03,0.07,0.08
2.129,-0.00,0.02,0.09,0.09
2.139,0.05,0.04,0.06,0.09
2.148,0.08,0.05,0.09,0.13
2.159,0.08,0.08,0.11,0.16
2.168,0.07,0.08,0.09,0.14
2.178,0.04,0.06,0.07,0.10
2.188,-0.05,0.08,0.10,0.14
2.199,-0.06,0.06,0.08,0.12
2.208,-0.05,0.02,0.06,0.08
2.218,-0.03,0.01,0.04,0.06
2.228,0.02,0.01,0.06,0.07
2.238,0.07,-0.00,0.05,0.08
2.248,0.06,-0.01,0.09,0.11
2.258,0.03,0.03,0.11,0.12
2.268,-0.03,0.08,0.13,0.15
2.278,-0.06,0.06,0.07,0.11
2.288,-0.04,0.02,0.05,0.07
2.298,-0.04,0.01,0.08,0.09
2.308,-0.00,0.04,0.08,0.09
2.318,0.07,0.09,0.07,0.13
2.328,0.07,0.08,0.10,0.14
2.338,0.04,0.05,0.12,0.13
2.347,0.05,0.08,0.09,0.13
2.358,0.03,0.08,0.09,0.12
2.367,-0.03,0.02,0.08,0.09
2.377,-0.05,-0.04,0.03,0.07
2.387,-0.02,-0.03,0.03,0.05
2.397,0.02,0.01,0.06,0.06
2.407,0.04,0.05,0.06,0.09
2.417,0.02,0.02,0.12,0.12
2.427,0.02,0.02,0.10,0.10
2.437,0.01,0.08,0.12,0.15
2.447,-0.01,0.11,0.07,0.13
2.457,-0.05,0.07,0.06,0.10
2.467,-0.05,0.01,0.07,0.09
2.477,-0.01,0.03,0.06,0.07
2.487,0.01,0.07,0.05,0.08
2.497,0.05,0.05,0.09,0.11
2.507,0.06,0.03,0.10,0.12
2.517,0.07,0.03,0.09,0.12
2.527,0.06,0.05,0.08,0.12
2.537,0.05,0.05,0.10,0.12
2.546,-0.03,0.04,0.06,0.08
2.557,-0.07,0.03,0.03,0.09
2.567,-0.04,0.01,0.07,0.08
2.576,-0.02,0.02,0.06,0.07
2.586,0.01,0.05,0.07,0.08
2.596,0.01,0.03,0.09,0.09
2.606,0.04,0.04,0.09,0.11
2.616,0.06,0.06,0.08,0.12
2.626,0.03,0.08,0.10,0.13
2.636,-0.00,0.07,0.08,0.10
2.646,-0.02,0.02,0.06,0.07
2.656,-0.02,0.03,0.07,0.08
2.666,-0.03,0.01,0.07,0.08
2.676,-0.01,0.01,0.05,0.05
2.686,0.01,0.01,0.09,0.09
2.696,0.04,0.04,0.08,0.10
2.706,0.03,0.05,0.10,0.12
2.716,0.03,0.03,0.08,0.09
2.726,0.07,0.02,0.07,0.10
2.736,0.05,0.05,0.10,0.13
