time,ax,ay,az,atotal
0.000,0.34,0.14,-1.14,1.20
0.010,0.54,0.48,-0.74,1.03
0.020,0.57,0.65,-0.08,0.87
0.030,0.46,0.58,0.52,0.91
0.040,0.35,0.32,0.65,0.80
0.050,0.25,-0.00,0.69,0.73
0.060,0.11,-0.27,0.87,0.91
0.070,-0.03,-0.41,0.86,0.95
0.080,-0.12,-0.45,0.60,0.76
0.089,-0.22,-0.42,0.38,0.61
0.099,-0.25,-0.33,0.20,0.46
0.109,-0.22,-0.21,0.07,0.31
0.119,-0.15,-0.09,-0.07,0.19
0.129,-0.06,0.00,-0.12,0.14
0.139,0.03,0.08,-0.17,0.19
0.149,0.12,0.12,-0.16,0.23
0.159,0.19,0.15,-0.16,0.30
0.169,0.25,0.16,-0.16,0.34
0.179,0.29,0.17,-0.09,0.35
0.189,0.30,0.17,-0.05,0.35
0.199,0.28,0.13,0.01,0.30
0.209,0.22,0.04,0.05,0.23
0.219,0.12,-0.06,0.06,0.15
0.229,0.05,-0.13,0.12,0.18
0.239,0.01,-0.17,0.21,0.27
0.249,-0.02,-0.17,0.26,0.32
0.259,-0.03,-0.15,0.27,0.31
0.269,-0.01,-0.11,0.21,0.23
0.279,0.03,-0.07,0.14,0.16
0.288,0.07,-0.00,0.11,0.13
0.298,0.10,0.01,0.09,0.14
0.308,0.13,0.02,0.06,0.14
0.318,0.14,0.03,0.04,0.15
0.328,0.14,0.03,-0.00,0.14
0.338,0.13,0.03,-0.02,0.14
0.348,0.12,0.04,-0.00,0.13
0.358,0.11,0.04,0.00,0.12
0.368,0.08,0.02,0.01,0.09
0.378,0.06,0.00,0.04,0.07
0.388,0.06,-0.02,0.08,0.10
0.398,0.05,-0.05,0.11,0.13
0.408,0.06,-0.07,0.14,0.17
0.418,0.08,-0.08,0.14,0.18
0.428,0.10,-0.07,0.15,0.19
0.438,0.11,-0.06,0.15,0.20
0.448,0.09,-0.02,0.13,0.16
0.458,0.11,-0.00,0.09,0.14
0.468,0.10,0.03,0.06,0.12
0.478,0.09,0.03,0.03,0.10
0.487,0.08,0.02,0.03,0.09
0.497,0.09,-0.01,0.02,0.09
0.507,0.08,-0.02,0.03,0.09
0.517,0.09,-0.03,0.03,0.10
0.527,0.10,-0.03,0.05,0.12
0.537,0.10,-0.01,0.07,0.13
0.547,0.10,-0.00,0.09,0.13
