time,ax,ay,az,atotal
0.000,0.35,0.55,0.78,1.02
0.010,0.25,0.19,0.91,0.96
0.020,0.05,-0.20,0.38,0.44
0.030,-0.13,-0.42,-0.10,0.45
0.040,-0.21,-0.46,-0.22,0.55
0.050,-0.24,-0.33,-0.14,0.43
0.060,-0.19,-0.07,0.09,0.22
0.070,-0.11,0.10,0.30,0.33
0.080,0.02,0.17,0.25,0.30
0.090,0.13,0.16,0.01,0.21
0.100,0.19,0.10,-0.14,0.26
0.110,0.21,0.05,-0.09,0.23
0.119,0.17,0.03,0.07,0.18
0.129,0.08,0.00,0.16,0.18
0.139,-0.04,-0.01,0.14,0.15
0.149,-0.12,-0.03,0.06,0.14
0.159,-0.14,-0.03,0.03,0.15
0.169,-0.09,0.02,0.04,0.10
0.179,-0.03,0.03,0.08,0.09
0.189,0.03,0.03,0.08,0.09
0.199,0.08,0.00,0.05,0.10
0.209,0.10,0.01,0.06,0.12
0.219,0.10,0.01,0.07,0.12
0.229,0.07,0.03,0.05,0.10
0.239,0.04,0.05,0.04,0.07
0.249,0.00,0.03,0.08,0.09
0.259,-0.03,0.00,0.07,0.07
0.269,-0.04,-0.03,0.05,0.07
0.279,-0.04,-0.03,0.06,0.08
0.289,-0.01,-0.03,0.07,0.08
0.299,0.01,-0.02,0.05,0.06
0.309,0.04,-0.02,0.08,0.09
0.319,0.04,-0.01,0.08,0.09
0.329,0.05,-0.00,0.06,0.08
0.338,0.04,0.02,0.06,0.07
0.348,0.03,0.02,0.05,0.06
0.358,0.03,0.04,0.04,0.07
0.368,-0.01,0.02,0.06,0.07
0.378,-0.03,0.02,0.07,0.08
0.388,-0.04,-0.02,0.06,0.07
0.398,-0.02,-0.02,0.05,0.06
0.408,-0.01,-0.02,0.07,0.07
0.418,0.02,0.00,0.09,0.09
0.428,0.04,0.02,0.07,0.09
0.438,0.05,0.04,0.05,0.08
0.448,0.04,0.08,0.03,0.10
0.458,0.03,0.07,0.05,0.09
0.468,0.03,0.04,0.06,0.08
0.478,0.01,0.02,0.06,0.07
0.488,0.00,-0.01,0.07,0.07
0.498,-0.00,-0.03,0.05,0.06
0.507,0.01,-0.02,0.05,0.06
0.517,0.04,-0.02,0.05,0.07
0.527,0.05,-0.01,0.07,0.09
0.537,0.04,-0.01,0.06,0.07
0.547,0.01,-0.01,0.06,0.06
0.557,0.01,0.00,0.05,0.05
0.567,-0.02,-0.02,0.06,0.06
0.577,-0.02,-0.01,0.07,0.07
0.587,-0.02,-0.01,0.06,0.06
0.597,-0.02,0.01,0.06,0.06
0.607,0.00,0.02,0.09,0.09
0.617,0.04,0.03,0.08,0.10
0.627,0.06,0.02,0.06,0.08
0.637,0.07,0.02,0.05,0.09
0.647,0.05,0.02,0.06,0.08
0.657,0.00,0.00,0.05,0.05
0.667,-0.01,0.01,0.07,0.07
0.677,-0.03,0.00,0.09,0.09
0.687,-0.00,0.00,0.07,0.07
0.697,-0.01,0.01,0.04,0.04
0.706,0.02,0.02,0.05,0.06
0.716,0.03,0.02,0.05,0.07
0.726,0.04,0.03,0.06,0.08
0.736,0.02,0.03,0.05,0.06
0.746,-0.00,0.00,0.06,0.06
0.756,-0.02,-0.01,0.06,0.07
0.766,-0.02,-0.00,0.05,0.06
0.776,-0.02,0.01,0.04,0.05
0.786,0.00,0.01,0.08,0.08
0.796,0.04,0.01,0.09,0.10
0.806,0.03,0.00,0.06,0.07
0.816,0.02,-0.01,0.04,0.05
0.826,0.03,-0.01,0.07,0.07
0.836,0.02,-0.00,0.07,0.08
0.846,0.02,-0.02,0.06,0.06
0.856,0.02,-0.02,0.08,0.08
0.866,0.03,0.00,0.07,0.08
0.876,0.02,0.01,0.05,0.05
0.886,0.01,0.02,0.06,0.06
0.896,0.02,0.03,0.05,0.06
0.905,0.01,0.03,0.04,0.05
0.915,0.01,0.06,0.05,0.08
0.925,0.01,0.05,0.09,0.11
0.935,-0.01,0.05,0.08,0.10
0.945,0.01,0.02,0.06,0.06
0.955,0.03,0.01,0.06,0.07
0.965,0.02,-0.01,0.06,0.07
0.975,0.01,-0.04,0.05,0.06
0.985,0.00,-0.05,0.03,0.06
0.995,-0.02,-0.04,0.04,0.06
1.005,-0.03,-0.01,0.06,0.07
