time,ax,ay,az,atotal
0.000,-0.24,-0.15,0.54,0.61
0.010,-0.29,-0.25,0.68,0.78
0.020,-0.25,-0.25,0.52,0.63
0.030,-0.18,-0.19,0.38,0.46
0.040,-0.20,-0.13,0.24,0.34
0.050,-0.19,-0.01,0.12,0.23
0.060,-0.23,0.08,0.08,0.26
0.070,-0.22,0.10,0.09,0.26
0.080,-0.18,0.06,-0.03,0.19
0.089,-0.25,-0.14,-0.04,0.29
0.099,-0.20,-0.19,0.03,0.28
0.109,-0.01,-0.07,0.11,0.13
0.119,0.18,0.03,0.17,0.25
0.129,0.35,0.11,0.19,0.41
0.139,0.36,0.15,0.15,0.42
0.149,0.22,0.13,0.08,0.26
0.159,0.02,0.10,0.04,0.11
0.169,-0.10,0.05,0.07,0.13
0.179,-0.14,0.02,0.08,0.16
0.189,-0.09,0.00,0.10,0.13
0.199,-0.01,-0.01,0.23,0.23
0.209,0.03,-0.05,0.23,0.23
0.219,0.04,-0.07,0.20,0.22
0.229,-0.01,-0.11,0.13,0.17
0.239,-0.03,-0.09,0.04,0.10
0.249,0.03,-0.02,-0.03,0.05
0.259,0.10,0.08,-0.07,0.15
0.269,0.16,0.16,-0.05,0.23
0.279,0.21,0.20,-0.03,0.30
0.289,0.21,0.18,-0.01,0.27
0.299,0.18,0.12,-0.02,0.22
0.308,0.14,0.02,0.02,0.15
0.318,0.13,-0.04,0.12,0.18
0.328,0.12,-0.08,0.15,0.21
0.338,0.11,-0.08,0.12,0.19
0.348,0.07,-0.06,0.06,0.11
0.358,0.04,0.01,-0.06,0.07
0.368,0.03,0.08,-0.09,0.13
0.378,0.06,0.13,-0.09,0.17
0.388,0.09,0.13,-0.06,0.17
0.398,0.12,0.09,0.01,0.15
0.408,0.14,0.03,0.09,0.17
0.418,0.18,-0.02,0.06,0.19
0.428,0.13,-0.04,0.19,0.24
0.438,0.04,-0.06,0.20,0.21
0.448,-0.02,-0.06,0.10,0.12
0.458,-0.00,-0.05,0.03,0.06
0.468,0.06,-0.01,-0.05,0.08
0.478,0.05,0.03,-0.12,0.13
0.487,-0.00,0.05,-0.20,0.21
0.497,-0.09,0.05,-0.28,0.30
0.507,-0.13,0.08,-0.31,0.35
0.517,-0.17,0.11,-0.26,0.32
0.527,-0.15,0.13,-0.18,0.27
0.537,-0.05,0.14,-0.03,0.15
0.547,0.13,0.09,0.12,0.20
0.557,0.32,0.03,0.17,0.36
0.567,0.41,-0.03,0.15,0.44
0.577,0.35,-0.05,0.08,0.36
0.587,0.21,-0.02,-0.04,0.22
0.597,0.08,0.04,-0.12,0.15
0.607,0.03,0.10,-0.16,0.19
0.617,0.04,0.16,-0.11,0.20
0.627,0.10,0.19,-0.04,0.22
0.637,0.17,0.19,0.07,0.26
0.646,0.16,0.16,0.12,0.25
0.657,0.13,0.10,0.19,0.25
0.667,0.10,-0.00,0.21,0.24
0.676,0.08,-0.07,0.26,0.28
0.686,0.05,-0.10,0.29,0.31
0.696,0.05,-0.08,0.27,0.28
0.706,0.02,-0.03,0.30,0.30
0.716,-0.03,-0.02,0.36,0.36
0.726,-0.02,0.01,0.26,0.26
0.736,0.00,-0.00,0.34,0.34
0.746,0.05,-0.02,0.41,0.41
0.756,0.08,-0.03,0.41,0.42
0.766,0.16,-0.07,0.32,0.37
0.776,0.21,-0.12,0.28,0.37
0.786,0.18,-0.12,0.22,0.31
0.796,0.13,-0.08,0.16,0.23
0.806,0.05,-0.05,0.10,0.12
0.816,-0.03,-0.02,0.10,0.10
0.826,-0.08,0.02,0.12,0.15
0.836,-0.06,0.03,0.19,0.20
0.846,0.03,0.03,0.21,0.21
0.856,0.12,0.00,0.24,0.26
0.866,0.12,-0.01,0.27,0.29
0.875,0.06,-0.01,0.27,0.27
0.885,-0.03,-0.04,0.25,0.26
0.895,-0.09,-0.04,0.13,0.16
0.905,-0.13,-0.05,0.08,0.16
0.915,-0.12,-0.03,0.12,0.18
0.925,-0.07,-0.02,0.08,0.11
0.935,0.04,0.01,0.02,0.04
0.945,0.14,0.03,0.01,0.14
0.955,0.17,0.05,0.02,0.18
0.965,0.13,0.07,-0.01,0.15
0.975,0.08,0.08,-0.04,0.12
0.985,0.00,0.07,-0.08,0.11
0.995,-0.01,0.06,0.10,0.12
1.005,0.05,0.03,0.16,0.17
1.015,0.08,0.01,0.08,0.12
