time,ax,ay,az,atotal
0.000,-0.15,0.20,0.41,0.49
0.010,0.26,0.10,0.23,0.36
0.020,0.59,0.04,0.09,0.59
0.030,0.43,0.01,0.12,0.44
0.040,0.05,0.01,0.11,0.13
0.050,-0.13,0.06,0.05,0.15
0.060,-0.12,0.09,0.01,0.15
0.070,-0.02,0.13,0.02,0.13
0.080,0.05,0.14,0.10,0.18
0.090,0.08,0.13,0.14,0.21
0.100,0.09,0.11,0.09,0.17
0.110,0.05,0.09,0.05,0.12
0.120,0.04,0.05,0.09,0.11
0.129,0.10,0.08,0.09,0.15
0.139,0.12,0.09,0.09,0.17
0.149,0.10,0.09,0.10,0.16
0.159,0.08,0.08,0.11,0.16
0.169,0.06,0.10,0.08,0.14
0.179,0.03,0.10,0.06,0.12
0.189,0.02,0.09,0.07,0.11
0.199,0.04,0.10,0.09,0.14
0.209,0.08,0.09,0.09,0.15
0.219,0.10,0.09,0.08,0.15
0.229,0.08,0.10,0.09,0.16
0.239,0.05,0.09,0.08,0.13
0.249,0.05,0.08,0.08,0.12
0.259,0.04,0.09,0.07,0.12
0.269,0.04,0.08,0.08,0.12
0.279,0.05,0.09,0.10,0.14
0.289,0.06,0.09,0.11,0.15
0.299,0.11,0.10,0.10,0.18
0.309,0.12,0.10,0.09,0.18
0.319,0.09,0.09,0.08,0.15
0.328,0.03,0.06,0.09,0.11
0.338,0.01,0.07,0.08,0.10
0.348,0.04,0.08,0.07,0.12
0.358,0.04,0.10,0.09,0.14
0.368,0.07,0.13,0.09,0.17
0.378,0.11,0.13,0.09,0.20
0.388,0.11,0.13,0.09,0.19
0.398,0.07,0.09,0.08,0.14
0.408,0.04,0.07,0.09,0.12
0.418,0.03,0.06,0.08,0.11
0.428,0.05,0.07,0.07,0.11
0.438,0.05,0.09,0.07,0.13
0.448,0.08,0.12,0.06,0.15
0.458,0.09,0.11,0.08,0.16
0.468,0.07,0.09,0.08,0.14
0.478,0.06,0.06,0.09,0.12
0.488,0.05,0.05,0.09,0.11
0.498,0.04,0.05,0.07,0.10
0.507,0.04,0.08,0.07,0.11
0.517,0.05,0.09,0.10,0.15
0.527,0.06,0.10,0.11,0.16
0.537,0.07,0.12,0.09,0.17
0.547,0.10,0.12,0.08,0.17
0.557,0.08,0.09,0.08,0.14
0.567,0.05,0.08,0.09,0.13
0.577,0.05,0.07,0.07,0.11
0.587,0.04,0.08,0.06,0.11
0.597,0.04,0.07,0.08,0.11
0.607,0.08,0.09,0.09,0.15
0.617,0.09,0.11,0.06,0.16
0.627,0.07,0.10,0.07,0.14
0.637,0.05,0.09,0.09,0.14
0.647,0.05,0.07,0.10,0.13
0.657,0.06,0.05,0.08,0.11
0.667,0.06,0.07,0.08,0.12
0.677,0.06,0.09,0.08,0.14
0.687,0.08,0.11,0.09,0.16
0.696,0.09,0.11,0.10,0.17
0.707,0.10,0.11,0.09,0.17
0.716,0.08,0.08,0.08,0.14
0.726,0.06,0.07,0.08,0.12
0.736,0.05,0.07,0.07,0.11
0.746,0.04,0.07,0.07,0.11
0.756,0.03,0.09,0.09,0.13
0.766,0.05,0.10,0.09,0.14
0.776,0.07,0.09,0.09,0.15
0.786,0.07,0.11,0.08,0.15
0.796,0.06,0.10,0.10,0.15
0.806,0.07,0.07,0.08,0.12
0.816,0.07,0.07,0.08,0.13
0.826,0.06,0.08,0.09,0.14
0.836,0.07,0.10,0.11,0.16
0.846,0.07,0.10,0.05,0.13
0.856,0.04,0.09,0.08,0.13
0.866,0.05,0.09,0.09,0.13
0.876,0.06,0.07,0.06,0.11
0.886,0.05,0.07,0.07,0.11
0.895,0.06,0.07,0.09,0.13
0.906,0.08,0.09,0.08,0.15
0.915,0.07,0.11,0.08,0.15
0.925,0.07,0.10,0.09,0.16
0.935,0.09,0.09,0.09,0.16
0.945,0.06,0.09,0.08,0.13
0.955,0.03,0.08,0.06,0.11
0.965,0.04,0.06,0.07,0.10
0.975,0.03,0.06,0.07,0.10
0.985,0.05,0.09,0.09,0.13
0.995,0.06,0.08,0.08,0.13
1.005,0.07,0.10,0.09,0.15
1.015,0.06,0.10,0.09,0.15
1.025,0.04,0.08,0.09,0.13
1.035,0.02,0.07,0.09,0.12
1.045,0.03,0.05,0.07,0.10
1.055,0.04,0.07,0.05,0.10
1.065,0.07,0.09,0.07,0.14
1.075,0.07,0.10,0.11,0.16
1.084,0.08,0.11,0.08,0.16
1.094,0.08,0.09,0.08,0.14
1.104,0.06,0.06,0.09,0.12
1.114,0.05,0.06,0.08,0.11
1.124,0.04,0.06,0.07,0.10
1.134,0.04,0.08,0.08,0.12
1.144,0.07,0.11,0.10,0.16
