time,ax,ay,az,atotal
0.000,-0.09,0.46,0.44,0.64
0.010,-0.30,0.26,0.45,0.60
0.020,-0.41,-0.00,0.41,0.58
0.030,-0.46,-0.23,0.18,0.54
0.040,-0.43,-0.40,0.12,0.60
0.050,-0.38,-0.46,0.10,0.61
0.060,-0.28,-0.42,0.12,0.51
0.070,-0.16,-0.27,0.13,0.34
0.079,-0.07,-0.11,0.15,0.20
0.089,-0.02,0.02,0.17,0.18
0.099,0.00,0.12,0.19,0.23
0.109,0.01,0.13,0.16,0.20
0.119,0.01,0.12,0.15,0.19
0.129,0.02,0.08,0.15,0.17
0.139,0.01,0.02,0.20,0.20
0.149,0.01,-0.01,0.16,0.16
0.159,0.03,-0.04,0.12,0.13
0.169,0.06,-0.04,0.08,0.11
0.179,0.09,-0.02,0.07,0.11
0.189,0.12,0.00,0.09,0.16
0.199,0.11,0.03,0.07,0.13
0.209,0.08,0.04,-0.01,0.09
0.219,0.02,0.04,-0.03,0.05
0.229,-0.03,0.05,-0.04,0.07
0.239,-0.04,0.05,-0.03,0.07
0.249,-0.02,0.04,-0.02,0.04
0.258,0.01,0.03,0.02,0.04
0.268,0.03,0.03,0.08,0.09
0.278,0.06,0.03,0.13,0.14
0.288,0.07,0.01,0.19,0.20
0.298,0.06,0.01,0.25,0.26
0.308,0.01,0.00,0.22,0.22
0.318,-0.07,-0.02,0.14,0.16
0.328,-0.17,-0.05,0.03,0.18
0.338,-0.24,-0.02,-0.06,0.25
0.348,-0.26,-0.00,-0.08,0.27
0.358,-0.23,0.03,-0.06,0.24
0.368,-0.16,0.03,0.00,0.16
0.378,-0.06,0.01,0.10,0.12
0.388,0.02,-0.04,0.16,0.17
0.398,0.06,-0.06,0.21,0.23
0.408,0.08,-0.08,0.22,0.24
0.418,0.07,-0.07,0.16,0.19
0.428,0.05,-0.03,0.09,0.10
0.438,0.03,0.04,-0.03,0.06
0.447,-0.03,0.11,-0.09,0.14
0.457,-0.07,0.13,-0.11,0.19
0.467,-0.09,0.14,-0.03,0.18
0.477,-0.10,0.12,0.09,0.18
0.487,-0.07,0.09,0.19,0.22
0.497,-0.04,0.02,0.31,0.31
0.507,-0.02,-0.04,0.36,0.36
0.517,-0.02,-0.11,0.32,0.34
0.527,-0.02,-0.16,0.22,0.27
0.537,-0.06,-0.16,0.11,0.20
0.547,-0.12,-0.09,-0.01,0.15
0.557,-0.16,-0.01,-0.06,0.17
0.567,-0.17,0.06,-0.04,0.19
0.577,-0.12,0.11,0.01,0.16
0.587,-0.05,0.11,0.11,0.16
0.597,0.04,0.05,0.17,0.18
0.607,0.08,-0.02,0.22,0.24
0.617,0.08,-0.10,0.16,0.21
0.627,0.06,-0.14,0.04,0.15
0.636,0.02,-0.11,-0.01,0.11
0.646,-0.04,-0.04,-0.07,0.09
0.656,-0.05,0.05,-0.13,0.15
0.666,-0.03,0.12,-0.07,0.14
0.676,-0.01,0.12,-0.07,0.14
0.686,0.01,0.10,-0.02,0.10
0.696,0.03,0.04,0.01,0.05
0.706,0.05,-0.01,-0.03,0.06
0.716,0.06,-0.06,-0.15,0.17
0.726,0.02,-0.07,-0.25,0.26
0.736,-0.09,-0.05,-0.26,0.28
0.746,-0.19,0.06,-0.22,0.29
0.756,-0.25,0.14,-0.03,0.29
0.766,-0.24,0.21,0.13,0.34
0.776,-0.16,0.15,0.16,0.27
0.786,-0.06,0.06,0.19,0.21
0.796,0.02,-0.02,0.17,0.17
0.806,0.06,-0.06,0.18,0.20
0.816,0.10,-0.05,0.15,0.19
0.825,0.10,-0.02,0.20,0.23
0.835,0.07,0.00,0.24,0.25
0.845,0.02,-0.00,0.19,0.20
0.855,-0.03,0.01,0.18,0.18
0.865,-0.08,0.00,0.13,0.16
0.875,-0.11,-0.01,0.14,0.17
0.885,-0.10,-0.02,0.21,0.23
0.895,-0.05,-0.03,0.26,0.26
0.905,-0.01,-0.06,0.30,0.30
0.915,0.03,-0.09,0.25,0.27
0.925,0.05,-0.10,0.24,0.26
0.935,0.07,-0.07,0.17,0.20
0.945,0.06,-0.01,0.17,0.18
0.955,0.06,0.05,0.20,0.22
0.965,0.04,0.08,0.23,0.25
0.975,0.04,0.07,0.24,0.26
0.985,0.04,0.03,0.29,0.29
0.994,0.06,-0.03,0.23,0.24
1.005,0.04,-0.05,0.16,0.18
1.014,0.02,-0.05,0.15,0.16
1.024,0.00,-0.03,0.11,0.12
1.035,-0.02,-0.03,0.08,0.09
1.044,-0.04,-0.02,0.07,0.08
1.054,-0.06,-0.02,0.02,0.07
1.064,-0.06,-0.02,0.01,0.07
1.074,-0.06,0.01,0.04,0.07
1.084,-0.02,0.07,0.05,0.09
1.094,0.01,0.10,0.08,0.13
1.104,0.03,0.11,0.10,0.16
1.114,0.04,0.09,0.09,0.14
1.124,0.08,0.06,0.06,0.12
1.134,0.10,0.03,0.06,0.12
1.144,0.06,0.02,0.05,0.08
1.154,0.01,0.03,0.05,0.06
1.164,-0.07,0.02,0.06,0.09
1.174,-0.12,0.02,0.05,0.13
1.184,-0.12,-0.01,-0.00,0.12
1.194,-0.09,-0.03,0.07,0.12
1.203,-0.08,-0.05,0.09,0.13
1.213,-0.05,-0.05,0.07,0.10
1.223,-0.03,-0.04,0.01,0.05
1.233,-0.06,-0.03,0.05,0.08
1.243,-0.05,-0.01,0.04,0.06
1.253,-0.04,-0.00,-0.03,0.05
1.263,-0.06,0.03,-0.07,0.10
1.273,-0.07,0.05,-0.05,0.10
1.283,-0.07,0.06,0.00,0.09
1.293,-0.07,0.05,-0.00,0.08
1.303,-0.07,0.04,0.06,0.10
1.313,-0.04,0.04,0.14,0.15
1.323,0.00,0.02,0.17,0.18
1.333,0.06,-0.01,0.14,0.15
1.343,0.05,-0.02,0.07,0.09
1.353,0.06,-0.04,0.00,0.07
1.363,0.01,-0.01,-0.11,0.11
1.373,-0.05,0.04,-0.16,0.18
1.382,-0.11,0.11,-0.09,0.18
1.392,-0.15,0.15,0.03,0.21
1.402,-0.11,0.15,0.22,0.29
1.412,-0.04,0.07,0.30,0.31
1.422,0.00,-0.03,0.29,0.29
1.432,0.03,-0.11,0.22,0.25
1.442,0.03,-0.14,0.11,0.18
1.452,-0.00,-0.12,-0.02,0.12
1.462,-0.08,-0.05,-0.11,0.14
1.472,-0.11,0.06,-0.11,0.17
1.482,-0.13,0.11,-0.06,0.18
1.492,-0.13,0.11,0.06,0.18
1.502,-0.12,0.07,0.17,0.22
1.512,-0.08,-0.02,0.27,0.28
1.522,0.00,-0.11,0.30,0.32
1.531,0.02,-0.17,0.27,0.32
1.542,-0.01,-0.16,0.21,0.26
1.552,-0.06,-0.07,0.13,0.16
1.561,-0.09,0.02,0.06,0.11
1.571,-0.07,0.11,0.06,0.14
1.581,-0.03,0.13,0.08,0.16
1.591,0.01,0.13,0.12,0.18
1.601,0.01,0.07,0.16,0.17
1.611,0.02,-0.02,0.17,0.17
1.621,-0.01,-0.08,0.17,0.19
