time,ax,ay,az,atotal
0.000,-0.40,0.11,0.25,0.48
0.010,-0.46,0.26,0.46,0.70
0.020,-0.32,0.31,0.23,0.50
0.030,-0.07,0.27,0.05,0.28
0.040,0.15,0.17,0.11,0.25
0.050,0.32,0.02,0.23,0.39
0.060,0.42,-0.10,0.17,0.46
0.070,0.38,-0.16,0.03,0.41
0.080,0.26,-0.15,0.02,0.30
0.090,0.12,-0.09,0.09,0.17
0.100,0.03,0.02,0.12,0.12
0.109,0.01,0.07,0.10,0.12
0.119,0.03,0.11,0.05,0.12
0.129,0.06,0.12,0.04,0.14
0.139,0.07,0.10,0.05,0.13
0.149,0.05,0.09,0.06,0.11
0.159,0.03,0.06,0.05,0.08
0.169,0.02,0.04,0.06,0.08
0.179,0.04,0.05,0.09,0.11
0.189,0.09,0.03,0.10,0.14
0.199,0.13,0.03,0.09,0.16
0.209,0.14,0.02,0.07,0.16
0.219,0.14,0.04,0.08,0.16
0.229,0.10,0.03,0.07,0.13
0.239,0.08,0.04,0.08,0.12
0.249,0.05,0.04,0.08,0.10
0.259,0.04,0.05,0.06,0.08
0.269,0.03,0.06,0.06,0.09
0.279,0.05,0.06,0.05,0.10
0.289,0.07,0.06,0.08,0.12
0.299,0.09,0.05,0.08,0.13
0.308,0.09,0.03,0.09,0.14
0.319,0.09,0.02,0.09,0.13
0.328,0.10,0.02,0.08,0.13
0.338,0.10,0.02,0.08,0.13
0.348,0.09,0.03,0.09,0.13
0.358,0.07,0.06,0.07,0.12
0.368,0.06,0.06,0.06,0.10
0.378,0.06,0.05,0.08,0.11
0.388,0.06,0.05,0.05,0.09
0.398,0.06,0.03,0.07,0.10
0.408,0.07,0.03,0.07,0.10
0.418,0.07,0.03,0.07,0.10
0.428,0.09,0.03,0.08,0.13
0.438,0.09,0.03,0.09,0.13
0.448,0.08,0.05,0.09,0.13
0.458,0.08,0.06,0.07,0.12
0.468,0.06,0.06,0.07,0.11
0.477,0.08,0.06,0.08,0.13
0.487,0.08,0.04,0.07,0.11
0.497,0.07,0.05,0.08,0.12
0.507,0.06,0.03,0.06,0.09
0.517,0.06,0.03,0.06,0.09
0.527,0.06,0.04,0.07,0.10
0.537,0.07,0.03,0.07,0.10
0.547,0.08,0.04,0.06,0.10
0.557,0.08,0.03,0.08,0.12
0.567,0.08,0.03,0.09,0.13
0.577,0.08,0.03,0.08,0.12
0.587,0.08,0.03,0.08,0.12
0.597,0.06,0.04,0.07,0.10
0.607,0.05,0.04,0.06,0.09
0.617,0.05,0.05,0.06,0.09
0.627,0.06,0.03,0.07,0.10
0.637,0.07,0.04,0.07,0.10
0.647,0.08,0.04,0.06,0.10
0.657,0.09,0.04,0.08,0.12
0.666,0.08,0.04,0.08,0.12
0.676,0.08,0.04,0.08,0.12
0.686,0.08,0.03,0.07,0.11
0.696,0.07,0.03,0.07,0.10
0.706,0.06,0.04,0.07,0.10
0.716,0.06,0.04,0.06,0.09
0.726,0.06,0.03,0.07,0.10
0.736,0.06,0.04,0.07,0.10
0.746,0.06,0.03,0.07,0.09
0.756,0.05,0.04,0.07,0.10
0.766,0.07,0.03,0.07,0.11
0.776,0.08,0.02,0.08,0.11
0.786,0.08,0.03,0.09,0.12
0.796,0.06,0.02,0.09,0.11
0.806,0.06,0.03,0.09,0.11
