time,ax,ay,az,atotal
0.000,-0.31,0.04,0.15,0.35
0.010,-0.37,-0.02,0.08,0.38
0.020,-0.37,-0.11,0.14,0.41
0.030,-0.28,-0.12,0.15,0.34
0.040,-0.14,-0.09,0.12,0.21
0.050,-0.01,-0.05,0.13,0.14
0.060,0.08,-0.01,0.16,0.18
0.070,0.10,0.01,0.19,0.21
0.079,0.12,-0.01,0.24,0.27
0.090,0.12,-0.04,0.28,0.31
0.100,0.14,-0.08,0.22,0.27
0.109,0.17,-0.11,0.14,0.25
0.119,0.17,-0.12,0.13,0.25
0.129,0.15,-0.09,0.12,0.22
0.139,0.12,-0.05,0.09,0.16
0.149,0.06,-0.02,0.09,0.11
0.159,0.00,-0.02,0.09,0.09
0.169,-0.05,-0.05,0.08,0.10
0.179,-0.08,-0.07,0.07,0.13
0.189,-0.08,-0.06,0.02,0.10
0.199,-0.10,-0.04,0.00,0.11
0.209,-0.05,-0.02,0.03,0.07
0.219,-0.05,-0.03,0.04,0.07
0.229,-0.04,-0.05,0.07,0.09
0.239,-0.03,-0.07,0.06,0.09
0.249,-0.02,-0.07,0.06,0.10
0.259,0.00,-0.04,0.05,0.07
0.269,0.03,-0.02,0.01,0.04
0.279,0.05,-0.01,-0.00,0.05
0.289,0.06,-0.03,0.01,0.07
0.299,0.05,-0.05,0.03,0.08
0.308,0.06,-0.06,0.04,0.10
0.318,0.08,-0.06,0.05,0.12
0.328,0.07,-0.04,0.04,0.09
0.338,0.06,-0.02,0.04,0.08
0.348,0.04,-0.03,0.03,0.06
0.358,0.02,-0.03,0.06,0.07
0.368,0.03,-0.00,0.06,0.06
0.378,0.07,0.00,0.08,0.10
0.388,0.07,0.00,0.09,0.12
0.398,0.07,-0.03,0.14,0.16
0.408,0.03,-0.07,0.13,0.15
0.418,-0.01,-0.08,0.10,0.13
0.428,-0.02,-0.03,0.02,0.04
0.438,0.00,0.03,-0.05,0.06
0.448,0.03,0.05,-0.02,0.06
0.458,0.04,0.03,0.02,0.06
0.468,0.08,-0.01,0.07,0.10
0.478,0.09,-0.06,0.02,0.11
0.488,0.05,-0.08,0.03,0.10
0.497,0.02,-0.08,0.04,0.09
0.508,-0.00,-0.05,0.05,0.07
0.517,-0.01,-0.02,0.02,0.03
0.527,0.01,-0.01,0.02,0.02
0.537,0.03,0.02,0.03,0.04
0.547,0.03,0.02,0.04,0.05
0.557,0.03,0.03,0.06,0.07
0.567,0.00,0.02,0.09,0.09
0.577,-0.04,0.01,0.12,0.12
0.587,-0.08,-0.00,0.13,0.16
0.597,-0.10,-0.04,0.13,0.16
0.607,-0.08,-0.03,0.06,0.11
0.617,-0.03,-0.03,0.04,0.06
0.627,0.04,-0.02,0.06,0.08
0.637,0.10,-0.02,0.12,0.15
0.647,0.13,-0.02,0.11,0.17
0.657,0.13,-0.01,0.08,0.16
0.667,0.11,-0.04,0.08,0.14
0.677,0.10,-0.03,0.07,0.13
0.686,0.12,-0.03,0.06,0.14
0.697,0.13,-0.02,0.08,0.16
0.707,0.16,-0.03,0.09,0.18
0.716,0.17,-0.04,0.08,0.19
0.726,0.14,-0.04,0.09,0.17
0.736,0.10,-0.03,0.10,0.15
0.746,0.05,-0.02,0.12,0.14
0.756,-0.00,-0.01,0.15,0.15
0.766,-0.01,-0.01,0.14,0.14
0.776,-0.04,-0.02,0.07,0.08
0.786,-0.02,-0.00,0.11,0.11
0.796,0.01,0.01,0.14,0.14
0.806,0.01,0.00,0.09,0.09
0.816,0.00,0.00,0.09,0.09
0.826,-0.02,-0.01,0.10,0.10
0.836,-0.04,0.00,0.09,0.10
0.846,-0.07,0.04,0.11,0.13
0.856,-0.06,0.05,0.15,0.17
0.866,-0.05,0.03,0.15,0.16
0.875,0.00,0.01,0.13,0.13
0.886,0.02,-0.05,0.14,0.15
0.895,0.03,-0.07,0.12,0.15
0.906,0.03,-0.07,0.09,0.12
0.915,0.04,-0.07,0.09,0.12
0.925,0.04,-0.05,0.14,0.15
0.935,0.04,-0.02,0.16,0.16
0.945,0.02,-0.02,0.21,0.21
0.955,-0.01,-0.05,0.22,0.23
0.965,-0.01,-0.07,0.12,0.14
0.975,0.00,-0.10,0.06,0.11
0.985,0.04,-0.08,0.05,0.10
0.995,0.08,-0.06,-0.02,0.10
1.005,0.10,-0.03,-0.01,0.11
1.015,0.10,-0.02,0.02,0.10
1.025,0.10,-0.02,0.07,0.12
1.035,0.06,-0.05,0.05,0.09
1.045,0.01,-0.05,0.03,0.06
1.055,-0.03,-0.06,0.01,0.07
1.065,-0.02,-0.05,0.04,0.07
1.075,0.00,-0.02,-0.00,0.02
1.085,0.05,-0.00,0.01,0.05
1.094,0.06,-0.02,0.03,0.07
1.105,0.06,-0.03,-0.03,0.07
1.114,0.03,-0.01,0.05,0.06
1.124,-0.01,-0.02,0.12,0.12
1.134,-0.02,-0.04,0.10,0.11
1.144,-0.02,-0.05,0.08,0.10
1.154,-0.04,-0.05,0.09,0.11
1.164,-0.06,-0.07,0.06,0.11
1.174,-0.05,-0.07,0.08,0.11
1.184,-0.04,-0.04,0.08,0.10
1.194,-0.04,-0.01,0.07,0.08
1.204,-0.03,-0.00,0.08,0.08
1.214,0.00,-0.00,0.02,0.02
1.224,0.04,-0.01,0.01,0.04
1.234,0.07,-0.01,0.04,0.08
1.244,0.07,-0.03,0.08,0.12
1.254,0.08,-0.01,0.09,0.12
1.264,0.08,-0.00,0.11,0.13
1.274,0.06,-0.01,0.16,0.17
1.284,0.06,-0.00,0.11,0.12
1.293,0.05,-0.00,0.11,0.12
1.303,0.02,0.00,0.15,0.15
1.313,-0.03,-0.01,0.19,0.19
1.324,-0.05,-0.03,0.20,0.21
1.333,-0.07,-0.07,0.19,0.22
1.343,-0.06,-0.08,0.17,0.19
1.353,-0.03,-0.05,0.10,0.11
1.363,0.03,-0.02,0.04,0.05
1.373,0.09,-0.01,0.02,0.09
1.383,0.10,-0.01,0.02,0.10
1.393,0.08,-0.04,0.06,0.11
1.403,0.03,-0.02,0.09,0.10
1.413,-0.02,-0.01,0.10,0.10
1.423,-0.05,-0.01,0.06,0.08
1.433,0.00,-0.01,-0.03,0.03
1.443,0.05,0.01,-0.06,0.07
1.453,0.08,-0.04,-0.07,0.12
1.463,0.14,-0.05,-0.09,0.17
1.473,0.16,-0.07,-0.02,0.17
