time,ax,ay,az,atotal
0.000,-0.46,-0.05,-0.04,0.46
0.010,-0.34,-0.15,-0.02,0.37
0.020,-0.33,-0.14,-0.05,0.36
0.030,-0.33,-0.08,0.04,0.34
0.040,-0.28,-0.02,0.07,0.29
0.050,-0.23,0.02,0.04,0.24
0.060,-0.18,0.04,0.02,0.18
0.070,-0.14,0.03,0.09,0.17
0.080,-0.08,0.02,0.15,0.17
0.090,-0.03,-0.02,0.20,0.21
0.100,0.07,-0.02,0.33,0.34
0.110,0.20,-0.02,0.25,0.32
0.119,0.35,-0.01,0.16,0.39
0.129,0.47,-0.00,0.02,0.47
0.139,0.49,0.06,-0.11,0.51
0.149,0.34,0.11,0.12,0.38
0.159,0.08,0.01,0.27,0.28
0.169,-0.08,-0.10,0.26,0.29
0.179,-0.14,-0.11,-0.04,0.18
0.189,-0.15,-0.06,-0.04,0.17
0.199,-0.14,0.01,0.08,0.17
0.209,-0.14,0.04,0.04,0.15
0.219,-0.12,0.06,-0.04,0.14
0.229,-0.07,0.00,0.07,0.10
0.239,-0.06,-0.06,0.16,0.18
0.249,-0.10,-0.07,0.06,0.14
0.259,-0.11,-0.04,0.07,0.14
0.269,-0.09,0.01,0.11,0.15
0.279,-0.04,0.06,0.11,0.13
0.289,0.03,0.03,0.10,0.10
0.299,0.10,0.00,0.14,0.17
0.309,0.12,-0.04,0.14,0.18
0.319,0.11,-0.06,0.09,0.15
0.328,0.07,-0.03,0.06,0.10
0.338,0.05,0.02,0.10,0.11
0.348,-0.03,0.02,0.09,0.09
0.358,-0.07,0.02,0.05,0.09
0.368,-0.05,0.01,0.07,0.08
0.378,0.01,-0.03,0.08,0.08
0.388,0.04,-0.04,0.07,0.09
0.398,0.02,-0.03,0.07,0.08
0.408,-0.02,-0.02,0.10,0.10
0.418,-0.05,0.03,0.09,0.11
0.428,-0.04,0.06,0.08,0.11
0.438,-0.03,0.04,0.12,0.13
0.448,-0.02,-0.03,0.13,0.13
0.458,-0.01,-0.07,0.10,0.12
0.468,-0.04,-0.07,0.11,0.14
0.478,-0.04,-0.03,0.10,0.12
0.488,-0.02,0.02,0.06,0.07
0.498,-0.01,0.05,0.08,0.10
0.507,0.01,0.03,0.06,0.06
0.517,-0.00,-0.02,0.06,0.07
0.527,0.01,-0.04,0.09,0.10
0.537,0.02,-0.04,0.09,0.10
0.547,0.03,-0.00,0.10,0.10
0.557,0.04,0.02,0.10,0.11
0.567,0.02,0.02,0.09,0.09
0.577,-0.01,0.01,0.12,0.12
0.587,-0.02,-0.01,0.10,0.10
0.597,-0.04,-0.01,0.12,0.13
0.607,-0.05,-0.01,0.07,0.09
0.617,-0.04,-0.01,0.05,0.06
0.627,-0.03,-0.03,0.05,0.07
0.637,-0.01,-0.01,0.08,0.08
0.647,-0.03,-0.01,0.11,0.11
0.657,-0.03,-0.03,0.09,0.10
0.667,-0.05,-0.03,0.11,0.12
0.677,-0.04,-0.01,0.12,0.13
0.687,-0.05,0.04,0.10,0.12
0.697,-0.01,0.05,0.07,0.08
0.706,0.04,0.01,0.07,0.09
0.716,0.08,-0.03,0.07,0.11
0.726,0.07,-0.07,0.08,0.13
0.736,0.02,-0.07,0.11,0.13
0.746,-0.04,-0.02,0.11,0.12
0.756,-0.04,0.04,0.11,0.13
0.766,-0.02,0.07,0.10,0.13
0.776,-0.01,0.05,0.08,0.10
0.786,-0.02,0.00,0.05,0.05
0.796,-0.00,-0.05,0.07,0.08
0.806,0.01,-0.07,0.09,0.11
0.816,0.01,-0.06,0.09,0.11
0.826,-0.02,-0.01,0.11,0.12
0.836,-0.05,0.03,0.11,0.12
0.846,-0.05,0.06,0.10,0.12
0.856,-0.04,0.04,0.08,0.09
0.866,0.01,-0.00,0.09,0.09
0.876,0.03,-0.07,0.08,0.11
0.886,0.02,-0.07,0.08,0.11
0.896,0.01,-0.03,0.10,0.10
0.906,0.00,0.03,0.09,0.10
0.916,-0.00,0.08,0.09,0.12
0.925,0.00,0.07,0.08,0.11
0.935,0.01,0.03,0.06,0.07
0.945,0.02,-0.05,0.07,0.09
0.955,0.02,-0.09,0.09,0.13
0.965,0.02,-0.10,0.10,0.14
0.975,-0.01,-0.03,0.11,0.11
0.985,-0.04,0.04,0.11,0.12
0.995,-0.07,0.07,0.08,0.13
1.005,-0.05,0.07,0.06,0.11
1.015,-0.03,-0.02,0.08,0.09
1.025,-0.03,-0.07,0.09,0.12
1.035,-0.05,-0.09,0.08,0.13
1.045,-0.03,-0.07,0.11,0.14
1.055,-0.02,0.01,0.11,0.12
1.065,-0.00,0.07,0.09,0.11
1.075,0.02,0.07,0.04,0.08
1.085,0.02,0.02,0.08,0.09
1.095,0.00,-0.03,0.09,0.10
1.104,-0.01,-0.05,0.10,0.12
1.114,0.01,-0.02,0.10,0.10
1.124,0.03,0.01,0.10,0.11
1.134,0.03,0.03,0.11,0.11
1.144,0.00,0.01,0.09,0.09
1.154,-0.01,-0.02,0.06,0.06
1.164,0.01,-0.01,0.13,0.13
1.174,-0.01,-0.01,0.10,0.10
1.184,0.00,-0.02,0.04,0.05
1.194,0.01,-0.01,0.08,0.08
1.204,0.01,-0.02,0.16,0.16
1.214,-0.00,-0.02,0.14,0.14
1.224,-0.00,-0.00,0.07,0.07
1.234,-0.02,0.02,0.06,0.06
1.244,-0.05,-0.01,0.03,0.06
1.254,-0.05,-0.04,0.06,0.09
1.264,-0.03,-0.06,0.14,0.16
1.274,-0.04,-0.03,0.19,0.20
1.284,-0.05,0.02,0.08,0.09
1.293,-0.05,0.05,-0.01,0.07
1.303,-0.03,0.03,0.09,0.10
1.313,-0.02,-0.03,0.08,0.09
1.323,-0.01,-0.08,0.06,0.10
1.333,0.01,-0.06,0.12,0.13
1.343,0.02,-0.00,0.10,0.11
1.353,0.04,0.01,0.09,0.10
1.363,0.03,0.03,0.09,0.10
1.373,0.02,0.01,0.07,0.08
1.383,0.01,0.01,0.05,0.05
1.393,0.02,-0.00,0.07,0.07
1.403,0.02,-0.02,0.10,0.10
1.413,0.00,-0.03,0.10,0.11
1.423,-0.03,-0.03,0.12,0.12
1.433,-0.04,-0.02,0.04,0.06
1.443,-0.03,-0.01,0.07,0.08
1.453,-0.05,0.00,0.11,0.12
1.463,-0.04,0.01,0.09,0.10
1.473,-0.04,-0.01,0.10,0.11
1.482,-0.03,-0.02,0.12,0.13
1.493,-0.01,-0.02,0.10,0.10
1.502,0.00,-0.01,0.05,0.05
1.512,0.02,0.01,0.05,0.06
1.522,0.03,0.02,0.09,0.09
1.532,0.01,0.00,0.08,0.08
1.542,0.02,-0.03,0.07,0.08
1.552,0.03,-0.01,0.11,0.12
1.562,0.03,0.01,0.11,0.11
1.572,0.02,0.01,0.09,0.10
1.582,0.00,0.01,0.08,0.08
1.592,-0.02,-0.02,0.09,0.10
1.602,-0.03,-0.02,0.10,0.10
1.612,-0.03,-0.05,0.08,0.10
1.622,-0.01,-0.02,0.08,0.08
1.632,0.01,0.01,0.09,0.09
