time,ax,ay,az,atotal
0.000,-0.04,-0.05,0.32,0.33
0.010,0.10,-0.26,0.45,0.53
0.020,0.23,-0.30,0.40,0.55
0.030,0.26,-0.20,0.27,0.43
0.040,0.18,-0.05,0.21,0.28
0.050,0.05,0.05,0.16,0.17
0.060,-0.04,0.04,0.05,0.08
0.070,-0.03,-0.00,0.05,0.06
0.080,0.03,-0.07,0.15,0.17
0.090,0.09,-0.11,0.22,0.26
0.100,0.10,-0.11,0.24,0.28
0.110,0.07,-0.09,0.28,0.30
0.119,0.05,-0.06,0.29,0.30
0.130,0.01,-0.02,0.14,0.15
0.139,-0.01,-0.01,-0.02,0.02
0.149,-0.04,-0.02,-0.06,0.07
0.159,-0.06,-0.00,0.00,0.06
0.169,-0.08,-0.00,0.09,0.12
0.179,-0.05,-0.01,0.18,0.19
0.189,0.01,-0.04,0.26,0.27
0.199,0.09,-0.10,0.27,0.30
0.209,0.12,-0.12,0.18,0.25
0.219,0.11,-0.11,0.08,0.18
0.229,0.06,-0.05,0.08,0.11
0.239,-0.01,0.01,0.05,0.05
0.249,-0.05,0.05,-0.03,0.08
0.259,-0.07,0.07,-0.05,0.11
0.269,-0.08,0.02,-0.03,0.09
0.279,-0.06,-0.03,0.01,0.07
0.289,-0.00,-0.09,0.07,0.11
0.298,0.03,-0.12,0.12,0.17
0.309,0.04,-0.11,0.17,0.20
0.318,0.04,-0.07,0.19,0.20
0.328,0.06,-0.05,0.18,0.20
0.338,0.08,-0.08,0.16,0.20
0.348,0.09,-0.08,0.07,0.14
0.358,0.07,-0.06,-0.04,0.11
0.368,0.08,-0.01,-0.11,0.14
0.378,0.07,0.07,-0.18,0.20
0.388,0.00,0.07,-0.17,0.18
0.398,-0.04,-0.01,-0.12,0.13
0.408,-0.04,-0.03,-0.05,0.07
0.418,-0.06,-0.07,-0.04,0.10
0.428,-0.10,-0.09,-0.01,0.13
0.438,-0.08,-0.05,0.06,0.12
0.448,-0.05,-0.02,0.07,0.09
0.458,0.01,0.02,-0.04,0.04
0.468,0.05,0.02,-0.09,0.11
0.478,0.03,-0.01,-0.06,0.07
0.488,-0.03,-0.04,-0.08,0.10
0.498,-0.09,-0.06,-0.10,0.15
0.507,-0.17,-0.06,0.04,0.18
0.517,-0.15,-0.04,0.13,0.21
0.527,-0.06,-0.03,0.17,0.18
0.537,0.09,-0.02,0.13,0.16
0.547,0.19,0.01,0.10,0.21
0.557,0.13,0.01,0.14,0.19
0.567,-0.01,0.00,0.18,0.18
0.577,-0.15,-0.04,0.17,0.23
0.587,-0.22,-0.08,0.25,0.34
0.597,-0.14,-0.10,0.17,0.24
0.607,-0.02,-0.08,0.06,0.10
0.617,0.05,-0.06,-0.09,0.12
0.627,0.06,-0.02,-0.18,0.20
0.637,0.04,0.04,-0.18,0.19
0.647,0.00,0.07,-0.10,0.12
0.657,-0.06,0.04,0.02,0.08
0.667,-0.11,-0.04,0.12,0.17
0.677,-0.10,-0.11,0.16,0.22
0.687,-0.07,-0.13,0.18,0.23
0.696,-0.00,-0.09,0.09,0.12
0.707,0.06,-0.03,0.01,0.06
0.716,0.06,0.01,-0.00,0.07
0.726,0.04,-0.02,0.03,0.05
0.736,0.06,-0.04,0.06,0.09
0.746,0.14,-0.06,0.10,0.19
0.756,0.19,-0.06,0.05,0.21
0.766,0.20,-0.04,-0.03,0.20
0.776,0.16,-0.02,-0.06,0.18
0.786,0.12,-0.00,-0.01,0.12
0.796,0.09,0.01,0.01,0.09
0.806,0.01,0.00,0.05,0.05
0.816,-0.03,-0.03,0.15,0.16
0.826,-0.02,-0.04,0.23,0.24
0.836,-0.02,-0.05,0.21,0.22
0.846,-0.02,-0.04,0.17,0.17
0.856,-0.05,-0.01,0.10,0.11
0.866,-0.07,0.02,0.04,0.09
0.876,-0.10,0.02,0.08,0.13
0.886,-0.11,0.00,0.12,0.16
0.896,-0.09,-0.04,0.11,0.15
0.905,-0.06,-0.08,0.15,0.18
0.915,-0.03,-0.09,0.23,0.25
0.925,0.01,-0.09,0.25,0.27
0.935,0.03,-0.07,0.20,0.22
0.945,0.05,-0.06,0.10,0.13
0.955,0.03,-0.02,-0.01,0.04
0.965,0.01,0.01,-0.03,0.03
0.975,0.02,0.03,-0.03,0.04
0.985,0.03,0.03,-0.02,0.05
0.995,0.04,-0.01,-0.00,0.05
1.005,0.04,-0.03,0.09,0.11
1.015,0.06,-0.01,0.17,0.18
1.025,0.05,0.02,0.19,0.20
1.035,0.04,0.05,0.19,0.20
1.045,0.01,0.04,0.15,0.15
1.055,0.04,0.02,0.13,0.13
1.065,0.07,-0.01,0.10,0.13
1.075,0.11,-0.02,0.12,0.16
1.085,0.14,0.01,0.12,0.19
1.095,0.16,0.02,0.15,0.22
1.105,0.13,0.03,0.17,0.21
1.114,0.07,0.03,0.12,0.14
1.124,0.05,0.02,0.10,0.12
1.134,0.07,0.02,0.12,0.14
1.144,0.10,-0.01,0.15,0.18
1.154,0.14,-0.03,0.16,0.22
1.164,0.15,-0.05,0.13,0.20
1.174,0.14,-0.05,0.11,0.18
1.184,0.13,-0.02,0.07,0.14
1.194,0.10,0.02,-0.02,0.11
1.204,0.10,0.07,-0.11,0.16
1.214,0.17,0.08,-0.13,0.23
1.224,0.24,0.07,-0.15,0.29
1.234,0.26,0.04,-0.10,0.28
1.244,0.22,0.02,-0.04,0.23
1.254,0.18,0.02,0.06,0.19
1.264,0.12,0.01,0.13,0.18
1.274,0.08,-0.01,0.16,0.18
