time,ax,ay,az,atotal
0.000,-0.12,0.08,0.01,0.15
0.010,0.12,-0.04,-0.05,0.13
0.020,0.31,-0.05,0.08,0.32
0.030,0.28,-0.03,0.09,0.30
0.040,0.13,0.01,0.09,0.16
0.050,0.01,0.01,0.07,0.07
0.060,-0.07,0.01,0.08,0.10
0.070,-0.07,0.01,0.12,0.14
0.080,-0.05,0.01,0.13,0.14
0.090,-0.04,-0.02,0.09,0.10
0.100,0.01,-0.02,0.07,0.07
0.109,0.04,-0.02,0.08,0.09
0.119,0.06,-0.01,0.09,0.11
0.129,0.05,-0.02,0.11,0.13
0.139,0.01,-0.02,0.10,0.10
0.149,-0.02,-0.00,0.08,0.09
0.159,-0.03,0.01,0.09,0.10
0.169,-0.03,0.02,0.09,0.10
0.179,-0.03,0.01,0.10,0.10
0.189,0.01,-0.01,0.10,0.10
0.199,0.05,-0.02,0.11,0.12
0.209,0.09,-0.01,0.10,0.13
0.219,0.09,-0.00,0.06,0.11
0.229,0.05,0.01,0.06,0.08
0.239,0.02,0.01,0.06,0.06
0.249,-0.03,0.01,0.08,0.09
0.259,-0.04,-0.00,0.12,0.12
0.269,-0.02,-0.01,0.14,0.14
0.279,-0.00,-0.01,0.12,0.12
0.289,-0.01,0.00,0.09,0.09
0.298,-0.01,0.01,0.06,0.06
0.309,0.00,0.00,0.04,0.04
0.318,0.02,-0.01,0.06,0.07
0.328,0.05,-0.03,0.13,0.14
0.338,0.05,-0.04,0.12,0.13
0.348,0.04,-0.02,0.11,0.12
0.358,0.02,0.00,0.07,0.07
0.368,-0.01,0.03,0.05,0.06
0.378,-0.00,0.02,0.05,0.06
0.388,0.05,0.00,0.08,0.09
0.398,0.06,-0.01,0.10,0.11
0.408,0.07,-0.02,0.11,0.13
0.418,0.06,-0.00,0.09,0.11
0.428,0.04,0.00,0.07,0.08
0.438,0.01,0.02,0.06,0.07
0.448,-0.01,0.01,0.07,0.07
0.458,-0.03,-0.01,0.11,0.11
0.468,-0.05,-0.03,0.12,0.13
0.478,-0.04,-0.04,0.12,0.13
0.488,-0.03,-0.03,0.10,0.11
0.497,0.01,0.01,0.10,0.10
0.507,0.01,0.01,0.07,0.07
0.517,0.02,-0.00,0.07,0.07
0.527,0.04,-0.00,0.10,0.11
0.537,0.06,-0.01,0.09,0.11
0.547,0.06,-0.01,0.09,0.11
0.557,0.02,-0.01,0.08,0.08
0.567,0.02,-0.01,0.07,0.07
0.577,-0.00,-0.01,0.07,0.07
0.587,0.01,-0.01,0.07,0.07
0.597,0.02,0.00,0.09,0.10
0.607,0.05,-0.01,0.10,0.11
0.617,0.04,-0.01,0.09,0.10
0.627,0.05,0.01,0.08,0.10
0.637,0.03,0.01,0.06,0.07
0.647,0.02,0.01,0.07,0.07
0.657,-0.00,-0.00,0.08,0.08
0.667,-0.00,-0.01,0.10,0.10
0.677,0.02,-0.04,0.11,0.12
0.686,0.02,-0.03,0.10,0.11
0.696,0.01,-0.01,0.08,0.08
0.706,0.02,-0.01,0.07,0.07
0.716,0.00,0.00,0.07,0.07
0.726,0.00,0.01,0.10,0.10
0.736,-0.01,-0.00,0.11,0.11
0.746,-0.00,-0.02,0.11,0.12
0.756,0.02,-0.04,0.11,0.12
0.766,0.01,-0.02,0.08,0.08
0.776,0.04,-0.01,0.07,0.08
0.786,0.05,-0.00,0.08,0.09
0.796,0.03,0.01,0.08,0.09
0.806,0.03,-0.00,0.09,0.10
0.816,0.02,-0.01,0.10,0.10
0.826,-0.02,0.00,0.10,0.10
0.836,-0.02,0.01,0.09,0.09
0.846,-0.00,-0.00,0.07,0.07
0.856,0.03,-0.03,0.06,0.08
0.866,0.07,-0.03,0.08,0.11
0.876,0.08,-0.03,0.08,0.12
0.886,0.07,-0.00,0.10,0.12
0.895,0.01,-0.01,0.09,0.09
0.905,-0.02,0.01,0.07,0.08
0.915,-0.04,0.02,0.08,0.09
0.925,-0.04,0.02,0.09,0.10
0.935,-0.03,0.01,0.08,0.09
0.945,0.01,-0.01,0.10,0.10
0.955,0.05,-0.01,0.09,0.10
0.965,0.07,0.01,0.08,0.10
0.975,0.06,-0.00,0.07,0.09
0.985,0.03,-0.02,0.06,0.07
0.995,0.03,-0.04,0.07,0.08
1.005,0.02,-0.02,0.10,0.10
1.015,0.00,-0.01,0.11,0.11
1.025,-0.01,-0.00,0.10,0.10
1.035,-0.01,0.00,0.10,0.10
1.045,-0.02,0.01,0.08,0.08
1.055,0.01,-0.01,0.09,0.09
1.065,0.04,-0.01,0.09,0.10
1.075,0.04,-0.02,0.09,0.10
1.084,0.05,-0.02,0.09,0.11
1.094,0.05,0.00,0.08,0.10
1.104,0.05,0.01,0.07,0.09
1.114,0.03,0.01,0.07,0.07
1.124,0.02,0.01,0.09,0.09
1.134,-0.01,0.00,0.09,0.09
1.144,0.01,-0.01,0.09,0.09
1.154,0.05,-0.02,0.08,0.09
1.164,0.05,-0.03,0.08,0.09
1.174,0.05,-0.02,0.07,0.09
1.184,0.01,-0.01,0.07,0.07
1.194,0.00,-0.02,0.07,0.07
1.204,-0.01,-0.01,0.09,0.09
1.214,-0.01,0.01,0.09,0.10
1.224,-0.02,0.01,0.09,0.10
1.234,-0.01,0.01,0.10,0.10
1.244,0.00,0.00,0.10,0.10
1.253,-0.01,0.00,0.08,0.08
1.264,0.03,-0.04,0.09,0.10
1.273,0.05,-0.04,0.08,0.10
1.283,0.04,-0.02,0.06,0.08
1.293,0.06,-0.01,0.08,0.10
1.303,0.04,-0.01,0.09,0.10
1.313,0.02,-0.01,0.09,0.09
1.323,-0.01,0.00,0.09,0.09
1.333,-0.01,0.00,0.09,0.09
1.343,-0.01,0.00,0.09,0.10
1.353,0.00,0.00,0.10,0.10
1.363,0.02,-0.01,0.08,0.08
1.373,0.06,-0.01,0.08,0.10
