time,ax,ay,az,atotal
0.000,-0.08,-0.15,0.20,0.26
0.010,-0.14,-0.22,0.28,0.38
0.020,-0.09,-0.20,0.33,0.39
0.030,0.01,-0.17,0.35,0.39
0.040,0.05,-0.15,0.34,0.37
0.050,-0.00,-0.07,0.33,0.34
0.059,0.01,-0.11,0.25,0.27
0.069,-0.04,-0.22,0.15,0.27
0.079,-0.14,-0.21,0.08,0.26
0.089,-0.21,-0.07,0.03,0.22
0.099,-0.19,0.02,0.10,0.22
0.109,-0.05,0.03,0.20,0.21
0.119,0.11,-0.02,0.27,0.29
0.129,0.19,-0.11,0.30,0.37
0.139,0.20,-0.15,0.32,0.40
0.149,0.16,-0.15,0.30,0.37
0.159,0.11,-0.11,0.21,0.26
0.169,0.05,-0.08,0.16,0.19
0.179,-0.01,-0.08,0.10,0.13
0.189,-0.01,-0.10,0.09,0.13
0.199,0.02,-0.11,0.10,0.15
0.209,0.03,-0.10,0.06,0.12
0.218,0.05,-0.09,0.02,0.11
0.228,0.08,-0.02,0.01,0.08
0.238,0.12,0.03,0.03,0.13
0.248,0.21,0.03,0.04,0.22
0.258,0.27,-0.00,0.01,0.28
0.268,0.28,-0.04,0.02,0.28
0.278,0.28,-0.07,0.05,0.29
0.289,0.24,-0.09,0.09,0.27
0.298,0.16,-0.10,0.16,0.25
0.308,0.09,-0.10,0.21,0.25
0.318,0.01,-0.10,0.23,0.25
0.328,-0.01,-0.14,0.26,0.30
0.338,0.03,-0.16,0.26,0.31
0.348,0.10,-0.12,0.22,0.27
0.358,0.17,-0.06,0.16,0.24
0.368,0.20,-0.06,0.11,0.24
0.378,0.18,-0.09,0.08,0.22
0.388,0.14,-0.12,0.09,0.21
0.398,0.08,-0.12,0.14,0.20
0.408,-0.02,-0.10,0.20,0.23
0.418,-0.10,-0.06,0.28,0.30
0.427,-0.10,-0.04,0.28,0.30
0.438,-0.10,-0.03,0.19,0.21
0.447,-0.06,0.03,0.07,0.10
0.457,-0.00,0.07,-0.05,0.08
0.467,0.04,0.06,-0.15,0.17
0.477,0.03,0.01,-0.17,0.17
0.487,0.03,-0.03,-0.15,0.15
0.497,0.02,-0.04,-0.11,0.12
0.507,0.02,-0.04,-0.08,0.09
0.517,0.03,-0.03,-0.10,0.11
0.527,0.04,-0.01,-0.07,0.09
0.537,0.05,0.03,-0.01,0.06
0.547,0.10,0.07,0.06,0.14
0.557,0.15,0.10,0.09,0.20
0.567,0.13,0.11,0.10,0.20
0.577,0.07,0.04,0.13,0.15
0.587,0.04,-0.01,0.12,0.13
0.597,0.00,-0.04,0.07,0.08
0.607,-0.05,-0.02,0.04,0.06
0.617,-0.09,-0.02,0.00,0.09
0.626,-0.12,-0.00,-0.01,0.12
0.637,-0.13,0.01,-0.00,0.13
0.646,-0.11,-0.04,0.08,0.14
0.656,-0.10,-0.09,0.18,0.22
0.666,-0.09,-0.14,0.19,0.26
0.676,-0.11,-0.14,0.18,0.26
0.686,-0.06,-0.10,0.16,0.20
0.696,-0.03,-0.06,0.11,0.13
0.706,-0.05,-0.04,0.06,0.08
0.716,-0.07,-0.01,-0.01,0.07
0.726,-0.06,0.00,-0.05,0.08
0.736,-0.04,0.01,-0.04,0.06
0.746,0.01,0.01,-0.01,0.02
0.756,0.08,-0.02,-0.00,0.08
0.766,0.13,-0.05,0.03,0.14
0.776,0.10,-0.14,0.03,0.18
0.785,0.07,-0.18,0.06,0.20
0.796,0.04,-0.14,0.13,0.19
0.806,0.04,-0.06,0.21,0.22
0.815,0.05,0.01,0.23,0.24
0.825,0.06,0.05,0.21,0.22
0.835,0.03,-0.00,0.13,0.13
0.845,-0.00,-0.06,0.05,0.08
