time,ax,ay,az,atotal
0.000,0.41,0.11,0.16,0.45
0.010,0.25,-0.04,0.09,0.27
0.020,0.07,-0.10,-0.00,0.12
0.030,-0.07,-0.05,0.05,0.10
0.040,-0.09,-0.00,0.12,0.15
0.050,-0.05,0.05,0.07,0.10
0.060,0.00,0.06,0.09,0.10
0.069,0.08,0.01,0.09,0.12
0.080,0.14,-0.01,0.07,0.15
0.089,0.19,-0.00,0.07,0.21
0.099,0.19,0.01,0.08,0.20
0.109,0.15,0.03,0.07,0.17
0.119,0.10,0.07,0.10,0.16
0.129,0.03,0.06,0.11,0.13
0.139,-0.00,0.02,0.08,0.09
0.149,-0.00,-0.02,0.09,0.09
0.159,0.03,-0.04,0.06,0.08
0.169,0.08,-0.04,0.06,0.11
0.179,0.12,-0.02,0.06,0.14
0.189,0.16,-0.02,0.07,0.17
0.199,0.17,0.01,0.08,0.18
0.209,0.17,0.03,0.08,0.19
0.219,0.11,0.06,0.08,0.15
0.229,0.05,0.04,0.08,0.11
0.239,-0.01,0.01,0.10,0.10
0.249,0.03,-0.01,0.07,0.08
0.259,0.08,-0.01,0.07,0.11
0.269,0.10,0.00,0.07,0.12
0.279,0.12,0.02,0.08,0.14
0.288,0.15,0.01,0.06,0.16
0.298,0.17,-0.01,0.06,0.18
0.308,0.13,-0.01,0.06,0.14
0.318,0.08,0.00,0.07,0.11
0.328,0.05,0.04,0.09,0.11
0.338,0.04,0.03,0.09,0.10
0.348,0.06,0.01,0.08,0.10
0.358,0.06,-0.02,0.07,0.10
0.368,0.08,-0.03,0.07,0.11
0.378,0.09,0.01,0.07,0.12
0.388,0.11,0.01,0.10,0.15
0.398,0.12,0.04,0.07,0.14
0.408,0.09,0.01,0.09,0.13
0.418,0.06,-0.00,0.07,0.09
0.428,0.04,0.00,0.08,0.09
0.438,0.06,0.03,0.09,0.11
0.448,0.10,0.02,0.07,0.12
0.458,0.11,-0.01,0.06,0.13
0.468,0.09,-0.02,0.06,0.11
0.477,0.07,-0.02,0.07,0.11
0.487,0.07,-0.02,0.06,0.09
0.497,0.09,-0.01,0.09,0.13
0.507,0.10,0.03,0.07,0.13
0.517,0.09,0.03,0.09,0.13
0.527,0.08,0.05,0.10,0.14
0.537,0.06,0.04,0.09,0.11
0.547,0.05,0.02,0.09,0.10
0.557,0.05,-0.02,0.08,0.10
0.567,0.09,-0.02,0.07,0.12
0.577,0.12,-0.03,0.05,0.13
0.587,0.10,-0.01,0.08,0.13
0.597,0.09,0.01,0.09,0.13
0.607,0.07,0.02,0.08,0.11
0.617,0.06,0.01,0.09,0.11
0.627,0.05,-0.01,0.10,0.11
0.637,0.07,-0.01,0.06,0.10
0.647,0.06,0.02,0.09,0.11
0.657,0.03,0.03,0.09,0.10
0.666,0.04,0.02,0.09,0.10
0.676,0.11,0.02,0.06,0.13
0.686,0.14,-0.01,0.08,0.16
0.696,0.08,-0.05,0.07,0.11
0.706,0.05,-0.03,0.06,0.08
0.716,0.05,-0.00,0.07,0.09
0.726,0.04,-0.00,0.09,0.10
0.736,0.07,-0.00,0.09,0.11
0.746,0.10,-0.00,0.09,0.13
0.756,0.07,-0.01,0.07,0.10
0.766,0.07,-0.02,0.06,0.09
0.776,0.07,-0.02,0.07,0.10
0.786,0.07,-0.02,0.09,0.12
0.796,0.04,0.02,0.09,0.10
0.806,0.05,0.03,0.07,0.09
0.816,0.04,0.04,0.02,0.06
0.826,0.02,0.06,-0.00,0.06
0.836,0.03,-0.01,0.21,0.21
0.846,0.09,-0.06,0.14,0.17
0.855,0.16,-0.04,0.08,0.19
0.865,0.14,-0.02,0.07,0.16
0.875,0.08,0.03,0.07,0.11
0.885,0.03,0.04,0.08,0.10
0.895,0.02,0.00,0.11,0.11
0.905,0.03,0.00,0.06,0.07
0.915,0.04,-0.01,0.06,0.07
0.925,0.02,0.00,0.09,0.09
0.935,-0.01,0.05,0.08,0.10
0.945,0.04,0.05,0.15,0.16
0.955,0.11,-0.00,0.11,0.16
0.965,0.15,-0.05,0.05,0.16
0.975,0.14,-0.03,0.04,0.15
0.985,0.10,-0.02,0.07,0.12
0.995,0.09,0.01,0.08,0.12
1.005,0.09,0.01,0.07,0.12
1.015,0.07,0.02,0.08,0.11
1.025,0.07,0.03,0.13,0.15
1.035,0.04,0.04,0.04,0.07
1.044,-0.00,-0.03,0.05,0.06
1.054,0.05,-0.09,0.06,0.11
1.064,0.14,-0.10,0.05,0.18
1.074,0.15,-0.05,0.06,0.17
1.084,0.08,0.00,0.08,0.11
1.094,0.01,0.04,0.09,0.10
1.104,-0.00,0.04,0.08,0.09
1.114,0.02,0.02,0.09,0.10
1.124,0.02,0.00,0.08,0.08
1.134,0.00,-0.03,0.07,0.08
1.144,0.05,-0.02,0.08,0.09
1.154,0.08,0.00,0.08,0.11
1.164,0.09,0.02,0.10,0.14
1.174,0.09,0.03,0.09,0.13
1.184,0.05,0.01,0.07,0.08
1.194,0.05,-0.00,0.08,0.10
1.204,0.07,0.01,0.08,0.11
1.214,0.08,-0.01,0.07,0.11
1.224,0.09,-0.04,0.06,0.12
1.233,0.10,-0.01,0.08,0.13
1.243,0.07,0.00,0.07,0.10
1.253,0.03,0.03,0.07,0.08
1.263,0.02,0.03,0.10,0.10
1.273,0.01,0.01,0.09,0.09
1.283,0.03,-0.01,0.06,0.07
1.293,0.05,-0.04,0.07,0.10
1.303,0.11,-0.05,0.06,0.13
1.313,0.13,-0.03,0.07,0.15
1.323,0.13,-0.01,0.08,0.15
1.333,0.08,0.03,0.08,0.12
1.343,0.05,0.03,0.09,0.10
1.353,-0.00,0.01,0.07,0.07
1.363,-0.01,-0.02,0.10,0.10
1.373,0.02,-0.02,0.08,0.08
1.383,0.04,-0.02,0.06,0.08
1.393,0.05,-0.02,0.07,0.09
1.403,0.08,-0.02,0.08,0.12
1.413,0.10,0.00,0.08,0.13
1.422,0.10,0.03,0.08,0.13
1.432,0.05,0.04,0.09,0.11
1.442,0.03,0.05,0.10,0.11
1.452,0.06,0.03,0.10,0.12
1.462,0.10,0.01,0.08,0.13
1.472,0.14,-0.02,0.08,0.16
1.482,0.14,-0.04,0.07,0.16
1.492,0.09,-0.08,0.05,0.13
1.502,0.04,-0.08,0.05,0.10
1.512,0.01,-0.06,0.04,0.07
1.522,0.00,-0.04,0.08,0.09
1.532,-0.01,-0.01,0.06,0.06
1.542,-0.01,0.01,0.08,0.08
1.552,0.05,0.03,0.09,0.10
1.562,0.09,0.06,0.08,0.13
1.572,0.10,0.08,0.09,0.15
1.582,0.09,0.05,0.09,0.14
1.592,0.12,0.06,0.11,0.17
1.602,0.09,0.02,0.09,0.13
1.612,0.06,0.00,0.07,0.09
1.621,0.04,-0.01,0.08,0.09
1.631,0.04,-0.05,0.07,0.10
1.641,0.05,-0.05,0.06,0.09
1.651,0.05,-0.06,0.06,0.09
1.661,0.06,-0.04,0.07,0.10
1.671,0.07,-0.02,0.08,0.11
1.681,0.05,0.01,0.09,0.10
1.691,0.01,0.02,0.10,0.10
1.701,-0.02,0.02,0.09,0.09
1.711,-0.06,0.02,0.08,0.10
1.721,-0.05,-0.00,0.09,0.10
1.731,-0.02,-0.00,0.09,0.10
1.741,-0.00,-0.01,0.10,0.10
1.751,0.02,0.01,0.06,0.06
1.761,0.11,0.03,0.10,0.15
1.771,0.16,0.03,0.08,0.18
1.781,0.15,0.04,0.08,0.17
1.791,0.11,0.01,0.07,0.13
1.801,0.08,-0.02,0.05,0.09
1.811,0.10,-0.07,0.04,0.13
1.820,0.06,-0.13,0.05,0.15
1.830,0.03,-0.09,0.05,0.11
1.840,0.06,-0.05,0.05,0.09
1.850,0.10,0.02,0.07,0.12
1.860,0.11,0.07,0.10,0.16
1.870,0.10,0.06,0.10,0.16
1.880,0.05,0.04,0.10,0.12
1.890,0.04,-0.00,0.08,0.09
1.900,0.04,-0.02,0.08,0.09
1.910,0.07,-0.01,0.07,0.10
1.920,0.09,-0.01,0.09,0.12
1.930,0.09,0.01,0.08,0.12
1.940,0.07,0.03,0.07,0.10
1.950,0.09,0.05,0.09,0.14
1.960,0.05,0.04,0.10,0.12
1.970,-0.00,-0.00,0.07,0.07
1.980,-0.03,-0.08,0.08,0.12
1.989,-0.00,-0.10,0.05,0.12
1.999,0.05,-0.06,0.07,0.10
2.009,0.07,0.02,0.07,0.10
2.019,0.09,0.09,0.09,0.16
2.029,0.07,0.10,0.09,0.15
2.039,0.02,0.08,0.10,0.13
2.049,0.02,0.02,0.13,0.13
2.059,0.02,-0.02,0.11,0.11
2.069,0.02,-0.03,0.07,0.08
2.079,-0.01,0.01,0.10,0.10
2.089,0.01,0.04,0.08,0.09
2.099,0.10,0.07,0.08,0.14
2.109,0.16,0.04,0.07,0.18
2.119,0.18,-0.00,0.06,0.19
2.129,0.16,-0.06,0.04,0.17
2.139,0.10,-0.08,0.04,0.13
2.149,0.04,-0.08,0.04,0.10
2.159,0.02,-0.06,0.06,0.08
2.169,0.01,-0.02,0.09,0.09
2.178,0.01,-0.02,0.09,0.09
2.189,0.01,-0.01,0.07,0.07
2.198,0.04,0.01,0.08,0.09
2.208,0.06,0.03,0.11,0.13
2.218,0.07,0.03,0.12,0.14
2.228,0.07,0.02,0.07,0.10
2.238,0.05,-0.01,0.11,0.12
2.248,0.02,-0.01,0.09,0.09
2.258,0.05,0.03,0.07,0.09
2.268,0.06,0.02,0.07,0.10
2.278,0.05,0.00,0.10,0.11
2.288,0.08,0.01,0.06,0.10
2.298,0.10,0.00,0.06,0.12
2.308,0.09,-0.05,0.07,0.12
2.318,0.05,-0.04,0.05,0.08
2.328,0.05,-0.03,0.09,0.11
2.338,0.07,-0.01,0.07,0.10
2.348,0.08,-0.02,0.07,0.10
2.358,0.06,-0.04,0.08,0.10
2.368,0.06,-0.04,0.05,0.09
2.378,0.04,-0.03,0.06,0.08
2.387,0.02,-0.01,0.08,0.09
2.397,0.01,-0.02,0.07,0.07
2.408,0.03,-0.00,0.10,0.10
2.417,0.02,0.01,0.09,0.10
2.427,0.02,0.03,0.09,0.10
2.437,0.07,0.07,0.09,0.13
2.447,0.13,0.06,0.08,0.16
2.457,0.15,0.01,0.08,0.17
2.467,0.10,-0.04,0.07,0.13
2.477,0.07,-0.04,0.08,0.11
2.487,0.02,0.01,0.09,0.09
