time,ax,ay,az,atotal
0.000,0.03,-0.13,0.26,0.29
0.010,0.11,-0.13,0.18,0.25
0.020,0.11,-0.09,0.12,0.19
0.030,0.07,-0.04,0.09,0.12
0.040,0.04,0.01,0.07,0.08
0.050,0.03,0.04,0.04,0.07
0.060,0.09,0.07,0.00,0.11
0.070,0.13,0.06,0.02,0.15
0.080,0.17,0.07,0.07,0.19
0.090,0.16,0.04,0.15,0.22
0.099,0.15,-0.00,0.25,0.29
0.109,0.17,-0.06,0.32,0.37
0.119,0.15,-0.07,0.33,0.36
0.129,0.14,-0.05,0.31,0.35
0.139,0.17,-0.01,0.31,0.35
0.149,0.21,-0.00,0.26,0.33
0.159,0.21,-0.01,0.16,0.26
0.169,0.17,-0.00,0.04,0.17
0.179,0.13,0.01,-0.01,0.13
0.189,0.09,0.00,0.01,0.09
0.199,0.10,-0.02,0.05,0.11
0.209,0.08,-0.07,0.11,0.15
0.219,0.05,-0.09,0.11,0.15
0.229,0.05,-0.09,0.12,0.16
0.239,0.03,-0.06,0.11,0.13
0.249,-0.01,-0.02,0.07,0.08
0.258,-0.06,-0.02,0.04,0.07
0.269,-0.08,-0.02,-0.01,0.08
0.278,-0.12,-0.04,-0.04,0.13
0.288,-0.14,-0.05,-0.03,0.15
0.298,-0.09,-0.06,-0.00,0.11
0.308,0.01,-0.08,0.00,0.08
0.318,0.13,-0.06,0.02,0.14
0.328,0.21,-0.05,0.04,0.22
0.338,0.26,-0.01,0.06,0.27
0.348,0.27,0.01,0.07,0.28
0.358,0.22,0.00,0.04,0.23
0.368,0.16,-0.00,0.03,0.16
0.378,0.09,0.02,0.04,0.10
0.388,0.05,0.04,0.06,0.09
0.398,0.04,0.05,0.09,0.11
0.408,0.01,0.05,0.16,0.17
0.418,0.01,-0.00,0.18,0.18
0.428,0.01,-0.05,0.16,0.17
0.438,0.02,-0.09,0.07,0.11
0.448,0.00,-0.10,0.01,0.10
0.457,-0.03,-0.07,-0.06,0.09
0.467,-0.04,-0.03,-0.09,0.10
0.477,-0.04,-0.00,-0.08,0.09
0.487,0.00,-0.02,-0.09,0.10
0.497,0.05,-0.02,-0.10,0.11
0.507,0.07,-0.04,-0.07,0.10
0.517,0.09,-0.07,0.01,0.11
0.527,0.06,-0.09,0.02,0.11
0.537,0.07,-0.08,0.01,0.10
0.547,0.06,-0.02,-0.03,0.08
0.557,-0.03,0.06,-0.07,0.10
0.567,-0.12,0.12,-0.10,0.20
0.577,-0.17,0.11,-0.06,0.21
0.587,-0.17,0.10,-0.02,0.19
0.597,-0.08,0.04,0.11,0.14
0.607,0.05,-0.02,0.21,0.22
