time,ax,ay,az,atotal
0.000,-0.71,-0.24,-1.21,1.42
0.010,-0.61,-0.27,-0.71,0.97
0.020,-0.65,-0.01,0.04,0.65
0.030,-0.74,0.17,0.06,0.76
0.040,-0.75,0.24,0.12,0.80
0.050,-0.66,0.18,0.14,0.70
0.060,-0.39,0.08,0.09,0.41
0.070,-0.11,-0.03,0.02,0.11
0.080,0.12,-0.11,-0.03,0.16
0.090,0.19,-0.13,-0.04,0.23
0.099,0.16,-0.11,-0.04,0.20
0.109,0.11,-0.03,0.07,0.14
0.119,0.20,0.05,0.35,0.40
0.129,0.34,0.07,0.66,0.75
0.139,0.55,-0.01,0.38,0.67
0.149,0.67,-0.11,0.31,0.74
0.159,0.46,-0.08,0.20,0.51
0.169,0.22,-0.06,-0.03,0.23
0.179,0.14,-0.03,-0.00,0.14
0.189,0.14,-0.02,0.00,0.14
0.199,0.03,-0.02,0.02,0.05
0.209,-0.09,-0.00,0.04,0.10
0.219,-0.14,0.02,0.05,0.15
0.229,-0.12,0.03,0.03,0.13
0.239,-0.03,0.01,-0.02,0.04
0.248,-0.00,-0.01,-0.01,0.01
0.259,-0.01,-0.02,-0.04,0.05
0.269,-0.01,-0.02,-0.04,0.05
0.279,-0.02,-0.02,0.00,0.03
0.288,-0.05,-0.00,-0.00,0.05
0.298,-0.07,0.01,0.05,0.08
0.308,-0.09,0.03,0.04,0.10
0.318,-0.06,0.03,0.08,0.11
0.328,-0.01,-0.02,0.06,0.06
0.338,0.04,-0.04,0.08,0.09
0.348,0.09,-0.04,0.11,0.15
0.358,0.14,-0.02,0.09,0.17
0.368,0.15,-0.01,0.14,0.21
0.378,0.16,0.01,0.12,0.20
0.388,0.17,-0.00,0.13,0.21
0.398,0.15,0.00,0.12,0.19
0.408,0.13,-0.00,0.11,0.17
0.418,0.10,-0.02,0.07,0.12
0.428,0.07,-0.02,0.07,0.10
0.438,0.04,-0.03,0.05,0.07
0.448,0.01,-0.01,0.05,0.05
0.458,0.01,0.01,0.05,0.05
0.467,0.00,0.01,0.01,0.02
0.477,-0.01,0.00,0.04,0.04
0.487,-0.01,-0.01,0.03,0.03
0.497,0.01,-0.03,0.02,0.04
0.507,0.02,-0.03,0.04,0.05
0.517,0.03,-0.00,0.04,0.05
0.527,0.05,0.00,0.08,0.09
0.537,0.03,-0.01,0.09,0.10
0.547,0.05,-0.01,0.09,0.10
0.557,0.08,-0.01,0.10,0.13
0.567,0.09,-0.02,0.09,0.13
0.577,0.09,-0.00,0.07,0.12
0.587,0.08,0.00,0.08,0.11
0.597,0.08,0.00,0.06,0.10
0.607,0.08,-0.02,0.07,0.11
0.617,0.05,-0.02,0.07,0.09
0.627,0.04,-0.01,0.06,0.08
0.637,0.03,-0.00,0.06,0.07
0.646,0.04,0.02,0.05,0.06
0.656,0.02,0.01,0.04,0.04
0.666,0.03,0.01,0.05,0.06
0.676,0.05,-0.01,0.03,0.06
0.686,0.07,-0.04,0.05,0.09
0.696,0.08,-0.07,0.04,0.11
0.706,0.06,-0.05,0.08,0.11
0.716,0.05,-0.01,0.09,0.11
0.726,0.01,0.06,0.08,0.10
0.736,0.03,0.06,0.12,0.13
0.746,0.07,0.02,0.08,0.10
0.756,0.09,-0.04,0.07,0.12
0.766,0.07,-0.06,0.03,0.10
0.776,0.05,-0.04,0.04,0.08
0.786,0.05,0.01,0.05,0.07
0.796,0.03,0.00,0.08,0.09
0.806,0.05,-0.01,0.04,0.07
0.815,0.04,-0.04,0.06,0.08
0.825,0.03,-0.02,0.07,0.08
0.835,0.04,0.01,0.07,0.08
0.845,0.07,0.02,0.05,0.09
0.855,0.07,0.00,0.07,0.09
0.865,0.05,-0.03,0.06,0.08
0.875,0.06,-0.02,0.08,0.10
0.885,0.06,-0.01,0.08,0.10
0.895,0.05,0.01,0.10,0.11
0.905,0.03,0.01,0.07,0.08
0.915,0.04,0.01,0.08,0.08
0.925,0.06,0.00,0.06,0.08
0.935,0.07,-0.02,0.05,0.08
0.945,0.05,-0.03,0.04,0.07
0.955,0.03,-0.02,0.06,0.07
0.965,0.02,-0.00,0.08,0.08
0.975,0.02,0.01,0.04,0.05
0.985,0.03,0.01,0.05,0.06
0.995,0.03,-0.02,0.05,0.07
1.005,0.07,-0.06,0.05,0.11
1.014,0.08,-0.05,0.06,0.11
1.024,0.06,0.00,0.07,0.09
1.034,0.03,0.02,0.07,0.08
1.044,0.01,0.01,0.08,0.08
1.054,0.02,-0.01,0.08,0.09
1.064,0.05,-0.01,0.06,0.07
1.074,0.07,-0.01,0.07,0.10
1.084,0.07,-0.01,0.04,0.08
1.094,0.04,-0.01,0.06,0.07
1.104,0.02,0.00,0.06,0.06
1.114,0.02,-0.01,0.09,0.09
1.124,0.02,-0.01,0.08,0.08
1.134,0.04,-0.01,0.06,0.07
1.144,0.06,-0.01,0.05,0.08
1.154,0.06,-0.01,0.05,0.08
1.164,0.06,-0.01,0.04,0.08
1.174,0.07,-0.02,0.06,0.09
1.183,0.05,-0.01,0.08,0.10
1.193,0.02,-0.00,0.08,0.08
1.203,0.02,0.01,0.07,0.08
1.213,0.04,0.01,0.06,0.08
1.223,0.04,-0.01,0.06,0.07
1.233,0.04,-0.01,0.04,0.06
1.243,0.05,-0.02,0.05,0.07
1.253,0.05,-0.04,0.05,0.08
1.263,0.05,-0.03,0.07,0.09
1.273,0.06,-0.01,0.08,0.10
