time,ax,ay,az,atotal
0.000,-0.03,0.06,0.44,0.44
0.010,0.03,-0.22,0.62,0.66
0.020,0.04,-0.35,0.62,0.71
0.030,0.03,-0.31,0.60,0.68
0.040,0.05,-0.17,0.49,0.52
0.050,0.09,-0.05,0.26,0.28
0.060,0.19,0.02,0.07,0.20
0.070,0.30,0.03,0.09,0.31
0.079,0.41,-0.02,0.15,0.44
0.090,0.47,-0.12,0.25,0.55
0.099,0.42,-0.20,0.32,0.56
0.109,0.27,-0.24,0.31,0.48
0.119,0.14,-0.18,0.25,0.33
0.129,0.02,-0.08,0.09,0.12
0.139,-0.10,0.01,-0.07,0.12
0.149,-0.17,0.05,-0.24,0.30
0.159,-0.17,0.05,-0.31,0.35
0.169,-0.16,-0.00,-0.27,0.32
0.179,-0.17,-0.04,-0.14,0.22
0.189,-0.13,-0.06,0.02,0.14
0.199,-0.06,-0.04,0.09,0.11
0.209,-0.02,-0.01,0.13,0.13
0.219,0.04,-0.03,0.19,0.20
0.229,0.07,-0.07,0.18,0.21
0.239,-0.00,-0.09,0.07,0.11
0.249,-0.14,-0.07,-0.03,0.16
0.259,-0.18,-0.02,-0.11,0.22
0.269,-0.18,0.01,-0.16,0.24
0.279,-0.11,0.02,-0.16,0.19
0.288,-0.04,-0.05,-0.08,0.10
0.298,0.05,-0.11,0.05,0.13
0.308,0.16,-0.15,0.17,0.27
0.318,0.20,-0.12,0.26,0.35
0.328,0.19,-0.08,0.28,0.34
0.338,-0.04,-0.07,0.21,0.22
0.348,-0.18,-0.10,0.07,0.21
0.358,-0.17,-0.05,-0.05,0.18
0.368,-0.15,0.05,-0.16,0.23
0.378,-0.12,0.13,-0.21,0.28
0.388,-0.06,0.13,-0.12,0.19
0.398,-0.01,0.05,0.05,0.07
0.408,0.00,-0.10,0.21,0.23
0.418,0.01,-0.19,0.30,0.36
0.428,0.06,-0.19,0.28,0.34
0.438,0.11,-0.10,0.23,0.27
0.448,0.04,-0.05,0.20,0.21
0.458,0.01,-0.07,0.12,0.14
0.468,0.03,-0.13,0.00,0.13
0.478,0.03,-0.12,-0.09,0.15
0.487,-0.02,-0.06,-0.11,0.12
0.497,-0.01,0.01,-0.07,0.07
0.507,0.03,0.01,-0.01,0.03
0.517,0.03,-0.02,0.10,0.10
0.527,0.05,-0.06,0.25,0.27
0.537,0.08,-0.10,0.29,0.32
0.547,0.06,-0.11,0.20,0.24
0.557,0.04,-0.07,0.12,0.14
0.567,0.07,-0.03,-0.01,0.08
0.577,0.12,-0.01,-0.03,0.12
0.587,0.08,-0.01,0.02,0.08
0.597,-0.01,-0.03,0.11,0.12
0.607,-0.05,-0.08,0.15,0.18
0.617,-0.03,-0.09,0.08,0.12
0.627,-0.03,-0.05,0.05,0.08
0.637,-0.01,-0.02,0.07,0.07
0.647,0.04,-0.06,0.08,0.11
0.657,0.13,-0.11,0.07,0.18
0.667,0.17,-0.15,0.04,0.23
0.676,0.13,-0.13,-0.02,0.19
0.686,0.10,-0.09,-0.15,0.20
0.696,0.12,-0.04,-0.23,0.27
0.706,0.17,-0.01,-0.24,0.29
0.716,0.17,-0.01,-0.15,0.22
0.726,0.09,-0.01,-0.06,0.11
0.736,-0.08,0.01,0.01,0.09
0.746,-0.16,0.01,0.15,0.22
0.756,-0.24,-0.00,0.19,0.31
0.766,-0.33,-0.04,0.22,0.39
0.776,-0.21,-0.06,0.21,0.30
0.786,-0.06,-0.06,0.13,0.16
0.796,0.06,-0.03,0.06,0.09
0.806,0.21,-0.04,0.10,0.23
0.816,0.30,-0.06,0.10,0.32
0.826,0.27,-0.07,0.05,0.29
0.836,0.18,-0.07,0.05,0.20
0.846,0.13,-0.07,0.12,0.19
0.856,0.04,-0.08,0.14,0.16
0.866,-0.01,-0.10,0.15,0.18
0.876,-0.00,-0.11,0.19,0.22
0.886,-0.01,-0.13,0.17,0.21
0.895,-0.01,-0.10,0.06,0.11
0.905,0.01,-0.02,-0.13,0.14
0.915,-0.03,0.05,-0.21,0.22
0.925,-0.05,0.06,-0.16,0.18
0.935,-0.07,0.02,-0.00,0.07
0.945,-0.02,-0.07,0.18,0.19
0.955,0.02,-0.10,0.31,0.33
0.965,0.06,-0.10,0.38,0.40
0.975,-0.06,-0.08,0.37,0.39
0.985,-0.21,-0.08,0.25,0.34
0.995,-0.24,-0.07,0.06,0.26
1.005,-0.19,-0.06,-0.05,0.21
1.015,-0.16,-0.06,-0.12,0.21
1.025,-0.11,-0.07,-0.16,0.20
1.035,-0.03,-0.07,-0.14,0.16
1.045,0.03,-0.05,-0.03,0.07
1.055,0.06,-0.05,0.15,0.17
1.065,0.05,-0.05,0.27,0.28
1.074,0.03,-0.08,0.35,0.36
1.084,-0.00,-0.10,0.35,0.37
1.094,-0.10,-0.13,0.30,0.34
1.104,-0.12,-0.12,0.16,0.23
1.114,-0.04,-0.04,-0.10,0.12
1.124,0.10,0.06,-0.30,0.32
1.134,0.17,0.13,-0.30,0.37
1.144,0.12,0.12,-0.13,0.21
1.154,0.07,0.01,0.14,0.16
1.164,0.06,-0.13,0.34,0.37
1.174,0.02,-0.22,0.46,0.51
1.184,-0.01,-0.22,0.42,0.47
1.194,-0.08,-0.14,0.26,0.31
1.204,-0.08,-0.06,0.08,0.13
1.214,-0.04,0.01,-0.14,0.15
1.224,0.05,0.04,-0.35,0.36
1.234,0.11,0.05,-0.29,0.31
1.244,0.16,-0.02,-0.12,0.21
1.254,0.14,-0.09,0.05,0.17
1.264,0.09,-0.15,0.27,0.32
1.274,0.07,-0.17,0.46,0.49
1.284,0.06,-0.17,0.43,0.46
1.293,0.06,-0.14,0.24,0.29
