time,ax,ay,az,atotal
0.000,-0.72,0.17,0.08,0.75
0.010,-0.61,0.19,0.07,0.64
0.020,-0.29,0.06,0.16,0.34
0.030,0.01,-0.04,0.12,0.13
0.040,0.16,-0.06,0.10,0.20
0.050,0.16,-0.01,0.09,0.19
0.060,0.11,0.01,0.12,0.16
0.070,0.06,0.06,-0.19,0.20
0.080,0.21,-0.03,0.68,0.71
0.090,0.22,-0.12,0.18,0.30
0.099,0.25,-0.14,-0.19,0.34
0.109,0.38,-0.24,0.50,0.67
0.119,0.17,-0.11,-0.35,0.41
0.129,-0.14,0.09,-0.12,0.20
0.139,-0.24,0.20,0.44,0.54
0.149,-0.18,0.17,0.13,0.28
0.159,-0.00,0.02,-0.08,0.08
0.169,0.14,-0.15,0.22,0.30
0.179,-0.01,-0.13,-0.16,0.21
0.189,-0.23,-0.06,-0.12,0.27
0.199,-0.27,0.00,-0.03,0.27
0.209,-0.11,-0.04,0.34,0.36
0.219,0.06,-0.05,-0.05,0.09
0.229,0.22,-0.08,0.16,0.29
0.239,0.23,-0.05,0.23,0.33
0.249,0.08,0.06,-0.07,0.12
0.259,-0.00,0.12,-0.03,0.13
0.269,0.03,0.12,0.22,0.25
0.279,0.05,0.05,0.17,0.19
0.288,0.08,-0.00,-0.01,0.08
0.298,0.16,-0.08,0.20,0.27
0.308,0.11,-0.10,0.04,0.16
0.319,0.01,-0.05,-0.10,0.11
0.328,-0.08,-0.01,0.01,0.08
0.338,-0.10,0.01,0.19,0.22
0.348,-0.08,-0.00,0.04,0.09
0.358,0.01,-0.04,0.09,0.10
0.368,0.08,-0.08,0.15,0.19
0.378,0.02,-0.05,0.01,0.05
0.388,-0.07,0.01,-0.01,0.07
0.398,-0.10,0.07,0.12,0.17
0.408,-0.06,0.07,0.15,0.17
0.418,0.04,0.03,0.01,0.05
0.428,0.16,-0.04,0.12,0.20
0.438,0.17,-0.08,0.07,0.21
0.448,0.08,-0.07,-0.00,0.11
0.458,-0.02,-0.02,0.04,0.05
0.468,-0.04,0.01,0.17,0.17
0.478,-0.00,0.04,0.11,0.12
0.487,0.07,0.05,0.10,0.13
0.498,0.13,0.02,0.14,0.19
0.507,0.08,-0.02,0.04,0.09
0.517,-0.02,-0.04,0.01,0.05
0.527,-0.09,-0.04,0.07,0.12
0.537,-0.08,-0.04,0.09,0.12
0.547,-0.05,-0.05,0.04,0.08
0.557,0.00,-0.07,0.11,0.13
0.567,0.02,-0.06,0.08,0.10
0.577,0.02,-0.06,0.04,0.07
0.587,-0.01,-0.02,0.06,0.06
0.597,-0.05,0.01,0.10,0.11
0.607,-0.04,0.03,0.09,0.10
0.617,0.00,0.03,0.07,0.07
0.627,0.09,0.01,0.10,0.14
0.637,0.12,-0.02,0.07,0.14
0.647,0.09,-0.01,0.04,0.10
0.657,0.05,-0.01,0.09,0.10
0.667,0.02,0.01,0.08,0.08
0.677,0.02,0.00,0.08,0.09
0.686,0.05,0.00,0.10,0.11
0.697,0.06,-0.00,0.11,0.12
0.707,0.05,-0.01,0.07,0.09
0.716,0.00,-0.01,0.06,0.06
