time,ax,ay,az,atotal
0.000,-0.02,0.15,0.48,0.50
0.010,0.15,0.28,0.44,0.54
0.020,0.33,0.19,0.19,0.43
0.030,0.44,-0.00,0.14,0.46
0.040,0.44,-0.15,0.27,0.54
0.050,0.31,-0.17,0.29,0.46
0.060,0.12,-0.08,0.18,0.23
0.070,0.02,0.06,-0.01,0.06
0.079,-0.01,0.17,-0.17,0.24
0.089,-0.08,0.18,-0.19,0.27
0.099,-0.14,0.13,0.02,0.19
0.109,-0.13,-0.00,0.17,0.22
0.119,-0.08,-0.13,0.33,0.36
0.129,-0.02,-0.16,0.36,0.39
0.139,0.03,-0.06,0.19,0.21
0.149,0.10,0.07,0.01,0.12
0.159,0.13,0.13,-0.08,0.20
0.169,0.14,0.09,-0.12,0.21
0.179,0.12,0.00,-0.12,0.17
0.189,0.15,-0.02,-0.08,0.17
0.199,0.22,0.02,-0.01,0.22
0.209,0.24,0.08,0.09,0.27
0.219,0.19,0.12,0.16,0.28
0.229,0.11,0.06,0.19,0.23
0.239,0.02,-0.05,0.17,0.18
0.249,-0.08,-0.11,0.13,0.19
0.259,-0.09,-0.07,0.06,0.13
0.269,0.01,-0.01,-0.01,0.02
0.279,0.08,0.03,-0.05,0.10
0.288,0.02,0.04,-0.11,0.12
0.298,-0.10,0.03,-0.18,0.21
0.308,-0.13,0.01,-0.14,0.19
0.318,-0.13,-0.00,0.02,0.13
0.328,-0.06,-0.00,0.10,0.12
0.338,0.11,0.01,0.16,0.19
0.348,0.27,0.02,0.26,0.38
0.358,0.35,0.02,0.27,0.45
0.368,0.22,-0.03,0.26,0.34
0.378,-0.03,-0.06,0.19,0.20
0.388,-0.24,-0.06,-0.06,0.26
0.398,-0.31,0.02,-0.17,0.35
0.408,-0.18,0.07,-0.03,0.20
0.418,0.03,0.08,0.10,0.13
0.428,0.21,0.05,0.21,0.30
0.438,0.32,-0.01,0.27,0.42
0.448,0.26,-0.05,0.27,0.37
0.458,0.12,-0.06,0.23,0.27
0.467,0.01,-0.04,0.16,0.16
0.478,-0.01,0.04,0.02,0.04
0.487,0.04,0.07,-0.13,0.15
0.497,-0.00,0.09,-0.18,0.20
0.507,-0.10,0.08,-0.13,0.18
0.517,-0.14,0.07,-0.06,0.16
0.527,-0.18,0.05,0.05,0.20
0.537,-0.17,0.02,0.12,0.21
0.547,-0.12,0.01,0.06,0.13
0.557,-0.01,0.01,-0.04,0.04
0.567,0.14,-0.01,-0.00,0.14
0.577,0.35,-0.02,0.08,0.36
0.587,0.53,-0.05,0.14,0.55
0.597,0.50,-0.07,0.11,0.52
0.607,0.35,-0.06,0.05,0.36
0.617,0.17,-0.02,0.02,0.17
0.627,0.03,0.02,-0.03,0.05
0.637,-0.11,0.08,-0.14,0.20
0.646,-0.22,0.16,-0.14,0.30
0.657,-0.30,0.15,0.02,0.34
0.666,-0.34,0.07,0.17,0.39
0.676,-0.27,-0.02,0.16,0.31
0.686,-0.14,-0.05,0.13,0.20
0.696,0.04,-0.04,0.18,0.19
0.706,0.16,0.02,0.19,0.24
0.716,0.20,0.03,0.23,0.30
0.726,0.18,0.01,0.23,0.29
0.736,0.09,-0.02,0.15,0.18
0.746,0.10,-0.03,0.05,0.11
0.756,0.20,0.00,-0.01,0.20
0.766,0.20,0.04,0.01,0.21
0.776,0.11,0.02,0.07,0.13
0.786,-0.00,-0.03,0.10,0.10
