time,ax,ay,az,atotal
0.000,-0.02,0.06,0.14,0.15
0.010,0.13,-0.11,0.18,0.25
0.020,0.15,-0.13,-0.08,0.22
0.030,0.12,-0.07,-0.05,0.15
0.040,0.10,-0.07,0.16,0.20
0.050,0.11,-0.04,0.07,0.14
0.060,0.10,-0.00,0.07,0.12
0.070,0.05,0.03,0.11,0.13
0.080,0.00,0.04,0.05,0.06
0.090,-0.02,0.01,0.02,0.03
0.100,0.02,-0.02,0.10,0.11
0.109,0.08,-0.04,0.03,0.09
0.120,0.18,-0.08,0.05,0.21
0.129,0.18,-0.11,0.06,0.22
0.139,0.03,-0.09,0.09,0.13
0.149,-0.06,-0.02,0.10,0.12
0.159,-0.05,0.03,0.03,0.07
0.169,0.04,0.05,0.03,0.07
0.179,0.10,0.01,0.05,0.12
0.189,0.05,-0.04,0.09,0.11
0.199,0.01,-0.07,0.08,0.11
0.209,0.08,-0.08,0.03,0.12
0.219,0.11,-0.10,0.02,0.16
0.229,0.06,-0.07,0.07,0.12
0.239,0.03,-0.05,0.08,0.10
0.249,-0.00,-0.01,0.08,0.08
0.259,0.02,-0.00,0.05,0.05
0.269,0.07,0.01,0.05,0.08
0.279,0.09,-0.01,0.07,0.12
0.289,0.06,-0.03,0.09,0.12
0.298,0.05,-0.04,0.09,0.11
0.308,0.08,-0.04,0.05,0.10
0.318,0.12,-0.05,0.03,0.14
0.328,0.14,-0.05,0.06,0.16
0.338,0.08,-0.01,0.07,0.11
0.348,-0.02,0.01,0.09,0.10
0.358,-0.01,0.02,0.06,0.07
0.368,0.06,-0.01,0.03,0.07
0.378,0.10,-0.02,0.04,0.11
0.388,0.08,-0.05,0.09,0.13
0.398,0.04,-0.05,0.08,0.11
0.408,0.04,-0.04,0.07,0.09
0.418,0.05,-0.03,0.04,0.07
0.428,0.05,-0.01,0.05,0.07
0.438,0.04,-0.01,0.06,0.07
0.448,0.04,-0.04,0.06,0.08
0.458,0.02,-0.05,0.06,0.08
0.468,0.02,-0.05,0.06,0.08
0.478,0.04,-0.04,0.04,0.07
0.488,0.04,-0.04,0.06,0.08
0.497,0.05,-0.02,0.06,0.08
0.507,0.09,0.00,0.07,0.11
0.517,0.08,0.02,0.08,0.11
0.527,0.06,-0.00,0.06,0.09
0.537,0.07,-0.03,0.05,0.09
0.547,0.10,-0.04,0.07,0.13
0.557,0.12,-0.03,0.07,0.14
0.567,0.08,-0.02,0.06,0.10
0.577,0.05,-0.02,0.07,0.09
0.587,0.02,-0.02,0.06,0.07
0.597,0.03,-0.02,0.07,0.08
0.607,0.05,-0.02,0.10,0.11
0.617,-0.01,-0.02,0.09,0.09
0.627,-0.00,-0.00,0.05,0.05
0.637,0.08,-0.03,0.03,0.09
0.647,0.14,-0.05,0.03,0.15
0.657,0.11,-0.07,0.07,0.14
0.666,0.01,-0.08,0.08,0.11
0.676,-0.03,-0.06,0.06,0.09
0.686,-0.00,-0.05,0.04,0.07
0.697,0.03,-0.02,0.08,0.09
0.706,0.07,0.02,0.07,0.10
0.716,0.06,0.05,0.07,0.11
0.726,0.06,0.01,0.07,0.09
0.736,0.10,-0.03,0.05,0.11
0.746,0.11,-0.06,0.07,0.14
0.756,0.09,-0.07,0.05,0.12
0.766,0.03,-0.05,0.08,0.10
0.776,-0.02,-0.02,0.06,0.06
0.786,-0.03,-0.01,0.06,0.06
0.796,0.03,0.01,0.07,0.08
0.806,0.10,0.03,0.06,0.12
0.816,0.11,0.03,0.08,0.14
0.826,0.06,-0.02,0.09,0.11
0.836,0.06,-0.07,0.05,0.10
0.846,0.06,-0.11,0.04,0.13
0.856,0.03,-0.08,0.05,0.10
0.866,0.01,-0.04,0.07,0.08
0.875,-0.01,0.01,0.08,0.08
0.885,0.03,0.02,0.06,0.07
0.895,0.06,0.02,0.05,0.08
0.905,0.10,0.02,0.07,0.13
0.915,0.12,0.00,0.07,0.14
0.925,0.07,-0.01,0.08,0.11
0.935,0.07,-0.04,0.07,0.11
0.945,0.07,-0.06,0.05,0.10
0.955,0.06,-0.06,0.04,0.10
0.965,0.03,-0.03,0.07,0.08
0.975,0.01,-0.01,0.07,0.07
0.985,0.01,0.01,0.07,0.07
0.995,0.04,-0.01,0.04,0.06
1.005,0.08,-0.04,0.05,0.10
1.015,0.09,-0.04,0.05,0.11
1.025,0.06,-0.06,0.08,0.12
1.035,0.04,-0.04,0.06,0.09
1.045,0.03,-0.02,0.05,0.07
1.055,0.03,-0.01,0.06,0.07
1.065,0.04,-0.01,0.08,0.09
1.074,0.03,-0.02,0.07,0.08
1.084,0.03,-0.04,0.04,0.06
1.094,0.03,-0.05,0.07,0.10
1.104,0.06,-0.06,0.08,0.11
1.114,0.05,-0.03,0.06,0.09
1.124,0.04,-0.01,0.07,0.08
1.134,0.06,-0.00,0.07,0.09
1.144,0.06,-0.00,0.04,0.08
1.154,0.07,0.00,0.09,0.12
1.164,0.07,0.01,0.08,0.10
1.174,0.06,-0.01,0.07,0.09
1.184,0.06,-0.02,0.05,0.07
1.194,0.06,-0.04,0.06,0.09
1.204,0.08,-0.05,0.08,0.12
1.214,0.07,-0.03,0.07,0.10
1.224,0.04,-0.01,0.08,0.09
1.233,0.03,-0.00,0.05,0.06
1.243,0.03,-0.00,0.05,0.06
1.254,0.05,-0.02,0.07,0.09
1.263,0.04,-0.03,0.07,0.09
1.273,0.06,-0.03,0.07,0.10
1.283,0.05,-0.04,0.07,0.09
1.293,0.02,-0.04,0.05,0.07
1.303,0.00,-0.05,0.06,0.08
1.313,0.02,-0.04,0.05,0.07
1.323,0.04,-0.02,0.06,0.08
1.333,0.06,-0.02,0.07,0.10
1.343,0.05,-0.03,0.06,0.09
1.353,0.02,-0.04,0.06,0.08
1.363,0.03,-0.01,0.05,0.06
1.373,0.02,-0.02,0.07,0.08
1.383,0.03,-0.01,0.06,0.07
1.393,0.06,-0.01,0.09,0.10
1.403,0.03,-0.02,0.06,0.07
1.413,0.04,-0.04,0.05,0.07
1.423,0.01,-0.06,0.07,0.09
1.433,0.02,-0.04,0.07,0.08
1.442,0.01,-0.02,0.07,0.07
1.452,0.03,-0.00,0.06,0.07
1.462,0.03,0.00,0.05,0.06
1.472,0.06,-0.00,0.07,0.09
1.482,0.09,-0.01,0.07,0.11
1.492,0.07,-0.01,0.07,0.10
