time,ax,ay,az,atotal
0.000,0.28,0.01,0.30,0.41
0.010,0.32,-0.05,0.48,0.58
0.020,0.22,-0.02,0.58,0.62
0.030,-0.00,-0.02,0.45,0.45
0.040,-0.17,-0.02,0.21,0.28
0.050,-0.15,-0.03,0.04,0.16
0.060,-0.04,-0.06,-0.02,0.07
0.070,0.05,-0.06,0.03,0.08
0.080,0.08,-0.04,0.15,0.17
0.090,0.07,-0.03,0.29,0.30
0.100,-0.01,-0.06,0.36,0.37
0.109,-0.07,-0.08,0.29,0.31
0.120,-0.11,-0.10,0.18,0.24
0.129,-0.11,-0.09,0.11,0.18
0.139,-0.06,-0.07,0.09,0.13
0.149,0.00,-0.02,0.04,0.04
0.159,0.06,0.05,-0.03,0.08
0.169,0.07,0.09,-0.10,0.15
0.179,0.02,0.09,-0.07,0.12
0.189,-0.02,0.10,-0.04,0.11
0.199,0.00,0.09,-0.05,0.10
0.209,0.04,0.01,-0.07,0.08
0.219,-0.01,-0.02,-0.04,0.04
0.229,-0.04,0.02,-0.01,0.04
0.239,-0.03,0.07,0.00,0.08
0.249,-0.00,0.07,0.02,0.07
0.259,0.03,0.03,0.00,0.04
0.269,0.11,-0.01,-0.01,0.11
0.279,0.19,-0.04,0.01,0.19
0.288,0.14,-0.02,0.03,0.15
0.298,0.07,0.02,0.08,0.11
0.308,0.02,0.02,0.14,0.14
0.318,-0.02,0.01,0.10,0.10
0.328,0.02,0.00,0.00,0.02
0.338,0.08,-0.01,-0.04,0.09
0.348,0.06,-0.03,0.04,0.08
0.358,0.02,-0.05,0.11,0.12
0.368,0.00,-0.00,0.11,0.11
0.378,0.01,0.03,0.09,0.10
0.388,0.01,-0.01,0.19,0.19
0.398,0.01,-0.04,0.27,0.27
0.408,0.02,-0.04,0.22,0.22
0.418,0.04,-0.04,0.12,0.14
0.428,0.01,0.01,0.05,0.05
0.438,-0.02,0.06,0.04,0.07
0.448,0.03,0.08,0.10,0.13
0.458,0.07,0.05,0.17,0.19
0.468,0.07,0.01,0.24,0.25
0.478,0.05,-0.07,0.32,0.33
0.488,0.04,-0.11,0.28,0.31
0.497,-0.01,-0.12,0.23,0.26
0.507,0.05,-0.11,0.18,0.21
0.517,0.03,-0.08,0.13,0.16
0.527,0.01,-0.01,0.11,0.11
0.537,0.05,0.03,0.13,0.14
0.547,0.01,0.03,0.13,0.13
0.557,0.06,0.00,0.10,0.11
0.567,0.12,-0.03,0.12,0.17
0.577,0.03,-0.06,0.08,0.11
0.587,-0.08,-0.01,0.03,0.08
0.597,-0.12,0.03,-0.01,0.12
0.607,-0.13,0.01,-0.04,0.14
0.617,-0.01,-0.04,-0.06,0.07
0.627,0.15,-0.08,-0.03,0.18
0.637,0.14,-0.10,0.05,0.18
0.647,0.07,-0.06,0.07,0.12
0.657,0.04,-0.01,0.07,0.08
0.667,0.01,-0.03,0.06,0.07
0.677,0.04,-0.06,0.07,0.10
0.687,0.15,-0.06,0.05,0.17
0.696,0.21,-0.05,0.07,0.22
0.707,0.11,-0.02,0.05,0.13
0.716,0.06,0.01,-0.05,0.08
0.726,0.09,0.04,-0.10,0.14
0.736,0.07,0.03,-0.07,0.11
0.746,0.02,0.02,-0.04,0.05
0.756,0.08,0.00,-0.00,0.08
0.766,0.09,-0.01,0.02,0.09
0.776,0.04,-0.04,0.01,0.06
0.786,0.05,-0.04,-0.02,0.07
0.796,0.03,0.01,0.06,0.07
0.806,0.01,0.08,0.17,0.19
0.816,0.02,0.06,0.16,0.17
0.826,0.04,0.02,0.10,0.11
0.836,0.07,-0.00,0.18,0.19
0.846,0.06,-0.05,0.22,0.23
0.856,0.04,-0.09,0.16,0.19
0.866,0.07,-0.07,0.08,0.13
0.875,0.07,-0.06,0.05,0.11
0.886,-0.01,-0.05,0.04,0.06
0.895,-0.08,0.01,0.02,0.08
0.905,-0.04,0.08,0.03,0.10
0.915,0.09,0.08,0.13,0.17
0.925,0.13,0.03,0.20,0.24
0.935,0.15,0.02,0.20,0.25
0.945,0.16,0.05,0.16,0.24
0.955,0.07,0.09,0.13,0.18
0.965,0.03,0.04,0.11,0.12
0.975,0.05,-0.04,0.15,0.16
0.985,0.02,-0.10,0.17,0.20
0.995,-0.01,-0.11,0.17,0.20
1.005,0.01,-0.06,0.12,0.13
1.015,-0.01,-0.02,0.05,0.06
