time,ax,ay,az,atotal
0.000,-0.04,-0.18,0.31,0.36
0.010,0.19,-0.13,0.19,0.30
0.020,0.32,-0.06,-0.03,0.33
0.030,0.32,0.05,-0.09,0.34
0.040,0.26,0.16,0.09,0.32
0.050,0.12,0.22,0.18,0.30
0.060,-0.04,0.19,0.12,0.23
0.070,-0.14,0.13,0.04,0.20
0.079,-0.15,0.04,0.09,0.18
0.089,-0.09,-0.03,0.12,0.15
0.099,0.02,-0.05,0.10,0.11
0.109,0.10,-0.01,0.08,0.13
0.119,0.14,0.05,0.09,0.17
0.129,0.10,0.12,0.01,0.15
0.139,0.05,0.14,0.03,0.15
0.149,0.02,0.13,0.14,0.19
0.159,0.01,0.11,0.07,0.13
0.169,0.02,0.06,0.01,0.07
0.179,0.04,0.03,0.10,0.11
0.189,0.04,0.01,0.14,0.14
0.199,0.05,0.03,0.11,0.13
0.209,0.02,0.04,0.04,0.06
0.219,0.00,0.06,0.05,0.08
0.229,-0.00,0.09,0.14,0.17
0.239,-0.00,0.07,0.07,0.10
0.249,0.03,0.07,0.03,0.08
0.259,0.06,0.06,0.11,0.14
0.269,0.06,0.06,0.13,0.15
0.279,0.07,0.06,0.09,0.13
0.288,0.08,0.08,0.08,0.14
0.298,0.06,0.08,0.08,0.13
0.308,0.04,0.07,0.13,0.15
0.318,0.04,0.06,0.13,0.15
0.328,0.03,0.06,0.04,0.08
0.338,-0.00,0.06,-0.03,0.07
0.348,-0.01,0.08,0.11,0.13
0.358,0.01,0.07,0.13,0.15
0.368,0.05,0.08,0.07,0.12
0.378,0.07,0.06,0.10,0.14
0.388,0.08,0.06,0.07,0.13
0.398,0.07,0.06,0.09,0.13
0.408,0.04,0.08,0.07,0.11
0.418,0.02,0.07,0.06,0.10
0.428,-0.00,0.07,0.08,0.10
0.438,0.02,0.06,0.12,0.13
0.448,0.05,0.06,0.14,0.16
0.458,0.05,0.06,0.08,0.11
0.468,0.05,0.05,0.07,0.10
0.477,0.03,0.07,0.05,0.09
0.488,-0.01,0.07,0.02,0.07
