time,ax,ay,az,atotal
0.000,-0.15,0.19,0.30,0.38
0.010,-0.02,0.12,0.30,0.32
0.020,-0.04,0.07,0.19,0.21
0.030,-0.13,-0.05,0.06,0.15
0.040,-0.16,-0.07,0.03,0.18
0.050,-0.02,-0.04,0.13,0.13
0.060,0.14,-0.05,0.28,0.32
0.070,0.18,-0.05,0.37,0.41
0.079,0.13,-0.03,0.33,0.36
0.090,0.10,0.03,0.17,0.20
0.100,0.03,0.06,0.04,0.08
0.109,0.00,0.05,0.03,0.06
0.119,-0.02,0.01,0.15,0.15
0.129,0.01,0.03,0.19,0.19
0.139,0.03,0.07,0.13,0.15
0.149,0.08,0.06,0.08,0.13
0.159,0.06,0.04,0.04,0.08
0.169,0.04,0.07,0.02,0.08
0.179,0.09,0.08,0.02,0.12
0.189,0.11,0.07,0.01,0.13
0.199,0.03,0.06,0.01,0.07
0.209,-0.02,0.09,0.14,0.17
0.219,-0.02,0.06,0.27,0.27
0.229,-0.03,0.01,0.24,0.25
0.239,0.01,-0.04,0.13,0.14
0.249,0.05,-0.03,0.02,0.06
0.259,0.05,0.08,-0.01,0.10
0.269,0.04,0.14,-0.03,0.14
0.279,0.01,0.13,0.01,0.13
0.289,-0.03,0.08,0.04,0.09
0.298,0.01,-0.00,0.11,0.11
0.309,0.05,-0.04,0.15,0.16
0.318,0.03,-0.02,0.11,0.12
0.328,0.04,0.04,0.10,0.12
0.338,0.08,0.06,0.06,0.12
0.348,0.08,0.02,0.04,0.09
0.358,0.10,0.02,0.01,0.10
0.368,0.12,0.08,0.03,0.15
0.378,0.13,0.14,0.02,0.20
0.388,0.08,0.17,0.01,0.18
0.398,0.02,0.12,-0.01,0.13
0.408,-0.03,0.07,-0.03,0.08
0.418,-0.01,-0.03,-0.04,0.05
0.428,0.07,-0.04,-0.00,0.08
0.438,0.15,-0.00,0.07,0.16
0.448,0.16,0.04,0.15,0.23
0.458,0.09,0.03,0.17,0.19
0.468,-0.00,0.02,0.11,0.11
0.477,-0.07,-0.02,0.09,0.11
0.487,-0.10,-0.03,0.11,0.15
0.497,-0.08,-0.04,0.12,0.15
0.507,-0.00,-0.06,0.16,0.17
0.517,0.09,-0.06,0.16,0.19
0.527,0.13,-0.03,0.15,0.20
0.537,0.17,0.03,0.15,0.23
0.547,0.16,0.07,0.16,0.24
0.557,0.14,0.09,0.17,0.24
0.567,0.13,0.11,0.19,0.26
0.577,0.04,0.05,0.14,0.15
0.587,-0.04,0.01,0.06,0.07
0.597,-0.00,0.03,0.01,0.03
0.607,0.03,0.07,-0.07,0.11
0.617,0.00,0.11,-0.11,0.16
0.627,-0.03,0.15,-0.11,0.19
0.637,-0.06,0.09,-0.01,0.11
0.647,-0.03,-0.00,0.15,0.15
0.657,0.12,-0.07,0.31,0.34
0.667,0.19,-0.10,0.40,0.46
0.676,0.21,-0.09,0.40,0.46
0.687,0.14,-0.02,0.35,0.38
0.696,0.05,0.03,0.31,0.31
0.706,0.05,0.06,0.22,0.23
0.716,0.10,-0.02,0.15,0.18
0.726,0.14,-0.11,0.14,0.23
0.736,0.11,-0.11,0.16,0.22
0.746,0.03,-0.00,0.22,0.22
0.756,0.03,0.03,0.26,0.26
0.766,0.05,-0.02,0.25,0.26
0.776,0.06,-0.08,0.23,0.25
0.786,0.10,-0.06,0.16,0.19
0.796,0.12,0.01,0.06,0.13
0.806,0.09,0.08,-0.06,0.14
0.816,0.09,0.13,-0.13,0.20
0.826,0.09,0.18,-0.17,0.27
0.836,0.05,0.23,-0.18,0.30
0.846,0.02,0.23,-0.15,0.27
0.856,-0.00,0.17,-0.17,0.24
0.866,-0.05,0.12,-0.21,0.24
0.875,-0.06,0.06,-0.17,0.19
0.886,-0.06,0.06,-0.11,0.14
0.895,-0.09,0.05,-0.07,0.12
0.905,-0.10,0.03,0.01,0.11
0.915,-0.15,0.01,0.13,0.20
0.925,-0.18,-0.02,0.21,0.28
0.935,-0.17,-0.03,0.22,0.28
0.945,-0.13,-0.03,0.14,0.19
0.955,-0.12,-0.03,0.05,0.14
0.965,-0.14,0.03,0.01,0.14
0.975,-0.09,0.11,0.07,0.16
0.985,-0.00,0.11,0.20,0.23
0.995,0.01,0.10,0.26,0.28
1.005,-0.03,0.09,0.21,0.23
1.015,0.01,0.06,0.20,0.21
1.025,0.04,-0.02,0.21,0.22
1.035,0.07,-0.07,0.23,0.25
1.045,0.13,-0.04,0.21,0.25
1.055,0.16,0.03,0.15,0.22
1.065,0.12,0.11,0.10,0.19
1.074,0.09,0.15,0.01,0.17
1.085,0.06,0.15,-0.08,0.18
1.094,0.06,0.11,-0.08,0.15
1.104,0.07,0.05,-0.06,0.11
1.114,0.08,0.01,-0.04,0.09
1.124,0.10,0.03,-0.02,0.11
1.134,0.14,0.03,0.02,0.14
1.144,0.14,0.00,0.04,0.15
1.154,0.13,-0.01,0.08,0.15
1.164,0.05,-0.06,0.15,0.17
1.174,0.01,-0.11,0.21,0.24
1.184,0.04,-0.06,0.23,0.24
1.194,0.10,0.02,0.19,0.22
