time,ax,ay,az,atotal
0.000,0.17,0.27,0.13,0.34
0.010,0.06,0.20,0.04,0.21
0.020,-0.07,-0.04,0.03,0.09
0.030,-0.21,-0.16,0.09,0.29
0.040,-0.25,-0.10,0.07,0.28
0.050,-0.07,0.01,0.02,0.07
0.060,0.13,0.05,0.06,0.15
0.070,0.15,-0.01,0.10,0.18
0.080,0.07,-0.09,0.13,0.17
0.089,0.05,-0.11,0.07,0.14
0.099,0.09,-0.03,0.06,0.11
0.109,0.08,0.11,0.12,0.18
0.119,-0.01,0.17,0.07,0.19
0.129,-0.10,0.15,0.02,0.18
0.139,-0.11,0.17,0.01,0.20
0.149,-0.02,0.14,0.08,0.16
0.159,0.12,0.05,0.08,0.15
0.169,0.24,-0.00,0.07,0.25
0.179,0.19,-0.05,0.14,0.24
0.189,0.06,-0.08,0.09,0.13
0.199,-0.13,0.06,0.10,0.18
0.209,-0.16,0.14,0.04,0.22
0.219,-0.09,0.13,0.01,0.16
0.229,-0.02,0.11,0.08,0.14
0.239,0.03,0.01,0.09,0.10
0.249,0.08,-0.13,0.06,0.16
0.259,-0.00,-0.18,0.02,0.18
0.269,0.04,0.02,0.12,0.12
0.279,0.06,0.12,0.12,0.17
0.288,0.07,0.14,0.04,0.16
0.298,0.04,0.08,0.09,0.13
0.308,0.00,0.01,0.07,0.07
0.318,-0.05,-0.02,0.07,0.09
0.328,-0.08,-0.02,0.08,0.11
0.338,-0.02,0.01,0.06,0.06
0.348,0.04,0.07,0.02,0.08
0.358,0.08,0.12,0.10,0.18
0.368,0.09,0.14,0.13,0.21
0.378,0.06,0.07,0.09,0.13
0.388,0.05,-0.01,0.12,0.13
0.398,0.01,-0.07,0.09,0.11
0.408,-0.03,-0.07,0.07,0.10
0.418,-0.07,-0.04,0.08,0.11
0.428,-0.06,0.02,0.01,0.06
0.438,-0.01,0.05,0.06,0.08
0.448,0.02,0.07,0.05,0.09
0.458,0.07,0.08,0.05,0.11
0.467,0.07,0.07,0.12,0.15
0.477,0.06,0.05,0.07,0.10
0.487,0.03,0.03,0.07,0.08
0.497,-0.00,0.01,0.03,0.03
0.507,-0.00,0.04,0.07,0.08
0.517,-0.01,0.06,0.10,0.12
0.527,0.00,0.05,0.04,0.07
0.537,0.03,0.05,0.10,0.12
0.547,0.02,0.02,0.07,0.08
0.557,0.01,-0.00,0.08,0.08
0.567,0.01,-0.04,0.10,0.11
0.577,-0.02,-0.04,0.07,0.08
0.587,0.01,-0.02,0.08,0.08
0.597,-0.03,0.00,0.03,0.04
0.607,-0.02,0.06,0.03,0.07
0.617,0.03,0.11,0.07,0.13
